Energy,f’,f’’
1000,-33.7502,33.31556
1100,-30.62099,31.38107
1172,-28.69925,29.68836
1177,-28.58813,29.57449
1182,-28.75211,29.46216
1187,-28.65144,29.35242
1192,-28.55326,29.24323
1197,-28.4576,29.13457
1200,-28.40143,29.06964
1202,-28.3645,29.02645
1207,-28.27405,28.91887
1212,-28.18638,28.81183
1217,-28.34115,28.706
1222,-28.26322,28.60278
1227,-28.18868,28.50017
1232,-28.11803,28.39815
1237,-28.05192,28.29672
1242,-27.99143,28.19587
1247,-27.93827,28.09561
1252,-27.89553,27.99592
1257,-27.86961,27.89681
1262,-27.87771,27.79827
1267,-28.00968,27.7003
1272,-27.85738,28.14468
1277,-27.60717,28.04822
1282,-27.44338,27.95231
1287,-27.30824,27.85695
1292,-27.18798,27.76212
1297,-27.07711,27.66784
1300,-27.01389,27.61153
1302,-26.97285,27.57409
1307,-26.87361,27.48088
1312,-26.77836,27.3882
1317,-26.68645,27.29605
1322,-26.59737,27.20443
1327,-26.51079,27.11333
1332,-26.42642,27.02275
1337,-26.34407,26.93269
1342,-26.26355,26.84315
1347,-26.18473,26.75412
1352,-26.10751,26.66561
1357,-26.03176,26.5776
1362,-25.95743,26.49011
1367,-25.88443,26.40312
1400,-25.43223,25.84157
1500,-24.23862,24.19732
1600,-23.4462,22.70436
1700,-22.80534,21.33866
1800,-22.34315,20.08421
1900,-22.03486,18.92884
2000,-21.86307,17.86239
2100,-21.81657,16.87603
2200,-21.895,15.96267
2300,-22.08681,15.11599
2400,-22.40145,14.32927
2500,-22.85036,13.59721
2600,-23.68898,12.92846
2700,-24.66587,12.31695
2800,-25.71426,11.76439
2900,-27.1292,11.24838
3000,-29.15973,10.76567
3100,-32.49603,10.32952
3122,-33.60609,10.23741
3127,-33.89217,10.21667
3132,-34.19358,10.19599
3137,-34.51211,10.17537
3142,-34.8498,10.15483
3147,-35.20918,10.13435
3152,-35.59325,10.11394
3157,-36.00577,10.0936
3162,-36.45139,10.07332
3167,-36.93609,10.05311
3172,-37.46758,10.03297
3177,-38.05628,10.01288
3182,-38.71644,9.992869
3187,-39.4687,9.972919
3192,-40.34408,9.953032
3197,-41.39301,9.933209
3200,-42.14015,9.921347
3202,-42.70511,9.913452
3207,-44.46581,9.893757
3212,-47.17107,9.874125
3217,-53.41292,9.854556
3222,-51.44522,25.43551
3227,-46.59443,25.36963
3232,-44.22201,25.30405
3237,-42.65624,25.23878
3242,-41.49862,25.17381
3247,-40.59004,25.10915
3252,-39.85056,25.04478
3257,-39.23457,24.98072
3262,-38.71355,24.91694
3267,-38.26869,24.85346
3272,-37.88695,24.79027
3273,-37.81733,24.77767
3277,-37.55916,24.72738
3278,-37.49944,24.71483
3282,-37.27865,24.66477
3283,-37.22778,24.65228
3287,-37.04068,24.60244
3288,-36.99786,24.59001
3292,-36.84185,24.5404
3293,-36.80657,24.52803
3297,-36.67997,24.47864
3298,-36.6519,24.46632
3300,-36.60002,24.44172
3302,-36.55379,24.41716
3303,-36.53279,24.4049
3307,-36.46298,24.35597
3308,-36.4491,24.34376
3312,-36.40815,24.29504
3313,-36.40163,24.28289
3317,-36.39095,24.2344
3318,-36.39226,24.2223
3323,-36.42418,24.16198
3328,-36.50234,24.10193
3333,-36.63421,24.04215
3338,-36.8311,23.98264
3343,-37.11063,23.9234
3348,-37.50193,23.86441
3353,-38.0572,23.8057
3358,-38.88435,23.74724
3363,-40.26894,23.68904
3368,-43.63197,23.6311
3373,-42.72886,33.00351
3378,-39.48134,32.95432
3383,-37.82601,32.90506
3388,-36.67072,32.85575
3393,-35.76598,32.80637
3398,-35.01294,32.75693
3400,-34.74229,32.73713
3403,-34.3623,32.70742
3408,-33.78588,32.65785
3413,-33.26589,32.60821
3418,-32.79052,32.55851
3423,-32.35139,32.50873
3428,-31.94243,32.45889
3433,-31.559,32.40898
3438,-31.19756,32.359
3443,-30.85527,32.30895
3448,-30.52987,32.25883
3453,-30.21949,32.20864
3458,-29.9226,32.15838
3463,-29.63788,32.10804
3468,-29.36425,32.05764
3500,-27.82284,31.7333
3600,-24.41388,30.70031
3700,-22.20968,29.63942
3800,-20.95482,28.5553
3812,-20.88752,28.42397
3817,-20.86718,28.36919
3822,-20.85193,28.31436
3827,-20.84226,28.2595
3832,-20.83873,28.20461
3837,-20.84204,28.14968
3842,-20.85305,28.09472
3847,-20.87279,28.03973
3852,-20.90258,27.98471
3857,-20.94411,27.92965
3862,-20.99958,27.87457
3867,-21.07193,27.81947
3872,-21.16504,27.76434
3877,-21.28518,27.70918
3882,-21.44105,27.65399
3887,-21.64705,27.59879
3892,-21.92886,27.54356
3897,-22.33957,27.48831
3900,-22.69788,27.45516
3902,-23.02128,27.43305
3907,-24.71661,27.37776
3912,-24.06086,31.79087
3917,-22.58327,31.73241
3922,-21.81195,31.67394
3927,-21.2695,31.61546
3932,-20.84233,31.55696
3937,-20.48496,31.49844
3942,-20.17461,31.43991
3947,-19.89814,31.38137
3952,-19.64736,31.32283
3957,-19.41674,31.26427
3962,-19.20244,31.20571
3967,-19.00161,31.14713
3972,-18.81217,31.08856
3977,-18.63244,31.02998
3982,-18.46116,30.97139
3987,-18.2973,30.91281
3992,-18.14,30.85423
3997,-17.98858,30.79564
4000,-17.9003,30.76049
4002,-17.84245,30.73706
4007,-17.70112,30.67848
4100,-15.62509,29.59098
4200,-13.87803,28.42594
4300,-12.66728,27.24522
4400,-12.78748,26.13214
4500,-12.21495,25.24858
4559,-12.02903,24.74787
4564,-12.02136,24.70611
4569,-12.01542,24.66446
4574,-12.01136,24.62291
4579,-12.0094,24.58146
4584,-12.00978,24.54012
4589,-12.01277,24.49888
4594,-12.01876,24.45774
4599,-12.02818,24.4167
4600,-12.03052,24.40851
4604,-12.04161,24.37577
4609,-12.05981,24.33493
4614,-12.08379,24.2942
4619,-12.11494,24.25357
4624,-12.15528,24.21304
4629,-12.20783,24.1726
4634,-12.2775,24.13227
4639,-12.37309,24.09204
4644,-12.51271,24.0519
4649,-12.74484,24.01186
4654,-13.32276,23.97193
4659,-13.09908,25.45651
4664,-12.59485,25.41611
4669,-12.33149,25.37581
4674,-12.14621,25.33561
4679,-12.00024,25.2955
4684,-11.88402,25.25551
4689,-11.77795,25.21562
4694,-11.68348,25.17584
4699,-11.59779,25.13615
4700,-11.58153,25.12822
4704,-11.51902,25.09655
4709,-11.44586,25.05706
4714,-11.37735,25.01766
