Energy,f’,f’’
1000,-1.464256,0.7055072
1100,-1.636724,0.603446
1200,-1.852103,0.5223654
1300,-2.14588,0.4568041
1400,-2.6106,0.4030391
1462,-3.109362,0.3744801
1467,-3.164359,0.3723125
1472,-3.222728,0.3701641
1477,-3.284874,0.3680345
1482,-3.351279,0.3659235
1487,-3.422522,0.3638309
1492,-3.499303,0.3617565
1497,-3.582489,0.3597
1500,-3.635914,0.3584747
1502,-3.673161,0.3576613
1507,-3.772693,0.3556402
1512,-3.882877,0.3536364
1517,-4.006099,0.3516497
1522,-4.145643,0.34968
1527,-4.306202,0.347727
1532,-4.494831,0.3457905
1537,-4.72284,0.3438705
1542,-5.010128,0.3419665
1547,-5.396877,0.3400786
1552,-5.986352,0.3382064
1557,-7.247778,0.3363499
1562,-7.32971,4.071402
1567,-5.978118,4.069197
1572,-5.351511,4.066619
1577,-4.935689,4.063672
1582,-4.62215,4.060359
1587,-4.369208,4.056684
1592,-4.156385,4.052651
1597,-3.972092,4.048265
1600,-3.872102,4.045465
1602,-3.809134,4.04353
1607,-3.662735,4.038449
1612,-3.529566,4.033026
1617,-3.407213,4.027267
1622,-3.293871,4.021175
1627,-3.188155,4.014755
1632,-3.088982,4.008011
1637,-2.995477,4.000948
1642,-2.90696,3.99357
1647,-2.822837,3.985882
1652,-2.742635,3.977887
1657,-2.665952,3.969592
1700,-2.113099,3.886497
1800,-1.233268,3.625145
1900,-0.6498905,3.298324
2000,-0.2554404,2.938935
2100,-0.3087494,2.681528
2200,-0.1502949,2.48695
2300,-3.2166634E-02,2.313897
2400,6.0518224E-02,2.159141
2500,0.1328889,2.020114
2600,0.1899576,1.894699
2700,0.2353782,1.78113
2800,0.2719911,1.677923
2900,0.3024116,1.583822
3000,0.331012,1.497762
3100,0.3489627,1.416397
3200,0.3622159,1.341432
3300,0.3723891,1.272234
3400,0.3798007,1.208213
3500,0.3849384,1.148861
3600,0.3881985,1.093732
3700,0.3899054,1.042433
3800,0.3903256,0.9946151
3900,0.38963,0.9499692
4000,0.3880987,0.9082196
4100,0.3858376,0.86912
4200,0.3829741,0.8324502
4300,0.3796155,0.7980123
4400,0.3758518,0.7656287
4500,0.3717589,0.735139
4600,0.3674012,0.7063981
4700,0.3628328,0.6792747
4800,0.3580999,0.6536497
4900,0.3532416,0.629415
5000,0.3482908,0.6064718
5100,0.3432757,0.5847301
5200,0.3382203,0.5641076
5300,0.3331446,0.544529
5400,0.328066,0.5259252
5500,0.3229988,0.5082328
5600,0.3179553,0.4913935
5700,0.3129458,0.4753535
5800,0.307979,0.4600631
5900,0.303062,0.4454768
6000,0.2982007,0.4315521
6100,0.2934002,0.4182499
6200,0.2886643,0.4055339
6300,0.2839964,0.3933701
6400,0.2793988,0.3817275
6500,0.2748737,0.3705769
6600,0.2704223,0.3598911
6700,0.2660457,0.349645
6800,0.2594559,0.3398572
6900,0.2552439,0.3305207
7000,0.2511114,0.3215541
7100,0.2470576,0.3129384
7200,0.243082,0.3046555
7300,0.2391838,0.2966885
7400,0.2353619,0.2890217
7500,0.2316153,0.2816404
7600,0.2279431,0.2745304
7700,0.2243439,0.2676789
7800,0.2208165,0.2610734
7900,0.2173596,0.2547024
8000,0.213972,0.2485551
8100,0.2106524,0.2426211
8200,0.2073992,0.2368909
8300,0.2042113,0.231355
8400,0.2010873,0.2260051
8500,0.1980257,0.2208328
8600,0.1950253,0.2158305
8700,0.1920848,0.210991
8800,0.1892027,0.2063071
8900,0.1863778,0.2017725
9000,0.1835929,0.1974033
9100,0.1808642,0.1931714
9200,0.1781904,0.1890711
9300,0.1755701,0.185097
9400,0.1730022,0.181244
9500,0.1704852,0.1775073
9600,0.1680181,0.1738822
9700,0.1655996,0.1703644
9800,0.1632286,0.1669498
9900,0.1609039,0.1636343
10000,0.1586244,0.1604141
10100,0.156389,0.1572857
10200,0.1541966,0.1542457
10300,0.1520462,0.1512907
10400,0.1499369,0.1484177
10500,0.1478676,0.1456236
10600,0.1458374,0.1429056
10700,0.1438453,0.1402611
10800,0.1418904,0.1376873
10900,0.1399718,0.1351818
11000,0.1380888,0.1327422
11100,0.1362403,0.1303663
11200,0.1344257,0.1280519
11300,0.1326442,0.1257969
11400,0.1308949,0.1235992
11500,0.129177,0.1214571
11600,0.12749,0.1193685
11700,0.125833,0.1173319
11800,0.1242053,0.1153454
11900,0.1226064,0.1134075
12000,0.1210354,0.1115166
12100,0.1194919,0.1096712
12200,0.1179751,0.1078699
12300,0.1164845,0.1061113
12400,0.1150195,0.1043941
12500,0.1135794,0.102717
