Energy,f’,f’’
1000,-0.3500823,2.901179
1100,-0.4042558,2.494321
1200,-0.4704154,2.168999
1300,-0.5458791,1.904572
1400,-0.6211109,1.687136
1500,-0.6972093,1.50573
1600,-0.7736521,1.352692
1700,-0.8504806,1.222312
1800,-0.9280975,1.110262
1900,-1.00717,1.013211
2000,-1.088599,0.9285567
2100,-1.173531,0.8542457
2200,-1.263422,0.7886348
2300,-1.36015,0.7303991
2400,-1.466218,0.6784581
2500,-1.585093,0.6319246
2600,-1.721832,0.5900635
2700,-1.88428,0.5522617
2800,-2.085649,0.5180045
2900,-2.350903,0.486857
3000,-2.73658,0.4584496
3100,-3.423681,0.4327184
3105,-3.475606,0.4314899
3110,-3.530453,0.4302667
3115,-3.588559,0.4290487
3120,-3.650306,0.427836
3125,-3.716162,0.4266285
3130,-3.78668,0.4254262
3135,-3.862529,0.424229
3140,-3.944547,0.4230369
3145,-4.033762,0.4218499
3150,-4.131505,0.420668
3155,-4.239482,0.4194911
3160,-4.359991,0.4183191
3165,-4.496166,0.4171522
3170,-4.65251,0.4159902
3175,-4.835736,0.4148331
3180,-5.056615,0.4136809
3185,-5.333928,0.4125335
3190,-5.705324,0.4113909
3195,-6.265577,0.4102532
3200,-7.420866,0.4091202
3205,-7.788341,4.074234
3210,-6.3513,4.064768
3215,-5.716706,4.055332
3220,-5.301975,4.045927
3225,-4.992483,4.036551
3230,-4.74499,4.027205
3235,-4.538484,4.017889
3240,-4.3611,4.008603
3245,-4.205518,3.999347
3250,-4.066862,3.99012
3255,-3.941749,3.980922
3260,-3.827725,3.971754
3265,-3.722939,3.962614
3270,-3.625988,3.953504
3275,-3.535753,3.944423
3280,-3.451354,3.93537
3285,-3.372064,3.926346
3290,-3.297295,3.917351
3295,-3.226546,3.908384
3300,-3.159407,3.899445
3400,-2.249549,3.726436
3500,-1.718718,3.563826
3600,-1.348187,3.41082
3700,-1.068338,3.266695
3800,-0.8474337,3.130798
3900,-0.6681184,3.00253
4000,-0.5197731,2.88135
4100,-0.3953843,2.766758
4200,-0.3013085,2.65928
4300,-0.2121259,2.559429
4400,-0.1352483,2.465136
4500,-6.8604887E-02,2.37599
4600,-1.057068E-02,2.291616
4700,3.9594159E-02,2.21169
4800,8.4072031E-02,2.13589
4900,0.1231636,2.063929
5000,0.1575869,1.995549
5100,0.1879433,1.930513
5200,0.2147403,1.868604
5300,0.2384094,1.809621
5400,0.2593196,1.753381
5500,0.2777888,1.699715
5600,0.2940916,1.648466
5700,0.3083564,1.59949
5800,0.3210145,1.552653
5900,0.332136,1.507832
6000,0.341885,1.464909
6100,0.3493519,1.423804
6200,0.3567545,1.384394
6300,0.3631595,1.346584
6400,0.3686656,1.310289
6500,0.374466,1.275339
6600,0.3784376,1.241742
6700,0.3817409,1.209434
6800,0.3844392,1.17835
6900,0.3865895,1.148428
7000,0.3882431,1.119612
7100,0.3894464,1.091846
7200,0.3902411,1.06508
7300,0.3906651,1.039268
7400,0.3907526,1.014363
7500,0.3905347,0.990324
7600,0.3900394,0.9671112
7700,0.3892926,0.9446871
7800,0.3883174,0.9230161
7900,0.3871351,0.902065
8000,0.3857651,0.8818024
8100,0.3842248,0.8621982
8200,0.3825305,0.8432245
8300,0.3806968,0.8248543
8400,0.3787371,0.8070626
8500,0.3766637,0.789825
8600,0.3744878,0.773119
8700,0.3722196,0.7569231
8800,0.3698684,0.7412166
8900,0.367443,0.7259803
9000,0.3649454,0.711287
9100,0.3623971,0.6970285
9200,0.3598047,0.683188
9300,0.3571742,0.6697488
9400,0.3545108,0.6566958
9500,0.3518198,0.6440143
9600,0.3491055,0.6316903
9700,0.3463724,0.6197104
9800,0.3436241,0.608062
9900,0.3408642,0.5967331
10000,0.338096,0.5857118
10100,0.3353224,0.5749872
10200,0.3325461,0.5645489
10300,0.3297696,0.5543865
10400,0.3269953,0.5444906
10500,0.3242249,0.534852
10600,0.3214606,0.5254616
10700,0.3187041,0.5163113
10800,0.3159569,0.5073927
10900,0.3132205,0.4986983
11000,0.3104961,0.4902204
11100,0.3077849,0.4819521
11200,0.3050881,0.4738865
11300,0.3024066,0.466017
11400,0.2997413,0.4583374
11500,0.2970211,0.4508416
11600,0.2943898,0.4435241
11700,0.2917761,0.4363791
11800,0.2891814,0.4294011
11900,0.2866062,0.4225851
12000,0.2840508,0.415926
12100,0.2815157,0.4094191
12200,0.2790014,0.4030599
12300,0.2765078,0.3968438
12400,0.2740355,0.3907667
12500,0.2715846,0.3848244
12600,0.2691552,0.3790131
12700,0.2667476,0.3733289
12800,0.2643617,0.367768
12900,0.2619978,0.3623272
13000,0.2596559,0.3570029
13100,0.257336,0.3517917
13200,0.2550381,0.3466907
13300,0.2527622,0.3416966
13400,0.2505083,0.3368067
13500,0.2482764,0.3320178
13600,0.2460662,0.3273274
13700,0.2438776,0.3227328
13800,0.2417097,0.3182313
13900,0.2385141,0.3138254
14000,0.2363776,0.3095261
14100,0.2342711,0.3053127
14200,0.232187,0.301183
14300,0.2301248,0.2971347
14400,0.2280843,0.2931658
14500,0.2260652,0.2892741
14600,0.2240673,0.2854576
14700,0.2220906,0.2817146
14800,0.2201347,0.278043
14900,0.2181995,0.2744412
15000,0.2162848,0.2709073
15100,0.2143905,0.2674396
15200,0.2125162,0.2640366
15300,0.2106619,0.2606966
15400,0.2088273,0.2574181
15500,0.2070121,0.2541995
15600,0.2052163,0.2510396
15700,0.2034396,0.2479368
15800,0.2016818,0.2448897
15900,0.1999427,0.2418972
16000,0.198222,0.2389577
16100,0.1965196,0.2360703
16200,0.1948353,0.2332335
16300,0.193169,0.2304464
16400,0.1915202,0.2277075
16500,0.1898889,0.225016
16600,0.1882748,0.2223707
16700,0.1866779,0.2197706
16800,0.1850978,0.2172147
16900,0.1835343,0.2147019
17000,0.1819873,0.2122313
17100,0.1804565,0.209802
17200,0.1789418,0.2074131
17300,0.177443,0.2050637
17400,0.1759599,0.2027528
17500,0.1744923,0.2004798
17600,0.1730399,0.1982437
17700,0.1716027,0.1960438
17800,0.1701804,0.1938794
17900,0.1687728,0.1917495
18000,0.1673798,0.1896536
18100,0.1660012,0.1875909
18200,0.1646368,0.1855607
18300,0.1632864,0.1835625
18400,0.1619499,0.1815953
18500,0.1606271,0.1796587
18600,0.1593177,0.1777521
18700,0.1580217,0.1758747
18800,0.156739,0.1740261
18900,0.1554692,0.1722057
19000,0.1542122,0.1704127
19100,0.152968,0.1686469
19200,0.1517363,0.1669075
19300,0.150517,0.1651941
19400,0.1493098,0.1635062
19500,0.1481148,0.1618432
