Energy,f’,f’’
1000,-30.16965,27.94595
1100,-28.07165,26.43858
1200,-26.36502,24.57545
1300,-25.13891,22.88076
1400,-24.22934,21.33656
1500,-23.58269,19.92382
1600,-23.15131,18.63012
1700,-22.90836,17.44294
1800,-22.83631,16.35172
1900,-22.92647,15.34721
2000,-23.42604,14.45552
2100,-23.86398,13.63572
2200,-24.68753,12.89876
2300,-25.54687,12.2273
2400,-26.73421,11.60685
2500,-28.45748,11.03223
2600,-31.32846,10.49891
2689,-37.14799,10.05573
2694,-37.73254,10.03166
2699,-38.37136,10.00767
2700,-38.50638,10.00288
2704,-39.07296,9.983768
2709,-39.8476,9.959949
2714,-40.70786,9.936215
2719,-41.66951,9.912564
2724,-42.75219,9.888997
2729,-43.98123,9.865511
2734,-45.38929,9.842109
2739,-47.01996,9.818788
2744,-48.93215,9.795548
2749,-51.20866,9.772389
2754,-53.96926,9.749312
2759,-57.3969,9.726315
2764,-61.78758,9.703398
2769,-67.66721,9.680559
2774,-76.10204,9.657801
2779,-89.83134,9.63512
2784,-121.084,9.612519
2789,-124.4476,112.456
2794,-79.30419,101.1891
2799,-59.5715,91.44521
2800,-56.77449,89.65852
2804,-47.87098,82.99573
2809,-40.26799,75.64818
2811,-37.97924,72.98086
2814,-35.14656,69.24262
2816,-33.59079,66.9129
2819,-31.66781,63.64346
2821,-30.61889,61.60352
2824,-29.33973,58.73751
2826,-28.65676,56.94701
2829,-27.85063,54.42831
2831,-27.44124,52.8531
2834,-26.9945,50.63479
2836,-26.79633,49.24608
2839,-26.62984,47.2881
2841,-26.60031,46.06095
2844,-26.6651,44.32925
2846,-26.77567,43.24298
2849,-27.03544,41.70847
2851,-27.26808,40.74492
2854,-27.70246,39.38276
2856,-28.04768,38.52683
2859,-28.6484,37.31574
2861,-29.10468,36.55408
2864,-29.87533,35.47578
2866,-30.44911,34.79729
2869,-31.40644,33.83606
2871,-32.11425,33.23085
2874,-33.29214,32.37316
2876,-34.16382,31.83299
2879,-35.62142,31.06715
2881,-36.7086,30.58466
2884,-38.54746,29.90058
2886,-39.93944,29.46962
2891,-44.20617,28.47361
2896,-50.22847,27.58447
2900,-57.46263,26.94284
2901,-59.86667,26.7915
2906,-81.44388,26.08556
2911,-84.6063,96.18852
2916,-52.38234,84.51274
2921,-39.21894,75.04675
2926,-32.10177,67.3307
2931,-27.97454,61.00992
2936,-25.56649,55.80873
2941,-24.22531,51.51328
2946,-23.57627,47.95528
2951,-23.38972,45.00299
2956,-23.51866,42.55173
2961,-23.89247,40.51899
2966,-24.39402,38.83875
2971,-25.00535,37.45858
2976,-25.69648,36.33647
2981,-26.44691,35.43914
2986,-27.24301,34.74002
2991,-28.07572,34.2183
