Energy,f’,f’’
1000,0.1252529,0.1175488
1100,0.110262,9.759894E-02
1200,9.7817719E-02,8.2217991E-02
1300,8.7379083E-02,7.0118293E-02
1400,7.8537874E-02,6.0435206E-02
1500,7.0983164E-02,5.2570723E-02
1600,6.4475529E-02,4.6100512E-02
1700,5.8828585E-02,4.0716775E-02
1800,5.3895619E-02,3.6191884E-02
1900,4.955994E-02,3.2354593E-02
2000,4.5727834E-02,2.9074105E-02
2100,4.2180683E-02,2.6250761E-02
2200,3.9146114E-02,2.3811579E-02
2300,3.6426656E-02,2.168447E-02
2400,3.3979513E-02,1.9819129E-02
2500,3.1769052E-02,1.8174952E-02
2600,2.9765302E-02,1.6718844E-02
2700,2.79429E-02,1.5423636E-02
2800,2.6280276E-02,1.4266865E-02
2900,2.4758952E-02,1.3229817E-02
3000,2.336303E-02,1.2296819E-02
3100,2.2076227E-02,1.1458456E-02
3200,2.0890668E-02,1.0699629E-02
3300,1.9795898E-02,1.0010754E-02
3400,1.8782776E-02,9.3836291E-03
3500,1.78433E-02,8.8112159E-03
3600,1.6970426E-02,8.2874401E-03
3700,1.6157938E-02,7.8070392E-03
3800,1.5400334E-02,7.3654414E-03
3900,1.4691442E-02,6.9586663E-03
4000,1.402944E-02,6.583211E-03
4100,1.3409212E-02,6.2359958E-03
4200,1.2827283E-02,5.9143119E-03
4300,1.2280528E-02,5.6157638E-03
4400,1.1766145E-02,5.3382306E-03
4500,1.1281601E-02,5.0798235E-03
4600,1.0824608E-02,4.8388601E-03
4700,1.0393095E-02,4.6138368E-03
4800,9.9851843E-03,4.4034058E-03
4900,9.5991706E-03,4.2063612E-03
5000,9.2334971E-03,4.0216134E-03
5100,8.8867461E-03,3.848182E-03
5200,8.5576223E-03,3.685182E-03
5300,8.2449364E-03,3.5318099E-03
5400,7.9476051E-03,3.3873408E-03
5500,7.6646283E-03,3.251113E-03
5600,7.3950877E-03,3.1225255E-03
5700,7.1381382E-03,3.0010305E-03
5800,6.8929987E-03,2.8861272E-03
5900,6.6589518E-03,2.777359E-03
6000,6.435331E-03,2.6743065E-03
6100,6.2215202E-03,2.5765859E-03
6200,6.0169487E-03,2.4838436E-03
6300,5.821086E-03,2.3957554E-03
6400,5.6334417E-03,2.3120227E-03
6500,5.4535572E-03,2.2323697E-03
6600,5.2810069E-03,2.1565424E-03
6700,5.1153935E-03,2.084305E-03
6800,4.9563455E-03,2.0154405E-03
