Energy,f’,f’’
1000,-22.50987,27.61686
1100,-19.76816,28.03894
1195,-15.91881,26.63143
1200,-15.76623,26.48647
1205,-15.62247,26.34422
1210,-15.4869,26.20462
1215,-15.35903,26.06763
1220,-15.23851,25.9332
1225,-15.12508,25.80127
1230,-15.0186,25.6718
1235,-14.91905,25.54476
1240,-14.82652,25.4201
1245,-14.74129,25.29777
1250,-14.66381,25.17774
1255,-14.59486,25.05997
1260,-14.53564,24.94444
1265,-14.4881,24.83109
1270,-14.45548,24.7199
1275,-14.44359,24.61085
1280,-14.46427,24.50389
1285,-14.54783,24.39899
1290,-14.8271,24.29614
1295,-14.82066,25.34803
1300,-14.29326,25.24633
1305,-14.01047,25.14664
1310,-13.79761,25.04896
1315,-13.61932,24.95324
1320,-13.18669,24.8588
1325,-13.04101,24.76165
1330,-12.9065,24.66634
1335,-12.78048,24.57286
1340,-12.66133,24.48119
1345,-12.54789,24.39132
1350,-12.22688,24.29958
1355,-12.1208,24.20925
1360,-12.01855,24.12064
1365,-11.91969,24.03374
1370,-11.8239,23.94854
1375,-11.73089,23.86503
1380,-11.64041,23.7832
1385,-10.99886,23.68633
1390,-10.90132,23.58709
1400,-10.71326,23.39162
1500,-8.891019,21.60088
1600,-7.710529,19.9273
1700,-6.847774,18.44497
1800,-6.210616,17.11423
1900,-5.697395,15.92055
2000,-5.307,14.84463
2100,-5.012712,13.87129
2200,-4.824657,12.99348
2300,-4.686803,12.19803
2400,-4.581717,11.47589
2500,-4.516646,10.81595
2600,-4.491701,10.21137
2700,-4.489719,9.65715
2800,-4.513659,9.146895
2900,-4.563311,8.676024
3000,-4.64717,8.240548
3100,-4.715938,7.847602
3200,-4.80072,7.483248
3300,-4.895973,7.144876
3400,-5.002856,6.829931
3500,-5.120974,6.536231
3600,-5.250496,6.261842
3700,-5.392191,6.005066
3800,-5.546089,5.764371
3900,-5.713569,5.538398
4000,-5.896114,5.325933
4100,-6.095723,5.125889
4200,-6.315062,4.937284
4300,-6.557701,4.759238
4400,-6.828477,4.590954
4500,-7.134099,4.43171
4600,-7.484061,4.280851
4700,-7.899642,4.138192
4800,-8.390896,4.002802
4900,-9.004017,3.874175
5000,-9.825839,3.752085
5100,-11.05701,3.635964
5150,-12.0318,3.579989
5155,-12.15535,3.574466
5160,-12.28568,3.568956
5165,-12.42364,3.563459
5170,-12.57016,3.557975
5175,-12.7264,3.552504
5180,-12.89375,3.547047
5185,-13.07398,3.541602
5190,-13.26925,3.53617
5195,-13.48233,3.530751
5200,-13.71683,3.525346
5205,-13.97764,3.519953
5210,-14.27144,3.514573
5215,-14.60789,3.509206
5220,-15.00154,3.503851
5225,-15.47613,3.498509
5230,-16.07378,3.49318
5235,-16.88161,3.487864
5240,-18.13274,3.48256
5245,-21.0455,3.477269
5250,-20.10872,10.80934
5255,-17.80339,10.78619
5260,-16.66092,10.76315
5265,-15.89555,10.74022
5270,-15.31987,10.71739
5275,-14.859,10.69468
5280,-14.4753,10.67206
5285,-14.14714,10.64956
5290,-13.86088,10.62715
5295,-13.60747,10.60485
5300,-13.3805,10.58265
5305,-13.17535,10.56056
5310,-12.98846,10.53857
5315,-12.81716,10.51668
5320,-12.65932,10.49489
5325,-12.51324,10.4732
5330,-12.37753,10.45161
5335,-12.25105,10.43011
5340,-12.13285,10.40872
5345,-12.02214,10.38742
5400,-11.15674,10.15945
5500,-10.58538,9.772698
5526,-10.61723,9.677614
5531,-10.6344,9.659575
5536,-10.65575,9.641615
5541,-10.68166,9.623732
5546,-10.71256,9.605926
5551,-10.74901,9.588197
5556,-10.79165,9.570545
5561,-10.84131,9.552971
5566,-10.89903,9.535471
5571,-10.96614,9.518046
5576,-11.04435,9.500696
5581,-11.13598,9.483422
5586,-11.24424,9.466222
5591,-11.3737,9.449095
5596,-11.53126,9.43204
5600,-11.68471,9.418451
5601,-11.72792,9.415061
5606,-11.98571,9.398157
5611,-12.33913,9.381328
5616,-12.89183,9.364569
5621,-14.10331,9.347884
5626,-14.17051,12.99168
5631,-12.82049,12.96714
5636,-12.18428,12.94272
5641,-11.75674,12.9184
5646,-11.43103,12.89419
5651,-11.16609,12.87009
5656,-10.94171,12.84609
5661,-10.74643,12.82221
5666,-10.57307,12.79843
5671,-10.4169,12.77475
5676,-10.2746,12.75118
5681,-10.14376,12.72772
5686,-10.02258,12.70436
5691,-9.909636,12.6811
5696,-9.803855,12.65794
5700,-9.723795,12.63949
5701,-9.704353,12.63489
5706,-9.610431,12.61194
5711,-9.52148,12.58909
5716,-9.437022,12.56634
5721,-9.356645,12.54369
5800,-8.450725,12.19869
5891,-7.959718,11.82946
5896,-7.949367,11.81
5900,-7.942591,11.79448
5901,-7.94137,11.79061
5906,-7.935642,11.77131
5911,-7.932627,11.75209
5916,-7.93252,11.73296
5921,-7.935641,11.7139
5926,-7.942385,11.69492
5931,-7.953255,11.67603
5936,-7.968892,11.65721
5941,-7.990138,11.63847
5946,-8.018116,11.61982
5951,-8.054376,11.60124
5956,-8.10113,11.58274
5961,-8.161718,11.56431
5966,-8.241474,11.54596
5971,-8.349751,11.52769
5976,-8.505308,11.5095
5981,-8.755795,11.49139
5986,-9.309,11.47334
5991,-9.417041,13.25442
5996,-8.706326,13.2357
6000,-8.428314,13.22077
6001,-8.373151,13.21704
6006,-8.145777,13.19846
6011,-7.969404,13.17996
6016,-7.823267,13.16153
6021,-7.697191,13.14317
6026,-7.585466,13.12488
6031,-7.484543,13.10666
6036,-7.392075,13.08852
6041,-7.3064,13.07045
6046,-7.226335,13.05245
6051,-7.150985,13.03452
6056,-7.079663,13.01666
6061,-7.011833,12.99887
6066,-6.947051,12.98115
6071,-6.884971,12.9635
6076,-6.825301,12.94592
6081,-6.767805,12.9284
6086,-6.712266,12.91096
6100,-6.565811,12.86247
6200,-5.75587,12.53103
6300,-5.165557,12.224
6400,-4.693221,11.93925
6500,-4.29866,11.67486
6600,-3.960185,11.42916
6700,-3.663944,11.20065
6800,-3.401019,10.98799
6900,-2.875525,10.75671
7000,-2.648498,10.52754
7100,-2.443206,10.30841
7200,-2.256493,10.09873
7300,-2.085772,9.897977
7400,-1.780869,9.687649
7500,-1.63046,9.481893
7600,-1.49273,9.282497
7700,-1.366318,9.089199
7800,-1.259902,8.901926
7900,-1.153617,8.721394
8000,-1.055699,8.546338
8100,-0.9654054,8.376535
8200,-0.8820829,8.211779
8300,-0.8051475,8.051862
8400,-0.7340811,7.896599
8500,-0.6684174,7.745806
8600,-0.6077396,7.599311
8700,-0.5516726,7.456952
8800,-0.4998769,7.31857
8900,-0.4520482,7.18402
9000,-0.4076675,7.053985
9100,-0.3666083,6.927521
9200,-0.3286343,6.804498
9300,-0.2935285,6.684786
9400,-0.2610933,6.568269
9500,-0.231146,6.45483
9600,-0.2035195,6.344359
9700,-0.1780595,6.236754
9800,-0.1546234,6.131913
9900,-0.1330801,6.029742
10000,-0.1133074,5.930147
10100,-9.5193073E-02,5.833042
10200,-7.8632653E-02,5.738345
10300,-6.3528895E-02,5.645973
10400,-4.9791984E-02,5.555851
10500,-3.8360775E-02,5.467907
10600,-2.7154114E-02,5.382121
10700,-1.7075775E-02,5.298376
10800,-8.0576921E-03,5.216606
10900,-3.6694357E-05,5.136748
11000,7.0465417E-03,5.058742
11100,1.3247244E-02,4.982531
11200,1.8617107E-02,4.908059
11300,2.1749232E-02,4.835309
11400,2.5566766E-02,4.764229
11500,2.8693721E-02,4.694735
11600,3.1169929E-02,4.62678
11700,3.3032782E-02,4.560318
11800,3.4317438E-02,4.495305
11900,3.5056859E-02,4.431698
12000,3.3950329E-02,4.369469
12100,3.3660602E-02,4.308615
12200,3.2915786E-02,4.249051
12300,3.1741701E-02,4.190738
12400,3.0162703E-02,4.133644
12500,2.8201673E-02,4.077731
12600,2.5880219E-02,4.022968
12700,2.3218723E-02,3.969324
12800,2.0236334E-02,3.916766
12900,1.6951218E-02,3.865267
13000,1.3380407E-02,3.814796
13100,9.5400689E-03,3.765326
13200,5.4454831E-03,3.716831
13300,1.1109675E-03,3.669284
13400,-3.4497925E-03,3.622661
13500,-8.2240263E-03,3.576937
13600,-1.3199534E-02,3.532089
13700,-1.8364772E-02,3.488095
13800,-2.3708964E-02,3.444932
13900,-2.9221723E-02,3.40258
14000,-3.489342E-02,3.361018
14100,-4.0714785E-02,3.320226
14200,-4.6677042E-02,3.280185
14300,-5.2772041E-02,3.240876
14400,-5.8991838E-02,3.202282
14500,-6.532909E-02,3.164384
14600,-7.1776323E-02,3.127166
14700,-7.8601547E-02,3.090612
14800,-8.5248053E-02,3.054708
14900,-9.1987126E-02,3.019436
15000,-9.9206395E-02,2.984783
15100,-0.1061099,2.950734
15200,-0.1130887,2.917274
15300,-0.1201381,2.884388
15400,-0.1272535,2.852064
15500,-0.1344309,2.820288
15600,-0.1416659,2.789048
15700,-0.1489547,2.758332
15800,-0.1562938,2.728127
15900,-0.1636795,2.698424
16000,-0.1711089,2.669209
16100,-0.1785786,2.640473
16200,-0.1860857,2.612205
16300,-0.1936274,2.584395
16400,-0.2012013,2.557033
16500,-0.2088048,2.530108
16600,-0.2164354,2.503612
16700,-0.2240912,2.477535
16800,-0.2317697,2.451869
16900,-0.2394693,2.426605
17000,-0.247188,2.401734
17100,-0.254924,2.377248
17200,-0.2626758,2.353139
17300,-0.2704415,2.3294
17400,-0.27822,2.306022
17500,-0.2860098,2.282998
17600,-0.2938097,2.260321
17700,-0.3016183,2.237984
17800,-0.3094836,2.215981
17900,-0.3173064,2.194304
18000,-0.325135,2.172947
18100,-0.3329682,2.151903
18200,-0.3408053,2.131167
18300,-0.3486452,2.110733
18400,-0.3564876,2.090594
18500,-0.3643315,2.070744
18600,-0.3721765,2.051178
18700,-0.3800218,2.031892
18800,-0.3878668,2.012879
18900,-0.3957113,1.994133
19000,-0.4035547,1.975651
19100,-0.4113967,1.957427
19200,-0.4192369,1.939456
19300,-0.4270747,1.921734
19400,-0.4349103,1.904255
19500,-0.4427433,1.887016
19600,-0.4505734,1.870012
19700,-0.4584005,1.853238
19800,-0.4662242,1.836691
19900,-0.4740449,1.820367
20000,-0.4818622,1.80426
20100,-0.4896761,1.788368
20200,-0.4974866,1.772687
20300,-0.5052936,1.757213
20400,-0.5130973,1.741941
20500,-0.5208978,1.72687
20600,-0.5286951,1.711994
20700,-0.5364892,1.697311
20800,-0.5442804,1.682818
20900,-0.5520688,1.66851
21000,-0.5598546,1.654385
21100,-0.5676379,1.64044
21200,-0.5754191,1.626671
21300,-0.5831982,1.613077
21400,-0.5909757,1.599653
21500,-0.5987518,1.586396
21600,-0.6065269,1.573305
21700,-0.6143011,1.560375
21800,-0.6220747,1.547606
21900,-0.6298484,1.534993
22000,-0.6376224,1.522535
22100,-0.6453971,1.510228
22200,-0.6531728,1.49807
22300,-0.6609499,1.48606
22400,-0.6687292,1.474194
22500,-0.6765109,1.46247
22600,-0.6842947,1.450886
22700,-0.6942797,1.439446
22800,-0.7041791,1.428165
