Energy,f’,f’’
1000,-28.92583,25.93918
1100,-27.05946,24.07631
1200,-25.71317,22.36768
1300,-24.72937,20.80092
1400,-24.04227,19.3626
1500,-23.59857,18.04181
1600,-23.39385,16.82844
1700,-23.36866,15.71882
1800,-23.80129,14.71514
1900,-24.37946,13.83174
2000,-24.97093,13.03881
2100,-25.81681,12.31184
2200,-27.01257,11.64354
2300,-28.78029,11.02754
2400,-31.7828,10.45846
2482,-37.32551,10.02349
2487,-37.91362,9.997828
2492,-38.55724,9.972266
2497,-39.26511,9.9468
2500,-39.72506,9.931566
2502,-40.04801,9.92143
2507,-40.91908,9.896153
2512,-41.89485,9.870972
2517,-42.99603,9.845884
2522,-44.24933,9.820889
2527,-45.68933,9.795988
2532,-47.36234,9.771178
2537,-49.3311,9.746462
2542,-51.6841,9.721835
2547,-54.54979,9.697301
2552,-58.12495,9.672856
2557,-62.72915,9.648502
2562,-68.93244,9.624238
2567,-77.89632,9.600063
2572,-92.6276,9.575976
2577,-126.8357,9.551979
2582,-126.7107,119.1968
2587,-80.14914,108.4065
2590,-66.22384,102.5436
2592,-59.24579,98.867
2595,-51.00135,93.67616
2597,-46.58921,90.41843
2600,-41.17049,85.81415
2602,-38.19278,82.92155
2605,-34.47851,78.83013
2607,-32.41822,76.2574
2610,-29.84108,72.61546
2612,-28.41472,70.32314
2615,-26.64544,67.07504
2617,-25.68106,65.02898
2620,-24.51357,62.12752
2622,-23.90031,60.29808
2625,-23.19901,57.70139
2627,-22.86326,56.06286
2630,-22.53792,53.73518
2632,-22.43078,52.26534
2635,-22.42238,50.17531
2637,-22.51291,48.85428
2640,-22.78637,46.97458
2642,-23.05819,45.78566
2645,-23.59908,44.09238
2647,-24.04942,43.0204
2650,-24.86417,41.49265
2652,-25.50493,40.52482
2655,-26.62495,39.14429
2657,-27.48776,38.26895
2660,-28.98025,37.01957
2662,-30.12662,36.22688
2665,-32.11892,35.09451
2667,-33.66574,34.37546
2670,-36.40414,33.34767
2672,-38.58606,32.69464
2675,-42.60208,31.76046
2677,-45.97598,31.16644
2680,-52.72606,30.3162
2685,-76.00516,29.00039
2690,-76.31756,101.8997
2695,-44.87302,93.17661
2700,-30.92046,85.49509
2705,-22.58417,78.71609
2710,-17.13106,72.7197
2715,-13.42455,67.40462
2720,-10.90323,62.68322
2725,-9.159291,58.48094
2730,-7.994401,54.73296
2735,-7.255057,51.38413
2740,-6.832887,48.38621
2745,-6.649452,45.69801
2750,-6.64667,43.28334
2755,-6.780914,41.11108
2760,-7.018969,39.15418
2765,-7.335357,37.38876
2770,-7.710317,35.79431
2775,-8.128533,34.3526
2780,-8.577975,33.04793
2785,-9.049289,31.86628
2800,-10.52817,28.94507
2900,-18.99498,22.53312
3000,-22.16339,30.09947
3079,-21.17698,28.87595
3084,-21.14991,28.80081
3089,-21.12849,28.72599
3094,-21.11322,28.65147
3099,-21.10467,28.57726
3100,-21.10383,28.56245
3104,-21.10354,28.50335
3109,-21.11067,28.42974
3114,-21.12713,28.35644
3119,-21.15426,28.28344
3124,-21.19375,28.21074
3129,-21.24782,28.13833
3134,-21.31946,28.06622
3139,-21.41276,27.9944
3144,-21.53358,27.92287
3149,-21.69071,27.85163
3154,-21.89824,27.78069
3159,-22.18081,27.71002
3164,-22.58774,27.63965
3169,-23.24338,27.56956
3174,-24.68061,27.49974
3179,-25.08587,32.2415
3184,-23.1204,32.15486
3189,-22.21132,32.06871
3194,-21.59298,31.98305
3199,-21.11456,31.89788
3200,-21.02996,31.8809
3204,-20.7191,31.81318
3209,-20.37888,31.72897
3214,-20.07829,31.64523
3219,-19.80759,31.56195
3224,-19.56201,31.47915
3229,-19.33378,31.39682
3234,-19.12126,31.31494
3239,-18.92198,31.23352
3244,-18.73407,31.15255
3249,-18.55602,31.07202
3254,-18.38666,30.99194
3259,-18.22501,30.9123
3264,-18.07027,30.8331
3269,-17.92177,30.75434
3274,-17.77894,30.676
3300,-17.1114,30.27547
3400,-15.23612,28.83094
3500,-14.01511,27.52209
3599,-13.32598,26.33867
3600,-13.32209,26.32727
3604,-13.30738,26.28179
3609,-13.29098,26.22518
3614,-13.27695,26.16884
3619,-13.26553,26.11276
3624,-13.25697,26.05694
3629,-13.25162,26.00139
3634,-13.24988,25.94609
3639,-13.25226,25.89106
3644,-13.25943,25.83628
3649,-13.27226,25.78175
3654,-13.29189,25.72748
3659,-13.31993,25.67347
3664,-13.35869,25.6197
3669,-13.41164,25.56618
3674,-13.48439,25.51291
3679,-13.5869,25.4599
3684,-13.73952,25.40712
3689,-13.9956,25.35459
3694,-14.61407,25.30231
3699,-14.48241,27.05256
3700,-14.29215,27.0406
3704,-13.83592,26.99292
3709,-13.50674,26.93362
3714,-13.27602,26.87467
3719,-13.09442,26.81606
3724,-12.94254,26.75779
3729,-12.81071,26.69986
3734,-12.69342,26.64226
3739,-12.5872,26.585
3744,-12.48976,26.52806
3749,-12.39945,26.47146
3754,-12.31684,26.41518
3759,-12.23758,26.35923
3764,-12.16271,26.3036
3769,-12.09168,26.24828
3774,-12.02407,26.19329
3779,-11.95952,26.13861
3784,-11.89775,26.08424
3789,-11.8385,26.03017
3794,-11.78159,25.97643
3800,-11.71614,25.91233
3900,-10.95651,24.90584
3902,-10.94694,24.88685
3907,-10.92408,24.83956
3912,-10.9028,24.79253
3917,-10.88321,24.74577
3922,-10.86541,24.69927
3927,-10.84957,24.65303
3932,-10.83585,24.60706
3937,-10.8245,24.56133
3942,-10.81582,24.51587
3947,-10.81017,24.47066
3952,-10.80807,24.42571
3957,-10.81019,24.38101
3962,-10.81747,24.33657
3967,-10.83127,24.29237
3972,-10.85365,24.24842
3977,-10.88794,24.20472
3982,-10.94009,24.16126
3987,-11.02232,24.11805
3992,-11.16717,24.07508
3997,-11.54031,24.03236
4000,-11.80429,25.05439
4002,-11.40149,25.03739
4007,-11.03591,24.99505
4012,-10.84137,24.95294
4017,-10.70147,24.91107
4022,-10.58901,24.86943
4027,-10.49315,24.82803
4032,-10.4085,24.78685
4037,-10.33197,24.7459
4042,-10.2616,24.70519
4047,-10.19608,24.66471
4052,-10.13452,24.62444
4057,-10.07623,24.58441
4062,-10.02073,24.54461
4067,-9.967616,24.50502
4072,-9.916585,24.46566
4077,-9.867393,24.42652
4082,-9.819842,24.3876
4087,-9.773757,24.3489
4092,-9.729003,24.31042
4097,-9.685462,24.27215
4100,-9.659879,24.2493
4200,-8.454723,23.44649
4300,-7.871591,22.66938
4400,-7.3944,21.94609
4500,-6.992716,21.27279
4600,-6.648894,20.64635
4700,-6.350883,20.06429
4800,-6.08958,19.52464
4900,-5.495907,18.95515
5000,-5.254785,18.40763
5100,-5.041008,17.88397
5200,-4.850085,17.38216
5300,-4.682981,16.90322
5400,-4.528401,16.44434
5500,-4.397033,16.00401
5600,-4.280892,15.58166
5700,-4.178467,15.17627
5800,-4.088429,14.78693
5900,-4.009617,14.41275
6000,-3.941001,14.05295
6100,-3.88167,13.70676
6200,-3.830813,13.37349
6300,-3.787709,13.05247
6400,-3.76546,12.74365
6500,-3.736136,12.44655
6600,-3.712898,12.16
6700,-3.695128,11.88349
6800,-3.682408,11.61654
6900,-3.674364,11.35871
7000,-3.670657,11.10956
7100,-3.670982,10.8687
7200,-3.675064,10.63575
7300,-3.682655,10.41036
7400,-3.706085,10.19226
7500,-3.720348,9.98196
7600,-3.737453,9.778292
7700,-3.757238,9.580973
7800,-3.779556,9.389733
7900,-3.804275,9.204321
8000,-3.834429,9.024497
8100,-3.863691,8.850245
8200,-3.895027,8.68114
8300,-3.942483,8.517069
8400,-3.97757,8.357896
8500,-4.014524,8.203268
8600,-4.053295,8.053011
8700,-4.093827,7.906957
8800,-4.149415,7.765162
8900,-4.193278,7.627263
9000,-4.23811,7.494664
9100,-4.284457,7.365685
9200,-4.332314,7.240191
9300,-4.381684,7.118052
9400,-4.432575,6.999147
9500,-4.485006,6.883357
9600,-4.538999,6.770571
9700,-4.594587,6.660684
9800,-4.651809,6.553591
9900,-4.710712,6.449197
10000,-4.771356,6.347407
10100,-4.833804,6.248134
10200,-4.898134,6.151293
10300,-4.964432,6.0568
10400,-5.032799,5.96458
10500,-5.103347,5.874555
10600,-5.176204,5.786655
10700,-5.251514,5.700813
10800,-5.329442,5.616961
10900,-5.410171,5.535036
11000,-5.493913,5.454977
11100,-5.581299,5.376727
11200,-5.67244,5.300236
11300,-5.766808,5.225456
11400,-5.865374,5.152324
11500,-5.96855,5.080789
11600,-6.07682,5.010804
11700,-6.192361,4.942346
11800,-6.312651,4.875366
11900,-6.440074,4.809805
12000,-6.575602,4.745619
12100,-6.720999,4.682771
12200,-6.876561,4.621224
12300,-7.044715,4.560938
12400,-7.227821,4.501878
12500,-7.428988,4.44401
12600,-7.652406,4.3873
12700,-7.903921,4.331719
12800,-8.193146,4.277239
12900,-8.531008,4.223834
13000,-8.940278,4.171465
13100,-9.460824,4.120108
13200,-10.17902,4.069735
13300,-11.34844,4.020319
13321,-11.7225,4.010061
13326,-11.82356,4.007624
13331,-11.9303,4.00519
13336,-12.04337,4.002759
13341,-12.16355,4.000329
13346,-12.29184,3.997902
13351,-12.42938,3.995477
13356,-12.57759,3.993055
13361,-12.73826,3.990635
13366,-12.91366,3.988217
13371,-13.10675,3.985801
13376,-13.32146,3.983388
