Energy,f’,f’’
1000,0.318205,0.5915615
1100,0.2987917,0.4986501
1200,0.2780735,0.4257638
1300,0.2586761,0.367613
1400,0.2405491,0.3204485
1500,0.2238407,0.2816676
1600,0.2085479,0.2493974
1700,0.1945975,0.2222612
1800,0.1818863,0.1992284
1900,0.1703025,0.179515
2000,0.1597362,0.1625157
2100,0.1500841,0.1477571
2200,0.1412517,0.1348646
2300,0.1331542,0.1235388
2400,0.1257154,0.1135379
2500,0.118868,0.1046648
2600,0.1125519,9.6757837E-02
2700,0.1067143,8.9683026E-02
2800,0.1013081,8.332891E-02
2900,9.6291617E-02,7.7601947E-02
3000,9.1623202E-02,7.2423361E-02
3100,8.732193E-02,6.7778133E-02
3200,8.3316244E-02,6.3552141E-02
3300,7.9579584E-02,5.9696935E-02
3400,7.608825E-02,5.6170799E-02
3500,7.282111E-02,5.2937746E-02
3600,6.975922E-02,4.9966536E-02
3700,6.6885591E-02,4.7229961E-02
3800,6.4184971E-02,4.4704258E-02
3900,6.1643589E-02,4.2368572E-02
4000,5.9249062E-02,4.0204559E-02
4100,5.6990154E-02,3.819602E-02
4200,5.4856695E-02,3.632861E-02
4300,5.2839454E-02,3.4589589E-02
4400,5.0930053E-02,3.2967631E-02
4500,4.912084E-02,3.1452611E-02
4600,4.7404837E-02,3.0035472E-02
4700,4.5775671E-02,2.8708085E-02
4800,4.4227496E-02,2.7463144E-02
4900,4.2754982E-02,2.6294075E-02
5000,4.13532E-02,2.5194934E-02
5100,4.0017631E-02,2.4160344E-02
5200,3.8744114E-02,2.318543E-02
5300,3.7528694E-02,2.2265766E-02
5400,3.6247596E-02,2.139974E-02
5500,3.513908E-02,2.0582167E-02
5600,3.4079123E-02,1.9808685E-02
5700,3.3064876E-02,1.9076228E-02
5800,3.20937E-02,1.838199E-02
5900,3.1163177E-02,1.7723409E-02
6000,3.0271029E-02,1.7098119E-02
6100,2.9415151E-02,1.6503954E-02
6200,2.8593577E-02,1.5938917E-02
6300,2.7804472E-02,1.5401164E-02
6400,2.7046133E-02,1.4889002E-02
6500,2.6316956E-02,1.4400858E-02
6600,2.5615446E-02,1.3935283E-02
6700,2.4940206E-02,1.3490929E-02
6800,2.4289919E-02,1.306655E-02
6900,2.3663362E-02,1.266099E-02
7000,2.3059376E-02,1.2273172E-02
7100,2.2476878E-02,1.1902097E-02
7200,2.1914845E-02,1.1546831E-02
7300,2.137232E-02,1.1206505E-02
7400,2.0848401E-02,1.0880312E-02
7500,2.0342235E-02,1.0567495E-02
7600,1.9853018E-02,1.0267345E-02
7700,1.9379996E-02,9.9792024E-03
7800,1.8922448E-02,9.7024459E-03
7900,1.8479705E-02,9.4364975E-03
8000,1.8051121E-02,9.1808131E-03
8100,1.7636096E-02,8.9348797E-03
8200,1.7234059E-02,8.6982213E-03
8300,1.6844461E-02,8.4703835E-03
8400,1.6466795E-02,8.2509462E-03
8500,1.6100567E-02,8.0395062E-03
8600,1.5745316E-02,7.8356899E-03
8700,1.5400605E-02,7.6391441E-03
8800,1.506601E-02,7.449531E-03
8900,1.472862E-02,7.2665699E-03
9000,1.4411882E-02,7.0909103E-03
9100,1.4104236E-02,6.9212755E-03
9200,1.380533E-02,6.7573995E-03
9300,1.3514822E-02,6.5990267E-03
9400,1.3232406E-02,6.445921E-03
9500,1.2957774E-02,6.2978524E-03
9600,1.2690643E-02,6.1546089E-03
9700,1.243074E-02,6.0159876E-03
9800,1.2177801E-02,5.8817933E-03
9900,1.193158E-02,5.7518454E-03
10000,1.1691835E-02,5.6259683E-03
10100,1.145834E-02,5.5039977E-03
10200,1.1230881E-02,5.3857779E-03
10300,1.1009244E-02,5.2711577E-03
10400,1.0793235E-02,5.1599974E-03
10500,1.0582658E-02,5.0521595E-03
10600,1.0377333E-02,4.9475171E-03
10700,1.0177087E-02,4.8459484E-03
10800,9.9817486E-03,4.7473344E-03
10900,9.7911609E-03,4.651566E-03
11000,9.6051646E-03,4.5585358E-03
11100,9.4236154E-03,4.4681421E-03
11200,9.2463717E-03,4.3802899E-03
11300,9.0732947E-03,4.2948853E-03
11400,8.904255E-03,4.2118412E-03
11500,8.7391259E-03,4.1310717E-03
11600,8.5777864E-03,4.0524974E-03
11700,8.4201228E-03,3.9760415E-03
11800,8.2660187E-03,3.9016283E-03
11900,8.1153717E-03,3.8291891E-03
