Energy,f’,f’’
1000,-0.3237582,4.44067
1100,-0.274832,3.837032
1200,-0.270861,3.349581
1300,-0.2936608,2.950012
1400,-0.9169833,2.618382
1500,-0.3911635,2.34161
1600,-0.4455647,2.107053
1700,-0.5029933,1.906411
1800,-0.5687006,1.73385
1900,-0.6289776,1.58449
2000,-0.6897004,1.453944
2100,-0.7507815,1.339136
2200,-0.8123106,1.237602
2300,-0.8745092,1.147345
2400,-0.9377069,1.066733
2500,-1.002333,0.9944233
2600,-1.068918,0.9292994
2700,-1.138112,0.8704284
2800,-1.210709,0.8170257
2900,-1.287695,0.7684265
3000,-1.370315,0.7240654
3100,-1.46013,0.6838658
3200,-1.5593,0.6469802
3300,-1.670806,0.6130488
3400,-1.798953,0.5817597
3500,-1.950297,0.5528417
3600,-2.13557,0.5260576
3700,-2.374165,0.5011997
3800,-2.706851,0.4780851
3900,-3.245576,0.4565523
3941,-3.606858,0.4481473
3946,-3.661873,0.4471384
3951,-3.720167,0.446133
3956,-3.782141,0.4451309
3961,-3.848261,0.4441323
3966,-3.919099,0.443137
3971,-3.995337,0.4421452
3976,-4.077834,0.4411567
3981,-4.167648,0.4401716
3986,-4.266149,0.4391897
3991,-4.375103,0.4382113
3996,-4.496901,0.4372361
4000,-4.605744,0.4364583
4001,-4.634816,0.4362642
4006,-4.793585,0.4352956
4011,-4.980347,0.4343302
4016,-5.206635,0.4333681
4021,-5.493058,0.4324092
4026,-5.881924,0.4314535
4031,-6.485795,0.430501
4036,-7.877524,0.4295518
4041,-7.498599,4.053229
4046,-6.327899,4.043897
4051,-5.750349,4.034608
4056,-5.361984,4.025364
4061,-5.068298,4.016164
4066,-4.831643,4.007006
4071,-4.633221,3.997891
4076,-4.462238,3.988818
4081,-4.311938,3.979789
4086,-4.177767,3.970801
4091,-4.056561,3.961855
4096,-3.946001,3.95295
4100,-3.864041,3.945857
4101,-3.844354,3.944088
4106,-3.750257,3.935266
4111,-3.662662,3.926484
4116,-3.580718,3.917743
4121,-3.503743,3.909044
4126,-3.431151,3.900384
4131,-3.362474,3.891763
4136,-3.29731,3.883182
4200,-2.66872,3.776744
4300,-2.067775,3.622229
4400,-1.670688,3.480695
4500,-1.37953,3.350744
4600,-1.153625,3.231165
4700,-0.9718658,3.120899
4800,-0.8217841,3.019024
4900,-0.6953596,2.924729
5000,-0.5871072,2.8373
5100,-0.4931023,2.756107
5200,-0.4104326,2.680592
5300,-0.2754498,2.60436
5400,-0.2061608,2.526306
5500,-0.1446382,2.4517
5600,-8.9809231E-02,2.380339
5700,-4.079441E-02,2.312037
5800,3.1376737E-03,2.246617
5900,4.260068E-02,2.183918
6000,7.811518E-02,2.123791
6100,0.1101256,2.066093
6200,0.1390141,2.010696
6300,0.1651114,1.957476
6400,0.1887053,1.906321
6500,0.2100499,1.857124
6600,0.2288072,1.809794
6700,0.2462921,1.764232
6800,0.2621141,1.720347
6900,0.2764264,1.678058
7000,0.2893659,1.637287
7100,0.3010549,1.597961
7200,0.3116028,1.560014
7300,0.3211083,1.523381
7400,0.3296601,1.488001
7500,0.3373381,1.453819
7600,0.3442149,1.420779
7700,0.3503561,1.388832
7800,0.3558215,1.357929
7900,0.3606652,1.328027
8000,0.3649367,1.29908
8100,0.3679688,1.271062
8200,0.3712188,1.243959
8300,0.3730708,1.21771
8400,0.3754711,1.192272
8500,0.3774925,1.167607
8600,0.3791637,1.143685
8700,0.3805112,1.120476
8800,0.3815596,1.097951
8900,0.3823314,1.076085
9000,0.3827766,1.054896
9100,0.3829919,1.034321
9200,0.3829953,1.014337
9300,0.3828029,0.9949211
9400,0.38243,0.9760517
9500,0.3818906,0.9577081
9600,0.3811975,0.9398713
9700,0.3803627,0.9225226
9800,0.3793972,0.9056441
9900,0.3783115,0.8892192
10000,0.377115,0.8732313
10100,0.3758164,0.8576652
10200,0.3744241,0.8425063
10300,0.3729457,0.8277402
10400,0.3713881,0.8133535
10500,0.3697581,0.7993333
10600,0.3680616,0.7856671
10700,0.3663045,0.7723433
10800,0.364492,0.7593502
10900,0.362629,0.7466772
11000,0.3607202,0.7343136
11100,0.3587697,0.7222495
11200,0.3567817,0.7104754
11300,0.3547597,0.6989819
11400,0.3527073,0.6877604
11500,0.3506278,0.6768019
11600,0.3484846,0.6660988
11700,0.3463591,0.655643
11800,0.3442148,0.6454269
11900,0.3420541,0.6354432
12000,0.3398795,0.6256849
12100,0.3376928,0.6161452
12200,0.3354963,0.6068178
12300,0.3332916,0.5976962
12400,0.3310806,0.5887747
12500,0.3288648,0.5800472
12600,0.3266456,0.5715083
12700,0.3244246,0.5631526
12800,0.322203,0.5549748
