Energy,f’,f’’
1000,-8.82325,18.97439
1100,-7.509869,16.99037
1200,-6.612541,15.28803
1300,-6.008737,13.81915
1400,-5.608867,12.55004
1500,-5.340063,11.44427
1600,-5.177022,10.47541
1700,-5.210543,9.636207
1800,-5.188063,8.898671
1900,-5.212939,8.242898
2000,-5.277174,7.65694
2100,-5.379387,7.13124
2200,-5.508231,6.657531
2300,-5.665823,6.229008
2400,-5.851851,5.84001
2500,-6.119618,5.487723
2600,-6.367431,5.169758
2700,-6.682043,4.881777
2800,-7.009726,4.617664
2900,-7.392314,4.374723
3000,-7.850162,4.150704
3100,-8.397558,3.947763
3200,-9.091962,3.760025
3300,-10.03327,3.585961
3400,-11.48338,3.424232
3440,-12.38005,3.362727
3445,-12.51615,3.355161
3450,-12.65946,3.347622
3455,-12.81081,3.340109
3460,-12.97119,3.332622
3465,-13.14176,3.325162
3470,-13.32398,3.317728
3475,-13.51959,3.31032
3480,-13.73081,3.302938
3485,-13.96041,3.295582
3490,-14.21207,3.288251
3495,-14.49061,3.280946
3500,-14.80277,3.273666
3505,-15.15808,3.266411
3510,-15.57093,3.259182
3515,-16.06448,3.251978
3520,-16.67944,3.244799
3525,-17.49853,3.237644
3530,-18.73539,3.230515
3535,-21.38158,3.223409
3540,-21.39849,10.76738
3545,-18.76538,10.74802
3550,-17.55001,10.72867
3555,-16.75658,10.70934
3560,-16.1702,10.69001
3565,-15.70758,10.67069
3570,-15.32772,10.65139
3575,-15.0073,10.63209
3580,-14.73188,10.61281
3585,-14.49185,10.59353
3590,-14.28054,10.57427
3595,-14.09314,10.55502
3600,-13.92608,10.53578
3605,-13.77664,10.51655
3610,-13.64277,10.49733
3615,-13.52284,10.47813
3620,-13.4156,10.45894
3625,-13.32007,10.43976
3630,-13.23553,10.42059
3630,-13.23553,10.42059
3635,-13.16144,10.40143
3635,-13.16144,10.40143
3640,-13.09742,10.38229
3645,-13.04329,10.36316
3650,-12.99901,10.34405
3655,-12.9647,10.32495
3660,-12.94069,10.30586
3665,-12.92752,10.28679
3670,-12.92597,10.26773
3675,-12.93719,10.24868
3680,-12.9628,10.22965
3685,-13.00503,10.21063
3690,-13.06714,10.19163
3695,-13.15387,10.17264
3700,-13.27252,10.15367
3705,-13.43503,10.13471
3710,-13.66284,10.11576
3715,-14.00044,10.09684
3720,-14.56697,10.07792
3725,-15.98568,10.05903
3730,-15.43205,13.79229
3735,-14.18777,13.76774
3740,-13.53863,13.7432
3745,-13.08337,13.71867
3750,-12.7263,13.69415
3755,-12.42915,13.66965
3760,-12.17267,13.64516
3765,-11.94575,13.62068
3770,-11.74146,13.59621
3775,-11.55509,13.57175
3780,-11.38338,13.54731
3785,-11.2239,13.52288
3790,-11.07484,13.49846
3795,-10.93481,13.47406
3800,-10.80268,13.44967
3805,-10.67758,13.4253
3810,-10.55877,13.40094
3815,-10.44565,13.3766
