Energy,f’,f’’
1000,-28.64749,32.60384
1100,-22.70432,28.03243
1175,-22.77847,25.40201
1180,-23.51438,25.2455
1185,-26.88535,25.09111
1190,-23.42013,29.16899
1195,-22.28643,28.97611
1200,-21.59769,28.78683
1205,-21.09044,28.60104
1210,-20.68533,28.41867
1215,-20.34775,28.23963
1220,-20.05962,28.06384
1225,-19.81057,27.89123
1230,-19.59445,27.72171
1235,-19.40777,27.55523
1240,-19.24916,27.3917
1245,-19.11923,27.23107
1250,-19.02128,27.07326
1255,-18.96309,26.91822
1260,-18.96236,26.76589
1265,-19.06639,26.61621
1270,-19.4861,26.46912
1275,-19.45118,28.1597
1280,-18.58933,27.99664
1285,-18.12666,27.83684
1290,-17.7816,27.68022
1295,-17.49664,27.52671
1300,-17.24961,27.37623
1305,-17.02945,27.22872
1310,-16.82981,27.0841
1315,-16.64663,26.94232
1320,-16.47718,26.80331
1325,-16.3195,26.66702
1330,-16.17212,26.53339
1335,-16.03394,26.40236
1337,-15.98108,26.35067
1340,-15.90415,26.27388
1342,-15.85441,26.22319
1345,-15.78202,26.1479
1347,-15.7352,26.09819
1350,-15.66707,26.02437
1352,-15.623,25.97563
1355,-15.55888,25.90324
1357,-15.51744,25.85545
1360,-15.45718,25.78446
1362,-15.41826,25.73761
1365,-15.36175,25.668
1367,-15.32531,25.62206
1370,-15.2725,25.55382
1372,-15.23853,25.50877
1377,-15.15796,25.39769
1382,-15.08375,25.28879
1387,-15.01624,25.18202
1392,-14.95595,25.07736
1397,-14.90371,24.97477
1400,-14.87673,24.91419
1402,-14.86079,24.8742
1407,-14.82924,24.77565
1412,-14.8124,24.67906
1417,-14.81633,24.58441
1422,-14.8534,24.49167
1427,-14.95562,24.40082
1432,-15.26892,24.31182
1437,-15.21637,25.38756
1442,-14.71944,25.29943
1447,-14.45092,25.21313
1452,-14.25022,25.12864
1457,-14.0833,25.04593
1462,-13.93703,24.96499
1467,-13.80491,24.88578
1472,-13.68323,24.8083
1477,-13.56963,24.73252
1482,-13.46256,24.65843
1487,-13.36088,24.586
1492,-13.26362,24.51521
1497,-12.49119,24.43635
1500,-12.43497,24.38874
1502,-12.39817,24.35732
1507,-12.3084,24.27985
1512,-12.22152,24.20394
1517,-12.13727,24.12956
1522,-12.05551,24.05672
1527,-11.42284,23.97842
1532,-11.34261,23.89944
1600,-9.737353,22.71546
1700,-8.191876,21.11039
1800,-7.229443,19.60732
1900,-6.457988,18.26306
2000,-5.883067,17.04405
2100,-5.530411,15.94476
2200,-5.185652,14.95191
2300,-4.920824,14.04833
2400,-4.74512,13.22498
2500,-4.598607,12.47539
2600,-4.510445,11.78959
2700,-4.442779,11.16063
2800,-4.404726,10.58108
2900,-4.39774,10.04612
3000,-4.407748,9.551702
3100,-4.432357,9.099262
3200,-4.471935,8.679461
3300,-4.524789,8.289153
3400,-4.589618,7.925563
3500,-4.665445,7.586244
3600,-4.755152,7.269211
3700,-4.855419,6.972756
3800,-4.961529,6.694823
3900,-5.077651,6.43384
4000,-5.203027,6.188431
4100,-5.338552,5.957325
4200,-5.485722,5.739399
4300,-5.643892,5.533666
4400,-5.81509,5.339182
4500,-6.000983,5.155117
4600,-6.203743,4.980717
4700,-6.42621,4.815298
4800,-6.672161,4.658233
4900,-6.946693,4.508956
5000,-7.256903,4.366945
5100,-7.61303,4.231723
5200,-8.038206,4.103132
5300,-8.542641,3.98065
5400,-9.179435,3.863745
5500,-10.04587,3.752083
5600,-11.42287,3.645627
5626,-11.96471,3.61873
5631,-12.08514,3.613593
5636,-12.2122,3.608467
5641,-12.34665,3.603354
5646,-12.48945,3.59825
5651,-12.64171,3.593158
5656,-12.80478,3.588077
5661,-12.98034,3.583008
5666,-13.1705,3.57795
5671,-13.37794,3.572902
5676,-13.60613,3.567866
5681,-13.85974,3.56284
5686,-14.14516,3.557827
5691,-14.47164,3.552823
5696,-14.85302,3.547831
5700,-15.21215,3.543845
5701,-15.31161,3.542849
5706,-15.88678,3.537879
5711,-16.65887,3.532919
5716,-17.83671,3.52797
5721,-20.41048,3.523032
5726,-20.23734,10.73437
5731,-17.75915,10.71367
5736,-16.58908,10.69306
5741,-15.81537,10.67253
5746,-15.23692,10.65209
5751,-14.7752,10.63172
5756,-14.39138,10.61145
5761,-14.06331,10.59125
5766,-13.77722,10.57115
5771,-13.52382,10.55112
5776,-13.29672,10.53117
5781,-13.09121,10.51131
5786,-12.9038,10.49153
5791,-12.73173,10.47182
5796,-12.57291,10.4522
5800,-12.45423,10.43656
5801,-12.42562,10.43266
5806,-12.28849,10.4132
5811,-12.16038,10.39382
5816,-12.04031,10.37451
5821,-11.92751,10.35528
5900,-10.76185,10.06157
6000,-10.20176,9.715255
6067,-10.27231,9.49786
6072,-10.29737,9.48208
6077,-10.32625,9.466361
6082,-10.35932,9.450703
6087,-10.39702,9.435103
6092,-10.43988,9.419562
6097,-10.48857,9.40408
6100,-10.5209,9.394821
6102,-10.54389,9.388658
6107,-10.60686,9.373295
6112,-10.6788,9.357988
6117,-10.76139,9.34274
6122,-10.85694,9.327549
6127,-10.96858,9.312416
6132,-11.10086,9.297339
6137,-11.26063,9.282319
6142,-11.45894,9.267356
6147,-11.71543,9.25245
6152,-12.0704,9.237598
6157,-12.63015,9.222802
6162,-13.92268,9.208062
6167,-13.63356,12.69812
6172,-12.4618,12.67856
6177,-11.88242,12.65906
6182,-11.48897,12.63963
6187,-11.1882,12.62027
6192,-10.94321,12.60097
6197,-10.73565,12.58174
6200,-10.62453,12.57023
6202,-10.55501,12.56257
6207,-10.39473,12.54347
6212,-10.25037,12.52444
6217,-10.12184,12.50547
6222,-10.00081,12.48656
6227,-9.888886,12.46773
6232,-9.784611,12.44896
6237,-9.686942,12.43025
6242,-9.595072,12.4116
6247,-9.508334,12.39301
6252,-9.426188,12.37449
6257,-9.348163,12.35604
6262,-9.273879,12.33764
6300,-8.804165,12.19982
6400,-8.06405,11.8533
6451,-7.901122,11.68513
6456,-7.894579,11.66894
6461,-7.890149,11.6528
6466,-7.887965,11.63672
6471,-7.888465,11.62068
6476,-7.891603,11.6047
6481,-7.89785,11.58877
6486,-7.907591,11.57289
6491,-7.921324,11.55706
6496,-7.939684,11.54128
6500,-7.958259,11.52869
6501,-7.963509,11.52555
6506,-7.993911,11.50987
6511,-8.032427,11.49424
6516,-8.081247,11.47867
6521,-8.14368,11.46314
6526,-8.225,11.44766
6531,-8.334462,11.43223
6536,-8.490624,11.41685
6541,-8.740612,11.40151
6546,-9.289928,11.38623
6551,-9.39889,13.14997
6556,-8.698322,13.13423
6561,-8.371011,13.11853
6566,-8.148176,13.10288
6571,-7.975687,13.08727
6576,-7.833004,13.0717
6581,-7.710112,13.05619
6586,-7.60133,13.04072
6591,-7.503164,13.02529
6596,-7.413288,13.00991
6600,-7.346255,12.99764
6601,-7.330087,12.99458
6606,-7.252367,12.97929
6611,-7.179255,12.96404
6616,-7.110072,12.94884
6621,-7.044292,12.93368
6626,-6.981475,12.91856
6631,-6.921281,12.90349
6636,-6.863425,12.88847
6641,-6.807672,12.87348
6646,-6.75381,12.85854
6700,-6.258445,12.6999
6800,-5.572442,12.41868
6900,-5.040879,12.15276
7000,-4.601301,11.90102
7100,-4.225469,11.66246
7200,-3.897252,11.43617
7300,-3.606196,11.22134
7400,-3.344977,11.01722
7500,-2.849583,10.80243
7600,-2.622591,10.58125
7700,-2.416169,10.36691
7800,-2.22773,10.1591
7900,-2.055152,9.957542
8000,-1.896668,9.761973
8100,-1.722657,9.569115
8200,-1.587152,9.381111
8300,-1.462208,9.198218
8400,-1.346878,9.020249
8500,-1.240326,8.847023
8600,-1.170602,8.681287
8700,-1.080685,8.520632
8800,-0.9972937,8.364444
8900,-0.9199118,8.212561
9000,-0.8480806,8.065449
9100,-0.781324,7.922345
9200,-0.719215,7.783102
9300,-0.6614211,7.647576
9400,-0.6076295,7.515637
9500,-0.5575535,7.387154
9600,-0.5109328,7.262005
9700,-0.4675296,7.140077
9800,-0.4271248,7.021253
9900,-0.3895187,6.90543
10000,-0.3545265,6.792504
10100,-0.3219787,6.682378
10200,-0.291719,6.57496
10300,-0.2636022,6.470157
10400,-0.237495,6.367885
10500,-0.2132728,6.268061
10600,-0.1908207,6.170606
10700,-0.1700322,6.075446
10800,-0.1508073,5.982505
10900,-0.1330539,5.891717
11000,-0.1166855,5.803011
11100,-0.1016217,5.716325
11200,-8.7787509E-02,5.631597
11300,-7.5112544E-02,5.548766
11400,-6.3531339E-02,5.467776
11500,-5.4377314E-02,5.388608
11600,-4.4829376E-02,5.311203
11700,-3.6198646E-02,5.235483
11800,-2.8434323E-02,5.161396
11900,-2.1489022E-02,5.088895
12000,-1.531796E-02,5.017934
12100,-9.8792277E-03,4.948469
12200,-5.1333839E-03,4.880458
12300,-1.0431791E-03,4.813859
12400,4.8958429E-04,4.748696
12500,3.3494846E-03,4.684893
12600,5.6563509E-03,4.622387
12700,7.4394224E-03,4.561146
12800,8.7263351E-03,4.501132
12900,9.5431171E-03,4.442315
13000,9.9143879E-03,4.38466
13100,6.786339E-03,4.328141
13200,6.2886942E-03,4.272851
13300,5.4161125E-03,4.218637
13400,4.1882489E-03,4.16547
13500,2.6236607E-03,4.113322
13600,7.3994353E-04,4.062167
13700,-1.4462295E-03,4.011981
13800,-3.9191302E-03,3.962737
13900,-6.6637699E-03,3.914413
14000,-9.6660424E-03,3.866985
14100,-1.2912497E-02,3.82043
14200,-1.639037E-02,3.774728
14300,-2.0087656E-02,3.729856
