Energy,f’,f’’
1000,-0.5094036,2.264047
1100,-0.5836217,1.945573
1200,-0.6630585,1.691453
1300,-0.7447295,1.485183
1400,-0.8275102,1.315281
1500,-0.9113036,1.173547
1600,-0.9966324,1.053989
1700,-1.084461,0.9521433
1800,-1.176147,0.8646266
1900,-1.273495,0.7888333
2000,-1.378905,0.7227301
2100,-1.495669,0.6647105
2200,-1.628514,0.6134903
2300,-1.784649,0.5680335
2400,-1.975974,0.5274955
2500,-2.224379,0.4911827
2600,-2.577353,0.4585206
2700,-3.173811,0.4290297
2725,-3.410601,0.422104
2730,-3.46583,0.4207391
2735,-3.524365,0.4193808
2740,-3.586611,0.4180291
2745,-3.653035,0.416684
2750,-3.724212,0.4153453
2755,-3.800832,0.4140131
2760,-3.883744,0.4126875
2765,-3.974025,0.4113681
2770,-4.07303,0.4100551
2775,-4.182546,0.4087484
2780,-4.304938,0.407448
2785,-4.443494,0.4061537
2790,-4.602899,0.4048657
2795,-4.790251,0.4035838
2800,-5.016938,0.402308
2805,-5.303148,0.4010383
2810,-5.689918,0.3997746
2815,-6.284248,0.3985169
2820,-7.593381,0.3972651
2825,-7.487523,4.091132
2830,-6.210019,4.081799
2835,-5.602006,4.072425
2840,-5.196812,4.063012
2845,-4.891421,4.05356
2850,-4.645709,4.04407
2855,-4.439748,4.034542
2860,-4.262229,4.024978
2865,-4.106061,4.015378
2870,-3.966549,4.005743
2875,-3.840379,3.996073
2880,-3.725159,3.986368
2885,-3.619092,3.976631
2890,-3.520782,3.966861
2895,-3.429147,3.957059
2900,-3.343309,3.947226
2905,-3.262563,3.937362
2910,-3.18632,3.927468
2915,-3.114097,3.917545
2920,-3.045478,3.907593
3000,-2.253173,3.744969
3100,-1.672992,3.552518
3200,-1.2836,3.376419
3300,-0.9974625,3.2148
3400,-0.7763457,3.066056
3500,-0.5998362,2.928802
3600,-0.4556484,2.801837
3700,-0.3218608,2.682946
3800,-0.2202149,2.569443
3900,-0.1338592,2.463078
4000,-6.0256433E-02,2.363246
4100,2.828955E-03,2.269413
4200,5.7141654E-02,2.181099
4300,0.1040675,2.097874
4400,0.1447227,2.019347
4500,0.1800185,1.945166
4600,0.2107062,1.875012
4700,0.2374109,1.808594
4800,0.2606572,1.745648
4900,0.2808881,1.685933
5000,0.2984809,1.629229
5100,0.312729,1.575342
5200,0.3259596,1.524103
5300,0.3373913,1.475318
5400,0.3472326,1.428832
5500,0.355664,1.384501
5600,0.3628433,1.342193
5700,0.3705744,1.301696
5800,0.3756659,1.262913
5900,0.3798597,1.225814
6000,0.3832512,1.1903
6100,0.385925,1.156284
6200,0.3879561,1.123681
6300,0.3894114,1.092414
6400,0.3903505,1.062411
6500,0.3908268,1.033604
6600,0.3908879,1.005931
6700,0.3905766,0.9793319
6800,0.3899312,0.9537525
6900,0.3889863,0.9291412
7000,0.3877727,0.9054496
7100,0.3863186,0.8826324
7200,0.3846491,0.8606471
7300,0.3827869,0.8394537
7400,0.3807526,0.8190148
7500,0.3785648,0.7992949
7600,0.3762403,0.7802607
7700,0.3737943,0.7618809
7800,0.3712406,0.7441257
