Energy,f’,f’’
1000,-1.641355,8.876564
1100,-1.028845,7.747235
1200,-0.6490342,6.820629
1300,-0.4072758,6.052445
1400,-0.2578248,5.407625
1500,-0.1676174,4.86102
1600,-0.1185472,4.393409
1700,-9.7926632E-02,3.99016
1800,-9.7203083E-02,3.639903
1900,-0.1104963,3.333688
2000,-0.1336996,3.064388
2100,-0.1639102,2.826271
2200,-0.1990579,2.61468
2300,-0.2533572,2.425842
2400,-0.30202,2.258924
2500,-0.3436968,2.108986
2600,-0.386295,1.97351
2700,-0.4294784,1.850672
2800,-0.4826859,1.739137
2900,-0.5264851,1.638116
3000,-0.5703479,1.545723
3100,-0.6147369,1.461408
3200,-0.6590905,1.383952
3300,-0.7034695,1.312621
3400,-0.7479603,1.246776
3500,-0.7926716,1.185858
3600,-0.8377322,1.129383
3700,-0.8832915,1.076921
3800,-0.9295194,1.028096
3900,-0.9766091,0.9825746
4000,-1.024779,0.9400609
4100,-1.07428,0.9002918
4200,-1.125399,0.863033
4300,-1.178466,0.8280744
4400,-1.233871,0.7952283
4500,-1.292073,0.7643253
4600,-1.353625,0.7352131
4700,-1.419201,0.7077542
4800,-1.489636,0.6818238
4900,-1.565986,0.6573095
5000,-1.649613,0.6341085
5100,-1.742324,0.6121275
5200,-1.846588,0.5912814
5300,-1.965901,0.5714921
5400,-2.105449,0.552689
5500,-2.273406,0.5348065
5600,-2.483746,0.517785
5700,-2.763391,0.5015692
5800,-3.175297,0.4861086
5892,-3.847977,0.4725116
5897,-3.902502,0.4717892
5900,-3.93674,0.4713565
5902,-3.960243,0.4710684
5907,-4.021579,0.4703493
5912,-4.086967,0.4696318
5917,-4.15695,0.468916
5922,-4.232212,0.4682018
5927,-4.313569,0.4674892
5932,-4.402054,0.4667783
5937,-4.498976,0.4660691
5942,-4.606071,0.4653614
5947,-4.725627,0.4646554
5952,-4.860817,0.4639509
5957,-5.016176,0.4632482
5962,-5.198609,0.462547
5967,-5.419202,0.4618473
5972,-5.697656,0.4611493
5977,-6.074358,0.4604529
5982,-6.655844,0.4597581
5987,-7.971486,0.4590648
5992,-7.701416,3.972856
5997,-6.544862,3.966452
6000,-6.175548,3.96262
6002,-5.982195,3.96007
6007,-5.605624,3.953709
6012,-5.32163,3.947369
6017,-5.093252,3.941051
6022,-4.90206,3.934755
6027,-4.737474,3.928479
6032,-4.592914,3.922225
6037,-4.46397,3.915991
6042,-4.347564,3.909779
6047,-4.24142,3.903588
6052,-4.14386,3.897417
6057,-4.053579,3.891267
6062,-3.96956,3.885138
6067,-3.890966,3.879029
6072,-3.817135,3.87294
6077,-3.747517,3.866872
6082,-3.681657,3.860824
6087,-3.619155,3.854796
6100,-3.470161,3.839217
6200,-2.695788,3.723755
6300,-2.226828,3.61558
6400,-1.892985,3.514108
6500,-1.636572,3.418812
6600,-1.430639,3.329216
6700,-1.260272,3.244888
6800,-1.116289,3.165439
6900,-0.9926071,3.090514
7000,-0.884972,3.019791
7100,-0.7902848,2.952977
7200,-0.7062141,2.889804
7300,-0.630959,2.830026
7400,-0.5630992,2.77342
7500,-0.5014924,2.719779
7600,-0.4452063,2.668916
7700,-0.3934691,2.620657
7800,-0.2737756,2.573532
7900,-0.2259492,2.52037
8000,-0.1819416,2.468801
8100,-0.1413795,2.418764
8200,-0.1039345,2.370198
8300,-6.9318116E-02,2.323044
8400,-3.7278675E-02,2.27725
8500,-7.5927209E-03,2.232762
8600,1.9936925E-02,2.189532
8700,4.5485802E-02,2.147512
8800,6.9211394E-02,2.106657
8900,9.1253906E-02,2.066925
9000,0.1117982,2.028481
9100,0.1309316,1.991095
9200,0.1487589,1.954726
9300,0.1653759,1.919338
9400,0.1808693,1.884896
9500,0.1953186,1.851366
9600,0.2087959,1.818714
9700,0.2213677,1.786913
9800,0.2330949,1.75593
9900,0.2440334,1.725739
10000,0.2542349,1.696311
10100,0.2637469,1.667622
10200,0.2726132,1.639647
10300,0.2808746,1.612362
10400,0.2885686,1.585745
10500,0.2957302,1.559773
10600,0.3023919,1.534425
10700,0.3085834,1.509683
10800,0.3142233,1.485526
10900,0.3195523,1.461938
11000,0.3244099,1.4389
11100,0.3289804,1.416394
11200,0.3332038,1.394405
11300,0.3371001,1.372916
11400,0.3406878,1.351913
11500,0.3439845,1.331379
11600,0.3470063,1.311303
11700,0.3497686,1.291669
11800,0.3522859,1.272466
11900,0.3545715,1.25368
12000,0.3552261,1.235313
12100,0.357063,1.217392
12200,0.3587071,1.199855
12300,0.3601689,1.18269
12400,0.3614584,1.165887
12500,0.3625849,1.149437
12600,0.3635572,1.133328
12700,0.3643837,1.117553
12800,0.3650722,1.1021
12900,0.3656301,1.086963
13000,0.3660651,1.072131
13100,0.3658239,1.057601
13200,0.3660265,1.043364
13300,0.3661243,1.029408
13400,0.3661232,1.015728
13500,0.3660284,1.002316
13600,0.365845,0.9891634
13700,0.3655778,0.9762653
13800,0.3652312,0.9636143
13900,0.3648096,0.9512046
14000,0.3643169,0.9390296
14100,0.3637571,0.9270837
14200,0.3631337,0.9153612
14300,0.3624502,0.9038562
14400,0.3617099,0.8925638
14500,0.360916,0.8814783
14600,0.3600712,0.8705949
14700,0.3591786,0.8599088
14800,0.3582407,0.8494151
14900,0.3572601,0.8391092
15000,0.3562393,0.8289867
15100,0.3551804,0.8190432
15200,0.3540857,0.8092746
15300,0.3529572,0.7996765
15400,0.3517971,0.7902454
15500,0.350607,0.7809771
15600,0.3493889,0.7718681
15700,0.3481444,0.7629146
15800,0.3468751,0.754113
15900,0.3455826,0.7454602
16000,0.3442684,0.7369525
16100,0.3429338,0.7285869
16200,0.3415803,0.7203602
16300,0.340209,0.7122694
16400,0.3388213,0.7043113
16500,0.3374181,0.6964832
16600,0.3360007,0.6887823
16700,0.3345701,0.6812057
16800,0.3331273,0.673751
16900,0.3316732,0.6664153
17000,0.3302088,0.6591962
17100,0.3287349,0.6520913
17200,0.3272524,0.6450981
17300,0.325762,0.6382145
17400,0.3242645,0.631438
17500,0.3227606,0.6247663
17600,0.3212509,0.6181975
17700,0.3197362,0.6117294
17800,0.3182171,0.60536
17900,0.3166941,0.5990872
18000,0.3151678,0.5929092
18100,0.3136387,0.5868239
18200,0.3121074,0.5808296
18300,0.3105744,0.5749246
18400,0.30904,0.569107
18500,0.3075048,0.563375
18600,0.3059691,0.557727
18700,0.3044335,0.5521615
18800,0.3028982,0.5466769
18900,0.3013636,0.5412714
19000,0.29983,0.5359437
19100,0.2982978,0.5306922
19200,0.2967673,0.5255156
19300,0.2952389,0.5204124
19400,0.293604,0.5153815
19500,0.2920811,0.5104213
19600,0.290561,0.5055305
19700,0.289044,0.5007077
19800,0.2875302,0.495952
19900,0.28602,0.4912617
20000,0.2845134,0.4866358
20100,0.2830107,0.4820731
20200,0.2815121,0.4775726
20300,0.2800179,0.4731331
20400,0.278528,0.4687534
20500,0.2770427,0.4644326
20600,0.2755622,0.4601695
20700,0.2740865,0.4559631
20800,0.2726159,0.4518127
20900,0.2711504,0.4477169
21000,0.2696902,0.4436749
21100,0.2682354,0.4396858
21200,0.266786,0.4357487
21300,0.2653423,0.4318628
21400,0.2639042,0.428027
21500,0.2624718,0.4242405
21600,0.2610453,0.4205026
21700,0.2596247,0.4168123
21800,0.2582102,0.413169
