Energy,f’,f’’
1000,-24.0482,29.70484
1100,-16.56675,27.76693
1120,-15.74108,27.09472
1125,-15.56586,26.93343
1130,-15.40062,26.77471
1135,-15.2446,26.61852
1140,-15.09721,26.4648
1145,-14.95799,26.31349
1150,-14.82665,26.16456
1155,-14.70298,26.01795
1160,-14.58694,25.87361
1165,-14.47858,25.73149
1170,-14.37818,25.59157
1175,-14.28618,25.45378
1180,-14.2034,25.31811
1185,-14.1311,25.18449
1190,-14.07133,25.0529
1195,-14.02759,24.9233
1200,-14.00624,24.79565
1205,-14.02058,24.66993
1210,-14.10629,24.54609
1215,-14.44588,24.42412
1220,-14.22031,25.4596
1225,-13.7482,25.33751
1230,-13.21735,25.21325
1235,-12.9962,25.08961
1240,-12.80775,24.96765
1245,-12.63988,24.84735
1250,-12.30052,24.72851
1255,-12.15502,24.60767
1260,-12.01874,24.48836
1265,-11.8897,24.37056
1270,-11.76683,24.25426
1275,-11.64931,24.13943
1280,-11.5365,24.02607
1285,-11.42791,23.91416
1290,-11.32315,23.80368
1295,-11.22189,23.69462
1300,-11.12383,23.58697
1305,-11.02875,23.48072
1310,-10.93644,23.37585
1315,-10.84672,23.27235
1400,-9.260098,21.67487
1500,-8.207604,19.94648
1600,-7.34084,18.48243
1700,-6.253776,17.18834
1800,-5.721478,15.93904
1900,-5.320947,14.81946
2000,-5.022186,13.81207
2100,-4.803455,12.90222
2200,-4.667698,12.08097
2300,-4.56526,11.33628
2400,-4.504398,10.65776
2500,-4.485609,10.03883
2600,-4.488672,9.472461
2700,-4.51644,8.952386
2800,-4.565915,8.473656
2900,-4.635329,8.031968
3000,-4.800387,7.628476
3100,-4.896091,7.263247
3200,-5.004433,6.924741
3300,-5.125221,6.61033
3400,-5.258228,6.317703
3500,-5.40391,6.044829
3600,-5.562994,5.789909
3700,-5.73661,5.551353
3800,-5.926364,5.327745
3900,-6.13445,5.117825
4000,-6.371029,4.92051
4100,-6.626112,4.735213
4200,-6.911912,4.560585
4300,-7.236138,4.395798
4400,-7.610144,4.240107
4500,-8.05079,4.092834
4600,-8.586394,3.953365
4700,-9.273096,3.821403
4800,-10.21265,3.696231
4900,-11.74187,3.577337
4914,-12.05901,3.561168
4919,-12.18318,3.555421
4924,-12.31409,3.549689
4929,-12.45255,3.54397
4934,-12.5995,3.538266
4939,-12.75606,3.532577
4944,-12.92359,3.526902
4949,-13.1038,3.52124
4954,-13.2988,3.515594
4959,-13.51127,3.50996
4964,-13.74469,3.504341
4969,-14.00369,3.498737
4974,-14.29469,3.493146
4979,-14.62679,3.487569
4984,-15.01364,3.482005
4989,-15.47699,3.476456
4994,-16.05505,3.470921
4999,-16.824,3.465399
5000,-17.01346,3.464296
5004,-17.97593,3.45989
5009,-20.33294,3.454396
5014,-21.10592,10.87634
5019,-18.2104,10.85176
5024,-16.94144,10.82731
5029,-16.11869,10.80298
5034,-15.50959,10.77876
5039,-15.02662,10.75467
5044,-14.62715,10.73069
5049,-14.28717,10.70684
5054,-13.99176,10.6831
5059,-13.73108,10.65948
5064,-13.49828,10.63597
5069,-13.28839,10.61258
5074,-13.09765,10.5893
5079,-12.92321,10.56614
5084,-12.76283,10.54309
5089,-12.61473,10.52015
5094,-12.47747,10.49732
5099,-12.34983,10.47461
5100,-12.32537,10.47008
5104,-12.23083,10.452
5109,-12.11963,10.4295
5200,-10.96448,10.03841
5262,-10.82166,9.790629
5267,-10.83362,9.771265
5272,-10.85004,9.751992
5277,-10.8734,9.73281
5282,-10.89989,9.713719
5287,-10.93216,9.694716
5292,-10.97089,9.675803
5297,-11.0169,9.656975
5300,-11.04843,9.64572
5302,-11.07124,9.638234
5307,-11.13526,9.619578
5312,-11.2107,9.60101
5317,-11.29996,9.582525
5322,-11.40629,9.564125
5327,-11.53438,9.545809
5332,-11.69131,9.527578
5337,-11.88852,9.509429
5342,-12.1462,9.491362
5347,-12.50548,9.473377
5352,-13.07347,9.455474
5357,-14.35782,9.437654
5362,-14.23342,13.12049
5367,-12.9282,13.09411
5372,-12.29448,13.06786
5377,-11.86472,13.04174
5382,-11.53566,13.01575
5387,-11.26708,12.98987
5392,-11.03904,12.96412
5397,-10.84017,12.9385
5400,-10.73176,12.92318
5402,-10.66334,12.913
5407,-10.50384,12.88762
5412,-10.35834,12.86236
5417,-10.22445,12.83722
5422,-10.10032,12.8122
5427,-9.984562,12.7873
5432,-9.876087,12.76251
5437,-9.774019,12.73785
5442,-9.677621,12.7133
5447,-9.586313,12.68887
5452,-9.499601,12.66455
5457,-9.417079,12.64035
5500,-8.839829,12.43686
5600,-8.088438,11.99404
5617,-8.030575,11.92274
5622,-8.018211,11.90198
5627,-8.008157,11.88132
5632,-8.000655,11.86075
5637,-7.995894,11.84027
5642,-7.994142,11.81988
5647,-7.995723,11.79959
5652,-8.001046,11.7794
5657,-8.010628,11.75929
5662,-8.025128,11.73927
5667,-8.045413,11.71935
5672,-8.072651,11.69951
5677,-8.108452,11.67977
5682,-8.155134,11.66011
5687,-8.216193,11.64054
5692,-8.297293,11.62106
5697,-8.408447,11.60167
5700,-8.49723,11.59008
5702,-8.570132,11.58237
5707,-8.836002,11.56315
5712,-9.466434,11.54402
5717,-9.342689,13.3357
5722,-8.705253,13.31578
5727,-8.384163,13.29594
5732,-8.16071,13.27618
5737,-7.985654,13.25651
5742,-7.839715,13.23693
5747,-7.713296,13.21742
5752,-7.600934,13.198
5757,-7.499185,13.17866
5762,-7.405775,13.15941
5767,-7.319105,13.14023
5772,-7.238016,13.12114
5777,-7.161614,13.10213
5782,-7.089233,13.0832
5787,-7.020339,13.06434
5792,-6.954511,13.04557
5797,-6.891387,13.02688
5800,-6.854691,13.0157
5802,-6.830688,13.00827
5807,-6.772171,12.98973
5812,-6.715639,12.97127
5900,-5.926722,12.65877
6000,-5.282767,12.33028
6100,-4.777644,12.02756
6200,-4.360816,11.74829
6300,-4.006356,11.49043
6400,-3.698387,11.25216
6500,-3.426158,11.0319
6600,-2.87954,10.78916
6700,-2.645574,10.55156
6800,-2.434658,10.32519
6900,-2.243289,10.10938
7000,-1.909295,9.895992
