Energy,f’,f’’
1000,-35.55894,7.531754
1100,-55.4277,6.992035
1200,10.88705,41.67501
1300,-25.3337,9.538247
1383,-43.45785,9.222198
1388,-44.88949,9.376875
1393,-46.40337,9.559939
1398,-48.00985,9.774806
1400,-48.68091,9.870543
1403,-49.72051,10.02555
1408,-51.54837,10.31698
1413,-53.50813,10.65485
1418,-55.61649,11.04592
1423,-57.89248,11.49825
1428,-60.35789,12.02138
1433,-63.03786,12.62666
1438,-65.96152,13.32757
1443,-69.16784,14.14024
1448,-72.68737,15.0839
1453,-76.57337,16.18154
1458,-80.8856,17.46076
1463,-85.70161,18.95479
1468,-91.13184,20.70359
1473,-43.30384,21.70486
1478,-46.14218,22.02046
1483,-47.70124,26.87815
1488,-47.70113,27.29647
1493,-48.76796,27.80464
1498,-50.30458,28.41867
1500,-51.02404,28.69811
1503,-52.20873,29.15784
1508,-54.46614,30.04541
1513,-19.81932,30.05942
1516,-19.6313,29.96234
1518,-19.51301,29.89803
1521,-19.3449,29.80215
1523,-19.23847,29.73862
1526,-19.08647,29.64392
1528,-18.98982,29.58117
1531,-18.85129,29.48763
1533,-18.76295,29.42565
1536,-18.63605,29.33324
1538,-18.55499,29.27202
1541,-18.43839,29.18073
1543,-18.36384,29.12024
1546,-18.25658,29.03005
1548,-18.18801,28.97029
1551,-18.08943,28.88119
1553,-18.02647,28.82214
1556,-17.93618,28.7341
1558,-17.87867,28.67575
1561,-17.79641,28.58875
1563,-17.74426,28.5311
1566,-17.6701,28.44513
1568,-17.62343,28.38816
1571,-17.55767,28.30321
1573,-17.51677,28.2469
1576,-17.46006,28.16294
1578,-17.42552,28.1073
1581,-17.37899,28.02432
1586,-17.31738,27.88731
1591,-17.28026,27.75189
1596,-17.2768,27.61804
1600,-17.31024,27.51207
1601,-17.32578,27.48573
1606,-17.47514,27.35493
1611,-17.9316,27.22564
1616,-17.98623,28.96655
1621,-17.12588,28.82466
1626,-16.68266,28.68466
1631,-16.35738,28.54653
1636,-16.09075,28.41022
1641,-15.86027,28.27572
1646,-15.65488,28.14298
1651,-15.46828,28.01199
1656,-15.29653,27.88272
1661,-15.13697,27.75513
1666,-14.98774,27.6292
1671,-14.84747,27.50491
1676,-14.71511,27.38223
1681,-14.58988,27.26114
1686,-14.47113,27.14162
1691,-14.35836,27.02363
1696,-14.25119,26.90717
1700,-14.16924,26.81508
1701,-14.14927,26.7922
1703,-14.10992,26.74663
1706,-14.05236,26.67871
1708,-14.01496,26.63373
1711,-13.96029,26.56668
1713,-13.92477,26.52227
1718,-13.83923,26.41225
1723,-13.75828,26.30363
1728,-13.68191,26.19641
1733,-13.61016,26.09057
1738,-13.54317,25.98608
1743,-13.48114,25.88293
1748,-13.42439,25.78111
1753,-13.37337,25.6806
1758,-13.32875,25.58137
1763,-13.29152,25.48343
1768,-13.26312,25.38675
1773,-13.2458,25.29131
1778,-13.2433,25.19711
1783,-13.26229,25.10413
1788,-13.31671,25.01236
1793,-13.444,24.92179
1798,-13.84017,24.8324
1800,-17.46368,24.79697
1803,-13.61497,25.92458
1808,-13.17481,25.83469
1813,-12.92309,25.74599
1818,-12.73334,25.65847
1823,-12.57537,25.57213
