Energy,f’,f’’
1000,-3.883686,11.72093
1100,-2.540634,10.27219
1200,-1.683888,9.094141
1300,-1.115846,8.10528
1400,-0.7409161,7.270536
1500,-0.4825158,6.5588
1600,-0.3094403,5.94683
1700,-0.1973658,5.416941
1800,-0.1252194,4.95504
1900,-8.0611087E-02,4.549855
2000,-5.7835694E-02,4.192333
2100,-5.1210735E-02,3.875228
2200,-5.661051E-02,3.592631
2300,-7.1005285E-02,3.339681
2400,-9.2151552E-02,3.112349
2500,-0.11838,2.907274
2600,-0.14845,2.721632
2700,-0.1814508,2.553031
2800,-0.2167409,2.399444
2900,-0.2754607,2.260164
3000,-0.3138266,2.133553
3100,-0.3512698,2.018443
3200,-0.388965,1.912562
3300,-0.4267831,1.814933
3400,-0.4656484,1.72472
3500,-0.5036982,1.641255
3600,-0.5416844,1.563825
3700,-0.579613,1.491854
3800,-0.617503,1.424833
3900,-0.6553892,1.362312
4000,-0.693319,1.303891
4100,-0.7313522,1.249214
4200,-0.769559,1.197964
4300,-0.8080203,1.149855
4400,-0.8468267,1.104634
4500,-0.8860803,1.06207
4600,-0.9258945,1.021956
4700,-0.9663954,0.984105
4800,-1.007724,0.948348
4900,-1.050038,0.9145314
5000,-1.093515,0.8825152
5100,-1.138356,0.8521724
5200,-1.184791,0.8233867
5300,-1.233086,0.796052
5400,-1.283549,0.7700714
5500,-1.336541,0.7453558
5600,-1.392493,0.7218233
5700,-1.451924,0.6993986
5800,-1.515466,0.6780124
5900,-1.583903,0.6576009
6000,-1.658225,0.6381052
6100,-1.739707,0.6194704
6200,-1.830029,0.6016462
6300,-1.931474,0.5845856
6400,-2.047246,0.5682452
6500,-2.182048,0.5525846
6600,-2.343179,0.5375661
6700,-2.542853,0.5231548
6800,-2.803862,0.5093179
6900,-3.176651,0.4960252
7000,-3.815184,0.4832481
7015,-3.96251,0.4813744
7020,-4.017018,0.4807522
7025,-4.07473,0.4801312
7030,-4.136031,0.4795114
7035,-4.20137,0.478893
7040,-4.271311,0.4782756
7045,-4.346515,0.4776594
7050,-4.427807,0.4770445
7055,-4.516212,0.4764308
7060,-4.613067,0.4758182
7065,-4.720086,0.4752068
7070,-4.839573,0.4745966
7075,-4.974701,0.4739876
7080,-5.130078,0.4733797
7085,-5.312624,0.472773
7090,-5.533569,0.4721675
7095,-5.812904,0.4715632
7100,-6.192022,0.47096
7105,-6.781595,0.470358
7110,-8.159699,0.4697571
7115,-7.712439,3.950112
7120,-6.616264,3.94442
7125,-6.070572,3.938747
