Energy,f’,f’’
1000,-31.97428,30.75565
1100,-29.50444,28.53168
1200,-27.61695,27.07104
1300,-25.97748,25.23985
1400,-24.80924,23.58294
1500,-23.90657,22.08216
1600,-23.25157,20.69778
1700,-22.79789,19.42689
1800,-22.51041,18.25809
1900,-22.37539,17.18054
2000,-22.38257,16.18538
2100,-22.52826,15.26487
2200,-22.81564,14.41218
2300,-23.2564,13.62125
2400,-24.14418,12.91631
2500,-25.18504,12.2836
2600,-26.32689,11.69884
2700,-27.95692,11.1546
2800,-30.60322,10.64711
2900,-36.71459,10.17307
2902,-36.93545,10.16391
2907,-37.52148,10.14106
2912,-38.16147,10.11829
2917,-38.86376,10.09559
2922,-39.63834,10.07297
2927,-40.49761,10.05042
2932,-41.45676,10.02794
2937,-42.53506,10.00554
2942,-43.75687,9.98322
2947,-45.154,9.960967
2952,-46.76828,9.938788
2957,-48.65675,9.916681
2962,-50.89864,9.894648
2967,-53.60929,9.872684
2972,-56.96336,9.850795
2977,-61.24445,9.828976
2982,-66.95406,9.807227
2987,-75.10893,9.78555
2992,-88.31825,9.763944
2997,-118.2232,9.742408
3000,-190.6488,110.6871
3002,-121.5999,107.5651
3007,-79.97753,100.2339
3012,-60.98831,93.52724
3017,-49.03288,87.3871
3022,-40.69323,81.7603
3027,-34.59387,76.60001
3032,-30.02594,71.86308
3037,-26.57201,67.51154
3039,-25.43869,65.87076
3042,-23.96298,63.51027
3044,-23.11304,62.00093
3047,-22.0161,59.82838
3049,-21.39233,58.43847
3052,-20.60169,56.43724
3054,-20.16316,55.15656
3057,-19.62612,53.31162
3059,-19.34269,52.13033
3062,-19.02072,50.42808
3064,-18.87055,49.33784
3067,-18.73575,47.76596
3069,-18.70321,46.7587
3072,-18.73625,45.30605
3074,-18.81097,44.37491
3077,-18.99982,43.03135
3079,-19.17611,42.1697
3082,-19.51565,40.92605
3084,-19.7924,40.12815
3087,-20.28457,38.97617
3089,-20.66569,38.23672
3092,-21.32077,37.16862
3094,-21.81632,36.4828
3097,-22.65502,35.49186
3099,-23.28336,34.85529
3100,-23.61996,34.54403
3104,-25.13365,33.34374
3109,-27.47793,31.93895
3114,-30.506,30.63223
3119,-34.56551,29.41594
3124,-40.38421,28.28284
3129,-49.90194,27.22654
3134,-72.80537,26.24101
3139,-66.72576,89.99872
