Energy,f’,f’’
1000,-12.78024,2.62244
1100,-23.67351,2.312109
1200,-2.682566,11.65662
1205,-3.065672,10.8152
1210,-3.465937,10.08
1215,-3.875939,9.435927
1220,-4.290639,8.870313
1225,-4.706735,8.372511
1230,-5.122201,7.933538
1235,-5.535975,7.5458
1240,-5.947742,7.202854
1245,-6.357804,6.89923
1250,-6.766998,6.63027
1255,-7.176702,6.392002
1260,-7.588907,6.181035
1265,-8.006413,5.994472
1270,-8.433251,5.829834
1275,-8.875569,5.685009
1280,-9.343676,5.558189
1285,-9.857612,5.44784
1290,-10.46733,5.352658
1295,-11.3925,5.271546
1300,-11.80414,7.023297
1305,-11.45599,6.967597
1310,-11.47662,6.923607
1315,-11.60475,6.89085
1320,-11.78719,6.868974
1325,-12.00424,6.857738
1330,-12.24675,6.857008
1335,-12.51003,6.866754
1340,-12.79155,6.887047
1345,-13.09006,6.918058
1350,-13.40507,6.960057
1355,-13.73658,7.01342
1360,-14.08498,7.078628
1365,-14.45092,7.156275
1370,-14.83532,7.247075
1375,-15.23928,7.351871
1380,-15.66408,7.471646
1385,-16.11121,7.607537
1390,-16.58234,7.760849
1395,-17.07932,7.933075
1400,-17.6042,8.125916
1500,-4.018536,12.44893
1600,-2.885425,11.31038
1700,-2.145375,10.32254
1800,-1.592947,9.482872
1900,-1.184808,8.750233
2000,-0.8953396,8.107148
2100,-0.6709451,7.539242
2200,-0.4910424,7.033835
2300,-0.2669138,6.570822
2400,-0.1589576,6.143772
2500,-7.8631461E-02,5.756646
2600,-2.8784975E-02,5.404647
2700,1.1684831E-02,5.085346
2800,3.8398005E-02,4.793488
2900,5.4030951E-02,4.525991
3000,5.7593603E-02,4.280249
3100,5.6503318E-02,4.055951
3200,4.9936719E-02,3.84913
3300,3.8955834E-02,3.657989
3400,2.4415979E-02,3.48096
3500,7.0093237E-03,3.316668
3600,-1.2702152E-02,3.163903
3700,-3.4260809E-02,3.021596
3800,-5.7292998E-02,2.888803
3900,-8.1493519E-02,2.764682
4000,-0.1066125,2.648485
4100,-0.132446,2.539543
4200,-0.1588271,2.437257
4300,-0.18562,2.341089
4400,-0.2127144,2.250556
4500,-0.2400214,2.16522
4600,-0.2674696,2.084686
4700,-0.2950028,2.008598
4800,-0.322576,1.936629
4900,-0.3527754,1.868593
5000,-0.3820444,1.804215
5100,-0.4095708,1.743193
5200,-0.4370374,1.685247
5300,-0.4644422,1.630172
5400,-0.4917867,1.577779
5500,-0.5190772,1.527894
5600,-0.546327,1.480357
5700,-0.5766885,1.43515
5800,-0.6039156,1.392048
5900,-0.6311359,1.350885
6000,-0.6583713,1.311545
6100,-0.6856458,1.27392
6200,-0.7129853,1.237912
6300,-0.7404187,1.203427
6400,-0.7679761,1.17038
6500,-0.7956909,1.138691
6600,-0.8235986,1.108286
6700,-0.8517374,1.079096
6800,-0.8801485,1.051055
6900,-0.9088759,1.024103
7000,-0.9379674,0.9981853
7100,-0.9674743,0.9732476
7200,-0.9974524,0.9492409
7300,-1.027962,0.9261189
7400,-1.05907,0.9038382
7500,-1.090847,0.8823581
7600,-1.123374,0.8616402
7700,-1.156737,0.8416483
7800,-1.191034,0.8223487
7900,-1.226374,0.8037095
8000,-1.262904,0.7857007
8100,-1.300705,0.7682937
8200,-1.339959,0.7514619
8300,-1.380844,0.7351796
8400,-1.423561,0.7194232
8500,-1.468345,0.7041699
8600,-1.51547,0.6893983
8700,-1.565254,0.6750884
8800,-1.618083,0.6612206
8900,-1.674413,0.647777
9000,-1.734817,0.6348592
9100,-1.799964,0.6223299
9200,-1.870713,0.6101736
9300,-1.948166,0.5983752
9400,-2.03375,0.5869208
9500,-2.12938,0.5757968
9600,-2.237686,0.5649906
9700,-2.362435,0.55449
9800,-2.509282,0.5442833
9900,-2.687268,0.5343597
10000,-2.91219,0.5247084
10100,-3.215471,0.5153197
10200,-3.674937,0.5061839
10270,-4.222119,0.4999343
10275,-4.276143,0.4994925
10280,-4.333321,0.4990512
10285,-4.394018,0.4986105
10290,-4.45868,0.4981703
10295,-4.527843,0.4977308
10300,-4.60216,0.4972918
10305,-4.682434,0.4968535
10310,-4.769671,0.4964157
10315,-4.865138,0.4959786
10320,-4.970545,0.495542
10325,-5.088117,0.4951059
10330,-5.220948,0.4946705
10335,-5.373483,0.4942356
10340,-5.552439,0.4938013
10345,-5.768679,0.4933676
10350,-6.04152,0.4929345
10355,-6.410619,0.492502
10360,-6.981718,0.49207
10365,-8.292125,0.4916386
10370,-7.948841,3.892291
10375,-6.856984,3.888264
10380,-6.320314,3.884248
10385,-5.960458,3.88024
10390,-5.688938,3.876241
10395,-5.470593,3.872252
10400,-5.287859,3.868273
10405,-5.130586,3.864302
10410,-4.992494,3.86034
10415,-4.86936,3.856387
10420,-4.758223,3.852444
10425,-4.656924,3.848509
10430,-4.563839,3.844584
10435,-4.47772,3.840667
10440,-4.397598,3.83676
10445,-4.322653,3.832861
10450,-4.25226,3.828971
10455,-4.185891,3.82509
10460,-4.123104,3.821218
10465,-4.063528,3.817355
10500,-3.714567,3.790558
10600,-3.067343,3.716298
10700,-2.652269,3.645302
10800,-2.347398,3.577394
10900,-2.107723,3.51241
11000,-1.911404,3.450194
11100,-1.746119,3.390604
11200,-1.604182,3.333506
11300,-1.480459,3.278773
