Energy,f’,f’’
1000,-33.46786,8.115235
1100,-39.44055,7.525385
1120,-42.43546,7.413871
1125,-43.4725,7.386317
1130,-44.68677,7.358892
1135,-46.12944,7.331595
1140,-47.87225,7.304426
1145,-50.01859,7.277384
1150,-52.72244,7.250468
1155,-56.2269,7.223689
1160,-60.91465,7.197076
1165,-67.47726,7.170591
1170,-77.2572,7.144233
1175,-93.35786,7.118001
1180,-125.7628,7.091894
1185,-321.0767,7.065912
1190,-98.05753,173.9026
1195,-52.17855,137.5898
1200,-36.02513,109.957
1205,-34.15982,88.78057
1210,-44.64422,72.4388
1215,-84.23918,59.74153
1220,-60.94254,170.1389
1225,-12.42019,136.5851
1230,5.066685,110.7012
1235,12.17722,90.59761
1240,14.44571,74.87851
1245,14.22153,62.50657
1250,12.69173,52.70599
1255,10.49583,44.89301
1260,7.99849,38.62574
1265,5.408435,33.56774
1270,2.844439,29.46132
1275,0.3715805,26.10806
1280,-1.974711,23.35426
1285,-4.183632,21.08028
1290,-6.25095,19.19246
1295,-8.181133,17.61711
1300,-9.982208,16.29595
1305,-11.66407,15.18268
1310,-13.23734,14.24032
1315,-14.71277,13.4392
1400,-32.60393,8.941674
1447,-42.72799,9.289102
1452,-44.04169,9.420939
1457,-45.42545,9.57695
1462,-46.88769,9.759792
1467,-48.43782,9.972612
1472,-50.08633,10.21912
1477,-51.84502,10.50368
1482,-53.72719,10.83144
1487,-55.74792,11.20844
1492,-57.92442,11.64178
1497,-60.27643,12.13985
1500,-61.78125,12.47379
1502,-62.82681,12.7125
1507,-65.60735,13.37145
1512,-68.63958,14.13044
1517,-71.96695,15.0058
1522,-75.63771,16.01693
1527,-79.71653,17.18689
1532,-84.30165,18.54317
1537,-89.58843,20.11861
1542,-44.37981,21.52774
1547,-44.92319,26.32493
1552,-44.75356,26.60623
1557,-45.44156,26.9488
1562,-46.51418,27.36248
1567,-47.87321,27.85896
1572,-49.49335,28.45214
1577,-51.37595,29.15859
1582,-53.53492,29.99806
1587,-19.64092,29.92043
1591,-19.43663,29.79917
1592,-19.38781,29.76904
1596,-19.20066,29.6492
1597,-19.15579,29.61941
1600,-19.02546,29.53047
1601,-18.98339,29.50097
1602,-18.94197,29.47152
1606,-18.78257,29.35444
1607,-18.74422,29.32534
1611,-18.59652,29.2096
1612,-18.56096,29.18083
1616,-18.42402,29.06642
1617,-18.39106,29.03798
1621,-18.26416,28.92486
1622,-18.23367,28.89674
1626,-18.11643,28.78491
1627,-18.0883,28.75711
1631,-17.98048,28.64653
1632,-17.95469,28.61904
1636,-17.85629,28.5097
1637,-17.83288,28.48252
1641,-17.74415,28.3744
1642,-17.72322,28.34752
1646,-17.64474,28.24061
1651,-17.55927,28.10829
1656,-17.48971,27.97743
1661,-17.43933,27.84801
1666,-17.41363,27.72001
1671,-17.42266,27.5934
1676,-17.48734,27.46817
1681,-17.66302,27.34429
1686,-18.21957,27.22175
1691,-17.99074,28.9783
1696,-17.23356,28.84299
1700,-16.88543,28.73599
1701,-16.81256,28.70941
1706,-16.49833,28.57753
1711,-16.23891,28.44731
1716,-16.01375,28.31873
1721,-15.81256,28.19177
1726,-15.62939,28.0664
1731,-15.46048,27.9426
1736,-15.30331,27.82034
1741,-15.15607,27.69959
1746,-15.01745,27.58035
1751,-14.88644,27.46258
1756,-14.76226,27.34627
1761,-14.64431,27.23138
1766,-14.53209,27.11792
1771,-14.42518,27.00585
1776,-14.32335,26.89515
1781,-14.22626,26.78581
1783,-14.18871,26.74245
1786,-14.13374,26.67781
1788,-14.09798,26.63498
1793,-14.01164,26.52883
1798,-13.92959,26.42397
1800,-13.89797,26.38239
1803,-13.85181,26.3204
1808,-13.77831,26.2181
1813,-13.70915,26.11705
1818,-13.64447,26.01723
1823,-13.58448,25.91864
1828,-13.52949,25.82126
1833,-13.47994,25.72507
1838,-13.43649,25.63006
1843,-13.40005,25.53622
1848,-13.37199,25.44354
1853,-13.35442,25.352
1858,-13.35073,25.2616
1863,-13.36696,25.17232
1868,-13.41529,25.08414
1873,-13.52672,24.99706
1878,-13.83686,24.91108
1883,-13.85558,26.00166
1888,-13.34146,25.91536
1893,-13.07583,25.83016
1898,-12.88069,25.74604
1900,-12.81331,25.71269
1903,-12.72009,25.66299
1908,-12.58036,25.58101
1913,-12.4548,25.50009
1918,-12.33963,25.42021
1923,-12.23245,25.34138
1928,-12.13171,25.26357
1933,-12.03627,25.18679
1938,-11.94532,25.11102
1943,-11.85825,25.03626
1948,-11.77457,24.96251
1953,-11.69389,24.88974
1958,-11.61591,24.81796
1963,-11.54036,24.74716
1968,-11.46704,24.67734
1973,-11.39576,24.60848
1978,-11.32632,24.54058
2000,-11.03995,24.25312
2100,-9.266932,22.83527
2200,-8.067221,21.60059
2300,-7.287893,20.38973
2400,-6.553362,19.28477
2500,-5.93098,18.24248
2600,-5.506133,17.27158
2700,-5.274565,16.37917
2800,-4.995455,15.55574
2900,-4.773122,14.79217
3000,-4.604299,14.08267
3100,-4.465585,13.43341
3200,-4.357546,12.82975
3300,-4.275568,12.26738
3400,-4.218933,11.74261
3500,-4.179085,11.25245
3600,-4.155788,10.79357
3700,-4.146925,10.3633
3800,-4.152894,9.959338
3900,-4.168166,9.579653
4000,-4.193388,9.222132
4100,-4.227594,8.88503
4200,-4.269965,8.566776
4300,-4.320029,8.265952
4400,-4.376868,7.981273
4500,-4.440259,7.711568
4600,-4.509894,7.455777
4700,-4.585555,7.21293
4800,-4.667118,6.982144
4900,-4.754539,6.762614
5000,-4.847859,6.553597
5100,-4.949931,6.354425
5200,-5.060665,6.164727
5300,-5.178604,5.983846
5400,-5.297624,5.811301
5500,-5.426826,5.64641
5600,-5.5614,5.488671
5700,-5.704897,5.337653
5800,-5.858343,5.192967
5900,-6.023009,5.054254
6000,-6.200491,4.92118
6100,-6.392799,4.793435
6200,-6.60251,4.67073
6300,-6.83299,4.552794
6400,-7.088728,4.43938
6500,-7.375911,4.330251
6600,-7.703385,4.225189
6700,-8.09462,4.12403
6800,-8.550743,4.026953
6900,-9.119932,3.933357
7000,-9.880404,3.843073
7100,-11.04277,3.755961
7145,-11.86692,3.71776
7150,-11.98113,3.713552
7155,-12.10168,3.709352
7160,-12.22929,3.705159
7165,-12.36488,3.700974
7170,-12.50951,3.696795
7175,-12.66448,3.692624
7180,-12.83135,3.688461
7185,-13.01217,3.684304
7190,-13.20944,3.680154
7195,-13.42647,3.676012
7200,-13.66763,3.671877
7205,-13.93902,3.667749
7210,-14.24923,3.663628
