Energy,f’,f’’
1000,-10.62158,3.030499
1100,-12.66404,2.669826
1119,-13.31215,2.608961
1124,-13.51035,2.593306
1129,-13.72315,2.577797
1134,-13.95276,2.562434
1139,-14.20188,2.547213
1144,-14.47385,2.532134
1149,-14.77293,2.517194
1150,-14.83644,2.514223
1154,-15.10455,2.502392
1155,-15.17537,2.499448
1159,-15.47582,2.487725
1160,-15.5556,2.484808
1164,-15.89615,2.473193
1165,-15.98715,2.470302
1169,-16.37834,2.458792
1170,-16.48365,2.455928
1174,-16.94024,2.444523
1175,-17.06425,2.441684
1179,-17.60748,2.430382
1180,-17.75663,2.427569
1184,-18.41835,2.416368
1185,-18.60248,2.413581
1189,-19.43279,2.40248
1190,-19.66787,2.399718
1194,-20.75075,2.388717
1195,-21.0645,2.385978
1199,-22.55417,2.375075
1200,-23.00038,2.372362
1204,-25.22126,2.361555
1205,-25.9234,2.358865
1209,-29.74165,2.348154
1210,-31.08956,2.345488
1214,-40.5965,2.334872
1215,-45.75535,2.332229
1219,-40.05423,38.66073
1220,-35.11284,37.61993
1224,-24.47836,33.79915
1225,-22.87158,32.92305
1229,-18.43995,29.70095
1230,-17.6908,28.96072
1234,-15.70668,26.23334
1235,-15.4315,25.60559
1239,-15.18346,23.28854
1240,-15.36201,22.75426
1244,-17.68896,20.77874
1245,-19.04809,20.32239
1249,-22.45259,36.98869
1250,-18.27637,36.08654
1254,-10.77829,32.75563
1255,-9.6914,31.98735
1259,-6.604685,29.14585
1260,-6.045783,28.4893
1264,-4.344215,26.05686
1265,-4.022351,25.49393
1269,-3.030843,23.40468
1270,-2.843606,22.92036
1274,-2.27843,21.11996
1275,-2.175849,20.70192
1279,-1.886088,19.14545
1280,-1.839533,18.78348
1284,-1.735373,17.43369
1285,-1.727018,17.1193
1289,-1.750371,15.9452
1290,-1.768489,15.67131
1294,-1.880554,14.64704
1295,-1.917141,14.40776
1299,-2.091136,13.51166
1300,-2.140607,13.30202
1304,-2.357686,12.51592
1305,-2.416079,12.33177
1309,-2.662071,11.64036
1310,-2.727632,11.47818
1314,-2.9943,10.86854
1315,-3.062876,10.72535
1317,-3.201844,10.44936
1320,-3.414099,10.05986
1322,-3.557615,9.815493
1325,-3.775179,9.470255
1327,-3.921379,9.253436
1330,-4.141913,8.946815
1332,-4.289505,8.754067
1335,-4.511414,8.481242
1337,-4.659535,8.30959
1340,-4.881787,8.066434
1342,-5.029904,7.913333
1345,-5.251901,7.696306
1347,-5.399736,7.559569
1352,-5.768707,7.243377
1357,-6.136958,6.960516
1362,-6.505039,6.707329
1367,-6.873913,6.480655
1372,-7.244992,6.277761
1377,-7.620259,6.09628
1382,-8.002501,5.934162
1387,-8.39578,5.789632
1392,-8.806411,5.661152
1397,-9.245219,5.547394
1400,-9.530142,5.485722
1402,-9.733787,5.447213
1407,-10.32781,5.359623
1412,-11.2954,5.283784
1417,-11.48348,7.081266
1422,-11.14675,7.024066
1427,-11.13699,6.976806
1432,-11.22964,6.939084
1437,-11.3747,6.910584
1442,-11.55296,6.891078
1447,-11.75523,6.880406
1452,-11.97659,6.878489
1457,-12.21429,6.885314
1462,-12.46675,6.900941
1467,-12.73313,6.925497
1472,-13.01309,6.95918
1477,-13.30662,7.002259
1482,-13.61397,7.055077
1487,-13.93558,7.118052
1492,-14.27205,7.191684
1497,-14.62415,7.276561
1500,-14.84328,7.333163
1502,-14.99277,7.373362
1507,-15.37893,7.482864
1512,-15.78376,7.605958
1600,-10.2794,11.88454
1700,-3.207281,11.63209
1800,-2.386197,10.68658
1900,-1.788472,9.858903
2000,-1.342155,9.129433
2100,-1.003056,8.482606
2200,-0.7423921,7.905884
2300,-0.5568449,7.389423
2400,-0.3995557,6.925211
2500,-0.2302962,6.500311
2600,-0.1344576,6.107816
2700,-6.2074747E-02,5.749597
2800,-8.5888319E-03,5.421735
2900,2.3451893E-02,5.121695
3000,4.8767202E-02,4.846118
3100,6.3620761E-02,4.593814
3200,7.0713162E-02,4.361057
3300,7.1480252E-02,4.14585
3400,6.6862978E-02,3.946445
3500,5.8196381E-02,3.76132
3600,4.6079945E-02,3.589118
3700,3.114205E-02,3.428647
3800,1.3900141E-02,3.278851
3900,-5.2193115E-03,3.13879
4000,-2.5863744E-02,3.007629
4100,-4.774145E-02,2.884619
4200,-7.061068E-02,2.76909
4300,-9.4271116E-02,2.66044
4400,-0.1185564,2.558127
4500,-0.1433292,2.461661
4600,-0.1684759,2.3706
4700,-0.1939028,2.284544
4800,-0.2195335,2.203127
4900,-0.2453051,2.126019
5000,-0.2711675,2.052918
5100,-0.2970806,1.983548
5200,-0.323013,1.917656
5300,-0.3519367,1.855058
5400,-0.3778405,1.795616
5500,-0.4056142,1.739108
5600,-0.431405,1.685259
5700,-0.4571384,1.633896
5800,-0.4828167,1.584865
5900,-0.5084445,1.538026
6000,-0.5340299,1.493248
6100,-0.5595821,1.450412
6200,-0.5885249,1.409523
6300,-0.6140725,1.370404
6400,-0.6396246,1.332913
6500,-0.6651999,1.296957
6600,-0.6908189,1.262454
6700,-0.716504,1.229325
6800,-0.7422794,1.197497
6900,-0.7681707,1.166902
7000,-0.7942058,1.137477
7100,-0.8204144,1.109162
7200,-0.846828,1.081901
7300,-0.873481,1.055642
7400,-0.9004092,1.030336
7500,-0.9276519,1.005936
7600,-0.955251,0.9824002
7700,-0.9832515,0.959687
7800,-1.011702,0.937758
7900,-1.040656,0.9165775
8000,-1.070171,0.8961113
8100,-1.100308,0.8763272
8200,-1.131137,0.8571951
8300,-1.162734,0.8386861
8400,-1.19518,0.8207734
8500,-1.228569,0.8034312
8600,-1.263003,0.7866353
8700,-1.298597,0.7703631
8800,-1.335481,0.7545924
8900,-1.3738,0.7393029
9000,-1.413757,0.7245964
9100,-1.455503,0.7103315
9200,-1.499257,0.6964907
9300,-1.545279,0.6830568
9400,-1.593869,0.6700141
9500,-1.645387,0.657347
9600,-1.700259,0.6450412
9700,-1.759004,0.633083
9800,-1.822258,0.6214591
9900,-1.890811,0.610157
10000,-1.965667,0.5991648
10100,-2.048121,0.5884711
10200,-2.139886,0.578065
10300,-2.243296,0.5679362
10400,-2.361639,0.5580749
10500,-2.499763,0.5484714
10600,-2.665225,0.5391168
10700,-2.870762,0.5300026
10800,-3.140395,0.5211203
10900,-3.528218,0.5124621
11000,-4.205992,0.5040203
11006,-4.266994,0.5035205
11011,-4.320911,0.5031046
11016,-4.377961,0.5026892
11021,-4.438517,0.5022744
11026,-4.503024,0.50186
11031,-4.572016,0.5014462
11036,-4.646142,0.5010329
11041,-4.726201,0.5006201
11046,-4.81318,0.5002078
11051,-4.908392,0.4997961
11056,-5.013487,0.4993848
11061,-5.130698,0.4989741
11066,-5.263105,0.4985639
11071,-5.415135,0.4981541
11076,-5.593476,0.4977449
11081,-5.808942,0.4973362
11086,-6.080768,0.496928
11091,-6.448435,0.4965204
11096,-7.017218,0.4961132
11100,-7.904553,0.4957878
11101,-8.322044,0.4957066
11106,-7.981026,3.881473
11111,-6.894247,3.877661
11116,-6.360167,3.873858
11121,-6.002096,3.870063
11126,-5.731955,3.866276
11131,-5.51478,3.862499
11136,-5.332972,3.858728
11141,-5.17654,3.854967
11146,-5.039197,3.851213
11151,-4.91674,3.847468
11156,-4.80622,3.84373
11161,-4.705488,3.840002
11166,-4.61293,3.836281
11171,-4.527317,3.832569
11176,-4.447638,3.828864
11181,-4.373125,3.825168
11186,-4.303141,3.821479
11191,-4.237158,3.817799
11196,-4.174738,3.814127
11200,-4.127122,3.811195
11201,-4.115511,3.810462
11300,-3.31858,3.739527
11400,-2.844707,3.670888
11500,-2.509037,3.605119
11600,-2.250185,3.542075
11700,-2.040637,3.481617
11800,-1.865557,3.423618
11900,-1.716007,3.367956
12000,-1.586144,3.314517
12100,-1.471932,3.263196
12200,-1.370456,3.213894
12300,-1.279537,3.166514
12400,-1.197503,3.12097
12500,-1.123035,3.077178
12600,-1.05508,3.035059
12700,-0.9927797,2.994541
12800,-0.9354227,2.955552
12900,-0.8824168,2.918027
13000,-0.8332598,2.881903
13100,-0.7875505,2.847123
13200,-0.7448688,2.81363
13300,-0.7049212,2.781372
13400,-0.6674306,2.750299
13500,-0.6321517,2.720364
13600,-0.5988694,2.691522
13700,-0.5673925,2.663731
13800,-0.5375495,2.63695
13900,-0.5091881,2.611142
14000,-0.48217,2.586271
14100,-0.4563711,2.562301
14200,-0.4316786,2.5392
14300,-0.4079891,2.516937
14400,-0.3852072,2.495484
14500,-0.2533353,2.469764
14600,-0.229302,2.441971
14700,-0.2063449,2.414638
14800,-0.1844023,2.387755
14900,-0.1634184,2.361314
15000,-0.1433408,2.335302
15100,-0.1241215,2.309712
15200,-0.105716,2.284534
15300,-8.8082366E-02,2.25976
15400,-7.1181998E-02,2.23538
15500,-5.4978356E-02,2.211387
15600,-3.9437689E-02,2.187772
15700,-2.4528386E-02,2.164526
15800,-1.0220394E-02,2.141644
15900,3.5139702E-03,2.119115
16000,1.670124E-02,2.096935
16100,2.9366011E-02,2.075094
16200,4.1531574E-02,2.053587
16300,5.3219676E-02,2.032407
16400,6.4451501E-02,2.011546
16500,7.5246409E-02,1.990999
16600,8.5622936E-02,1.970759
16700,9.5598623E-02,1.95082
16800,0.1051899,1.931176
16900,0.1144129,1.911821
17000,0.1232824,1.89275
17100,0.1318125,1.873956
17200,0.1400168,1.855436
17300,0.147908,1.837183
17400,0.1554985,1.819191
17500,0.1627998,1.801457
17600,0.169823,1.783976
17700,0.1765786,1.766741
17800,0.1830766,1.74975
17900,0.1893269,1.732997
18000,0.1953384,1.716477
18100,0.20112,1.700187
18200,0.20668,1.684122
18300,0.2120263,1.668279
18400,0.2171669,1.652652
18500,0.2221089,1.637239
18600,0.2268593,1.622034
18700,0.231425,1.607035
18800,0.2358122,1.592238
18900,0.2400274,1.577639
19000,0.2440763,1.563234
19100,0.2479647,1.549021
19200,0.251698,1.534995
19300,0.2552815,1.521154
19400,0.2587202,1.507494
19500,0.262019,1.494012
19600,0.2651826,1.480705
19700,0.2682153,1.467571
19800,0.2711215,1.454605
19900,0.2739054,1.441805
20000,0.2765709,1.429169
20100,0.279122,1.416693
20200,0.2815622,1.404375
20300,0.2838951,1.392213
20400,0.2861242,1.380203
20500,0.2882529,1.368343
20600,0.2902842,1.35663
20700,0.2922212,1.345063
20800,0.2940669,1.333638
20900,0.2958243,1.322354
21000,0.2974959,1.311208
21100,0.2990846,1.300198
21200,0.3005928,1.289321
21300,0.3020231,1.278577
21400,0.3033778,1.267961
21500,0.3046594,1.257473
21600,0.3058699,1.24711
21700,0.3070116,1.236871
21800,0.3080865,1.226753
21900,0.3090967,1.216755
22000,0.3100442,1.206874
22100,0.3109308,1.197109
22200,0.3117583,1.187458
22300,0.308804,1.178005
22400,0.3095039,1.168669
22500,0.3101518,1.159442
22600,0.3107493,1.150322
22700,0.3112979,1.141307
22800,0.311799,1.132397
22900,0.3122542,1.123588
23000,0.3126647,1.11488
23100,0.313032,1.106272
23200,0.3133572,1.097761
23300,0.3136417,1.089346
23400,0.3138867,1.081025
23500,0.3140932,1.072798
23600,0.3142626,1.064664
23700,0.3143958,1.056619
23800,0.3144939,1.048664
23900,0.3145579,1.040796
24000,0.3145889,1.033015
24100,0.3145878,1.02532
24200,0.3145556,1.017708
24300,0.314493,1.01018
24400,0.3144011,1.002733
24500,0.3142807,0.995366
24600,0.3141325,0.9880787
24700,0.3139574,0.9808696
24800,0.3137561,0.9737376
24900,0.3135295,0.9666815
