Energy,f’,f’’
1000,-28.30131,13.48371
1100,-28.3466,12.4304
1200,-28.80245,11.49405
1300,-29.75377,10.65733
1400,-31.43159,9.906065
1500,-34.59272,9.228657
1564,-39.03387,8.830997
1569,-39.59194,8.801043
1574,-40.20601,8.771237
1579,-40.88584,8.741578
1584,-41.64357,8.712065
1589,-42.49442,8.682695
1594,-43.45771,8.65347
1599,-44.5583,8.624387
1600,-44.7976,8.618587
1604,-45.82865,8.595447
1609,-47.31192,8.566646
1614,-49.06666,8.537986
1619,-51.17425,8.509464
1619,-51.17425,8.509464
1624,-53.75113,8.48108
1624,-53.75113,8.48108
1629,-56.97018,8.452834
1629,-56.97018,8.452834
1634,-61.10018,8.424724
1634,-61.10018,8.424724
1639,-66.58599,8.396749
1639,-66.58599,8.396749
1644,-74.23024,8.368908
1644,-74.23024,8.368908
1649,-85.68839,8.341201
1649,-85.68839,8.341201
1654,-105.2615,8.313626
1654,-105.2615,8.313626
1659,-152.3228,8.286184
1659,-152.3228,8.286184
1664,-150.9503,166.5463
1664,-150.9503,166.5463
1669,-80.27728,142.4046
1669,-80.27728,142.4046
1674,-51.82075,122.3516
1674,-51.82075,122.3516
1679,-37.00642,105.6388
1679,-37.00642,105.6388
1684,-29.25129,91.66353
1684,-29.25129,91.66353
1689,-25.93835,79.93905
1689,-25.93835,79.93905
1694,-25.91103,70.07088
1694,-25.91103,70.07088
1699,-28.86023,61.73842
1699,-28.86023,61.73842
1700,-29.83757,60.23225
1704,-35.37789,54.68034
1704,-35.37789,54.68034
1709,-48.09103,48.68295
1709,-48.09103,48.68295
1714,-81.035,43.57104
1714,-81.035,43.57104
1719,-72.04607,140.6936
1719,-72.04607,140.6936
1724,-29.89422,122.0561
1724,-29.89422,122.0561
1729,-12.22776,106.3779
1729,-12.22776,106.3779
1734,-2.788627,93.14709
1734,-2.788627,93.14709
1739,2.479271,81.9464
1739,2.479271,81.9464
1744,5.308886,72.43483
1744,5.308886,72.43483
1749,6.595772,64.33284
1749,6.595772,64.33284
1754,6.915022,57.41068
1754,6.915022,57.41068
1759,6.58715,51.47875
1759,6.58715,51.47875
1764,5.834306,46.38025
1769,4.806198,41.98552
1774,3.605379,38.18644
1779,2.302846,34.89299
1784,0.9479408,32.02991
1789,-0.4250955,29.53415
1794,-1.792666,27.35273
1799,-3.138465,25.44102
1800,-3.40342,25.08764
1804,-4.453781,23.76132
1809,-5.729327,22.28175
1814,-6.96268,20.97521
1900,-22.45078,11.61614
2000,-35.83227,10.16749
2010,-37.35605,10.22702
2015,-38.14943,10.27059
2020,-38.96658,10.32384
2025,-39.80991,10.38726
2030,-40.68184,10.46136
2035,-41.58523,10.54678
2040,-42.52302,10.64421
2045,-43.49868,10.75445
2050,-44.51594,10.8784
2055,-45.57925,11.01708
2060,-46.69356,11.17163
2065,-47.86502,11.34334
2070,-49.10089,11.53362
2075,-50.41075,11.74409
2080,-51.80716,11.97652
2085,-53.30866,12.23293
2090,-54.94476,12.51554
2095,-56.77139,12.82687
2100,-58.92466,13.16968
2105,-62.00616,13.54712
2110,-63.67213,18.70356
2115,-63.59979,19.13415
2120,-64.55387,19.61166
2125,-65.88536,20.14107
2130,-67.46388,20.72785
2135,-69.24542,21.37816
2140,-71.21436,22.09902
2145,-73.36725,22.89821
2150,-75.70782,23.78462
2155,-78.25407,24.76814
2160,-80.99326,25.8601
2165,-35.88168,25.99761
2170,-36.39082,26.11024
2175,-36.95061,26.24201
2180,-37.56278,26.39481
2185,-38.22955,26.5707
2190,-38.95378,26.77203
2195,-39.73872,27.00139
2200,-40.58828,27.26172
2205,-41.50675,27.55625
2268,-16.69044,29.0798
2273,-16.5981,28.97982
2278,-16.51812,28.88059
2283,-16.44253,28.78209
2288,-16.37146,28.68432
