Energy,f’,f’’
1000,-27.07822,20.80327
1100,-25.91527,19.21436
1200,-25.13757,17.73887
1300,-24.69306,16.37703
1400,-24.74085,15.15569
1500,-25.05004,14.09253
1600,-25.63365,13.14674
1700,-26.45094,12.31265
1800,-27.47042,11.56011
1900,-28.99584,10.87565
2000,-31.46797,10.25067
2100,-36.83363,9.678119
2108,-37.61783,9.634389
2113,-38.16402,9.607208
2118,-38.76136,9.58014
2123,-39.41806,9.553185
2128,-40.1443,9.526342
2133,-40.95257,9.499613
2138,-41.85863,9.472992
2143,-42.88232,9.446484
2148,-44.04939,9.420084
2153,-45.39336,9.393792
2158,-46.95908,9.367611
2163,-48.80819,9.341537
2168,-51.02725,9.31557
2173,-53.74336,9.289709
2178,-57.15088,9.263955
2183,-61.5985,9.238359
2188,-67.59164,9.213009
2193,-76.31832,9.187761
2194,-78.58818,9.182725
2198,-90.75871,9.16262
2199,-94.99379,9.157603
2200,-100.0144,9.152591
2203,-124.2656,9.137579
2204,-139.8654,9.132584
2208,-125.9958,120.0295
2209,-111.0505,117.6245
2213,-77.75392,108.5859
2214,-72.42262,106.4635
2218,-56.57197,98.47851
2219,-53.56043,96.6015
2223,-43.96979,89.53574
2224,-42.0546,87.87383
2228,-35.80547,81.61124
2229,-34.53734,80.13669
2233,-30.38788,74.57702
2234,-29.54971,73.26721
2238,-26.84953,68.32361
2239,-26.31914,67.15773
2243,-24.69048,62.75495
2244,-24.39525,61.71603
2248,-23.60992,57.78869
2249,-23.50596,56.861
2253,-23.4318,53.35231
2254,-23.49572,52.52305
2258,-24.07394,49.38348
2259,-24.2997,48.64071
2263,-25.54243,45.82711
2264,-25.94294,45.16111
2268,-27.95247,42.63579
2269,-28.56888,42.03742
2273,-31.59901,39.76741
2274,-32.52489,39.22926
2278,-37.16002,37.18556
2279,-38.6205,36.70073
2283,-46.42973,34.85826
2284,-49.12089,34.42081
2288,-67.00813,32.75712
2289,-75.79674,32.36184
2293,-76.78823,106.2556
2294,-65.12413,104.3139
2298,-40.77425,96.98614
2299,-36.99488,95.25887
2300,-33.69753,93.57124
2303,-25.86468,88.73581
2304,-23.76339,87.19688
2309,-15.74695,80.00703
2314,-10.48568,73.58559
2319,-6.931581,67.84105
2324,-4.520303,62.69467
2329,-2.914917,58.07675
2334,-1.894946,53.92702
2339,-1.308761,50.19266
2344,-1.048129,46.82683
2349,-1.033799,43.78904
2354,-1.20649,41.04312
2359,-1.521185,38.55774
2364,-1.943355,36.30481
2369,-2.446194,34.25995
2374,-3.008883,32.40123
2379,-3.615031,30.70959
2384,-4.251866,29.16781
2389,-4.909246,27.7609
2400,-6.39138,25.07603
2500,-18.21261,14.13769
2600,-27.30669,11.62484
2646,-31.62683,11.39371
2651,-32.13177,11.39452
2656,-32.64653,11.40041
2661,-33.17214,11.41143
2666,-33.70965,11.42766
2671,-34.26033,11.44917
2676,-34.82553,11.47608
2681,-35.40686,11.50852
2686,-36.00624,11.54662
2691,-36.62592,11.59056
2696,-37.26876,11.64053
2700,-37.80206,11.68497
2701,-37.9383,11.69672
2706,-38.63936,11.75937
2711,-39.37842,11.82874
2716,-40.16518,11.90511
2721,-41.01473,11.98877
2726,-41.95362,12.08008
2731,-43.03569,12.17939
2736,-44.40408,12.28711
2741,-46.80254,12.40365
