Energy,f’,f’’
1000,-29.02143,9.786136
1100,-30.70775,9.055165
1200,-34.02211,8.394039
1254,-37.77095,8.06412
1259,-38.29542,8.034527
1264,-38.87186,8.00508
1269,-39.50959,7.975783
1274,-40.22037,7.946632
1279,-41.01904,7.917628
1284,-41.92466,7.888769
1289,-42.96202,7.860054
1294,-44.16389,7.831482
1294,-44.16389,7.831482
1299,-45.5744,7.803053
1299,-45.5744,7.803053
1300,-45.88647,7.797385
1304,-47.25415,7.774766
1304,-47.25415,7.774766
1309,-49.28857,7.74662
1309,-49.28857,7.74662
1314,-51.80165,7.718613
1314,-51.80165,7.718613
1319,-54.9802,7.690746
1319,-54.9802,7.690746
1324,-59.11921,7.663016
1324,-59.11921,7.663016
1329,-64.71474,7.635425
1329,-64.71474,7.635425
1334,-72.67819,7.607969
1334,-72.67819,7.607969
1339,-84.92703,7.58065
1339,-84.92703,7.58065
1344,-106.5838,7.553465
1344,-106.5838,7.553465
1349,-162.3598,7.526414
1349,-162.3598,7.526414
1354,-142.8426,179.4054
1354,-142.8426,179.4054
1359,-70.94893,147.0414
1359,-70.94893,147.0414
1364,-43.93805,121.4035
1364,-43.93805,121.4035
1369,-32.45814,100.988
1369,-32.45814,100.988
1374,-29.87304,84.64746
1374,-29.87304,84.64746
1379,-33.45345,71.50236
1379,-33.45345,71.50236
1384,-45.76313,60.8749
1384,-45.76313,60.8749
1389,-81.61911,52.24041
1389,-81.61911,52.24041
1394,-71.51875,162.5839
1394,-71.51875,162.5839
1399,-21.05967,135.0019
1399,-21.05967,135.0019
1400,-15.90068,130.1868
1404,-1.848714,112.908
1404,-1.848714,112.908
1409,7.154743,95.11977
1409,7.154743,95.11977
1414,11.22286,80.72609
1414,11.22286,80.72609
1419,12.58886,69.02146
1419,12.58886,69.02146
1424,12.40257,59.45712
1424,12.40257,59.45712
1429,11.31307,51.60422
1429,11.31307,51.60422
1434,9.708816,45.12613
1434,9.708816,45.12613
1439,7.828561,39.75742
1439,7.828561,39.75742
1444,5.821227,35.2879
1444,5.821227,35.2879
1449,3.779856,31.55039
1449,3.779856,31.55039
1454,1.76196,28.41138
1459,-0.1967923,25.76377
1464,-2.081614,23.52133
1469,-3.876937,21.61436
1474,-5.581768,19.98628
1479,-7.19656,18.59097
1484,-8.724401,17.39075
1489,-10.16991,16.35467
1500,-13.08771,14.53395
1600,-31.59826,9.531073
1644,-39.76137,9.741879
1649,-40.83884,9.834049
1654,-41.96095,9.94311
1659,-43.13258,10.07042
1664,-44.359,10.21756
1669,-45.64606,10.38638
1674,-47.00021,10.57899
1679,-48.42864,10.79786
1684,-50.05786,11.04591
1689,-51.65975,11.32638
1694,-53.36338,11.64288
1699,-55.18075,11.99968
1700,-55.55909,12.07631
1704,-57.12598,12.40171
1709,-59.21609,12.8546
1714,-61.47247,13.36486
1719,-63.92348,13.93998
1724,-66.61056,14.58858
1729,-69.60451,15.32063
1734,-73.06651,16.14765
1739,-77.72453,17.08298
1744,-80.4968,22.82768
1749,-82.35954,23.99083
1754,-85.32503,25.31753
1759,-39.04924,26.20636
1764,-39.58481,26.37123
1769,-40.27325,26.57132
1774,-41.09726,26.81115
1779,-42.05121,27.09597
1784,-43.13589,27.43184
1789,-44.3563,27.82577
1794,-45.72067,28.28586
1799,-47.23996,28.82155
1800,-47.56353,28.93868
1804,-48.92776,29.44378
1809,-18.05201,30.15447
1814,-17.87095,30.01642
1819,-17.70197,29.87984
1824,-17.54308,29.74471
1825,-17.51245,29.71785
1829,-17.39361,29.61101
1830,-17.36479,29.58443
1834,-17.253,29.47871
1835,-17.2259,29.45242
1839,-17.12084,29.3478
1840,-17.0954,29.32178
1845,-16.97303,29.19251
1850,-16.85863,29.06457
1855,-16.75216,28.93796
1860,-16.65372,28.81265
1865,-16.56352,28.68863
1870,-16.48199,28.56588
1875,-16.40977,28.44437
1880,-16.34782,28.3241
1885,-16.29757,28.20504
1890,-16.26118,28.08719
1895,-16.24198,27.97052
1900,-16.24545,27.85501
1905,-16.28133,27.74067
1910,-16.36933,27.62745
1915,-16.55977,27.51537
1920,-17.07298,27.4044
1925,-17.11185,29.20449
1930,-16.28208,29.08055
1935,-15.86058,28.95807
1940,-15.55605,28.83702
1945,-15.30945,28.7174
1950,-15.09822,28.59918
1955,-14.91128,28.48234
1960,-14.74233,28.36686
1965,-14.58743,28.25272
1970,-14.44395,28.1399
1975,-14.31003,28.02839
1980,-14.18431,27.91816
1985,-14.06577,27.8092
1990,-13.95362,27.70149
1995,-13.84725,27.59501
2000,-13.74614,27.48976
2005,-13.6499,27.3857
2010,-13.55821,27.28284
2015,-13.4708,27.18115
2020,-13.38747,27.08063
2031,-13.21766,26.86348
2036,-13.1464,26.76657
2041,-13.07875,26.67076
2046,-13.01469,26.57604
2051,-12.95426,26.4824
2056,-12.89751,26.38983
2061,-12.84457,26.29831
2066,-12.79561,26.20784
2071,-12.75088,26.1184
2076,-12.71075,26.02999
2081,-12.6757,25.94258
2086,-12.64643,25.85618
2091,-12.62393,25.77076
2096,-12.60965,25.68633
2100,-12.60561,25.61949
2101,-12.60583,25.60287
2106,-12.61609,25.52038
2111,-12.64692,25.43884
2116,-12.71161,25.35825
2121,-12.84517,25.27859
2126,-13.21749,25.19986
2131,-13.09634,26.30473
2136,-12.64156,26.22514
2141,-12.39487,26.1465
2146,-12.2131,26.06879
2151,-12.06393,25.99201
2156,-11.9347,25.91616
2161,-11.81907,25.84122
2166,-11.71341,25.76718
2171,-11.61544,25.69405
2176,-11.52364,25.62181
2181,-11.43693,25.55047
2186,-11.35452,25.48
2191,-11.2758,25.41041
2196,-11.2003,25.34169
2200,-11.14198,25.28734
2201,-11.12767,25.27384
2206,-11.05758,25.20684
2211,-10.9898,25.1407
2216,-10.92411,25.07541
2221,-10.86033,25.01096
2226,-10.79831,24.94734
2300,-9.314965,23.98751
2400,-8.404665,22.72313
2500,-7.36665,21.63336
2600,-6.72588,20.54142
2700,-6.202948,19.54444
2800,-5.507018,18.59674
2900,-5.147164,17.6935
3000,-4.949905,16.85344
3100,-4.70387,16.08553
3200,-4.502169,15.37079
3300,-4.337918,14.70424
3400,-4.205415,14.0815
3500,-4.104743,13.4988
3600,-4.023357,12.95329
3700,-3.961943,12.44134
3800,-3.917859,11.96015
3900,-3.895432,11.50774
4000,-3.880215,11.08186
4100,-3.87658,10.68009
4200,-3.883209,10.30057
4300,-3.902409,9.941839
4400,-3.926575,9.602468
4500,-3.958122,9.280841
4600,-3.996388,8.975704
4700,-4.040821,8.685919
4800,-4.090965,8.41044
4900,-4.14645,8.148317
5000,-4.206976,7.898675
5100,-4.272318,7.660711
5200,-4.342308,7.433687
5300,-4.416838,7.216923
5400,-4.495853,7.009795
5500,-4.579355,6.811723
5600,-4.667394,6.622173
5700,-4.760078,6.44065
5800,-4.861702,6.26674
5900,-4.971016,6.100186
6000,-5.078792,5.940559
6100,-5.199492,5.787546
6200,-5.318948,5.640644
6300,-5.445039,5.499422
6400,-5.578424,5.363583
6500,-5.723841,5.232895
6600,-5.874406,5.107097
6700,-6.035231,4.985898
6800,-6.207792,4.869071
6900,-6.393933,4.756403
7000,-6.595999,4.647693
7100,-6.817021,4.542752
7200,-7.061019,4.441403
7300,-7.333474,4.34348
7400,-7.64214,4.248827
7500,-7.998528,4.157294
7600,-8.431831,4.068984
7700,-8.95141,3.983718
7800,-9.62988,3.901171
7900,-10.61763,3.821226
7974,-11.83037,3.763675
7979,-11.94364,3.759835
7984,-12.06327,3.756
7989,-12.19002,3.752172
7994,-12.3248,3.74835
7999,-12.46869,3.744533
8000,-12.49867,3.743771
8004,-12.62299,3.740723
8009,-12.78938,3.736918
8014,-12.96985,3.733119
8019,-13.16704,3.729327
8024,-13.38431,3.72554
8029,-13.62623,3.721759
8034,-13.89906,3.717984
8039,-14.21175,3.714216
8044,-14.57804,3.710452
8049,-15.01989,3.706695
8054,-15.57649,3.702943
8059,-16.32842,3.699197
8064,-17.48992,3.695457
8069,-20.15112,3.691723
8074,-19.45792,10.59048
8079,-17.24146,10.57419
8084,-16.15369,10.55799
8089,-15.42548,10.54187
8094,-14.87723,10.52582
8099,-14.43741,10.50986
8100,-14.35895,10.50667
8104,-14.07023,10.49398
8109,-13.75517,10.47817
8114,-13.47935,10.46245
8119,-13.23419,10.4468
8124,-13.01367,10.43123
8129,-12.81332,10.41574
8134,-12.62988,10.40033
8139,-12.46078,10.38499
8144,-12.30403,10.36973
8149,-12.15801,10.35455
8154,-12.02141,10.33944
8159,-11.89315,10.32441
8164,-11.77235,10.30945
8169,-11.65821,10.29457
8200,-11.06897,10.20395
8300,-9.904142,9.930036
8400,-9.283026,9.682421
8500,-8.93119,9.458622
8600,-8.78196,9.256494
8700,-8.836038,9.074271
8800,-9.209621,8.910418
8820,-9.358818,8.879732
8825,-9.402874,8.872166
8830,-9.450199,8.86464
8835,-9.501164,8.857158
8840,-9.55621,8.849716
8845,-9.615865,8.842316
8850,-9.680772,8.834957
8855,-9.751709,8.827641
8860,-9.829691,8.820363
8865,-9.915963,8.813127
8870,-10.01216,8.805931
8875,-10.12047,8.798776
8880,-10.24389,8.791661
8885,-10.38669,8.784587
8890,-10.55529,8.777553
8895,-10.75996,8.770558
8900,-11.01862,8.763593
8905,-11.36653,8.75528
8910,-11.89599,8.746979
8915,-13.00587,8.738688
8920,-13.26799,12.18805
8925,-11.94601,12.17487
8930,-11.35031,12.16173
8935,-10.95795,12.14861
8940,-10.6635,12.13552
8945,-10.42684,12.12245
8950,-10.2285,12.10942
8955,-10.05744,12.0964
8960,-9.906842,12.08342
8965,-9.772163,12.07046
8970,-9.650245,12.05753
8975,-9.538794,12.04462
8980,-9.436111,12.03174
8985,-9.340841,12.01889
8990,-9.251968,12.00606
8995,-9.168668,11.99326
9000,-9.090267,11.98049
9005,-9.016214,11.96774
9010,-8.94605,11.95501
9015,-8.879386,11.94232
9100,-8.081142,11.73033
9200,-7.578029,11.48994
9297,-7.421097,11.2656
9300,-7.423469,11.25879
9302,-7.425406,11.25426
9307,-7.431573,11.24294
9312,-7.439786,11.23165
9317,-7.450264,11.22038
9322,-7.463273,11.20913
9327,-7.479141,11.1979
9332,-7.498271,11.18669
9337,-7.521167,11.1755
9342,-7.548477,11.16434
9347,-7.581041,11.1532
9352,-7.619988,11.14207
9357,-7.667065,11.13097
9362,-7.72399,11.11989
9367,-7.794627,11.10884
9372,-7.884314,11.0978
9377,-8.002738,11.08678
9382,-8.169783,11.07579
9387,-8.437933,11.06481
9392,-9.067738,11.05386
9397,-8.916597,12.77152
9400,-8.503256,12.76467
9402,-8.331771,12.76011
9407,-8.038497,12.74872
9412,-7.836514,12.73735
9417,-7.679978,12.726
9422,-7.550766,12.71467
9427,-7.439839,12.70336
9432,-7.342034,12.69207
9437,-7.254119,12.6808
9442,-7.173939,12.66955
9447,-7.099993,12.65833
9452,-7.031154,12.64712
9457,-6.966607,12.63593
9462,-6.905716,12.62476
9467,-6.84798,12.61361
9472,-6.792996,12.60248
9477,-6.740438,12.59137
9482,-6.690034,12.58027
9487,-6.641561,12.5692
9492,-6.594836,12.55815
9500,-6.523283,12.54051
9600,-5.830191,12.32407
9700,-5.326464,12.11497
9800,-4.917689,11.91283
9900,-4.570215,11.71733
10000,-4.267158,11.52815
10100,-3.998438,11.345
10200,-3.757382,11.16761
10300,-3.539244,10.99571
10400,-3.340493,10.82907
10500,-3.171454,10.66757
10600,-3.004435,10.5121
10700,-2.850019,10.36134
10800,-2.70674,10.2151
10900,-2.573372,10.07319
11000,-2.448864,9.93545
11100,-2.332319,9.801705
