Energy,f’,f’’
1000,-15.31671,26.61048
1100,-12.55111,25.05115
1200,-9.986757,22.67959
1300,-8.37766,20.62655
1400,-7.203461,18.83679
1500,-6.432931,17.24355
1600,-5.884619,15.85326
1700,-5.447458,14.63239
1800,-5.129844,13.54583
1900,-4.904111,12.57451
2000,-4.750265,11.7026
2100,-4.65359,10.91691
2200,-4.611794,10.2076
2300,-4.599665,9.565207
2400,-4.636938,8.981938
2500,-4.734031,8.451145
2600,-4.839309,7.97268
2700,-4.925865,7.534489
2800,-5.031466,7.13123
2900,-5.155738,6.759217
3000,-5.299342,6.415253
3100,-5.449497,6.105425
3200,-5.61505,5.818328
3300,-5.797166,5.55172
3400,-5.997615,5.303631
3500,-6.22317,5.072339
3600,-6.469448,4.856684
3700,-6.744793,4.655011
3800,-7.060187,4.46634
3900,-7.417224,4.289445
4000,-7.834266,4.123285
4100,-8.334364,3.966983
4200,-8.957376,3.81975
4300,-9.782061,3.680877
4400,-11.0048,3.549726
4460,-12.18286,3.474499
4465,-12.31147,3.468342
4470,-12.44709,3.462203
4475,-12.59059,3.45608
4480,-12.74293,3.449974
4485,-12.90531,3.443885
4490,-13.07915,3.437813
4495,-13.26628,3.431757
4500,-13.4689,3.425718
4505,-13.68989,3.419695
4510,-13.93294,3.413689
4515,-14.20302,3.4077
4520,-14.50706,3.401726
4525,-14.85492,3.395769
4530,-15.26155,3.389828
4535,-15.75106,3.383904
4540,-16.36658,3.377995
4545,-17.19658,3.372103
4550,-18.47642,3.366226
4555,-21.40366,3.360366
4560,-20.63387,10.93604
4565,-18.20012,10.90847
4570,-17.009,10.88105
4575,-16.21478,10.85378
4580,-15.61936,10.82667
4585,-15.14409,10.79971
4590,-14.74952,10.77289
4595,-14.41306,10.74623
4600,-14.12049,10.71972
4605,-13.86235,10.69335
4610,-13.632,10.66713
4615,-13.4246,10.64106
4620,-13.23649,10.61513
4625,-13.06487,10.58934
4630,-12.90756,10.5637
4635,-12.76278,10.53819
4640,-12.62914,10.51283
4645,-12.50547,10.48761
4650,-12.39229,10.46252
4655,-12.28572,10.43758
4700,-11.60882,10.21911
4755,-11.29736,9.966108
4760,-11.29578,9.943837
4765,-11.29934,9.921685
4770,-11.30836,9.899649
4775,-11.32329,9.877728
4780,-11.34465,9.855925
4785,-11.37304,9.834237
4790,-11.40937,9.812661
4795,-11.45466,9.791199
4800,-11.51029,9.76985
4805,-11.57804,9.748613
4810,-11.66036,9.727487
4815,-11.76063,9.70647
4820,-11.88371,9.685564
4825,-12.03699,9.664768
4830,-12.23248,9.644078
4835,-12.49151,9.623496
4840,-12.85804,9.603021
4845,-13.44897,9.582653
4850,-14.85978,9.562389
4855,-14.43379,13.31007
4860,-13.18222,13.28032
4865,-12.54851,13.25073
4870,-12.11244,13.2213
4875,-11.77576,13.19203
4880,-11.49932,13.16292
4885,-11.26354,13.13396
4890,-11.05717,13.10516
4895,-10.87312,13.07651
4900,-10.70668,13.04801
4905,-10.55455,13.01967
4910,-10.41429,12.99148
4915,-10.28407,12.96344
4920,-10.16249,12.93555
4925,-10.04844,12.9078
4930,-9.941034,12.88021
4935,-9.839529,12.85276
4940,-9.743336,12.82546
4945,-9.651954,12.7983
4950,-9.564971,12.77129
5000,-8.877488,12.50884
5091,-8.203444,12.065
5096,-8.185692,12.0418
5100,-8.173639,12.02333
5101,-8.170888,12.01872
5106,-8.158774,11.99576
5111,-8.149566,11.97292
5116,-8.143525,11.95019
5121,-8.140981,11.92758
5126,-8.142342,11.90508
5131,-8.148128,11.8827
5136,-8.15901,11.86043
5141,-8.175865,11.83828
5146,-8.199883,11.81624
5151,-8.232704,11.79431
5156,-8.2767,11.77249
5161,-8.335455,11.75079
5166,-8.414795,11.72919
5171,-8.525075,11.7077
5176,-8.687625,11.68632
5181,-8.959172,11.66504
5186,-9.628407,11.64388
5191,-9.405944,13.44868
5196,-8.78682,13.42663
5200,-8.519989,13.40907
5201,-8.465951,13.40469
5206,-8.240343,13.38285
5211,-8.062492,13.36112
5216,-7.913558,13.3395
5221,-7.784095,13.31797
5226,-7.668702,13.29655
5231,-7.563962,13.27523
5236,-7.467618,13.25402
5241,-7.378073,13.2329
5246,-7.294171,13.21189
5251,-7.215021,13.19097
5256,-7.139952,13.17016
5261,-7.068432,13.14944
5266,-7.000038,13.12883
5271,-6.934407,13.1083
5276,-6.871256,13.08788
5281,-6.810343,13.06756
5286,-6.751467,13.04733
5300,-6.596007,12.99119
5400,-5.734978,12.611
5500,-5.110354,12.26456
5600,-4.614286,11.94846
5700,-4.202726,11.65977
5800,-3.851415,11.39593
5900,-3.544928,11.1547
6000,-2.942426,10.8921
6100,-2.682032,10.63111
6200,-2.449108,10.38359
6300,-2.239141,10.14867
6400,-1.88421,9.901636
6500,-1.703465,9.661774
6600,-1.539826,9.43055
6700,-1.391325,9.207546
6800,-1.257573,8.992477
6900,-1.134662,8.784969
7000,-1.022548,8.584594
7100,-0.9201646,8.391023
7200,-0.8265788,8.203949
