Energy,f’,f’’
1000,-26.74934,18.43872
1100,-25.8738,16.95576
1200,-25.72706,15.59861
1300,-25.79187,14.42714
1400,-26.02486,13.39904
1500,-26.53317,12.48249
1600,-27.36897,11.66015
1700,-28.65323,10.91829
1800,-30.68839,10.24584
1900,-34.54385,9.63386
1943,-37.93004,9.387352
1948,-38.49028,9.359297
1953,-39.10461,9.331367
1958,-39.78205,9.303559
1963,-40.53366,9.275874
1968,-41.37319,9.248311
1973,-42.31793,9.22087
1978,-43.41628,9.193578
1983,-44.64413,9.166559
1988,-46.06528,9.139661
1993,-47.73018,9.11288
1998,-49.70824,9.086217
2000,-50.60788,9.075584
2003,-52.09793,9.059671
2008,-55.04412,9.033241
2013,-58.77078,9.006927
2018,-63.64568,8.980727
2019,-64.80882,8.9755
2023,-70.33216,8.954641
2024,-71.9854,8.949438
2028,-80.20004,8.928668
2029,-82.79105,8.923488
2033,-96.8559,8.902808
2034,-101.8222,8.897651
2038,-137.53,8.87706
2039,-158.1589,8.871924
2043,-128.5006,132.9139
2044,-113.0623,129.8534
2048,-77.49599,118.4418
2049,-71.74734,115.7846
2053,-54.74321,105.8674
2054,-51.54682,103.5557
2058,-41.50917,94.91854
2059,-39.54284,92.90324
2063,-33.27255,85.36668
2064,-32.03832,83.60628
2068,-28.14853,77.01609
2069,-27.40321,75.47529
2073,-25.17178,69.70189
2074,-24.78168,68.35062
2078,-23.80304,63.28223
2079,-23.69311,62.09488
2083,-23.7484,57.63726
2084,-23.88193,56.59165
2088,-24.88946,52.66342
2089,-25.26224,51.74131
2093,-27.27731,48.27294
2094,-27.92403,47.4578
2098,-31.19794,44.38967
2099,-32.21828,43.66808
2100,-33.33585,42.96368
2103,-37.39908,40.94889
2104,-39.04861,40.30861
2108,-47.93958,37.8942
2109,-51.02251,37.32529
2113,-71.63823,35.17753
2114,-81.81745,34.67087
2118,-82.52328,120.2654
2119,-68.79709,117.685
2123,-40.27976,108.0323
2124,-35.89561,105.7765
2128,-23.13562,97.33137
2129,-20.76196,95.35616
2133,-13.33083,87.95277
2134,-11.87395,86.21905
2138,-7.20024,79.71607
2139,-6.269149,78.19206
2144,-2.665266,71.12586
2149,-0.3877845,64.894
2154,0.9778643,59.38693
2159,1.697201,54.51158
2164,1.95129,50.18698
2169,1.867543,46.34417
2174,1.537882,42.9229
2179,1.029815,39.87169
2184,0.3934618,37.14538
2189,-0.333489,34.70531
2194,-1.122709,32.51741
2199,-1.952623,30.55243
2200,-2.122016,30.18378
2204,-2.807016,28.7845
2209,-3.673521,27.19127
2214,-4.542809,25.75321
2300,-17.15711,14.06964
2400,-27.5847,11.09406
2453,-33.15208,10.85218
2458,-33.72578,10.86275
2463,-34.31196,10.87918
2468,-34.91179,10.90161
2473,-35.52666,10.93016
2478,-36.15801,10.965
2483,-36.80756,11.00633
2488,-37.47718,11.05437
2493,-38.16912,11.10938
2498,-38.88596,11.17163
2500,-39.18038,11.19863
2503,-39.63094,11.24145
2508,-40.40798,11.31919
2513,-41.22231,11.40524
2518,-42.08085,11.50004
2523,-42.99369,11.60405
2528,-43.97622,11.7178
2533,-45.05467,11.84186
2538,-46.28085,11.97685
2543,-47.78471,12.12346
2548,-50.14081,12.28243
2553,-51.1833,17.21448
2558,-50.2529,17.37926
2563,-50.32066,17.55949
2568,-50.69886,17.75625
2573,-51.24682,17.97067
2578,-51.91213,18.204
2583,-52.67022,18.4576
2588,-53.50844,18.73296
2593,-54.4199,19.03168
2598,-55.40121,19.35556
2600,-55.81288,19.49257
2603,-56.4509,19.70651
2608,-57.56911,20.08666
2613,-58.75679,20.49828
2618,-60.01592,20.94395
2623,-61.3489,21.42637
2628,-62.75897,21.94861
2633,-64.24963,22.51392
2638,-65.82517,23.12599
2643,-67.49006,23.78873
2648,-69.2495,24.50654
2700,-35.34271,26.14654
2800,-15.24523,28.16407
2811,-15.12846,28.00127
2816,-15.07954,27.92806
2821,-15.03338,27.85533
2826,-14.99015,27.78308
2831,-14.95005,27.71132
2836,-14.91332,27.64003
2841,-14.88028,27.56922
2846,-14.85131,27.49888
2851,-14.82691,27.42901
2856,-14.80772,27.3596
2861,-14.79459,27.29066
2866,-14.78864,27.22218
2871,-14.79145,27.15415
2876,-14.80528,27.08659
2881,-14.83355,27.01947
2886,-14.88175,26.95281
2891,-14.95954,26.88659
2896,-15.08643,26.82082
2900,-15.25418,26.76852
2901,-15.31226,26.75549
2906,-15.85901,26.6906
2911,-15.88833,28.47222
2916,-15.13695,28.39232
2921,-14.76444,28.31362
2926,-14.50182,28.2361
2931,-14.29322,28.15974
2936,-14.11714,28.08453
2941,-13.963,28.01043
2946,-13.82473,27.93744
2951,-13.69859,27.86553
2956,-13.58201,27.79469
2961,-13.47323,27.72491
2966,-13.37092,27.65616
2971,-13.27411,27.58844
2976,-13.182,27.52174
2981,-13.094,27.45603
2986,-13.0096,27.39132
2991,-12.92838,27.32758
2996,-12.85,27.26481
3000,-12.78915,27.21528
3001,-12.77496,27.20188
3006,-12.70576,27.13516
3076,-11.86991,26.26085
3081,-11.82442,26.19999
3086,-11.78089,26.13936
3091,-11.7394,26.07897
3096,-11.70007,26.0188
3100,-11.67024,25.97083
3101,-11.66302,25.95886
3106,-11.62847,25.89915
3111,-11.59662,25.83966
3116,-11.5679,25.78041
3121,-11.54247,25.72137
3126,-11.52092,25.66256
3131,-11.50397,25.60396
3136,-11.49254,25.54559
3141,-11.48803,25.48744
3146,-11.49248,25.42951
3151,-11.50923,25.37179
3156,-11.5441,25.31429
3161,-11.60886,25.25701
3166,-11.73358,25.19994
3171,-12.05214,25.14308
3176,-12.05826,26.19824
3181,-11.59887,26.14093
3186,-11.36438,26.08384
3191,-11.19451,26.02696
3196,-11.05613,25.97029
3200,-10.95934,25.92511
3201,-10.93659,25.91384
3206,-10.8297,25.8576
3211,-10.73193,25.80156
3216,-10.64112,25.74574
3221,-10.5558,25.69012
3226,-10.47496,25.6347
3231,-10.39787,25.5795
3236,-10.32396,25.5245
3241,-10.25281,25.4697
3246,-10.18409,25.4151
3251,-10.11751,25.36071
3256,-10.05287,25.30651
3261,-9.989971,25.25252
3266,-9.928665,25.19873
3271,-9.868824,25.14513
3300,-9.545686,24.83812
3400,-8.641181,23.82943
3500,-7.923975,22.89163
3600,-7.33221,22.0184
3700,-6.834646,21.20436
3800,-6.318365,20.44027
3900,-5.939141,19.70409
4000,-5.611348,19.0096
4100,-5.324177,18.35356
4200,-5.057404,17.72943
4300,-4.841842,17.13665
4400,-4.653496,16.574
4500,-4.490084,16.03934
4600,-4.348626,15.53079
4700,-4.226586,15.04661
4800,-4.121792,14.58522
4900,-4.032371,14.14516
5000,-3.9567,13.72509
5100,-3.893369,13.32379
5200,-3.852876,12.94135
5300,-3.810926,12.57552
5400,-3.777954,12.22533
5500,-3.753126,11.88985
5600,-3.754074,11.56857
5700,-3.743337,11.26057
5800,-3.738766,10.96494
5900,-3.770725,10.68233
6000,-3.77729,10.41126
6100,-3.788548,10.15068
6200,-3.804153,9.900047
6300,-3.823798,9.658841
6400,-3.853498,9.426869
6500,-3.880608,9.203665
6600,-3.910999,8.98855
6700,-3.944489,8.781128
6800,-3.980917,8.581024
6900,-4.020148,8.38789
7000,-4.062066,8.201395
7100,-4.106574,8.02123
7200,-4.153593,7.847103
7300,-4.203064,7.67874
7400,-4.25494,7.515882
7500,-4.309192,7.358286
7600,-4.365807,7.20572
7700,-4.424788,7.057968
7800,-4.486153,6.914821
7900,-4.549936,6.776087
8000,-4.616189,6.641581
8100,-4.684984,6.511127
8200,-4.756411,6.384563
8300,-4.830587,6.261727
8400,-4.907658,6.142475
8500,-4.98781,6.026661
8600,-5.071284,5.914153
8700,-5.158413,5.804824
8800,-5.249717,5.69855
8900,-5.353925,5.595374
9000,-5.449678,5.496738
9100,-5.54956,5.400812
9200,-5.654164,5.307497
9300,-5.763664,5.216702
9400,-5.878511,5.128332
9500,-5.999393,5.042296
9600,-6.127012,4.958512
9700,-6.262208,4.876899
9800,-6.406,4.797379
9900,-6.559626,4.719879
10000,-6.724626,4.644328
10100,-6.902931,4.57066
10200,-7.097017,4.498811
10300,-7.310141,4.428718
10400,-7.546682,4.360324
10500,-7.812762,4.293572
10600,-8.117283,4.228407
10700,-8.47394,4.16478
10800,-8.905454,4.102639
10900,-9.454311,4.041942
11000,-10.21079,3.982642
11100,-11.45057,3.924725
11118,-11.78739,3.914447
11123,-11.89215,3.9116
11128,-12.00279,3.908756
11133,-12.12,3.905914
11138,-12.2446,3.903077
11143,-12.37762,3.900243
11148,-12.52025,3.897411
11153,-12.674,3.894583
11158,-12.84072,3.891758
11163,-13.0228,3.888936
11168,-13.22336,3.886118
11173,-13.44654,3.883303
11178,-13.69809,3.880491
11183,-13.98617,3.877682
11188,-14.32331,3.874876
11193,-14.72953,3.872074
11198,-15.24038,3.869275
11200,-15.48802,3.868156
11203,-15.92881,3.866479
11208,-16.98724,3.863686
11213,-19.37091,3.860896
11218,-18.89837,10.20091
11223,-16.82328,10.19324
11228,-15.81785,10.18557
11233,-15.14754,10.17791
11238,-14.64373,10.17026
11243,-14.23984,10.16261
11248,-13.90268,10.15498
11253,-13.61327,10.14735
11258,-13.35973,10.13974
11263,-13.1342,10.13213
11268,-12.93103,10.12453
11273,-12.74622,10.11693
11278,-12.57673,10.10935
11283,-12.42023,10.10178
11288,-12.27488,10.09421
11293,-12.13921,10.08665
11298,-12.01201,10.0791
11300,-11.96329,10.07608
11303,-11.89231,10.07156
11308,-11.77929,10.06403
11313,-11.67223,10.0565
11400,-10.3814,9.926901
11500,-9.524232,9.780976
11600,-8.951633,9.638216
11700,-8.536931,9.498528
11800,-8.226163,9.361825
11900,-7.991991,9.228021
12000,-7.819458,9.097033
12100,-7.700685,8.968782
12200,-7.632733,8.843196
12300,-7.617239,8.720195
12400,-7.661688,8.599712
12500,-7.783749,8.481677
12600,-8.02483,8.366023
12700,-8.510606,8.252769
12727,-8.730303,8.222582
12732,-8.778632,8.217009
12737,-8.829988,8.211442
12742,-8.884713,8.205882
12747,-8.943249,8.200326
12752,-9.006089,8.194776
12757,-9.07385,8.189231
12762,-9.147287,8.183692
