Energy,f’,f’’
1000,-0.3002424,3.623732
1100,-0.3093955,3.123083
1200,-0.3514313,2.72025
1300,-0.4036151,2.392412
1400,-0.4634138,2.121309
1500,-0.5272855,1.894358
1600,-0.598904,1.703232
1700,-0.6662441,1.540237
1800,-0.7340521,1.399981
1900,-0.8022842,1.278365
2000,-0.8711458,1.172182
2100,-0.9410274,1.078893
2200,-1.012476,0.9964622
2300,-1.086191,0.9232478
2400,-1.163046,0.8579073
2500,-1.244132,0.7993373
2600,-1.330828,0.7466223
2700,-1.42493,0.6989977
2800,-1.528845,0.6558215
2900,-1.645929,0.61655
3000,-1.781089,0.5807211
3100,-1.941766,0.5482983
3200,-2.140891,0.518557
3300,-2.402504,0.4912054
3400,-2.780488,0.4659904
3500,-3.443678,0.4426922
3510,-3.545154,0.4404601
3515,-3.600163,0.4393505
3520,-3.658444,0.4382451
3525,-3.720397,0.437144
3530,-3.786483,0.436047
3535,-3.857272,0.4349543
3540,-3.93344,0.4338657
3545,-4.015838,0.4327811
3550,-4.105515,0.4317008
3555,-4.203827,0.4306245
3560,-4.312519,0.4295523
3565,-4.433947,0.4284841
3570,-4.571336,0.42742
3575,-4.729337,0.4263598
3580,-4.914926,0.4253036
3585,-5.139378,0.4242514
3590,-5.422568,0.4232032
3595,-5.805037,0.4221589
3600,-6.392239,0.4211185
3605,-7.684488,0.4200819
3610,-7.583713,4.063043
3615,-6.324731,4.053682
3620,-5.726309,4.044361
3625,-5.327974,4.035077
3630,-5.02817,4.025831
3635,-4.787285,4.016623
3640,-4.585656,4.007452
3645,-4.412119,3.998318
3650,-4.259675,3.989221
3655,-4.123685,3.980161
3660,-4.000877,3.971138
3665,-3.888892,3.962151
3670,-3.785938,3.953199
3675,-3.690654,3.944284
3680,-3.601953,3.935405
3685,-3.518979,3.926561
3690,-3.441022,3.917752
3695,-3.36751,3.908979
3700,-3.297951,3.90024
3705,-3.231946,3.891536
3800,-2.371433,3.73252
3900,-1.841437,3.577284
4000,-1.474936,3.433281
4100,-1.199493,3.299415
4200,-0.9824242,3.174721
4300,-0.8059728,3.05835
4400,-0.6593329,2.94955
4500,-0.5354009,2.847653
4600,-0.4292421,2.752064
4700,-0.3149308,2.661753
4800,-0.2329943,2.572179
4900,-0.1613454,2.487064
5000,-9.8392859E-02,2.406112
5100,-4.2860892E-02,2.329052
5200,6.2873759E-03,2.255635
5300,4.9905568E-02,2.185631
5400,8.8703491E-02,2.11883
5500,0.1232797,2.055037
5600,0.1535591,1.994082
5700,0.1811365,1.935792
5800,0.2057977,1.880008
5900,0.2278626,1.826586
6000,0.2476093,1.775395
6100,0.2652801,1.726309
6200,0.2810876,1.679215
6300,0.2952189,1.634004
6400,0.3078389,1.590577
6500,0.3190939,1.54884
6600,0.3291141,1.508707
6700,0.3380153,1.470095
6800,0.3459009,1.432927
6900,0.3528637,1.397134
7000,0.3589871,1.362646
7100,0.3633391,1.329405
7200,0.3680057,1.297365
7300,0.3722692,1.266436
7400,0.375721,1.23658
7500,0.3786411,1.207749
7600,0.381075,1.179897
7700,0.3830639,1.15298
7800,0.3846453,1.126955
7900,0.3858535,1.101785
8000,0.3867197,1.077431
8100,0.3871508,1.05386
8200,0.3874184,1.031038
8300,0.3874224,1.008934
8400,0.3871846,0.9875165
8500,0.3867253,0.9667585
8600,0.3860627,0.946633
8700,0.3852139,0.9271147
8800,0.3841943,0.9081791
8900,0.3830182,0.8898035
9000,0.3816495,0.872039
9100,0.3801573,0.8547948
9200,0.3785527,0.8380509
9300,0.376846,0.8217877
9400,0.3750463,0.8059872
9500,0.3731626,0.7906318
9600,0.3712026,0.7757049
9700,0.3691739,0.7611908
9800,0.3670832,0.7470741
9900,0.3649367,0.7333407
10000,0.3627404,0.7199765
10100,0.3604995,0.7069685
10200,0.3582191,0.6943043
10300,0.3559036,0.6819715
10400,0.3535575,0.6699591
10500,0.3511845,0.6582556
10600,0.3487883,0.6468507
10700,0.3463723,0.6357344
10800,0.3439396,0.6248969
10900,0.3414931,0.6143292
11000,0.3390353,0.604022
11100,0.3365688,0.593967
11200,0.3340959,0.5841562
11300,0.3316185,0.5745816
11400,0.3291388,0.5652357
11500,0.3266585,0.5561113
11600,0.3241791,0.5472013
11700,0.3217023,0.5384994
11800,0.3192295,0.5299988
11900,0.316762,0.5216936
12000,0.3143009,0.5135778
12100,0.3118474,0.5056456
12200,0.3094024,0.4978916
12300,0.306967,0.4903105
12400,0.304542,0.4828973
12500,0.3021281,0.4756469
12600,0.2997261,0.4685546
12700,0.2973366,0.4616161
12800,0.2949603,0.4548267
12900,0.2925976,0.4481824
13000,0.2902491,0.4416789
13100,0.2879152,0.4353124
13200,0.2855964,0.4290791
13300,0.2832929,0.4229753
13400,0.2810052,0.4169974
13500,0.2787335,0.411142
13600,0.2764781,0.4054058
13700,0.2742392,0.3997856
13800,0.2720169,0.3942783
13900,0.2698116,0.388881
14000,0.2676232,0.3835906
14100,0.2654521,0.3784045
14200,0.2632982,0.3733199
14300,0.2611617,0.3683342
14400,0.2590426,0.3634449
14500,0.256941,0.3586494
14600,0.2548569,0.3539456
14700,0.2527903,0.3493309
14800,0.2507412,0.3448033
14900,0.2487098,0.3403605
15000,0.2466958,0.3360004
15100,0.2446993,0.3317211
15200,0.2427203,0.3275206
15300,0.2407587,0.3233968
15400,0.2388156,0.3193482
15500,0.2367643,0.3153731
15600,0.2348565,0.3114695
15700,0.2316725,0.3076525
15800,0.2297968,0.3039115
15900,0.227938,0.3002369
16000,0.2260965,0.296627
16100,0.2242722,0.2930803
16200,0.222465,0.2895954
16300,0.2206748,0.2861709
16400,0.2189014,0.2828054
16500,0.2171447,0.2794975
16600,0.2154046,0.2762459
16700,0.213681,0.2730494
16800,0.2119737,0.2699069
16900,0.2102826,0.2668169
17000,0.2086076,0.2637784
17100,0.2069484,0.2607902
17200,0.205305,0.2578513
17300,0.2036773,0.2549607
17400,0.202065,0.2521171
17500,0.200468,0.2493196
17600,0.1988862,0.2465673
17700,0.1973194,0.2438591
17800,0.1957675,0.2411943
17900,0.1942304,0.2385717
18000,0.1927078,0.2359905
18100,0.1911997,0.23345
18200,0.1897059,0.2309491
18300,0.1882263,0.2284873
18400,0.1867606,0.2260635
18500,0.1853088,0.2236771
18600,0.1838707,0.2213272
18700,0.1824462,0.2190132
18800,0.1810352,0.2167343
18900,0.1796374,0.2144898
19000,0.1782528,0.2122791
19100,0.1768812,0.2101014
19200,0.1755224,0.2079561
19300,0.1741764,0.2058427
19400,0.172843,0.2037604
19500,0.171522,0.2017086
19600,0.1702133,0.1996868
19700,0.1689169,0.1976943
19800,0.1676325,0.1957308
19900,0.16636,0.1937954
20000,0.1650993,0.1918879
20100,0.1638502,0.1900075
20200,0.1626127,0.1881538
20300,0.1613866,0.1863264
20400,0.1601718,0.1845246
20500,0.1589681,0.1827481
20600,0.1577754,0.1809963
20700,0.1565937,0.1792689
20800,0.1554227,0.1775654
20900,0.1542624,0.1758853
21000,0.1531127,0.1742282
21100,0.1519734,0.1725937
21200,0.1508443,0.1709814
21300,0.1497256,0.1693909
21400,0.1486168,0.1678218
21500,0.1475181,0.1662738
21600,0.1464292,0.1647464
21700,0.14535,0.1632393
21800,0.1442806,0.1617521
21900,0.1432206,0.1602846
22000,0.1421701,0.1588363
22100,0.1411289,0.1574069
22200,0.1400969,0.1559961
22300,0.139074,0.1546036
22400,0.1380602,0.153229
22500,0.1370553,0.1518722
22600,0.1360592,0.1505326
22700,0.1350718,0.1492102
22800,0.134093,0.1479046
22900,0.1331228,0.1466154
23000,0.132161,0.1453425
23100,0.1312075,0.1440855
23200,0.1302623,0.1428443
23300,0.1293252,0.1416185
23400,0.1283962,0.1404078
23500,0.1274752,0.1392121
23600,0.1265621,0.1380312
23700,0.1256568,0.1368646
23800,0.1247592,0.1357123
23900,0.1238693,0.1345741
24000,0.1229869,0.1334495
24100,0.1221119,0.1323386
24200,0.1212444,0.1312409
24300,0.1203842,0.1301565
24400,0.1195311,0.1290849
24500,0.1186853,0.1280261
24600,0.1178465,0.1269798
24700,0.1170147,0.1259458
24800,0.1161898,0.124924
24900,0.1153718,0.1239141
