Energy,f’,f’’
1000,-24.96307,29.59826
1100,-22.25756,25.92503
1107,-22.48213,25.69872
1112,-22.7925,25.53925
1117,-23.38892,25.38154
1122,-25.23669,25.22559
1127,-23.80648,29.22736
1132,-22.49248,29.03289
1137,-21.74471,28.84172
1142,-21.20348,28.65377
1147,-20.77392,28.46897
1152,-20.41684,28.28724
1157,-20.11247,28.10851
1162,-19.84985,27.93271
1167,-19.62278,27.75976
1172,-19.42824,27.58962
1177,-19.26581,27.42221
1182,-19.13821,27.25747
1187,-19.05294,27.09535
1192,-19.02818,26.9358
1197,-19.11442,26.77875
1200,-19.2902,26.6857
1202,-19.55715,26.62416
1207,-19.31371,28.26664
1212,-18.51269,28.09752
1217,-18.05024,27.93149
1222,-17.69632,27.76847
1227,-17.3995,27.6084
1232,-17.13937,27.45121
1237,-16.90562,27.29683
1242,-16.69221,27.14522
1247,-16.49529,26.9963
1252,-16.31223,26.85002
1257,-16.14113,26.70632
1262,-15.98059,26.56517
1264,-15.91911,26.5094
1267,-15.82956,26.42649
1269,-15.7716,26.37171
1272,-15.68719,26.29026
1274,-15.63252,26.23643
1277,-15.55285,26.15641
1279,-15.50125,26.10353
1282,-15.42606,26.02491
1284,-15.37737,25.97296
1287,-15.30644,25.89571
1289,-15.26054,25.84467
1292,-15.19374,25.76878
1294,-15.15056,25.71863
1297,-15.0878,25.64406
1299,-15.04731,25.59479
1300,-15.02747,25.57029
1302,-14.98859,25.52153
1304,-14.9508,25.47312
1309,-14.86116,25.35359
1314,-14.7787,25.23615
1319,-14.7039,25.12077
1324,-14.6376,25.00743
1329,-14.58106,24.89608
1334,-14.53633,24.78671
1339,-14.50683,24.67928
1344,-14.49873,24.57376
1349,-14.52485,24.47012
1354,-14.61902,24.36835
1359,-14.94587,24.26841
1364,-14.79456,25.31745
1369,-14.32161,25.21927
1374,-14.05124,25.12289
1379,-13.84458,25.02826
1384,-13.67032,24.93538
1389,-13.5161,24.84423
1394,-13.37577,24.75478
1399,-13.24575,24.66702
1400,-13.22077,24.64967
1404,-13.12367,24.58093
1409,-12.71174,24.49284
1414,-12.59986,24.4047
1419,-12.49279,24.31814
1424,-12.38988,24.23317
1429,-12.29063,24.14976
1434,-11.96813,24.06787
1439,-11.87319,23.98355
1444,-11.78148,23.90075
1449,-11.69227,23.81944
1454,-11.60537,23.73963
1459,-11.52059,23.66131
1500,-10.28585,22.91229
1600,-8.612789,21.24186
1700,-7.534489,19.67104
1800,-6.702948,18.26785
1900,-6.160674,17.00593
2000,-5.677538,15.8719
2100,-5.306089,14.84572
2200,-5.022845,13.91392
2300,-4.837223,13.06858
2400,-4.683382,12.29989
2500,-4.592775,11.59989
2600,-4.524515,10.95841
2700,-4.488548,10.36876
2800,-4.486096,9.826266
2900,-4.503703,9.325604
3000,-4.54573,8.862338
3100,-4.590242,8.442252
3200,-4.648667,8.052469
3300,-4.71971,7.690064
3400,-4.807551,7.352631
3500,-4.902124,7.038065
3600,-5.007429,6.744106
3700,-5.12299,6.468942
3800,-5.24914,6.210947
3900,-5.386808,5.968681
4000,-5.535716,5.740861
4100,-5.697333,5.526314
4200,-5.873026,5.323997
4300,-6.06462,5.132967
4400,-6.274519,4.952379
4500,-6.505911,4.781459
4600,-6.763072,4.619511
4700,-7.051863,4.465899
4800,-7.380549,4.320044
4900,-7.768192,4.181555
5000,-8.220013,4.050105
5100,-8.775042,3.924961
5200,-9.493062,3.805723
5300,-10.52065,3.692266
5385,-11.96108,3.599962
5390,-12.08086,3.594645
5395,-12.20715,3.58934
5400,-12.3407,3.584047
5405,-12.48241,3.578766
5410,-12.63336,3.573497
5415,-12.79489,3.56824
5420,-12.96861,3.562995
5425,-13.15657,3.557763
5430,-13.36131,3.552542
5435,-13.58626,3.547333
5440,-13.83587,3.542136
5445,-14.11632,3.536951
5450,-14.43639,3.531778
5455,-14.80939,3.526616
5460,-15.2565,3.521466
5465,-15.81496,3.516327
5470,-16.55968,3.511201
5475,-17.68213,3.506086
5480,-20.03374,3.500983
5485,-20.40495,10.57012
5490,-17.79596,10.55279
5495,-16.6169,10.5355
5500,-15.84676,10.51827
5505,-15.27459,10.50109
5510,-14.81979,10.48395
5515,-14.44287,10.46687
5520,-14.12143,10.44983
5525,-13.84162,10.43284
5530,-13.59423,10.4159
5535,-13.37286,10.39901
5540,-13.1728,10.38217
5545,-12.99057,10.36537
5550,-12.82348,10.34863
5555,-12.66945,10.33193
5560,-12.52676,10.31527
5565,-12.39406,10.29867
5570,-12.27023,10.28211
5575,-12.15434,10.2656
5580,-12.04559,10.24913
5600,-11.67008,10.18374
5700,-10.64871,9.867504
5793,-10.53868,9.58864
5798,-10.55928,9.574044
5800,-10.5686,9.568215
5803,-10.58378,9.559486
5808,-10.61255,9.544968
5813,-10.64602,9.530488
5818,-10.68472,9.516048
5823,-10.7293,9.501646
5828,-10.78056,9.487282
5833,-10.8395,9.472957
5838,-10.90742,9.458672
5843,-10.98599,9.444423
5848,-11.07746,9.430212
5853,-11.18492,9.416039
5858,-11.31279,9.401905
5863,-11.46776,9.387808
5868,-11.66053,9.373748
5873,-11.90993,9.359725
5878,-12.25402,9.345741
5883,-12.79067,9.331793
5888,-13.96404,9.317882
5893,-14.03047,12.84024
5898,-12.73014,12.82092
5900,-12.45097,12.81321
5903,-12.12105,12.80166
5908,-11.71048,12.78245
5913,-11.39799,12.76329
5918,-11.14396,12.74418
5923,-10.92889,12.72513
5928,-10.74169,12.70613
5933,-10.57551,12.68718
5938,-10.42577,12.66828
5943,-10.28929,12.64943
5948,-10.16373,12.63063
5953,-10.04735,12.61189
5958,-9.938815,12.59319
5963,-9.837088,12.57454
5968,-9.741304,12.55595
5973,-9.650792,12.5374
5978,-9.564988,12.51891
5983,-9.483431,12.50046
5988,-9.405712,12.48207
6000,-9.232974,12.43812
6100,-8.27719,12.08257
6169,-7.974894,11.84793
6174,-7.965444,11.83125
6179,-7.958207,11.81461
6184,-7.953236,11.79802
6189,-7.950926,11.78147
6194,-7.951459,11.76496
6199,-7.955168,11.7485
6200,-7.956325,11.74521
6204,-7.962462,11.73208
6209,-7.973854,11.71569
6214,-7.990001,11.69936
6219,-8.011762,11.68306
6224,-8.040294,11.66681
6229,-8.07719,11.65059
6234,-8.124743,11.63442
6239,-8.186407,11.61829
6244,-8.267777,11.6022
6249,-8.378744,11.58615
6254,-8.539527,11.57014
6259,-8.803096,11.55418
6264,-9.4265,11.53825
