Energy,f’,f’’
1000,-27.53443,12.5842
1100,-27.86937,11.63045
1200,-28.68735,10.77192
1300,-30.16222,9.997672
1400,-32.81729,9.297813
1491,-38.39877,8.720231
1496,-38.9584,8.690042
1500,-39.44601,8.665996
1501,-39.57407,8.659999
1506,-40.25565,8.630102
1511,-41.0154,8.600351
1516,-41.86877,8.570745
1521,-42.83541,8.541283
1526,-43.94065,8.511964
1531,-45.21769,8.482786
1536,-46.71077,8.45375
1541,-48.48013,8.424853
1542,-48.87402,8.41909
1546,-50.60973,8.396096
1547,-51.08867,8.390361
1551,-53.22021,8.367477
1552,-53.81444,8.36177
1556,-56.49131,8.338997
1557,-57.24704,8.333317
1561,-60.70377,8.310653
1562,-61.69551,8.304999
1566,-66.32446,8.282444
1567,-67.68166,8.276818
1571,-74.20152,8.254371
1572,-76.17477,8.248772
1576,-86.09871,8.226432
1577,-89.26508,8.22086
1581,-106.6655,8.198627
1582,-112.8729,8.193081
1586,-157.7451,8.170953
1587,-183.3299,8.165434
1591,-146.6261,170.0916
1592,-125.1224,164.5077
1596,-77.43253,144.2487
1597,-70.08954,139.6597
1600,-53.59037,126.9124
1601,-49.44755,122.9801
1602,-45.82065,119.1947
1606,-35.30402,105.4113
1607,-33.46311,102.2775
1611,-28.4403,90.84597
1612,-27.68175,88.24206
1616,-26.29229,78.72669
1617,-26.32269,76.55563
1621,-27.87892,68.60725
1622,-28.63526,66.79046
1626,-33.35134,60.12766
1627,-35.03056,58.60202
1631,-44.70533,52.99745
1632,-48.18582,51.71188
1636,-71.69369,46.98127
1637,-83.00568,45.89429
1641,-93.31759,153.5309
1642,-72.84501,148.8392
1646,-33.51345,131.7296
1647,-27.82976,127.8345
1651,-12.05424,113.6048
1652,-9.284906,110.3594
1656,-1.111243,98.48241
1657,0.3769646,95.76873
1661,4.782036,85.82046
1662,5.572035,83.5434
1666,7.818957,75.18153
1667,8.180488,73.26401
1671,9.106608,66.21159
1672,9.217717,64.59148
1676,9.298714,58.62305
1677,9.242922,57.24962
1681,8.787072,52.18163
1682,8.624516,51.01344
1686,7.826903,46.69582
1687,7.596998,45.69894
1692,6.316004,41.15517
1697,4.886378,37.25793
1700,3.987887,35.18648
1702,3.379244,33.90469
1707,1.842862,31.01057
1712,0.3097534,28.50512
1717,-1.198483,26.32966
1722,-2.668333,24.43519
1727,-4.090592,22.78071
1732,-5.461036,21.33176
1737,-6.77752,20.05935
1800,-19.46281,12.26497
1900,-33.73981,10.04185
1926,-37.86671,10.17805
1931,-38.73006,10.23552
1936,-39.62165,10.30417
1941,-40.54427,10.38463
1946,-41.50093,10.47762
1951,-42.49492,10.58399
1956,-43.52987,10.7047
1961,-44.60981,10.84082
1966,-45.73927,10.99357
1971,-46.92337,11.16436
1976,-48.16808,11.35472
1981,-49.48038,11.56641
1986,-50.86877,11.80141
1991,-52.34394,12.06192
1996,-53.91993,12.35044
2000,-55.26646,12.60327
2001,-55.61676,12.66973
2006,-57.46617,13.02298
2011,-59.52635,13.41367
2016,-61.93791,13.84583
2021,-65.31421,14.32387
2026,-67.28276,19.67408
2031,-67.49914,20.22478
2036,-68.79137,20.83936
2041,-70.50114,21.52499
2046,-72.49926,22.28991
2051,-74.74483,23.14336
2056,-77.22613,24.09578
2061,-79.94497,25.15917
2066,-35.96529,26.12661
2071,-36.4675,26.23302
2076,-37.03321,26.36051
2081,-37.66304,26.51125
2086,-38.35857,26.68765
2091,-39.12249,26.89245
2096,-39.95819,27.12872
2100,-40.68129,27.3427
2101,-40.87,27.39993
2106,-41.86288,27.70999
2111,-42.94275,28.06334
2116,-44.11617,28.46495
2121,-45.39077,28.92052
2166,-16.34419,29.25905
2171,-16.25343,29.14989
2176,-16.16754,29.04168
2181,-16.08659,28.93442
2186,-16.01068,28.82808
2191,-15.93996,28.72267
2196,-15.87467,28.61816
2200,-15.82657,28.53521
2201,-15.81514,28.51456
2206,-15.76181,28.41184
2211,-15.71527,28.31
2216,-15.67635,28.20903
2221,-15.64618,28.10892
2226,-15.62635,28.00966
2231,-15.61919,27.91124
2236,-15.62825,27.81365
2241,-15.6593,27.71688
2246,-15.72259,27.62093
2251,-15.83896,27.52579
2256,-16.06255,27.43144
2261,-16.64481,27.33788
2266,-16.55887,29.16122
2271,-15.80027,29.05551
2276,-15.40665,28.95086
2281,-15.12346,28.84728
2286,-14.89547,28.74475
2291,-14.70121,28.64326
2296,-14.53002,28.54278
2300,-14.4055,28.46313
2301,-14.37581,28.44331
2306,-14.23478,28.34484
2311,-14.10437,28.24735
2316,-13.98279,28.15084
2321,-13.86871,28.05529
2326,-13.76115,27.96069
2331,-13.65935,27.86703
2336,-13.5627,27.7743
2341,-13.47072,27.68249
2346,-13.38302,27.59158
2351,-13.29927,27.50157
2356,-13.21921,27.41246
2361,-13.14263,27.32422
2394,-12.71444,26.76324
2399,-12.66045,26.6814
2400,-12.64999,26.66513
2404,-12.60927,26.60036
2409,-12.56096,26.52012
2414,-12.51558,26.44067
2419,-12.47325,26.36201
