Energy,f’,f’’
1000,-2.593322,10.23266
1100,-1.675579,8.953961
1200,-1.088725,7.901873
1300,-0.7132812,7.025067
1400,-0.4637338,6.288702
1500,-0.3005067,5.66295
1600,-0.1981491,5.126549
1700,-0.1352927,4.663224
1800,-0.1016464,4.260087
1900,-8.8959008E-02,3.907067
2000,-9.1435447E-02,3.596133
2100,-0.1049428,3.320808
2200,-0.126498,3.075824
2300,-0.1539287,2.856859
2400,-0.1856437,2.660337
2500,-0.2204765,2.483279
2600,-0.271371,2.323759
2700,-0.3171999,2.180622
2800,-0.3565209,2.050371
2900,-0.3971552,1.931452
3000,-0.4415186,1.822574
3100,-0.4822324,1.723673
3200,-0.5229496,1.632781
3300,-0.5636559,1.549043
3400,-0.6043026,1.471717
3500,-0.6449459,1.400155
3600,-0.6856215,1.33379
3700,-0.7263923,1.272122
3800,-0.7673367,1.214713
3900,-0.8085489,1.161173
4000,-0.8501369,1.111158
4100,-0.8922238,1.06436
4200,-0.9349482,1.020506
4300,-0.9784665,0.9793499
4400,-1.022954,0.9406725
4500,-1.06861,0.9042758
4600,-1.11566,0.8699815
4700,-1.164364,0.8376287
4800,-1.215023,0.8070713
4900,-1.267986,0.7781776
5000,-1.323668,0.7508272
5100,-1.382567,0.7249108
5200,-1.445282,0.7003286
5300,-1.512558,0.6769893
5400,-1.585324,0.6548097
5500,-1.664771,0.6337131
5600,-1.752459,0.6136295
5700,-1.850484,0.594494
5800,-1.961764,0.5762473
5900,-2.090522,0.5588347
6000,-2.243206,0.5422053
6100,-2.430363,0.5263125
6200,-2.671023,0.5111128
6300,-3.005053,0.4965661
6400,-3.541203,0.4826351
6442,-3.907833,0.4769593
6447,-3.962403,0.4762903
6452,-4.020187,0.4756227
6457,-4.081566,0.4749566
6462,-4.14701,0.4742918
6467,-4.217065,0.4736284
6472,-4.292402,0.4729665
6477,-4.37385,0.4723059
6482,-4.462439,0.4716468
6487,-4.55951,0.470989
6492,-4.666786,0.4703325
6497,-4.786581,0.4696775
6500,-4.865742,0.4692852
6502,-4.922084,0.4690239
6507,-5.077923,0.4683716
6512,-5.261053,0.4677207
6517,-5.482755,0.4670711
6522,-5.763119,0.4664229
6527,-6.143738,0.4657761
6532,-6.735828,0.4651306
6537,-8.120326,0.4644864
6542,-7.669744,3.961807
6547,-6.567698,3.955746
6552,-6.018919,3.949704
6557,-5.649268,3.943682
6562,-5.369643,3.93768
6567,-5.144344,3.931698
6572,-4.955494,3.925735
6577,-4.792808,3.919792
6582,-4.649844,3.913869
6587,-4.522255,3.907964
6592,-4.407022,3.902079
6597,-4.301929,3.896214
6600,-4.243036,3.892704
6602,-4.205312,3.890367
6607,-4.115896,3.88454
6612,-4.032653,3.878732
6617,-3.954782,3.872942
6622,-3.881622,3.867172
6627,-3.812636,3.86142
6632,-3.747355,3.855687
6637,-3.685405,3.849972
6700,-3.094114,3.779532
6800,-2.51422,3.673403
6900,-2.126181,3.573765
7000,-1.837302,3.480123
7100,-1.60959,3.392025
7200,-1.423525,3.309065
7300,-1.267655,3.23087
7400,-1.134648,3.157106
7500,-1.019504,3.087463
7600,-0.9186519,3.021661
7700,-0.8294433,2.959443
7800,-0.7498596,2.900574
7900,-0.6783244,2.844838
8000,-0.6135811,2.792038
8100,-0.5546114,2.741991
8200,-0.5005794,2.694529
8300,-0.4507872,2.649497
8400,-0.4046486,2.606753
8500,-0.3616792,2.566164
8600,-0.2325643,2.517268
8700,-0.1917119,2.469638
8800,-0.1538414,2.423293
8900,-0.1186905,2.378186
9000,-8.6173862E-02,2.334473
9100,-5.5908732E-02,2.291957
9200,-2.7708838E-02,2.250596
9300,-1.4071277E-03,2.210345
9400,2.3145126E-02,2.171166
9500,4.608262E-02,2.133019
9600,6.7526229E-02,2.09587
9700,8.7585405E-02,2.059683
9800,0.10636,2.024423
9900,0.1239403,1.990061
10000,0.1404092,1.956564
10100,0.155842,1.923904
10200,0.1703078,1.892053
10300,0.1838704,1.860984
10400,0.1965881,1.830672
10500,0.2085149,1.80109
10600,0.2197003,1.772217
10700,0.2301902,1.74403
10800,0.2400274,1.716506
10900,0.2492511,1.689625
11000,0.257898,1.663366
11100,0.2660021,1.637711
11200,0.273595,1.612641
11300,0.2807064,1.588138
11400,0.2873635,1.564185
11500,0.2935922,1.540765
11600,0.2994165,1.517863
11700,0.3048588,1.495463
11800,0.3099402,1.473551
11900,0.3146803,1.452113
12000,0.3190986,1.431134
12100,0.3230444,1.410603
12200,0.3268663,1.390507
12300,0.3302916,1.370834
12400,0.3335795,1.351571
12500,0.3366218,1.332707
12600,0.3394312,1.31423
12700,0.3420197,1.29613
12800,0.3443987,1.278397
12900,0.3465789,1.261021
13000,0.3485705,1.243992
13100,0.3496771,1.227307
13200,0.3513129,1.210975
13300,0.3527884,1.194963
13400,0.3541115,1.179264
13500,0.3552898,1.163868
13600,0.3563306,1.148769
13700,0.3572408,1.133958
13800,0.3580267,1.119428
13900,0.3586946,1.105173
14000,0.3592503,1.091185
14100,0.3596994,1.077457
14200,0.3600471,1.063983
14300,0.3602984,1.050757
14400,0.3604585,1.037773
14500,0.3598557,1.025029
14600,0.3598431,1.012518
14700,0.3597516,1.000232
14800,0.3595855,0.9881643
14900,0.3593482,0.9763112
15000,0.3590434,0.9646669
15100,0.3586744,0.9532267
15200,0.3582443,0.9419859
15300,0.3577563,0.9309397
15400,0.3572131,0.9200838
15500,0.3566176,0.9094136
15600,0.3559723,0.8989251
15700,0.3552797,0.8886142
15800,0.3545423,0.8784766
15900,0.3537624,0.8685088
16000,0.3529419,0.8587067
16100,0.3520832,0.8490669
16200,0.351188,0.8395855
16300,0.3502584,0.8302596
16400,0.3492961,0.8210853
16500,0.3483028,0.8120594
16600,0.3472801,0.8031788
16700,0.3462298,0.7944404
16800,0.3451532,0.7858414
16900,0.3440517,0.7773784
17000,0.3429268,0.7690488
17100,0.3417797,0.7608497
17200,0.3406117,0.7527785
17300,0.3394241,0.7448326
17400,0.3382179,0.7370092
17500,0.3369942,0.7293059
17600,0.3357541,0.7217203
17700,0.3344986,0.7142499
17800,0.3332286,0.7068927
17900,0.3319452,0.6996459
18000,0.330649,0.6925077
18100,0.329341,0.6854758
18200,0.3280219,0.6785482
18300,0.3266927,0.6717228
18400,0.3253538,0.6649974
18500,0.3240062,0.6583703
18600,0.3226504,0.6518396
18700,0.3212871,0.6454032
18800,0.3199169,0.6390597
18900,0.3185403,0.6328069
19000,0.3171581,0.6266433
19100,0.3157706,0.6205672
19200,0.3143784,0.6145769
19300,0.3129821,0.6086709
19400,0.3115819,0.6028476
19500,0.3101785,0.5971053
19600,0.3087723,0.5914426
19700,0.3073636,0.5858582
19800,0.3059529,0.5803505
19900,0.3045405,0.5749181
20000,0.3031268,0.5695597
20100,0.3017122,0.5642739
20200,0.3002969,0.5590595
20300,0.2988813,0.5539152
20400,0.2974657,0.5488396
20500,0.2960503,0.5438317
20600,0.2946354,0.5388901
20700,0.2932214,0.5340139
20800,0.2918084,0.5292017
20900,0.2903967,0.5244526
21000,0.2889865,0.5197653
21100,0.287578,0.5151387
21200,0.2861715,0.5105721
21300,0.2847671,0.5060642
21400,0.283365,0.5016141
21500,0.2819653,0.4972208
21600,0.2805683,0.4928832
21700,0.2791741,0.4886006
21800,0.2777829,0.484372
21900,0.2763948,0.4801964
22000,0.2750099,0.476073
22100,0.2735139,0.472001
22200,0.2721369,0.4679797
22300,0.2707632,0.4640082
22400,0.2693932,0.4600854
22500,0.2680269,0.4562107
22600,0.2666645,0.4523833
22700,0.2653061,0.4486023
22800,0.2639517,0.4448673
22900,0.2626014,0.4411771
23000,0.2612553,0.4375313
23100,0.2599134,0.4339291
23200,0.2585757,0.4303699
23300,0.2572425,0.4268529
23400,0.2559135,0.4233775
23500,0.254589,0.419943
23600,0.2532689,0.4165488
23700,0.2519532,0.4131943
23800,0.250642,0.4098789
23900,0.2493352,0.4066019
24000,0.2480329,0.4033628
24100,0.2467351,0.400161
24200,0.2454417,0.396996
24300,0.2441528,0.3938671
24400,0.2428682,0.3907739
24500,0.2415879,0.3877157
24600,0.2403119,0.3846921
24700,0.2390402,0.3817026
24800,0.2377726,0.3787466
24900,0.236509,0.3758237
