Energy,f’,f’’
1000,-6.572898,9.76787
1100,-6.388963,8.655666
1200,-6.333043,7.727785
1300,-6.372462,6.944073
1400,-6.48863,6.275085
1500,-6.703879,5.701377
1600,-6.973423,5.209516
1700,-7.293856,4.781232
1800,-7.694293,4.405382
1900,-8.205021,4.073721
2000,-8.857625,3.779907
2100,-9.74664,3.517735
2200,-11.08464,3.282687
2273,-12.71902,3.126068
2278,-12.87251,3.115764
2283,-13.03434,3.105514
2288,-13.20547,3.095314
2293,-13.38702,3.085167
2298,-13.58034,3.07507
2300,-13.66132,3.071046
2303,-13.78706,3.065025
2308,-14.00921,3.055029
2313,-14.24926,3.045084
2318,-14.51044,3.035189
2323,-14.79684,3.025343
2328,-15.114,3.015546
2333,-15.46948,3.005799
2338,-15.87413,2.996099
2343,-16.34417,2.986448
2348,-16.90577,2.976844
2353,-17.60485,2.967288
2358,-18.53469,2.957778
2363,-19.93615,2.948316
2367,-22.01328,2.94078
2368,-22.92716,2.9389
2372,-24.33532,11.45316
2373,-22.94839,11.44321
2377,-20.36532,11.40362
2378,-19.9815,11.39377
2382,-18.8449,11.35456
2383,-18.62568,11.34481
2387,-17.90458,11.30597
2388,-17.75401,11.29631
2392,-17.23567,11.25785
2393,-17.12334,11.24828
2397,-16.72728,11.21019
2398,-16.63976,11.20071
2400,-16.47641,11.18181
2402,-16.32724,11.16298
2403,-16.25747,11.15359
2407,-16.00713,11.11622
2408,-15.95111,11.10693
2412,-15.75034,11.06991
2413,-15.7056,11.0607
2417,-15.54684,11.02403
2418,-15.51198,11.01491
2422,-15.39099,10.97859
2423,-15.36527,10.96955
2427,-15.2804,10.93357
2428,-15.26372,10.92462
2432,-15.21579,10.88898
2433,-15.20869,10.88011
2437,-15.20153,10.8448
2438,-15.20545,10.83601
2442,-15.24747,10.80103
2443,-15.26536,10.79233
2447,-15.37351,10.75767
2448,-15.4114,10.74905
2452,-15.62235,10.71472
2453,-15.69425,10.70617
2457,-16.10612,10.67216
2458,-16.25604,10.6637
2462,-17.32926,10.62999
2463,-17.91266,10.62161
2467,-17.37727,14.79013
2468,-16.85975,14.77822
2472,-15.6669,14.7308
2477,-14.81723,14.67202
2482,-14.21916,14.61381
2487,-13.74643,14.55614
2492,-13.34978,14.49903
2497,-13.00575,14.44245
2500,-12.81851,14.40876
2502,-12.70034,14.38641
2507,-12.42494,14.33089
2512,-12.17367,14.27589
2517,-11.94245,14.22141
2522,-11.72818,14.16744
2527,-11.5286,14.11397
2532,-11.34186,14.061
2537,-11.16655,14.00851
2542,-11.00149,13.95652
2547,-10.84573,13.905
2552,-10.69848,13.85396
2557,-10.55908,13.80338
2562,-10.42696,13.75327
2600,-9.622687,13.38706
2605,-9.540086,13.34073
2610,-9.462568,13.29482
