Energy,f’,f’’
1000,-222.16,172.2258
1100,-10.97099,33.24553
1200,-17.41598,21.76273
1205,-17.62504,21.51943
1210,-17.83076,21.28838
1215,-18.03421,21.06849
1220,-18.23652,20.8588
1225,-18.4389,20.65844
1230,-18.64267,20.46663
1235,-18.84929,20.28271
1240,-19.06045,20.10603
1245,-19.27818,19.93606
1250,-19.50493,19.77228
1255,-19.74387,19.61426
1260,-19.99918,19.4616
1265,-20.27991,19.31395
1270,-20.58839,19.17097
1275,-20.94154,19.03235
1280,-21.36358,18.89783
1285,-21.90364,18.76717
1290,-22.68965,18.64013
1295,-24.32889,18.51654
1300,-24.2584,22.81371
1305,-22.79397,22.64808
1305,-22.79397,22.64808
1310,-22.14547,22.48714
1310,-22.14547,22.48714
1315,-21.74822,22.33069
1315,-21.74822,22.33069
1320,-21.47713,22.17855
1320,-21.47713,22.17855
1325,-21.28334,22.03057
1325,-21.28334,22.03057
1330,-21.1427,21.88657
1330,-21.1427,21.88657
1335,-21.0416,21.74644
1335,-21.0416,21.74644
1340,-20.97175,21.61002
1340,-20.97175,21.61002
1345,-20.92785,21.47721
1345,-20.92785,21.47721
1350,-20.90651,21.3479
1350,-20.90651,21.3479
1355,-20.90562,21.22198
1355,-20.90562,21.22198
1360,-20.92412,21.09936
1360,-20.92412,21.09936
1365,-20.9743,20.97996
1365,-20.9743,20.97996
1370,-21.03236,20.86371
1370,-21.03236,20.86371
1375,-21.11295,20.75053
1375,-21.11295,20.75053
1380,-21.22067,20.64034
1380,-21.22067,20.64034
1385,-21.36431,20.53309
1385,-21.36431,20.53309
1390,-21.56239,20.42873
1390,-21.56239,20.42873
1395,-21.86288,20.3272
1395,-21.86288,20.3272
1400,-22.47725,20.22846
1405,-22.6371,21.96752
1410,-21.96847,21.85758
1415,-21.69655,21.75091
1420,-21.54098,21.64746
1425,-21.44484,21.54721
1430,-21.38639,21.45012
1435,-21.35498,21.35618
1440,-21.34455,21.26536
1445,-21.35138,21.17766
1450,-21.373,21.09308
1455,-21.40773,21.01161
1460,-21.45438,20.93326
1465,-21.51209,20.85805
1470,-21.58027,20.78598
1475,-21.6585,20.71709
1478,-21.71013,20.6773
1480,-21.74649,20.65141
1483,-21.8039,20.61356
1485,-21.84409,20.58898
1488,-21.90723,20.55309
1490,-21.95123,20.52983
1493,-22.02011,20.49594
1495,-22.06795,20.47403
1498,-22.14261,20.44217
1500,-22.19434,20.42163
1503,-22.2749,20.39184
1508,-22.41721,20.34502
1513,-22.56988,20.3018
1518,-22.73335,20.26226
1523,-22.9082,20.2265
1528,-23.09514,20.19464
1533,-23.29515,20.16678
1538,-23.50948,20.14308
1543,-23.7399,20.12366
1548,-23.98896,20.10869
1553,-24.26063,20.09834
1558,-24.56172,20.0928
1563,-24.90584,20.09227
1568,-25.32809,20.09697
1573,-25.99736,20.10713
1578,-26.18776,21.29536
1583,-26.05951,21.31436
1588,-26.14972,21.33973
1593,-26.31697,21.37178
1598,-26.52994,21.41087
1600,-26.62499,21.42857
1603,-26.77673,21.45739
1608,-27.0518,21.51175
1613,-27.35237,21.57439
1618,-27.67702,21.64581
1623,-28.02513,21.72652
1628,-28.39659,21.81709
1633,-28.79163,21.91814
1638,-29.21075,22.03033
1643,-29.65463,22.15437
1648,-30.12414,22.29104
1653,-30.2197,22.44032
1658,-30.74212,22.59871
1663,-31.29372,22.77245
1668,-31.87587,22.96261
1673,-32.49013,23.17034
1700,-10.17749,23.77393
1800,-8.890843,22.16879
1900,-7.592453,20.69083
2000,-6.798687,19.34042
2100,-6.133685,18.11884
2200,-5.638931,17.00338
2300,-5.35254,15.99478
2400,-5.045087,15.07435
2500,-4.80478,14.23137
2600,-4.641282,13.45733
2700,-4.502455,12.74903
2800,-4.40089,12.09563
2900,-4.344171,11.49384
3000,-4.302425,10.93654
3100,-4.28235,10.4231
3200,-4.281208,9.946372
3300,-4.295607,9.502919
3400,-4.32386,9.089608
3500,-4.364373,8.703697
3600,-4.415882,8.342752
3700,-4.477395,8.004607
3800,-4.548157,7.687333
3900,-4.627613,7.3892
4000,-4.726229,7.108998
4100,-4.822451,6.845425
4200,-4.926631,6.596805
4300,-5.040062,6.362027
4400,-5.160683,6.140029
4500,-5.290062,5.929865
4600,-5.430264,5.730698
4700,-5.57924,5.54177
4800,-5.739467,5.36234
4900,-5.91231,5.191767
5000,-6.099522,5.029458
5100,-6.303355,4.874871
5200,-6.526738,4.727511
5300,-6.773543,4.586922
5400,-7.049003,4.452682
5500,-7.36042,4.324406
5600,-7.718393,4.201735
5700,-8.147805,4.084697
5800,-8.658286,3.972724
5900,-9.307886,3.86543
6000,-10.20643,3.762572
6100,-11.69323,3.66396
6110,-11.91136,3.654346
6115,-12.02883,3.649554
6120,-12.15275,3.644772
6125,-12.28388,3.64
6130,-12.42311,3.635237
6135,-12.57152,3.630483
6140,-12.73042,3.62574
6145,-12.90144,3.621006
6150,-13.0866,3.616282
6155,-13.28846,3.611567
6160,-13.51034,3.606862
6165,-13.75673,3.602166
6170,-14.03372,3.59748
6175,-14.35002,3.592803
6180,-14.71866,3.588136
6185,-15.16056,3.583478
6190,-15.71214,3.578829
6195,-16.4463,3.57419
6200,-17.54658,3.56956
6205,-19.79935,3.564939
6210,-20.54021,10.66101
6215,-17.7732,10.64249
6220,-16.55962,10.62404
6225,-15.77155,10.60565
6230,-15.18716,10.58733
6235,-14.72284,10.56908
6240,-14.33789,10.5509
6245,-14.00935,10.53278
6250,-13.72305,10.51473
6255,-13.46959,10.49675
6260,-13.24241,10.47882
6265,-13.0368,10.46097
6270,-12.84914,10.44318
6275,-12.67674,10.42545
6280,-12.51744,10.40779
6285,-12.36956,10.39019
6290,-12.23166,10.37266
6295,-12.10264,10.35519
6300,-11.98152,10.33778
6305,-11.86753,10.32043
6400,-10.50593,10.00236
6500,-9.915818,9.68974
6600,-9.898324,9.397933
6624,-10.00859,9.330793
6629,-10.04033,9.316941
6634,-10.07571,9.303138
6639,-10.11513,9.289378
6644,-10.15904,9.275664
6649,-10.20797,9.261997
6654,-10.2626,9.248376
6659,-10.32374,9.234799
6664,-10.39241,9.221268
6669,-10.46994,9.207781
6674,-10.55801,9.19434
6679,-10.65893,9.180943
6684,-10.77583,9.16759
6689,-10.91321,9.154281
6694,-11.07784,9.141017
6699,-11.28065,9.127796
6700,-11.32725,9.125157
6704,-11.54085,9.114619
6709,-11.89741,9.101485
6714,-12.45111,9.088394
6719,-13.66916,9.075348
6724,-13.65447,12.62447
6729,-12.38171,12.60508
6734,-11.77788,12.58577
6739,-11.37315,12.56653
6744,-11.06599,12.54735
6749,-10.81712,12.52824
6754,-10.60712,12.5092
6759,-10.42499,12.49022
6764,-10.26382,12.47132
6769,-10.11905,12.45247
6774,-9.987489,12.4337
6779,-9.866812,12.41499
6784,-9.755255,12.39635
6789,-9.651487,12.37777
6794,-9.554453,12.35926
6799,-9.463317,12.34081
6800,-9.445725,12.33713
6804,-9.377376,12.32243
6809,-9.296073,12.30411
6814,-9.218938,12.28586
6819,-9.145584,12.26767
6900,-8.303381,11.98174
7000,-7.79077,11.65007
7029,-7.73944,11.55803
7034,-7.736511,11.54234
7039,-7.735659,11.5267
7044,-7.737069,11.51112
7049,-7.740953,11.49559
7054,-7.74769,11.48011
7059,-7.757398,11.46469
7064,-7.77064,11.44931
7069,-7.787903,11.43399
7074,-7.809853,11.41872
7079,-7.837356,11.4035
7084,-7.871582,11.38833
7089,-7.914145,11.37321
7094,-7.967368,11.35814
7099,-8.034787,11.34312
7100,-8.050418,11.34012
7104,-8.122112,11.32815
7109,-8.239537,11.31323
7114,-8.408099,11.29836
7119,-8.684214,11.28354
7124,-9.36234,11.26877
7129,-9.109167,13.02563
7134,-8.529515,13.01038
7139,-8.229565,12.99516
7144,-8.020247,12.98
7149,-7.856532,12.96488
7154,-7.72043,12.94982
7159,-7.602875,12.93479
7164,-7.498692,12.91982
7169,-7.404624,12.90488
7174,-7.3185,12.89
7179,-7.238771,12.87516
7184,-7.16433,12.86037
7189,-7.094335,12.84562
7194,-7.028144,12.83092
7199,-6.965233,12.81626
7200,-6.953009,12.81334
7204,-6.9052,12.80165
7209,-6.847709,12.78708
7214,-6.792485,12.77256
7219,-6.739302,12.75808
7224,-6.687954,12.74365
7300,-6.055912,12.52957
7400,-5.449692,12.26241
7500,-4.973139,12.01061
7600,-4.576921,11.77306
7700,-4.23732,11.54875
7800,-3.940383,11.33675
7900,-3.67692,11.13623
8000,-3.440416,10.94645
8100,-2.996889,10.75822
8200,-2.791244,10.55826
8300,-2.603791,10.36554
8400,-2.432213,10.17971
8500,-2.274629,10.00043
8600,-2.129529,9.82739
8700,-1.995737,9.660311
8800,-1.734552,9.489115
8900,-1.616378,9.316629
9000,-1.503938,9.151339
9100,-1.399481,8.9905
9200,-1.30233,8.833956
9300,-1.212252,8.681561
9400,-1.128051,8.533195
9500,-1.049523,8.388693
9600,-0.9762912,8.24792
9700,-0.9078652,8.110748
9800,-0.8439268,7.977051
9900,-0.7841614,7.846712
10000,-0.7282754,7.719615
10100,-0.6760028,7.595652
10200,-0.6271002,7.47472
10300,-0.5813432,7.356718
10400,-0.5385274,7.241551
10500,-0.4984632,7.129126
10600,-0.4609769,7.019355
10700,-0.4259081,6.912156
10800,-0.3931077,6.807445
10900,-0.3624385,6.705146
11000,-0.3337723,6.605182
