Energy,f’,f’’
1000,-1.546897,3.586705
1100,-0.7592142,3.141146
1200,-0.3114363,2.755257
1300,-3.1802926E-02,2.421758
1400,0.1484236,2.133625
1500,0.1908214,1.893196
1600,0.2631764,1.702406
1700,0.3117324,1.538988
1800,0.3438735,1.397896
1900,0.3644597,1.275208
2000,0.3767894,1.167834
2100,0.3831569,1.073313
2200,0.385189,0.9896618
2300,0.3840579,0.9152703
2400,0.3806186,0.8488163
2500,0.3755015,0.7892079
2600,0.3691739,0.7355353
2700,0.3619838,0.6870356
2800,0.3541889,0.6430656
2900,0.3459758,0.6030794
3000,0.3374693,0.5666111
3100,0.32911,0.5334375
3200,0.3207462,0.5030252
3300,0.3124419,0.4750767
3400,0.304245,0.4493336
3500,0.2952795,0.4255943
3600,0.287279,0.403697
3700,0.2794851,0.3834216
3800,0.2719087,0.3646118
3900,0.2645557,0.3471298
4000,0.2574289,0.3308536
4100,0.2505284,0.3156751
4200,0.2438521,0.3014978
4300,0.2373965,0.2882357
4400,0.2311572,0.2758121
4500,0.2251286,0.2641578
4600,0.219305,0.2532109
4700,0.2136801,0.2429155
4800,0.2082472,0.2332211
4900,0.2029999,0.224082
5000,0.1979315,0.2154568
5100,0.1930354,0.2073079
5200,0.1883051,0.199601
5300,0.1837343,0.1923049
5400,0.1793167,0.1853912
5500,0.1750464,0.1788336
5600,0.1709175,0.1726085
5700,0.1669244,0.1666937
5800,0.1630616,0.1610691
5900,0.1593241,0.1557163
6000,0.1557067,0.1506182
6100,0.1522046,0.1457588
6200,0.1488133,0.1411238
6300,0.1455283,0.1366996
6400,0.1423455,0.1324737
6500,0.1392608,0.1284346
6600,0.1362703,0.1245715
6700,0.1333703,0.1208744
6800,0.1305574,0.1173341
6900,0.1278281,0.1139419
7000,0.1251793,0.1106897
7100,0.1226078,0.1075701
7200,0.1201108,0.104576
7300,0.1176853,0.1017007
7400,0.1153288,9.8938279E-02
7500,0.1130386,9.628287E-02
7600,0.1108123,9.3729086E-02
7700,0.1086476,9.127187E-02
7800,0.1065422,8.8906474E-02
7900,0.1044939,8.6628452E-02
8000,0.1025008,8.4433585E-02
8100,0.1005608,8.2317933E-02
8200,9.8672062E-02,8.0277793E-02
8300,9.6832767E-02,7.830964E-02
8400,9.5034733E-02,7.6410234E-02
8500,9.328939E-02,7.4576385E-02
8600,9.1588534E-02,7.2805174E-02
8700,8.9930661E-02,7.1093827E-02
8800,8.831428E-02,6.9439687E-02
8900,8.6738035E-02,6.7840301E-02
9000,8.5209906E-02,6.6305742E-02
9100,8.3719686E-02,6.4820923E-02
9200,8.226613E-02,6.3383751E-02
9300,8.0848016E-02,6.1992206E-02
9400,7.9464212E-02,6.0644433E-02
9500,7.8113593E-02,5.9338603E-02
9600,7.6795109E-02,5.8073036E-02
9700,7.5507753E-02,5.6846119E-02
9800,7.4250512E-02,5.5656292E-02
9900,7.3022477E-02,5.4502118E-02
10000,7.1822725E-02,5.3382181E-02
10100,7.0650384E-02,5.2295167E-02
10200,6.9504634E-02,5.123983E-02
10300,6.838464E-02,5.0214943E-02
10400,6.7289665E-02,4.9219377E-02
10500,6.6218928E-02,4.8252031E-02
10600,6.5171719E-02,4.7311865E-02
10700,6.4147361E-02,4.6397891E-02
10800,6.3145168E-02,4.5509145E-02
10900,6.2164519E-02,4.4644736E-02
11000,6.1204769E-02,4.3803778E-02
11100,6.0265332E-02,4.2985454E-02
11200,5.9345644E-02,4.2188972E-02
11300,5.8445126E-02,4.1413564E-02
11400,5.756326E-02,4.0658515E-02
11500,5.6699514E-02,3.9923113E-02
