Energy,f’,f’’
1000,0.2319962,1.680168
1100,0.3044837,1.436161
1200,0.3424058,1.24163
1300,0.3600678,1.083937
1400,0.3655142,0.9542704
1500,0.3634922,0.8463244
1600,0.3569041,0.7554846
1700,0.3475705,0.6783078
1800,0.3366553,0.6121802
1900,0.3249114,0.5550877
2000,0.3128293,0.505457
2100,0.3007284,0.4620443
2200,0.287165,0.4240059
2300,0.2756167,0.3904296
2400,0.2644817,0.3606004
2500,0.253801,0.3339825
2600,0.2435933,0.3101327
2700,0.2338621,0.2886815
2800,0.224601,0.2693196
2900,0.215797,0.2517856
3000,0.207433,0.2358582
3100,0.1994393,0.2214524
3200,0.1918651,0.2083014
3300,0.1846818,0.1962641
3400,0.1778761,0.1852187
3500,0.1714218,0.1750595
3600,0.1652978,0.1656947
3700,0.1594837,0.1570439
3800,0.1539607,0.1490369
3900,0.1487109,0.1416115
4000,0.1437174,0.1347133
4100,0.1389647,0.1282937
4200,0.1344381,0.1223099
4300,0.130124,0.1167234
4400,0.1260096,0.1115003
4500,0.122083,0.1066098
4600,0.1183333,0.1020247
4700,0.1147502,9.7720146E-02
4800,0.1113239,9.3673967E-02
4900,0.1080457,8.9866117E-02
5000,0.1049071,8.6278394E-02
5100,0.1019004,8.2894333E-02
5200,9.9018283E-02,7.9698965E-02
5300,9.6253984E-02,7.6678641E-02
5400,9.3601175E-02,7.3820986E-02
5500,9.1053918E-02,7.1114644E-02
5600,8.860667E-02,6.8549231E-02
5700,8.6254232E-02,6.6115245E-02
5800,8.3991721E-02,6.3803963E-02
5900,8.1814602E-02,6.1607398E-02
6000,7.9718575E-02,5.9518162E-02
6100,7.7699624E-02,5.7529468E-02
6200,7.5753964E-02,5.5635046E-02
6300,7.3878042E-02,5.3829104E-02
6400,7.2068527E-02,5.210631E-02
6500,7.032226E-02,5.0461698E-02
6600,6.8636276E-02,4.8890673E-02
6700,6.700778E-02,4.7388975E-02
6800,6.5434113E-02,4.5952633E-02
6900,6.3912809E-02,4.4577979E-02
7000,6.2441483E-02,4.3261576E-02
7100,6.1017916E-02,4.200023E-02
7200,5.9639987E-02,4.079096E-02
7300,5.8305684E-02,3.9630979E-02
7400,5.7013121E-02,3.8517695E-02
7500,5.5760477E-02,3.7448671E-02
7600,5.4546032E-02,3.6421627E-02
7700,5.336814E-02,3.5434432E-02
7800,5.2225228E-02,3.4485079E-02
7900,5.11158E-02,3.3571701E-02
8000,5.0038412E-02,3.2692526E-02
8100,4.8991662E-02,3.1845897E-02
8200,4.7974214E-02,3.1030266E-02
8300,4.6984725E-02,3.0244147E-02
8400,4.6021923E-02,2.9486176E-02
8500,4.5084491E-02,2.8755032E-02
8600,4.4171132E-02,2.8049495E-02
8700,4.3280505E-02,2.7368411E-02
8800,4.241116E-02,2.6710672E-02
8900,4.1561551E-02,2.6075255E-02
9000,4.0760089E-02,2.54659E-02
9100,3.998005E-02,2.4876775E-02
9200,3.9220676E-02,2.4307016E-02
9300,3.8481221E-02,2.3755785E-02
9400,3.7760992E-02,2.3222314E-02
9500,3.7059315E-02,2.2705847E-02
9600,3.6375552E-02,2.2205688E-02
9700,3.5709094E-02,2.1721175E-02
9800,3.5059344E-02,2.1251662E-02
9900,3.4425735E-02,2.0796558E-02
10000,3.3777609E-02,2.0355323E-02
10100,3.3172399E-02,1.9927824E-02
10200,3.2582264E-02,1.9513141E-02
10300,3.2006375E-02,1.9110773E-02
10400,3.144427E-02,1.8720251E-02
10500,3.0895501E-02,1.8341111E-02
10600,3.0359644E-02,1.7972929E-02
10700,2.9836301E-02,1.7615298E-02
10800,2.931089E-02,1.726784E-02
10900,2.8811011E-02,1.6930223E-02
11000,2.8322529E-02,1.6602028E-02
11100,2.7845103E-02,1.6282916E-02
11200,2.7378403E-02,1.5972562E-02
11300,2.6922094E-02,1.567065E-02
11400,2.6475878E-02,1.5376884E-02
11500,2.6039448E-02,1.5090976E-02
11600,2.5612518E-02,1.4812655E-02
11700,2.5194816E-02,1.4541661E-02
11800,2.478607E-02,1.4277739E-02
11900,2.4386026E-02,1.4020653E-02
12000,2.3994431E-02,1.377017E-02
12100,2.3611048E-02,1.352607E-02
12200,2.3235653E-02,1.3288145E-02
12300,2.2868011E-02,1.3056188E-02
12400,2.2507919E-02,1.2830008E-02
12500,2.2155158E-02,1.2609414E-02
12600,2.1809537E-02,1.2394228E-02
12700,2.147086E-02,1.2184282E-02
12800,2.1138936E-02,1.1979404E-02
12900,2.0813592E-02,1.177944E-02
13000,2.0494645E-02,1.1584233E-02
13100,2.0181932E-02,1.1393636E-02
13200,1.987529E-02,1.1207514E-02
13300,1.9574555E-02,1.1025721E-02
13400,1.9279582E-02,1.0848135E-02
13500,1.8990217E-02,1.0674622E-02
13600,1.870632E-02,1.0505065E-02
13700,1.8427754E-02,1.0339348E-02
13800,1.8154381E-02,1.0177353E-02
13900,1.7886074E-02,1.0018976E-02
14000,1.7622706E-02,9.8641096E-03
14100,1.7364154E-02,9.7126532E-03
14200,1.7110303E-02,9.5645115E-03
14300,1.6861036E-02,9.4195856E-03
14400,1.6616244E-02,9.2777899E-03
14500,1.6375817E-02,9.1390321E-03
14600,1.6139651E-02,9.0032304E-03
14700,1.5907647E-02,8.8703036E-03
14800,1.5679704E-02,8.7401699E-03
14900,1.5455729E-02,8.6127557E-03
15000,1.5235626E-02,8.4879845E-03
15100,1.5019309E-02,8.3657876E-03
15200,1.480669E-02,8.2460949E-03
15300,1.4597681E-02,8.1288395E-03
15400,1.4392205E-02,8.0139581E-03
15500,1.4190177E-02,7.9013873E-03
15600,1.3991521E-02,7.7910661E-03
15700,1.3796164E-02,7.6829381E-03
15800,1.3604028E-02,7.5769448E-03
15900,1.3415048E-02,7.4730334E-03
16000,1.3229148E-02,7.3711481E-03
16100,1.3046264E-02,7.2712395E-03
16200,1.2866329E-02,7.1732574E-03
16300,1.2689285E-02,7.0771552E-03
16400,1.2515061E-02,6.982883E-03
16500,1.23436E-02,6.8903966E-03
16600,1.2174845E-02,6.7996527E-03
