Energy,f’,f’’
1000,-26.95243,16.30092
1100,-26.6183,14.97383
1200,-26.59635,13.81408
1300,-26.87445,12.79127
1400,-27.47879,11.88223
1500,-28.49025,11.06897
1600,-30.10677,10.33733
1700,-32.90639,9.67593
1785,-38.30305,9.162207
1790,-38.86515,9.133428
1795,-39.48252,9.104784
1800,-40.16454,9.076275
1805,-40.92278,9.047899
1810,-41.77164,9.019656
1815,-42.72935,8.991544
1820,-43.81908,8.963563
1825,-45.07099,8.935712
1830,-46.52486,8.90799
1835,-48.23422,8.880396
1840,-50.2729,8.85293
1845,-52.74575,8.82559
1850,-55.80705,8.798376
1851,-56.50875,8.792949
1855,-59.69468,8.771288
1856,-60.60168,8.765885
1860,-64.79861,8.744323
1861,-66.01811,8.738945
1865,-71.81595,8.717482
1866,-73.55206,8.712128
1870,-82.16719,8.690763
1871,-84.87823,8.685432
1875,-99.48197,8.664165
1876,-104.5758,8.65886
1880,-139.4488,8.637689
1881,-157.4249,8.632408
1885,-147.6478,149.8715
1886,-126.7356,145.91
1890,-82.03992,131.277
1891,-75.13559,127.901
1895,-55.20686,115.4152
1896,-51.55347,112.5309
1900,-40.34296,101.8504
1901,-38.20616,99.37997
1905,-31.59777,90.22092
1906,-30.34867,88.09976
1910,-26.61585,80.22601
1911,-25.95671,78.40024
1915,-24.23415,71.61484
1916,-24.01036,70.0395
1920,-23.85527,64.17784
1921,-23.99321,62.8153
1925,-25.2385,57.73946
1926,-25.7276,56.55816
1930,-28.47032,52.15235
1931,-29.37603,51.12575
1935,-34.12265,47.29252
1936,-35.65837,46.39828
1940,-43.94268,43.05534
1941,-46.78484,42.27468
1945,-64.82365,39.35268
1946,-72.82496,38.66953
1950,-100.4679,130.4439
1951,-78.53909,127.3027
1955,-41.42735,115.6368
1956,-36.21432,112.9311
1960,-21.52781,102.8709
1961,-18.87443,100.5348
1965,-10.74705,91.83854
1966,-9.191138,89.81676
1970,-4.307427,82.28176
1971,-3.359029,80.52789
1975,-0.3835158,73.9838
1976,0.1851366,72.45879
1980,1.938866,66.76217
1981,2.262753,65.4331
1986,3.350577,59.3019
1991,3.757202,53.93911
1996,3.688109,49.23816
2000,3.387362,45.89241
2001,3.285452,45.10825
2006,2.649785,41.47187
2011,1.853509,38.26344
2016,0.9491417,35.4263
2021,-2.474441E-02,32.91249
2026,-1.039988,30.68033
2031,-2.075762,28.69443
2036,-3.117027,26.9239
2041,-4.152815,25.34244
2046,-5.173426,23.92698
2100,-14.68824,15.21097
2200,-26.87276,10.90646
2270,-35.00131,10.52625
2275,-35.65609,10.54956
2280,-36.32722,10.57995
2285,-37.0163,10.61763
2290,-37.72499,10.66286
2295,-38.45523,10.71596
2300,-39.20904,10.77725
2305,-39.98884,10.84713
2310,-40.79725,10.92604
2315,-41.63751,11.01447
2320,-42.51329,11.11297
2325,-43.4293,11.22215
2330,-44.3913,11.34268
2335,-45.4072,11.47532
2340,-46.48788,11.62088
2345,-47.65016,11.78028
2350,-48.9221,11.95452
2355,-50.35936,12.14472
2360,-52.10395,12.35207
2365,-54.83669,12.57795
2370,-55.63328,17.5409
2375,-55.14349,17.7879
2380,-55.53268,18.05866
2385,-56.23154,18.35513
2390,-57.11472,18.6795
2395,-58.13541,19.03413
2400,-59.2728,19.4217
2405,-60.517,19.84508
2410,-61.86417,20.30752
2415,-63.31361,20.81253
2420,-64.86718,21.36409
2425,-66.52805,21.96648
2430,-68.30101,22.62458
2435,-70.1917,23.34364
2440,-72.20712,24.12963
2445,-74.35538,24.98904
2450,-33.1786,25.5277
2455,-33.5657,25.60414
2460,-33.98322,25.69266
2465,-34.43216,25.79421
2500,-38.83359,26.97497
2584,-15.78683,28.43073
2589,-15.72532,28.34748
2594,-15.66707,28.26472
2599,-15.61224,28.18246
2600,-15.6017,28.16607
2604,-15.56101,28.10069
2609,-15.51362,28.01941
2614,-15.47037,27.93861
2619,-15.43164,27.85829
2624,-15.39792,27.77844
2629,-15.36986,27.69908
2634,-15.34828,27.62018
2639,-15.33434,27.54175
2644,-15.32961,27.46378
2649,-15.33637,27.38627
2654,-15.35807,27.30922
2659,-15.40027,27.23262
2664,-15.47277,27.15648
2669,-15.59544,27.08078
2674,-15.81938,27.00553
2679,-16.37686,26.93072
2684,-16.35292,28.70588
2689,-15.6151,28.62106
2694,-15.24126,28.537
2699,-14.97496,28.45369
2700,-14.92898,28.43712
2704,-14.76178,28.37113
2709,-14.58075,28.28931
2714,-14.42151,28.20821
2719,-14.27815,28.12784
2724,-14.147,28.04818
2729,-14.02558,27.96922
2734,-13.91217,27.89096
2739,-13.8055,27.81339
2744,-13.70464,27.7365
2749,-13.60884,27.66028
2754,-13.51752,27.58474
2759,-13.40668,27.50983
2764,-13.32305,27.43558
2769,-13.24275,27.36197
2774,-13.16554,27.28901
2779,-13.09118,27.21668
2800,-12.80653,26.91974
2834,-12.42665,26.46159
2839,-12.37865,26.39651
2844,-12.33269,26.33199
2849,-12.28885,26.26804
2854,-12.2472,26.20466
2859,-12.20788,26.14184
2864,-12.17103,26.07957
2869,-12.13685,26.01786
2874,-12.10563,25.9567
2879,-12.07772,25.8961
2884,-12.05361,25.83603
2889,-12.03396,25.7765
2894,-12.01971,25.71751
2899,-12.0122,25.65906
2900,-12.01167,25.64743
2904,-12.01349,25.60114
2909,-12.02691,25.54375
2914,-12.05834,25.48688
2919,-12.11966,25.43054
2924,-12.24131,25.37472
2929,-12.55902,25.31943
2934,-12.55931,26.39273
2939,-12.08589,26.33616
2944,-11.84053,26.2802
2949,-11.66019,26.22486
2954,-11.51106,26.17014
2959,-11.38014,26.11602
2964,-11.26097,26.06251
2969,-11.14978,26.0096
2974,-11.04417,25.9573
2979,-10.94238,25.90559
2984,-10.84312,25.85448
2989,-10.74526,25.80396
2994,-10.64781,25.75403
2999,-10.5498,25.7047
3000,-10.53004,25.6949
3004,-10.47136,25.64836
3009,-10.40025,25.59037
3014,-10.33117,25.53267
3019,-10.26393,25.47526
3024,-10.19838,25.41813
3029,-10.13437,25.36129
3100,-9.323646,24.57986
3200,-8.421427,23.53702
3300,-7.689346,22.56
3400,-7.079041,21.64309
3500,-6.573275,20.78161
3600,-6.135866,19.97359
3700,-5.761297,19.21281
3800,-5.440332,18.49555
3900,-5.175017,17.82023
4000,-4.937376,17.18307
4100,-4.7326,16.58053
4200,-4.556366,16.01007
4300,-4.405065,15.46936
4400,-4.275648,14.95631
4500,-4.165529,14.469
4600,-4.072495,14.00569
4700,-3.994644,13.56477
4800,-3.938244,13.14537
4900,-3.904259,12.74598
5000,-3.863153,12.36543
5100,-3.831726,12.00209
5200,-3.82504,11.6552
5300,-3.810289,11.32366
5400,-3.813705,11.00681
5500,-3.812991,10.70414
5600,-3.81817,10.41416
5700,-3.828758,10.13616
5800,-3.844329,9.869463
5900,-3.871171,9.613674
6000,-3.895829,9.368396
6100,-3.924434,9.132697
6200,-3.956737,8.90607
6300,-3.992522,8.68804
6400,-4.031603,8.478168
6500,-4.073824,8.27604
6600,-4.119051,8.081267
6700,-4.167177,7.893488
6800,-4.218116,7.712361
6900,-4.271803,7.537569
7000,-4.328193,7.36881
7100,-4.387261,7.205802
7200,-4.449,7.04828
7300,-4.513423,6.895993
7400,-4.580563,6.748707
7500,-4.650469,6.606198
7600,-4.723215,6.468257
7700,-4.798893,6.334686
7800,-4.877621,6.205296
7900,-4.959539,6.079911
8000,-5.044819,5.958363
8100,-5.133661,5.840492
8200,-5.23466,5.726276
8300,-5.331279,5.615618
8400,-5.437898,5.508254
8500,-5.552037,5.404205
8600,-5.66291,5.303268
8700,-5.779505,5.205189
8800,-5.902447,5.109858
8900,-6.032481,5.01717
9000,-6.168358,4.928309
9100,-6.312785,4.841899
9200,-6.466969,4.75785
9300,-6.632406,4.67607
9400,-6.810962,4.596478
9500,-7.005029,4.518994
9600,-7.21772,4.44354
9700,-7.453204,4.370045
9800,-7.717511,4.298441
9900,-8.018479,4.228661
10000,-8.368973,4.160641
10100,-8.789557,4.094319
10200,-9.317223,4.029639
10300,-10.03115,3.966566
10400,-11.14017,3.905059
10438,-11.80084,3.882079
10443,-11.90662,3.879071
10448,-12.01832,3.876067
10453,-12.13665,3.873066
10458,-12.26242,3.870069
10463,-12.39666,3.867076
10468,-12.54057,3.864086
10473,-12.69563,3.8611
10478,-12.86377,3.858118
10483,-13.04736,3.855139
10488,-13.24953,3.852164
10493,-13.47444,3.849192
10498,-13.72784,3.846224
10500,-13.8389,3.845038
10503,-14.01798,3.84326
10508,-14.35729,3.840299
10513,-14.76571,3.837342
10518,-15.27888,3.834388
10523,-15.96914,3.831439
10528,-17.02629,3.828492
10533,-19.37045,3.825549
10538,-19.05769,10.22646
10543,-16.91427,10.21823
10548,-15.88885,10.21001
10553,-15.20762,10.2018
10558,-14.69657,10.19361
10563,-14.28724,10.18542
10568,-13.9458,10.17724
10573,-13.65289,10.16907
10578,-13.39642,10.16091
10583,-13.16833,10.15276
10588,-12.96297,10.14462
10593,-12.77623,10.13649
10598,-12.60507,10.12837
10600,-12.54037,10.12512
10603,-12.44704,10.12026
10608,-12.30031,10.11216
10613,-12.16338,10.10407
10618,-12.03506,10.09599
10623,-11.91432,10.08792
10628,-11.80034,10.07985
10633,-11.69241,10.0718
10700,-10.62596,9.964845
