Energy,f’,f’’
1000,-38.22094,34.53698
1100,-32.72781,34.2111
1127,-31.83433,33.50752
1132,-31.68198,33.3798
1137,-31.53339,33.25286
1142,-31.38848,33.12671
1147,-31.24717,33.00134
1152,-31.10942,32.87674
1157,-30.97523,32.75291
1162,-30.84459,32.62986
1167,-30.71755,32.50756
1172,-30.5942,32.38604
1177,-30.47469,32.26528
1182,-30.35925,32.14528
1187,-30.24821,32.02605
1192,-30.1421,31.90757
1197,-30.13241,31.78992
1200,-30.07679,31.72082
1202,-30.04141,31.67493
1207,-29.96013,31.56078
1212,-29.89361,31.44747
1217,-29.85549,31.33501
1222,-29.91218,31.2234
1227,-29.77642,31.57485
1232,-29.51233,31.46195
1237,-29.33181,31.35006
1242,-29.18059,31.23918
1247,-29.04179,31.1293
1252,-28.91241,31.02041
1257,-28.86927,30.91273
1262,-28.75375,30.80746
1267,-28.64278,30.70322
1272,-28.5357,30.60003
1277,-28.43206,30.49788
1282,-28.33155,30.39678
1287,-28.23393,30.29673
1290,-28.17667,30.23719
1292,-28.13903,30.19771
1295,-28.08333,30.13881
1297,-28.04671,30.09975
1300,-27.99251,30.04148
1302,-27.95687,30.00284
1305,-27.90414,29.9452
1307,-27.86946,29.90698
1310,-27.42741,29.84607
1312,-27.38986,29.80218
1315,-27.33434,29.73649
1317,-27.29786,29.6928
1320,-27.24396,29.62741
1322,-27.20857,29.58391
1325,-27.15632,29.51881
1330,-27.07151,29.41071
1335,-26.98968,29.3031
1340,-26.91105,29.19597
1345,-26.83591,29.08934
1350,-26.76472,28.9832
1355,-26.69812,28.87754
1360,-26.63713,28.77238
1365,-26.5834,28.6677
1370,-26.53991,28.56351
1375,-26.5128,28.45981
1380,-26.51842,28.35659
1385,-26.64015,28.25386
1390,-26.50483,28.67991
1395,-26.25665,28.5793
1400,-26.09534,28.47914
1405,-25.96239,28.37943
1410,-25.84413,28.28019
1415,-25.73511,28.1814
1420,-25.63262,28.08307
1425,-25.53508,27.98519
1430,-25.44151,27.88777
1435,-25.35125,27.79081
1440,-25.68262,27.6959
1445,-25.5994,27.60387
1450,-25.51834,27.51231
1455,-25.43923,27.42121
1460,-25.36192,27.33057
1465,-25.28627,27.2404
1470,-25.21216,27.15068
1475,-25.13952,27.06143
1480,-25.06825,26.97263
1485,-25.34064,26.88441
1500,-25.14121,26.63168
1600,-23.92418,25.04393
1700,-23.09,23.54897
1800,-22.4188,22.17255
1900,-21.99152,20.91438
2000,-21.64842,19.75363
2100,-21.45063,18.68366
2200,-21.35186,17.693
2300,-21.36032,16.77354
2400,-21.4725,15.91868
2500,-21.69477,15.12326
2600,-22.02119,14.38224
2700,-22.46787,13.69043
2800,-23.057,13.04387
2900,-24.03596,12.45349
3000,-25.19032,11.91166
3100,-26.4969,11.42816
3200,-28.31039,10.976
3300,-31.11291,10.55238
3344,-33.01128,10.37437
3349,-33.27412,10.35445
3354,-33.54996,10.33459
3359,-33.84016,10.3148
3364,-34.14639,10.29506
3369,-34.47056,10.27539
3374,-34.81506,10.25578
3379,-35.18273,10.23623
3384,-35.57718,10.21674
3389,-36.00289,10.19731
3394,-36.46574,10.17795
3399,-36.97341,10.15864
3400,-37.08121,10.15478
3404,-37.53654,10.13939
3409,-38.17013,10.1202
3414,-38.89669,10.10106
3419,-39.752,10.08199
3424,-40.79873,10.06298
3429,-42.16214,10.04402
3434,-44.15985,10.02513
3439,-48.17535,10.00628
3444,-49.20444,21.95332
3449,-44.85272,22.00746
3454,-42.98514,22.06101
3459,-41.80831,22.11395
3464,-40.96238,22.16627
3469,-40.31152,22.21796
3474,-39.78992,22.269
3479,-39.36065,22.31939
3484,-39.00116,22.36911
3489,-38.69661,22.41815
3494,-38.43694,22.4665
3499,-38.21499,22.51414
3500,-38.17465,22.52359
3504,-38.02566,22.56108
3509,-37.8652,22.60729
3514,-37.73096,22.65276
3514,-37.73096,22.65276
3519,-37.62105,22.69749
3519,-37.62105,22.69749
3524,-37.53425,22.74146
3524,-37.53425,22.74146
3529,-37.4699,22.78467
3529,-37.4699,22.78467
3534,-37.42786,22.8271
3534,-37.42786,22.8271
3539,-37.40851,22.86876
3539,-37.40851,22.86876
3544,-37.41275,22.90961
3549,-37.4421,22.94966
3554,-37.49882,22.9889
3559,-37.58611,23.02732
3564,-37.70842,23.0649
3569,-37.87199,23.10165
3574,-38.08567,23.13755
3579,-38.36245,23.1726
3584,-38.72214,23.20679
3589,-39.19703,23.2401
3594,-39.84478,23.27255
3599,-40.78384,23.3041
3600,-41.02701,23.31031
3604,-42.32763,23.33477
3609,-46.03339,23.36454
3614,-45.06313,33.73386
3619,-41.4929,33.72968
3624,-39.67677,33.72478
3629,-38.41294,33.71918
3634,-37.42507,33.71287
3639,-36.60395,33.70584
3644,-35.89492,33.69807
3649,-35.26675,33.68957
3654,-34.69975,33.68033
3659,-34.18084,33.67034
3664,-33.70074,33.65959
3669,-33.25276,33.64809
3674,-32.83176,33.63583
3679,-32.43386,33.62279
