Energy,f’,f’’
1000,-28.28168,24.6494
1100,-26.62964,22.86701
1200,-25.42819,21.22618
1300,-24.57543,19.7163
1400,-24.00474,18.32848
1500,-23.67898,17.05223
1600,-23.59636,15.88492
1700,-23.96517,14.8343
1800,-24.49813,13.91281
1900,-25.05593,13.0847
2000,-25.87127,12.32797
2100,-27.03973,11.63444
2200,-28.76866,10.9972
2300,-31.67515,10.41016
2387,-37.44437,9.936191
2392,-38.03713,9.909922
2397,-38.68654,9.883753
2400,-39.10706,9.868101
2402,-39.40163,9.857687
2407,-40.19362,9.83172
2412,-41.07616,9.805856
2417,-42.06651,9.780089
2422,-43.18634,9.754423
2427,-44.46371,9.728855
2432,-45.93506,9.703386
2437,-47.6494,9.678014
2442,-49.67344,9.65274
2447,-52.10176,9.627561
2452,-55.07253,9.602479
2457,-58.79906,9.577492
2462,-63.6314,9.552601
2467,-70.20275,9.527804
2472,-79.83244,9.503102
2477,-96.08204,9.478493
2482,-137.634,9.453977
2487,-118.8456,120.8143
2488,-106.6401,118.513
2492,-77.01289,109.8481
2493,-72.03902,107.8104
2497,-56.95007,100.1323
2498,-54.03335,98.32494
2500,-48.92828,94.83625
2502,-44.6197,91.50879
2503,-42.71378,89.9031
2507,-36.41043,83.84267
2508,-35.11091,82.4137
2512,-30.77944,77.01555
2513,-29.88386,75.74175
2517,-26.91223,70.92613
2518,-26.30415,69.78878
2522,-24.32465,65.48529
2523,-23.93161,64.46812
2527,-22.71052,60.61654
2528,-22.48547,59.70517
2532,-21.86994,56.25232
2533,-21.78235,55.43483
2537,-21.67435,52.33453
2538,-21.70515,51.59976
2542,-22.04795,48.81166
2543,-22.18748,48.15053
2547,-22.96002,45.63933
2548,-23.20755,45.04325
2552,-24.4258,42.778
2553,-24.79046,42.24002
2557,-26.51712,40.19356
2558,-27.02237,39.70706
2562,-29.39191,37.85551
2563,-30.08423,37.41513
2567,-33.36323,35.73748
2568,-34.33685,35.33807
2572,-39.08767,33.81581
2573,-40.553,33.45322
2577,-48.20295,32.06999
2578,-51.62503,31.7402
2582,-67.06998,30.48167
2583,-74.42585,30.18147
2588,-74.51706,104.0385
2593,-42.69178,95.25292
2598,-28.61735,87.46044
2600,-24.75031,84.59308
2603,-20.11119,80.53589
2608,-14.51846,74.37022
2613,-10.70171,68.87048
2618,-8.06579,63.95523
2623,-6.256645,59.55482
2628,-5.045369,55.60795
2633,-4.276146,52.06208
2638,-3.838427,48.87076
2643,-3.651771,45.99405
2648,-3.656271,43.39652
2653,-3.806664,41.04751
2658,-4.068274,38.92013
2663,-4.414345,36.99044
2668,-4.823993,35.23779
2673,-5.280934,33.64361
2678,-5.772296,32.19185
2683,-6.287825,30.86803
2700,-8.204957,27.16588
2800,-17.61427,18.34912
2900,-23.36709,18.77652
2969,-23.77978,23.83618
2974,-23.54421,24.45771
2979,-23.25012,25.12714
2984,-22.89085,25.84799
2989,-22.45887,26.62427
2994,-21.9458,27.4602
2999,-21.34211,28.36057
3000,-21.20961,28.5488
3004,-21.2165,28.49516
3009,-21.24077,28.41977
3014,-21.2777,28.34467
3019,-21.32959,28.26987
