Energy,f’,f’’
1000,-7.547268,15.92996
1100,-6.661947,14.20461
1200,-6.087759,12.73542
1300,-5.71652,11.47769
1400,-5.589616,10.40357
1500,-5.477894,9.482906
1600,-5.441972,8.681175
1700,-5.468252,7.97837
1800,-5.540044,7.35836
1900,-5.653021,6.80827
2000,-5.803083,6.317729
2100,-5.988536,5.878265
2200,-6.248851,5.486553
2300,-6.557127,5.136201
2400,-6.859633,4.820486
2500,-7.235989,4.533768
2600,-7.656535,4.272769
2700,-8.176187,4.034267
2800,-8.818461,3.816246
2900,-9.670216,3.615805
3000,-10.91386,3.43106
3076,-12.46001,3.302033
3081,-12.59871,3.293813
3086,-12.74461,3.285625
3091,-12.89852,3.277469
3096,-13.06138,3.269345
3100,-13.19889,3.262869
3101,-13.23436,3.261252
3106,-13.41883,3.253192
3111,-13.61651,3.245162
3116,-13.82952,3.237163
3121,-14.06057,3.229196
3126,-14.31317,3.221259
3131,-14.59201,3.213352
3136,-14.90351,3.205477
3141,-15.25694,3.197631
3146,-15.66612,3.189816
3151,-16.15346,3.182031
3156,-16.75841,3.174275
3161,-17.5617,3.166549
3166,-18.77458,3.158853
3171,-21.42193,3.151186
3176,-21.0941,10.26996
3181,-18.75737,10.27171
3186,-17.66061,10.2732
3191,-16.94555,10.27443
3196,-16.41935,10.2754
3200,-16.0822,10.27599
3201,-16.00664,10.27611
3206,-15.66999,10.27655
3211,-15.38823,10.27673
3216,-15.14817,10.27665
3221,-14.94114,10.27631
3226,-14.76113,10.27571
3231,-14.60389,10.27485
3233,-14.54664,10.27444
3236,-14.4663,10.27373
3238,-14.41624,10.27321
3241,-14.3461,10.27235
3243,-14.30249,10.27173
3246,-14.24161,10.27071
3248,-14.20394,10.26999
3251,-14.15166,10.26882
3253,-14.11956,10.26799
3256,-14.07544,10.26666
3258,-14.04869,10.26573
3261,-14.01251,10.26425
3263,-13.99102,10.26322
3266,-13.96274,10.26158
3268,-13.94655,10.26045
3271,-13.92633,10.25866
3273,-13.91562,10.25742
3278,-13.89898,10.25414
3283,-13.89786,10.2506
3288,-13.91414,10.24682
3293,-13.95064,10.24277
3298,-14.01164,10.23848
3300,-14.04427,10.23669
3303,-14.10378,10.23394
3308,-14.23799,10.22914
3313,-14.43382,10.2241
3318,-14.73154,10.21881
3323,-15.23693,10.21327
3328,-16.46404,10.20748
3333,-16.20037,13.77696
3338,-14.9295,13.77388
3343,-14.2829,13.77044
3348,-13.82938,13.76664
3353,-13.47204,13.76248
3358,-13.17281,13.75796
3363,-12.91281,13.75309
3368,-12.68119,13.74786
3373,-12.47124,13.74228
3378,-12.2784,13.73635
3383,-12.09952,13.73007
3388,-11.93228,13.72344
3393,-11.77496,13.71646
3398,-11.62619,13.70914
3400,-11.56884,13.70611
3403,-11.48493,13.70147
3408,-11.35034,13.69347
3413,-11.22171,13.68512
3418,-11.0985,13.67643
3423,-10.98023,13.66741
3428,-10.8665,13.65805
3500,-9.607114,13.48725
3507,-9.516952,13.46717
3512,-9.456094,13.45247
3517,-9.39832,13.43746
3522,-9.343773,13.42216
3527,-9.292649,13.40656
3532,-9.245189,13.39067
3537,-9.201705,13.37449
3542,-9.16259,13.35802
3547,-9.128353,13.34126
3552,-9.099651,13.32422
3557,-9.077361,13.3069
3562,-9.062658,13.28929
3567,-9.057184,13.27141
3572,-9.063308,13.25325
3577,-9.084612,13.23483
3582,-9.126896,13.21612
3587,-9.200444,13.19715
3592,-9.326306,13.17792
3597,-9.559665,13.15842
3600,-9.827909,13.1466
3602,-10.16836,13.13866
3607,-10.00039,14.98174
3612,-9.305012,14.9597
3617,-8.935664,14.9374
3622,-8.667227,14.91486
3627,-8.449004,14.89208
3632,-8.261131,14.86905
3637,-8.093699,14.84579
3642,-7.941078,14.82228
3647,-7.79972,14.79854
3652,-7.667282,14.77457
3657,-7.542096,14.75037
3662,-7.422966,14.72594
3667,-7.308975,14.70129
3672,-7.199431,14.67641
3677,-7.093771,14.65132
3682,-6.991563,14.626
3687,-6.892433,14.60047
3692,-6.796091,14.57473
3697,-6.702277,14.54877
3700,-6.647115,14.5331
3702,-6.610787,14.52261
3800,-5.125007,13.97143
3900,-3.970709,13.3467
4000,-3.050324,12.6778
4100,-2.313469,11.98215
4200,-2.625012,11.43588
4300,-2.186286,10.953
4400,-2.216123,10.54749
4500,-1.923639,10.18789
4600,-1.669173,9.847227
4700,-1.432978,9.523765
4800,-1.236161,9.214001
4900,-1.062843,8.919193
5000,-0.9098278,8.638379
5100,-0.7744679,8.370672
5200,-0.654547,8.115259
5300,-0.5481927,7.871386
5400,-0.453812,7.63836
5500,-0.3700381,7.415538
5600,-0.2956929,7.202325
5700,-0.2297547,6.99817
5800,-0.1713331,6.802559
5900,-0.1196498,6.615019
6000,-7.4020073E-02,6.435105
6100,-3.3840429E-02,6.262406
6200,1.4230805E-03,6.096535
6300,3.1089567E-02,5.937139
6400,5.0879266E-02,5.784173
6500,7.403744E-02,5.637283
6600,9.3924217E-02,5.495913
6700,0.1068765,5.359913
6800,0.1210492,5.229092
6900,0.1327801,5.10301
7000,0.142286,4.981436
7100,0.1497621,4.864154
7200,0.1553849,4.750963
7300,0.1528909,4.642115
7400,0.1551526,4.537039
7500,0.1560258,4.435522
7600,0.1556291,4.337403
7700,0.1540701,4.24253
7800,0.1514463,4.15076
7900,0.1478464,4.061957
8000,0.1433507,3.975995
8100,0.1380321,3.89275
8200,0.1319565,3.812109
8300,0.1251831,3.733962
8400,0.1177655,3.658208
8500,0.1097508,3.584748
8600,0.1011806,3.513489
8700,9.2090599E-02,3.444345
8800,8.250986E-02,3.37723
8900,7.24608E-02,3.312066
9000,6.2621608E-02,3.249214
9100,5.2482963E-02,3.188166
9200,4.2073201E-02,3.128853
9300,3.1418052E-02,3.071208
9400,2.0541511E-02,3.01517
9500,9.4652139E-03,2.960676
9600,-1.7906786E-03,2.907671
9700,-1.3207623E-02,2.856101
9800,-2.4768839E-02,2.805912
9900,-3.6457945E-02,2.757055
10000,-4.882887E-02,2.709485
10100,-6.0764819E-02,2.663161
10200,-7.2795205E-02,2.618036
10300,-8.4902905E-02,2.574065
10400,-9.7077258E-02,2.531211
10500,-0.1098789,2.489434
10600,-0.1221056,2.448706
10700,-0.1344481,2.408986
10800,-0.1468249,2.370239
10900,-0.1592294,2.332435
11000,-0.1716561,2.295541
11100,-0.1840999,2.259528
11200,-0.1965558,2.22437
11300,-0.2090199,2.190037
11400,-0.2214884,2.156504
11500,-0.2339579,2.123746
11600,-0.2464256,2.09174
11700,-0.2588885,2.060462
11800,-0.2713446,2.029889
11900,-0.2837917,2
12000,-0.2962282,1.970776
12100,-0.3086526,1.942195
12200,-0.3210635,1.91424
12300,-0.3334602,1.886891
12400,-0.3458416,1.860131
12500,-0.3582077,1.833943
12600,-0.3706809,1.808311
12700,-0.3830182,1.78322
12800,-0.3953367,1.758654
12900,-0.4076386,1.734597
13000,-0.4199244,1.711036
13100,-0.4321944,1.687957
13200,-0.444449,1.665347
13300,-0.4566892,1.643193
13400,-0.4689154,1.621483
13500,-0.4811289,1.600204
13600,-0.4933309,1.579345
13700,-0.5055245,1.558896
13800,-0.5191082,1.538859
13900,-0.5312875,1.519227
14000,-0.5434561,1.499972
14100,-0.5556182,1.481085
14200,-0.5677752,1.462557
14300,-0.5799294,1.444378
14400,-0.5920825,1.426539
14500,-0.6054318,1.40905
