Energy,f’,f’’
1000,-58.11361,6.756985
1100,3.655433,28.24494
1200,-30.42579,8.710008
1259,-45.33507,9.143336
1264,-47.00588,9.342358
1269,-48.79006,9.579671
1274,-50.70333,9.860798
1279,-52.76353,10.19241
1284,-54.99106,10.58255
1289,-57.4093,11.04096
1294,-60.04526,11.57937
1299,-62.93021,12.21201
1300,-63.54014,12.35129
1304,-66.10056,12.9561
1309,-69.59889,13.8326
1314,-73.47524,14.867
1319,-77.78881,16.09044
1324,-82.61385,17.54108
1329,-88.02754,19.26575
1334,-94.13285,21.32207
1339,-44.10586,22.04941
1344,-46.21907,22.4781
1349,-48.76431,23.00196
1354,-52.26239,23.64004
1359,-55.07289,28.83169
1364,-56.03452,29.73219
1369,-21.60282,30.27867
1374,-20.98367,30.09602
1374,-20.98367,30.09602
1379,-20.50004,29.91597
1379,-20.50004,29.91597
1384,-20.09891,29.73846
1384,-20.09891,29.73846
1389,-19.75442,29.56344
1389,-19.75442,29.56344
1394,-19.45203,29.39085
1394,-19.45203,29.39085
1399,-19.1828,29.22066
1399,-19.1828,29.22066
1400,-19.13238,29.18691
1404,-18.94087,29.05281
1404,-18.94087,29.05281
1409,-18.72232,28.88726
1409,-18.72232,28.88726
1414,-18.52447,28.72396
1414,-18.52447,28.72396
1419,-18.34558,28.56287
1419,-18.34558,28.56287
1424,-18.18469,28.40395
1424,-18.18469,28.40395
1429,-18.04132,28.24716
1429,-18.04132,28.24716
1434,-17.91603,28.09245
1434,-17.91603,28.09245
1439,-17.81009,27.9398
1439,-17.81009,27.9398
1444,-17.72616,27.78916
1444,-17.72616,27.78916
1449,-17.66921,27.6405
1449,-17.66921,27.6405
1454,-17.64867,27.49378
1454,-17.64867,27.49378
1459,-17.6845,27.34898
1464,-17.8297,27.20605
1469,-18.33796,27.06497
1474,-18.13757,28.77522
1479,-17.35733,28.62107
1484,-16.92174,28.46922
1489,-16.59464,28.31963
1494,-16.32352,28.17226
1499,-16.0877,28.02707
1500,-16.04376,27.99828
1504,-15.87679,27.88401
1509,-15.6848,27.74305
1514,-15.50792,27.60415
1519,-15.34359,27.46728
1524,-15.18998,27.3324
1529,-15.04573,27.19948
1534,-14.90982,27.06848
1539,-14.78146,26.93938
1544,-14.65998,26.81214
1549,-14.54501,26.68674
1549,-14.54501,26.68674
1554,-14.43605,26.56314
1554,-14.43605,26.56314
1559,-14.33282,26.44133
1559,-14.33282,26.44133
1564,-14.23511,26.32126
1564,-14.23511,26.32126
1569,-14.14277,26.20292
1569,-14.14277,26.20292
1574,-14.05569,26.08628
1579,-13.97387,25.97132
1584,-13.89735,25.858
1589,-13.8263,25.74632
1594,-13.76096,25.63625
1599,-13.70174,25.52776
1600,-13.69068,25.50625
1604,-13.64925,25.42084
1609,-13.6044,25.31546
1614,-13.56853,25.21161
1619,-13.54377,25.10926
1624,-13.53361,25.0084
1629,-13.54427,24.90901
1634,-13.5885,24.81108
1639,-13.69943,24.71458
1644,-14.0312,24.6195
1649,-13.9537,25.70094
1654,-13.4669,25.60589
1659,-13.20249,25.51227
1664,-13.0053,25.42006
1669,-12.84176,25.32923
1674,-12.69881,25.23978
1679,-12.56999,25.1517
1684,-12.45158,25.06496
1689,-12.34128,24.97956
1694,-12.23752,24.89549
1699,-12.13919,24.81274
1700,-12.1201,24.79634
1704,-12.04547,24.73129
1709,-11.95575,24.65113
1714,-11.86954,24.57225
1719,-11.78644,24.49464
1724,-11.70614,24.4183
1729,-11.62838,24.34321
1734,-11.55292,24.26936
1739,-11.47958,24.19674
1744,-11.40819,24.12535
1800,-10.05691,23.27554
1900,-8.974467,21.86514
2000,-7.764445,20.5406
2100,-6.828346,19.31836
2200,-6.064137,18.14837
2300,-5.69485,17.07666
2400,-5.312782,16.10039
2500,-5.00993,15.20471
2600,-4.771653,14.38082
2700,-4.586677,13.6211
2800,-4.466852,12.92251
2900,-4.364513,12.27646
3000,-4.306562,11.67863
3100,-4.262201,11.13237
3200,-4.238429,10.62513
3300,-4.233236,10.15318
3400,-4.242724,9.713402
3500,-4.265583,9.302763
3600,-4.300265,8.918671
3700,-4.345527,8.558819
3800,-4.400379,8.221151
3900,-4.464049,7.903828
4000,-4.535951,7.605201
4100,-4.615662,7.323789
4200,-4.702909,7.058254
4300,-4.797556,6.807392
4400,-4.899602,6.570112
4500,-5.01452,6.345588
4600,-5.136422,6.133027
4700,-5.262002,5.931496
4800,-5.398072,5.740088
4900,-5.541822,5.558149
5000,-5.695965,5.385009
5100,-5.861721,5.22009
5200,-6.040637,5.062867
5300,-6.23469,4.912851
5400,-6.446416,4.769599
5500,-6.679132,4.632697
5600,-6.937262,4.501764
5700,-7.226863,4.37645
5800,-7.556541,4.256428
5900,-7.948134,4.141489
6000,-8.403893,4.031628
6100,-8.967997,3.92621
6200,-9.710379,3.824991
6300,-10.80783,3.727775
6362,-11.90664,3.669405
6367,-12.02387,3.664759
6372,-12.14757,3.660122
6377,-12.2858,3.655498
6382,-12.42499,3.650897
6387,-12.57337,3.646304
6392,-12.73235,3.641721
6397,-12.90355,3.637147
6400,-13.013,3.634407
6402,-13.08908,3.632582
6407,-13.29154,3.628026
6412,-13.51437,3.623478
6417,-13.76211,3.61894
6422,-14.04113,3.61441
6427,-14.36046,3.609889
6432,-14.73377,3.605376
6437,-15.18303,3.600873
6442,-15.74732,3.596378
6447,-16.50624,3.591892
6452,-17.66857,3.587414
6457,-20.24616,3.582946
6462,-19.89844,10.62484
6467,-17.53513,10.60747
6472,-16.40439,10.59017
6477,-15.65363,10.57291
6482,-15.09098,10.55572
6487,-14.64099,10.53859
6492,-14.26629,10.52151
6497,-13.94548,10.50449
6500,-13.77312,10.49431
6502,-13.66525,10.48753
6507,-13.41662,10.47063
