Energy,f’,f’’
1000,-29.98008,27.13431
1100,-27.55013,25.17858
1200,-26.05029,23.39963
1300,-24.9545,21.78164
1400,-24.16509,20.30556
1500,-23.62947,18.95752
1600,-23.30202,17.72468
1700,-23.11978,16.593
1800,-23.15152,15.54287
1900,-23.62702,14.57803
2000,-24.02776,13.7247
2100,-24.83987,12.96735
2200,-25.69202,12.27089
2300,-26.88413,11.62863
2400,-28.62962,11.03491
2500,-31.57111,10.48481
2586,-37.34425,10.04339
2591,-37.94038,10.01857
2596,-38.59283,9.993837
2600,-39.16129,9.974118
2601,-39.31056,9.969196
2606,-40.10439,9.944645
2611,-40.98775,9.920181
2616,-41.97728,9.895807
2621,-43.09413,9.871519
2626,-44.3652,9.84732
2631,-45.82587,9.823206
2636,-47.52294,9.79918
2641,-49.52069,9.775238
2646,-51.90917,9.751384
2651,-54.82059,9.727613
2656,-58.4574,9.703928
2661,-63.15263,9.680326
2666,-69.50549,9.65681
2671,-78.76568,9.633376
2676,-94.29839,9.610024
2681,-133.7445,9.586758
2686,-116.5206,115.1449
2691,-76.75197,104.4903
2696,-57.73596,95.13213
2700,-48.03283,88.46079
2701,-46.08226,86.89577
2705,-39.6539,81.01253
2706,-38.33079,79.63059
2710,-33.91789,74.4315
2711,-33.00254,73.20928
2715,-29.94532,68.60532
2716,-29.31298,67.52163
2720,-27.22117,63.43647
2721,-26.79532,62.47417
2725,-25.42043,58.84218
2726,-25.15069,57.98558
2730,-24.32768,54.75028
2731,-24.18036,53.98669
2735,-23.79741,51.09932
2736,-23.74954,50.41704
2740,-23.73149,47.83547
2741,-23.76796,47.22505
2745,-24.06691,44.91277
2746,-24.17867,44.36541
2750,-24.76902,42.29079
2751,-24.95219,41.79939
2755,-25.82897,39.93478
2756,-26.08497,39.49279
2760,-27.2651,37.81446
2761,-27.60132,37.41629
2765,-29.12967,35.90314
2766,-29.56169,35.54392
2770,-31.52339,34.17789
2771,-32.07961,33.85334
2775,-34.62873,32.61828
2776,-35.36067,32.32467
2780,-38.78439,31.20674
2781,-39.79218,30.94079
2785,-44.69015,29.92756
2790,-54.12721,28.76719
2795,-74.65014,27.71348
2800,-83.25529,99.27804
2805,-49.08595,90.16742
2810,-34.92552,82.29209
2815,-26.73723,75.46378
2820,-22.3252,69.52707
2825,-18.0221,64.35121
2830,-15.69982,59.8275
2835,-14.16399,55.86393
2840,-13.1838,52.38378
2845,-12.60452,49.32167
2850,-12.31879,46.62283
2855,-12.24996,44.24031
2860,-12.34225,42.13465
2865,-12.5545,40.2718
2870,-12.85589,38.6231
2875,-13.22323,37.16369
2880,-13.6389,35.87252
2885,-14.08943,34.73152
2890,-14.56457,33.72503
2895,-15.05642,32.83982
2900,-15.55896,32.06435
3000,-24.83118,31.76425
3100,-22.2728,30.0913
3200,-21.01294,28.57004
3204,-20.99385,28.51216
3209,-20.97463,28.44011
3214,-20.96095,28.3684
3219,-20.95333,28.29702
3224,-20.95233,28.22598
3229,-20.95864,28.15526
3234,-20.97313,28.08488
3239,-20.99688,28.01482
3244,-21.0312,27.94509
3249,-21.07782,27.87568
3254,-21.13897,27.80659
3259,-21.21765,27.73782
3264,-21.31796,27.66936
3269,-21.4458,27.60122
3274,-21.61,27.53339
3279,-21.82472,27.46587
3284,-22.11466,27.39866
3289,-22.5294,27.33175
3294,-23.19655,27.26515
3299,-24.64566,27.19885
3300,-25.27659,27.18563
3304,-25.05915,31.96424
3309,-23.09103,31.88089
3314,-22.1837,31.79806
3319,-21.56824,31.71572
3324,-21.09322,31.6339
3329,-20.70143,31.55257
3334,-20.36504,31.47174
3339,-20.06836,31.3914
3344,-19.80161,31.31154
3349,-19.55836,31.23217
3354,-19.33407,31.15327
3359,-19.12547,31.07486
3364,-18.93009,30.9969
3369,-18.74604,30.91942
3374,-18.57182,30.8424
3379,-18.40625,30.76584
3384,-18.24833,30.68974
3389,-18.09728,30.61408
3394,-17.95242,30.53888
3399,-17.81317,30.46412
3400,-17.78595,30.44921
3500,-15.67794,29.04161
3600,-14.37637,27.76576
3700,-13.36509,26.58897
3757,-13.08532,25.95748
3762,-13.07087,25.90366
3767,-13.05855,25.85008
3772,-13.04854,25.79675
3777,-13.04107,25.74367
3782,-13.03641,25.69082
3787,-13.03489,25.63823
3792,-13.03693,25.58587
3797,-13.04304,25.53375
3800,-13.04893,25.50259
3802,-13.05389,25.48186
3807,-13.07034,25.43022
3812,-13.09357,25.37881
3817,-13.12519,25.32764
3822,-13.16751,25.2767
3827,-13.22407,25.22599
3832,-13.30055,25.17551
3837,-13.4071,25.12527
3842,-13.56459,25.07525
3847,-13.82855,25.02546
