Energy,f’,f’’
1000,-35.39924,35.87213
1100,-24.78184,30.2708
1145,-22.82962,28.32191
1150,-22.6746,28.12256
1155,-22.5314,27.92637
1160,-22.40012,27.73328
1165,-22.28096,27.54321
1170,-22.17427,27.35612
1175,-22.08056,27.17193
1180,-22.00055,26.99058
1185,-21.93521,26.81201
1190,-21.88588,26.63617
1195,-21.85441,26.46299
1200,-21.84336,26.29243
1205,-21.85635,26.12443
1210,-21.89871,25.95894
1215,-21.97858,25.7959
1220,-22.112,25.63529
1225,-22.31747,25.47705
1230,-22.64685,25.32113
1235,-23.23067,25.16748
1240,-24.71943,25.01605
1240,-24.71943,25.01605
1245,-24.23925,29.17999
1245,-24.23925,29.17999
1250,-22.69225,28.98904
1250,-22.69225,28.98904
1255,-21.89249,28.80177
1255,-21.89249,28.80177
1260,-21.33338,28.61811
1260,-21.33338,28.61811
1265,-20.89804,28.43795
1265,-20.89804,28.43795
1270,-20.54019,28.26121
1270,-20.54019,28.26121
1275,-20.23678,28.08781
1275,-20.23678,28.08781
1280,-19.97479,27.91767
1280,-19.97479,27.91767
1285,-19.74631,27.75072
1285,-19.74631,27.75072
1290,-19.54643,27.58687
1290,-19.54643,27.58687
1295,-19.37219,27.42607
1295,-19.37219,27.42607
1300,-19.22216,27.26823
1305,-19.09629,27.1133
1305,-19.09629,27.1133
1310,-18.9963,26.9612
1310,-18.9963,26.9612
1315,-18.92629,26.81188
1315,-18.92629,26.81188
1320,-18.89503,26.66528
1320,-18.89503,26.66528
1325,-18.92179,26.52134
1325,-18.92179,26.52134
1330,-19.05867,26.38
1330,-19.05867,26.38
1335,-19.55647,26.24121
1335,-19.55647,26.24121
1340,-19.35311,27.93539
1340,-19.35311,27.93539
1345,-18.57794,27.78329
1350,-18.14559,27.63424
1355,-17.82189,27.48818
1360,-17.55461,27.34505
1365,-17.32313,27.20477
1370,-17.11703,27.06729
1375,-16.93029,26.93254
1380,-16.75904,26.80047
1385,-16.60068,26.67103
1390,-16.45332,26.54416
1395,-16.31557,26.41981
1400,-16.18636,26.29793
1405,-16.06488,26.17848
1410,-15.95045,26.0614
1413,-15.88497,25.99227
1415,-15.84257,25.94665
1418,-15.7808,25.8789
1420,-15.74082,25.83419
1423,-15.68257,25.76779
1425,-15.64487,25.72397
1428,-15.58999,25.6589
1430,-15.5545,25.61596
1433,-15.50287,25.5522
1435,-15.46952,25.51012
1438,-15.42108,25.44764
1443,-15.34456,25.34519
1448,-15.27333,25.24481
1453,-15.20752,25.14646
1458,-15.14735,25.05013
1463,-15.09318,24.95576
1468,-15.04558,24.86333
1473,-15.00539,24.77281
1478,-14.9739,24.68418
1483,-14.9531,24.5974
1488,-14.94627,24.51245
1493,-14.95921,24.42929
1498,-15.00361,24.34792
1500,-15.03549,24.31586
1503,-15.10892,24.26829
1508,-15.39935,24.19039
1513,-15.477,25.28303
1518,-14.93926,25.20564
1523,-14.66954,25.12996
1528,-14.47262,25.05598
1533,-14.31098,24.98366
1538,-14.17055,24.913
1543,-14.04447,24.84397
1548,-13.92886,24.77655
1553,-13.8213,24.71073
1558,-13.72017,24.64648
1563,-13.62432,24.58381
1568,-13.53291,24.52267
1573,-13.44481,24.46307
1578,-12.37016,24.39033
1583,-12.28449,24.31786
1588,-12.20163,24.24685
1593,-12.12801,24.17728
1598,-12.04995,24.10916
1600,-12.01932,24.08231
1603,-11.97399,24.04245
1608,-11.20672,23.97574
1700,-9.296958,22.4262
1800,-7.884249,20.88247
1900,-7.011915,19.45734
2000,-6.297867,18.17801
2100,-5.765477,17.01294
2200,-5.447993,15.96174
2300,-5.122776,15.00704
2400,-4.870578,14.13554
2500,-4.701158,13.33832
2600,-4.558095,12.61086
2700,-4.46859,11.94241
2800,-4.398971,11.32826
2900,-4.357187,10.76087
3000,-4.342983,10.23547
3100,-4.34539,9.752673
3200,-4.364304,9.304586
3300,-4.397645,8.887874
3400,-4.443761,8.499592
3500,-4.501361,8.137147
3600,-4.569452,7.798235
3700,-4.647297,7.480809
3800,-4.738865,7.183292
3900,-4.839949,6.90423
4000,-4.945114,6.641776
4100,-5.059855,6.394587
4200,-5.182814,6.161486
4300,-5.315206,5.941367
4400,-5.457676,5.733255
4500,-5.612267,5.53629
4600,-5.777853,5.349659
4700,-5.957066,5.172618
4800,-6.151857,5.004502
4900,-6.364758,4.844702
5000,-6.599096,4.692665
5100,-6.859318,4.547879
5200,-7.151524,4.409879
5300,-7.484363,4.278235
5400,-7.87874,4.15263
5500,-8.33884,4.032995
5600,-8.907519,3.918617
5700,-9.65339,3.809184
5800,-10.75296,3.704438
5867,-11.94374,3.636951
5872,-12.06317,3.631991
5877,-12.18918,3.627043
5882,-12.32257,3.622104
5887,-12.46427,3.617176
5892,-12.61538,3.612258
5897,-12.77726,3.607351
5900,-12.88025,3.604411
5902,-12.9516,3.602454
5907,-13.14049,3.597567
5912,-13.3466,3.59269
5917,-13.57339,3.587825
5922,-13.82557,3.582968
5927,-14.10955,3.578123
5932,-14.43452,3.573287
5937,-14.81436,3.568462
5942,-15.27155,3.563647
5947,-15.84572,3.558841
5952,-16.61792,3.554046
5957,-17.80046,3.549262
5962,-20.42354,3.544487
5967,-20.06881,10.71109
5972,-17.66224,10.69113
5977,-16.51085,10.67124
5982,-15.74661,10.65143
5987,-15.17396,10.6317
5992,-14.71627,10.61205
5997,-14.33537,10.59248
6000,-14.13426,10.58077
6002,-14.00953,10.57299
6007,-13.72506,10.55357
6012,-13.47293,10.53423
6017,-13.24676,10.51497
6022,-13.04195,10.49579
6027,-12.85498,10.47668
6032,-12.68319,10.45765
6037,-12.52447,10.43869
6042,-12.37715,10.41981
6047,-12.23984,10.401
6052,-12.11141,10.38227
6057,-11.99093,10.36361
6062,-11.8776,10.34502
6100,-11.19315,10.20613
6200,-10.23504,9.859634
6300,-9.990682,9.538587
6343,-10.11715,9.407762
6348,-10.1455,9.392817
6353,-10.17755,9.377929
6358,-10.21366,9.363096
6363,-10.25429,9.348317
6368,-10.29995,9.333591
6373,-10.35132,9.31892
6378,-10.40917,9.304304
6383,-10.47455,9.289741
6388,-10.54873,9.275229
6393,-10.63339,9.260772
6398,-10.73078,9.246368
6400,-10.77397,9.240621
6403,-10.84403,9.232016
6408,-10.97757,9.217716
6413,-11.13814,9.203467
6418,-11.33653,9.189271
6423,-11.59182,9.175128
6428,-11.94296,9.161035
6433,-12.49115,9.146992
6438,-13.71628,9.133
6443,-13.61004,12.61525
6448,-12.38941,12.59632
6453,-11.80197,12.57746
6458,-11.40643,12.55867
6463,-11.10549,12.53994
6468,-10.86116,12.52127
6473,-10.65467,12.50267
6478,-10.47533,12.48413
6483,-10.31646,12.46565
6488,-10.17358,12.44723
6493,-10.04362,12.42888
6498,-9.92428,12.41058
6500,-9.879133,12.40329
6503,-9.81389,12.39235
6508,-9.711117,12.37418
6513,-9.614942,12.35608
6518,-9.524542,12.33803
