Energy,f’,f’’
1000,-26.89531,19.62125
1100,-25.87443,18.0833
1200,-25.23344,16.65518
1300,-25.10552,15.35828
1400,-25.58911,14.23877
1500,-25.9193,13.26482
1600,-26.51963,12.39209
1700,-27.45392,11.60555
1800,-28.86528,10.89314
1900,-31.12363,10.24504
2000,-35.71204,9.653326
2024,-37.84597,9.518913
2029,-38.40518,9.491261
2034,-39.01794,9.463728
2039,-39.69312,9.436312
2044,-40.44149,9.409016
2049,-41.27658,9.381835
2054,-42.21515,9.354772
2059,-43.27876,9.327823
2064,-44.49499,9.30099
2069,-45.90032,9.27427
2074,-47.54334,9.247664
2079,-49.5206,9.221289
2084,-51.86785,9.195103
2089,-54.75319,9.16903
2094,-58.39051,9.143067
2099,-63.12942,9.117216
2100,-64.25681,9.11206
2104,-69.59697,9.091473
2104,-69.59697,9.091473
2109,-79.07723,9.065841
2109,-79.07723,9.065841
2114,-94.90667,9.040315
2114,-94.90667,9.040315
2119,-132.3362,9.014898
2119,-132.3362,9.014898
2124,-130.5184,129.8852
2124,-130.5184,129.8852
2129,-78.76846,116.4262
2129,-78.76846,116.4262
2134,-55.9995,104.6532
2134,-55.9995,104.6532
2139,-42.63332,94.33664
2139,-42.63332,94.33664
2144,-34.14957,85.27882
2144,-34.14957,85.27882
2149,-28.68868,77.31234
2149,-28.68868,77.31234
2154,-25.29424,70.2923
2154,-25.29424,70.2923
2159,-23.42195,64.0957
2159,-23.42195,64.0957
2164,-22.7536,58.61565
2164,-22.7536,58.61565
2169,-23.12058,53.76118
2169,-23.12058,53.76118
2174,-24.47701,49.45292
2174,-24.47701,49.45292
2179,-26.91199,45.62311
2179,-26.91199,45.62311
2184,-30.72083,42.21242
2184,-30.72083,42.21242
2189,-36.62579,39.17007
2189,-36.62579,39.17007
2194,-46.59809,36.45144
2194,-46.59809,36.45144
2199,-69.33135,34.01821
2199,-69.33135,34.01821
2200,-79.45037,33.56268
2204,-75.01006,111.0927
2204,-75.01006,111.0927
2209,-38.91501,100.6976
2209,-38.91501,100.6976
2214,-23.66128,91.51576
2214,-23.66128,91.51576
2219,-14.74965,83.39061
2219,-14.74965,83.39061
2224,-9.056116,76.18873
2229,-5.303632,69.79364
2234,-2.836195,64.10583
2239,-1.257758,59.03808
2244,-0.3158095,54.51568
2249,0.1617101,50.47292
2254,0.2961663,46.85335
2259,0.175641,43.60713
2264,-0.1347001,40.69139
2269,-0.5859646,38.06809
2274,-1.140979,35.70445
2279,-1.771386,33.57128
2284,-2.455276,31.64337
2289,-3.175851,29.89818
2294,-3.920014,28.31621
2299,-4.677786,26.87997
2300,-4.83024,26.60887
2400,-18.01046,13.95023
2500,-27.72141,11.30473
2548,-32.51408,11.08333
2553,-33.05478,11.08881
2558,-33.60673,11.09973
2563,-34.171,11.11618
2568,-34.74885,11.13826
2573,-35.34159,11.1661
2578,-35.95081,11.19985
2583,-36.57822,11.23967
2588,-37.22593,11.28577
2593,-37.89636,11.33837
2598,-38.59258,11.39773
2600,-38.87907,11.42342
2603,-39.31833,11.4641
2608,-40.07866,11.53781
2613,-40.88032,11.6192
2618,-41.73324,11.70863
2623,-42.65272,11.80651
2628,-43.66531,11.91329
2633,-44.82385,12.02946
2638,-46.26461,12.15555
2643,-48.62908,12.29213
2648,-49.2294,17.10534
2653,-48.37268,17.24925
2658,-48.389,17.40603
2663,-48.68945,17.57651
2668,-49.14525,17.76153
2673,-49.70722,17.96206
2678,-50.35185,18.17912
2683,-51.06672,18.41385
2688,-51.84477,18.66745
2693,-52.68224,18.94127
2698,-53.57712,19.2367
2700,-53.95101,19.36129
2703,-54.52887,19.55536
2708,-55.5377,19.89891
2713,-56.60469,20.26923
2718,-57.7313,20.66831
2723,-58.91969,21.09838
2728,-60.17218,21.56177
2733,-61.49176,22.06116
2738,-62.88153,22.59931
2743,-64.34521,23.17938
2800,-33.45239,25.91483
2900,-15.16445,28.29295
2929,-14.85384,27.89035
2934,-14.80797,27.82236
2939,-14.76465,27.75479
2944,-14.72403,27.68763
2949,-14.68632,27.62088
2954,-14.65176,27.55453
2959,-14.62067,27.48859
2964,-14.59341,27.42305
2969,-14.57049,27.35792
2974,-14.55253,27.29318
2979,-14.54036,27.22884
2984,-14.53508,27.16491
2989,-14.53824,27.10136
2994,-14.55206,27.0382
2999,-14.57988,26.97544
3000,-14.58755,26.96293
3004,-14.6276,26.91055
3009,-14.70456,26.84525
3014,-14.83006,26.7802
3019,-15.05426,26.71536
3024,-15.60997,26.65077
3029,-15.54841,28.36034
3034,-14.86399,28.29053
3039,-14.51419,28.22101
3044,-14.26463,28.15181
3049,-14.06461,28.08291
3054,-13.89447,28.01431
3059,-13.74451,27.94601
3064,-13.60919,27.878
3069,-13.48507,27.8103
3074,-13.36986,27.74288
3079,-13.26193,27.67576
3084,-13.16013,27.60893
3089,-13.06357,27.54239
3094,-12.97158,27.47613
3099,-12.88363,27.41016
3100,-12.86649,27.397
3104,-12.79929,27.34447
3109,-12.71823,27.27906
3114,-12.64015,27.21393
3119,-12.56482,27.14908
3124,-12.49206,27.0845
3199,-11.64173,26.14785
3200,-11.63314,26.13575
3204,-11.59957,26.08746
3209,-11.55936,26.02733
3214,-11.52117,25.96744
3219,-11.48513,25.9078
3224,-11.45138,25.84841
3229,-11.42011,25.78926
3234,-11.39155,25.73035
3239,-11.36601,25.67168
3244,-11.34389,25.61325
3249,-11.32571,25.55506
3254,-11.31218,25.49711
3259,-11.30429,25.43939
3264,-11.30347,25.38191
3269,-11.3119,25.32466
3274,-11.33311,25.26764
3279,-11.37342,25.21085
3284,-11.44588,25.15429
3289,-11.58549,25.09796
3294,-11.97513,25.04185
3299,-11.78581,26.08677
3300,-11.67545,26.07549
3304,-11.39468,26.03045
3309,-11.17784,25.97436
3314,-11.01772,25.91849
3319,-10.88632,25.86285
3324,-10.77244,25.80742
3329,-10.67045,25.75222
3334,-10.57712,25.69724
3339,-10.49041,25.64247
3344,-10.40897,25.58792
3349,-10.33183,25.53359
3354,-10.25829,25.47947
3359,-10.18783,25.42557
3364,-10.12002,25.37188
3369,-10.05457,25.3184
3374,-9.991188,25.26513
3379,-9.929667,25.21207
3384,-9.870863,25.15922
3389,-9.812595,25.10658
3394,-9.755749,25.05414
3400,-9.689257,24.99148
3500,-8.780948,23.99171
3600,-8.073743,23.06875
3700,-7.496462,22.21479
3800,-7.012459,21.42433
3900,-6.59945,20.69267
4000,-6.026476,19.98017
4100,-5.691572,19.29098
4200,-5.400405,18.63886
4300,-5.129953,18.02031
4400,-4.907296,17.43103
4500,-4.712983,16.87107
4600,-4.543852,16.33847
4700,-4.396756,15.83141
4800,-4.269164,15.34822
4900,-4.158907,14.88739
5000,-4.064115,14.4475
5100,-3.983165,14.02727
5200,-3.914644,13.62549
5300,-3.866377,13.24116
5400,-3.819426,12.87405
5500,-3.781556,12.52236
5600,-3.751929,12.18521
5700,-3.729806,11.86179
5800,-3.71453,11.55133
5900,-3.723894,11.25322
6000,-3.720526,10.96709
6100,-3.73574,10.69252
6200,-3.742859,10.42901
6300,-3.770642,10.17574
6400,-3.786151,9.931911
6500,-3.805463,9.69699
6600,-3.833941,9.470574
6700,-3.860305,9.252652
6800,-3.889778,9.042407
6900,-3.922189,8.839474
7000,-3.957392,8.643506
7100,-3.995259,8.45418
7200,-4.035681,8.27119
7300,-4.078568,8.094247
7400,-4.123844,7.923082
7500,-4.171452,7.757438
7600,-4.221347,7.597073
7700,-4.273501,7.441759
7800,-4.327902,7.29128
7900,-4.384551,7.145432
8000,-4.443463,7.004022
8100,-4.504673,6.866866
8200,-4.568232,6.733792
8300,-4.634212,6.604633
8400,-4.702712,6.479235
8500,-4.77386,6.357447
8600,-4.847831,6.23913
8700,-4.924871,6.12415
8800,-5.005359,6.012379
8900,-5.08997,5.903696
9000,-5.173064,5.799843
9100,-5.259293,5.698839
9200,-5.348941,5.600577
9300,-5.442231,5.504959
9400,-5.539388,5.411887
9500,-5.64081,5.321267
9600,-5.747413,5.23302
9700,-5.858685,5.147064
9800,-5.975863,5.063313
9900,-6.099142,4.981688
10000,-6.229505,4.902116
10100,-6.36787,4.824525
10200,-6.515354,4.748849
10300,-6.673334,4.675021
10400,-6.843522,4.602981
10500,-7.0281,4.532669
10600,-7.229892,4.464028
10700,-7.452655,4.397006
10800,-7.70155,4.331547
10900,-7.983918,4.267603
11000,-8.31075,4.205127
11100,-8.699565,4.144071
11200,-9.180903,4.084392
11300,-9.815575,4.026047
11400,-10.75495,3.968996
11466,-11.77656,3.932036
11471,-11.88054,3.929262
11476,-11.99019,3.926491
11481,-12.1063,3.923723
11486,-12.2297,3.920958
11491,-12.36137,3.918196
11496,-12.50249,3.915437
11500,-12.62315,3.913233
11501,-12.65453,3.912682
11506,-12.81927,3.90993
11511,-12.99909,3.90718
11516,-13.19698,3.904433
11521,-13.41697,3.90169
11526,-13.66457,3.898949
11531,-13.9477,3.896211
11536,-14.2782,3.893477
11541,-14.67507,3.890745
11546,-15.17153,3.888017
11551,-15.83485,3.885292
11556,-16.8361,3.882569
11561,-18.93666,3.87985
11566,-19.27308,10.20237
11571,-16.94086,10.19488
11576,-15.88511,10.18739
11581,-15.19377,10.1799
11586,-14.67859,10.17243
11591,-14.26772,10.16497
11596,-13.92578,10.15751
11600,-13.68822,10.15155
11601,-13.63295,10.15006
11606,-13.37686,10.14262
11611,-13.14931,10.13519
11616,-12.94458,10.12777
11621,-12.75849,10.12035
11626,-12.58796,10.11294
11631,-12.4306,10.10555
11636,-12.28449,10.09816
11641,-12.14816,10.09077
11646,-12.02039,10.0834
11651,-11.90017,10.07603
11656,-11.78668,10.06867
11661,-11.6792,10.06132
11700,-10.99378,10.00426
11800,-9.887063,9.860163
11900,-9.197623,9.719159
12000,-8.710823,9.581161
12100,-8.347502,9.446084
12200,-8.070008,9.313845
12300,-7.857902,9.184363
12400,-7.699625,9.057564
12500,-7.588869,8.93337
12600,-7.523168,8.81171
12700,-7.50362,8.692517
12800,-7.535718,8.575723
12900,-7.632086,8.461262
13000,-7.820259,8.349072
13100,-8.169525,8.239094
13175,-8.674531,8.158081
13180,-8.722959,8.152723
13185,-8.774374,8.147371
13190,-8.829114,8.142025
