Energy,f’,f’’
1000,-33.08521,32.59144
1100,-30.00501,30.60966
1111,-29.69589,30.34731
1116,-29.56161,30.22859
1121,-29.43095,30.11021
1126,-29.30374,29.99219
1131,-29.1799,29.87451
1136,-29.05939,29.7572
1141,-28.9422,29.64026
1146,-28.82835,29.52369
1151,-28.71791,29.40751
1156,-28.61102,29.2917
1161,-28.50788,29.1763
1166,-28.40877,29.06129
1171,-28.31415,28.94667
1176,-28.22465,28.83247
1181,-28.14131,28.71868
1186,-28.0658,28.60531
1191,-28.0011,28.49236
1196,-28.51066,28.38034
1200,-28.50235,28.29584
1201,-28.5056,28.27478
1206,-28.60966,28.16982
1211,-28.50122,28.6222
1216,-28.2186,28.51738
1221,-28.03823,28.4132
1226,-27.88977,28.30965
1231,-27.75768,28.20672
1236,-27.63587,28.10442
1241,-27.52132,28.00274
1246,-27.41229,27.90167
1251,-27.3077,27.80122
1256,-27.2068,27.70137
1261,-27.10908,27.60212
1266,-27.05538,27.50368
1271,-26.96359,27.40587
1276,-26.87406,27.30867
1281,-26.78661,27.21205
1286,-26.70109,27.11603
1291,-26.61737,27.02059
1296,-26.53535,26.92573
1300,-26.47089,26.85025
1301,-26.45493,26.83144
1306,-26.37603,26.73773
1400,-25.05687,25.06775
1500,-24.05537,23.44072
1600,-23.26999,21.9679
1700,-22.71348,20.61266
1800,-22.33442,19.36991
1900,-22.11,18.22739
2000,-22.02536,17.17459
2100,-22.07209,16.20248
2200,-22.25479,15.30471
2300,-22.5636,14.47338
2400,-23.01625,13.70214
2500,-23.87502,13.01007
2600,-24.88457,12.38123
2700,-25.97646,11.80486
2800,-27.46292,11.26795
2900,-29.61601,10.76689
3000,-33.1842,10.2985
3007,-33.538,10.26811
3012,-33.80416,10.24649
3017,-34.08269,10.22496
3022,-34.37484,10.20349
3027,-34.68203,10.1821
3032,-35.00598,10.16078
3037,-35.34867,10.13953
3042,-35.71262,10.11836
3047,-36.1008,10.09726
3052,-36.51703,10.07623
3057,-36.96615,10.05527
3062,-37.45457,10.03438
3067,-37.99092,10.01356
3072,-38.58744,9.992811
3077,-39.2622,9.972133
3082,-40.0439,9.951523
3087,-40.9822,9.930984
3092,-42.17604,9.910512
3097,-43.87341,9.89011
3100,-45.45335,9.877901
3102,-47.13449,9.869775
3107,-48.32087,19.37237
3112,-44.94752,19.51834
3117,-43.59723,19.66492
3122,-42.7909,19.81206
3127,-42.24097,19.95971
3132,-41.84057,20.10778
3137,-41.53832,20.25624
3142,-41.3059,20.405
3147,-41.12611,20.55401
3151,-41.01267,20.67335
3152,-40.98798,20.7032
3156,-40.90246,20.82264
3157,-40.88418,20.85251
3161,-40.82249,20.972
3162,-40.80979,21.00187
3166,-40.76917,21.12135
3167,-40.76148,21.15122
3171,-40.74018,21.27065
3172,-40.73717,21.30049
3176,-40.7342,21.4198
3177,-40.73571,21.44961
3181,-40.75075,21.56875
3182,-40.75677,21.59851
3186,-40.79012,21.71744
3187,-40.80082,21.74713
3191,-40.85342,21.86578
3192,-40.8691,21.8954
3196,-40.94265,22.01372
3197,-40.96386,22.04325
3200,-41.03477,22.13173
3201,-41.06094,22.16118
3202,-41.08847,22.19061
3206,-41.21294,22.30811
3211,-41.4054,22.45441
3216,-41.64839,22.60005
3221,-41.95737,22.74492
3226,-42.35759,22.88899
3231,-42.89384,23.03217
3236,-43.65777,23.1744
3241,-44.88801,23.3156
3246,-47.71713,23.45572
3251,-47.38604,31.83349
3256,-44.4818,32.02633
3261,-43.0457,32.21738
3266,-42.04856,32.40658
3271,-41.26477,32.59384
3276,-40.60654,32.7791
3281,-40.03067,32.96227
3286,-39.51255,33.14329
3291,-39.03696,33.32207
3296,-38.59373,33.49856
3300,-38.25765,33.63804
3301,-38.17581,33.67268
3306,-37.77811,33.84435
3311,-37.39676,34.01351
3316,-37.02888,34.18009
3321,-36.67215,34.34404
3326,-36.32477,34.50527
3331,-35.98526,34.66374
3336,-35.65245,34.81936
3341,-35.32532,34.9721
3346,-35.00308,35.12187
3400,-31.70125,36.53632
3500,-25.90176,38.03996
3600,-20.51077,37.97546
3694,-16.36248,36.57491
3699,-16.18611,36.46857
3700,-16.15159,36.44696
3704,-16.01621,36.35934
3709,-15.85334,36.24725
3714,-15.6981,36.13237
3719,-15.5512,36.01473
3724,-15.41353,35.89441
3729,-15.28612,35.77143
3734,-15.17031,35.64588
3739,-15.06775,35.51778
3744,-14.98061,35.3872
3749,-14.91172,35.25419
3754,-14.86501,35.11881
3759,-14.84607,34.9811
3764,-14.86306,34.84114
3769,-14.92966,34.69895
3774,-15.06909,34.55462
3779,-15.32818,34.40819
3784,-15.82568,34.25972
3789,-17.07988,34.10925
3794,-17.22389,38.44468
3799,-15.32828,38.28653
3800,-15.10269,38.25469
3804,-14.37735,38.12658
3809,-13.69263,37.96486
3814,-13.13744,37.80145
3819,-12.65987,37.63638
3824,-12.23465,37.46973
3829,-11.84748,37.30154
3834,-11.48952,37.13187
3839,-11.15493,36.96078
3844,-10.83959,36.78831
3849,-10.54057,36.61454
3854,-10.25562,36.4395
3859,-9.983062,36.26326
3864,-9.721538,36.08586
3869,-9.47,35.90736
3874,-9.227556,35.72781
3879,-8.993512,35.54728
3884,-8.767248,35.3658
3889,-8.548281,35.18344
3900,-8.090146,34.77934
4000,-5.042476,31.00664
4100,-11.79073,28.5918
