Energy,f’,f’’
1000,-7.19193,5.83989
1100,-7.389704,5.146033
1200,-7.697274,4.572954
1300,-8.126775,4.093475
1400,-8.703774,3.688421
1500,-9.501592,3.342439
1600,-10.68656,3.044278
1700,-12.77499,2.78529
1707,-12.99349,2.768445
1712,-13.1595,2.756508
1717,-13.3348,2.74465
1722,-13.52044,2.732871
1727,-13.71769,2.721169
1732,-13.92804,2.709544
1737,-14.15329,2.697995
1742,-14.39568,2.686522
1747,-14.65797,2.675123
1752,-14.94368,2.663799
1757,-15.25738,2.652548
1762,-15.60512,2.64137
1766,-15.91333,2.63248
1767,-15.99525,2.630265
1771,-16.34568,2.621432
1772,-16.43964,2.619231
1776,-16.84591,2.610454
1777,-16.95613,2.608268
1781,-17.43991,2.599548
1782,-17.57336,2.597375
1786,-18.17227,2.588711
1787,-18.34174,2.586552
1791,-19.13054,2.577943
1792,-19.36372,2.575798
1796,-20.52832,2.567244
1797,-20.90541,2.565112
1800,-22.4443,2.558733
1801,-23.20407,2.556612
1802,-24.22793,2.554494
1806,-25.44689,11.73474
1807,-24.02778,11.7196
1811,-21.33142,11.6595
1812,-20.9297,11.64458
1816,-19.74828,11.58537
1817,-19.52294,11.57067
1821,-18.79307,11.51233
1822,-18.64373,11.49785
1826,-18.14287,11.44036
1827,-18.03796,11.4261
1831,-17.68419,11.36945
1832,-17.61052,11.35539
1836,-17.36827,11.29958
1837,-17.32018,11.28572
1841,-17.17648,11.23072
1842,-17.15291,11.21706
1846,-17.11232,11.16285
1847,-17.11695,11.1494
1851,-17.20914,11.09597
1852,-17.25474,11.08271
1856,-17.57479,11.03005
1857,-17.70502,11.01698
1861,-18.70396,10.96508
1862,-19.25251,10.95219
1866,-18.87826,15.42714
1867,-18.25874,15.40856
1871,-16.8471,15.33477
1872,-16.60591,15.31646
1876,-15.83202,15.24373
1877,-15.67094,15.22568
1881,-15.10815,15.154
1882,-14.9834,15.13621
1886,-14.53091,15.06556
1887,-14.42754,15.04803
1891,-14.04484,14.97839
1892,-13.95587,14.96111
1896,-13.62235,14.89246
1897,-13.54395,14.87542
1900,-13.31915,14.8246
1901,-13.24743,14.80775
1902,-13.17721,14.79096
1906,-12.90997,14.72425
1911,-12.60304,14.64192
1916,-12.32166,14.56076
1921,-12.06215,14.48074
1926,-11.82166,14.40184
1931,-11.59795,14.32405
1936,-11.38924,14.24734
1941,-11.19405,14.1717
1946,-11.01119,14.09711
1951,-10.83967,14.02356
1956,-10.67865,13.95101
