Energy,f’,f’’
1000,-7.101655,14.50493
1100,-6.426809,12.91092
1200,-5.98298,11.55928
1300,-5.804556,10.416
1400,-5.674335,9.442636
1500,-5.628779,8.602312
1600,-5.650738,7.871156
1700,-5.72342,7.23037
1800,-5.841033,6.665165
1900,-5.999276,6.163774
2000,-6.238095,5.717567
2100,-6.503277,5.323274
2200,-6.785703,4.971879
2300,-7.11878,4.654998
2400,-7.515037,4.368124
2500,-7.994919,4.107481
2600,-8.605175,3.871055
2700,-9.386759,3.655046
2800,-10.49272,3.457026
2900,-12.34938,3.275002
2906,-12.51122,3.264551
2911,-12.65354,3.25588
2916,-12.80338,3.247245
2921,-12.96161,3.238645
2926,-13.12924,3.230079
2931,-13.30748,3.221548
2936,-13.4978,3.213052
2941,-13.70201,3.20459
2946,-13.92237,3.196161
2951,-14.16171,3.187767
2956,-14.42377,3.179406
2961,-14.71348,3.171079
2966,-15.03762,3.162786
2971,-15.40584,3.154525
2976,-15.83265,3.146297
2981,-16.34118,3.138103
2986,-16.972,3.12994
2991,-17.80636,3.12181
2996,-19.05048,3.113713
3000,-20.84454,3.107258
3001,-21.60383,3.105672
3006,-22.2242,10.89013
3011,-19.29791,10.86728
3016,-18.01095,10.84445
3021,-17.18435,10.82163
3026,-16.58029,10.79882
3031,-16.10872,10.77602
3036,-15.72569,10.75324
3041,-15.40657,10.73048
3046,-15.13614,10.70772
3049,-14.99297,10.69408
3051,-14.90446,10.68499
3054,-14.78114,10.67135
3056,-14.70473,10.66226
3059,-14.59816,10.64864
3061,-14.53214,10.63956
3064,-14.44015,10.62594
3066,-14.38327,10.61687
3069,-14.30429,10.60326
3071,-14.25569,10.59419
3074,-14.18863,10.58059
3076,-14.14771,10.57153
3079,-14.09186,10.55794
3081,-14.05826,10.54889
3084,-14.01324,10.53531
3086,-13.98682,10.52626
3089,-13.95257,10.5127
3091,-13.93339,10.50365
3094,-13.91019,10.4901
3096,-13.89854,10.48106
3099,-13.88704,10.46752
3100,-13.88486,10.46301
3101,-13.88353,10.45849
3104,-13.88489,10.44496
3109,-13.90655,10.42241
3114,-13.95649,10.39989
3119,-14.04182,10.37738
3124,-14.17443,10.35489
3129,-14.37586,10.33242
3134,-14.69094,10.30997
3139,-15.2394,10.28755
3144,-16.6324,10.26514
3149,-16.13725,14.10948
3154,-14.80449,14.0802
3159,-14.10704,14.05095
3164,-13.61399,14.0217
3169,-13.2245,13.99247
3174,-12.89836,13.96325
3179,-12.61542,13.93405
3184,-12.36404,13.90486
3189,-12.13696,13.87569
3194,-11.92924,13.84653
3199,-11.73743,13.8174
3200,-11.70074,13.81157
3204,-11.55899,13.78827
3209,-11.39199,13.75917
3214,-11.23497,13.73008
3219,-11.08672,13.70101
3224,-10.94632,13.67196
3229,-10.81297,13.64293
3234,-10.68605,13.61392
3239,-10.56501,13.58493
3244,-10.44942,13.55596
3300,-9.445956,13.23296
3314,-9.265326,13.15268
3319,-9.207327,13.12405
3324,-9.152866,13.09545
3329,-9.102059,13.06688
3334,-9.055073,13.03833
3339,-9.012127,13.00981
3344,-8.973499,12.98131
3349,-8.939561,12.95285
3354,-8.910786,12.92441
3359,-8.887802,12.896
3364,-8.871438,12.86762
3369,-8.862823,12.83926
3374,-8.863525,12.81094
3379,-8.875802,12.78264
3384,-8.903061,12.75438
3389,-8.950767,12.72614
3394,-9.028508,12.69793
3399,-9.155489,12.66976
3400,-9.190023,12.66413
3404,-9.380177,12.64161
3409,-9.910168,12.6135
3414,-10.03818,14.45937
3419,-9.246167,14.42922
3424,-8.864408,14.3991
3429,-8.59559,14.36902
3434,-8.38117,14.33899
3439,-8.199121,14.30899
3444,-8.038685,14.27904
3449,-7.893826,14.24913
3454,-7.760778,14.21925
3459,-7.637055,14.18942
3464,-7.520922,14.15963
3469,-7.411101,14.12989
3474,-7.306652,14.10018
3479,-7.206831,14.07052
3484,-7.11107,14.0409
3489,-7.018894,14.01132
3494,-6.929934,13.98179
3499,-6.843866,13.95229
3500,-6.826978,13.9464
3504,-6.760436,13.92285
3509,-6.67941,13.89344
3600,-5.483099,13.36602
3700,-4.519121,12.80409
3800,-3.765443,12.26151
3900,-3.156826,11.73885
4000,-2.82738,11.2774
4100,-2.493528,10.84357
4200,-2.15244,10.44976
4300,-1.859147,10.07855
4400,-1.605099,9.728267
4500,-1.359932,9.393935
4600,-1.164367,9.075114
4700,-0.9929653,8.772368
4800,-0.8423657,8.484616
4900,-0.7097921,8.210873
5000,-0.5929259,7.950227
5100,-0.489815,7.701844
5200,-0.3988023,7.464957
5300,-0.3184712,7.238855
5400,-0.2476044,7.022888
5500,-0.1851486,6.81645
5600,-0.1301886,6.61898
5700,-8.1926011E-02,6.429961
5800,-4.08976E-02,6.248923
5900,-5.2195983E-03,6.075442
6000,2.6869984E-02,5.909082
6100,4.94086E-02,5.749874
6200,7.3182464E-02,5.597054
6300,9.0000339E-02,5.450271
6400,0.1070324,5.309464
6500,0.1212029,5.174058
6600,0.1327797,5.043777
6700,0.1420029,4.918362
6800,0.149088,4.797568
6900,0.1482728,4.681533
7000,0.151526,4.569803
7100,0.1531988,4.462062
7200,0.1534336,4.35812
7300,0.1523586,4.2578
7400,0.15009,4.160931
7500,0.1467331,4.067357
7600,0.1423829,3.976927
7700,0.1371255,3.889501
7800,0.1310386,3.804945
7900,0.1241922,3.723134
8000,0.1166493,3.643949
8100,0.1084658,3.567277
8200,9.9691279E-02,3.493013
8300,9.0368077E-02,3.421055
8400,8.05315E-02,3.351308
8500,7.0207708E-02,3.283681
8600,5.9411652E-02,3.218088
8700,4.8141148E-02,3.154449
8800,3.6364235E-02,3.092685
8900,2.3990842E-02,3.032723
9000,1.2541885E-02,2.974944
9100,8.8538311E-04,2.918829
9200,-1.0956469E-02,2.864314
9300,-2.2961335E-02,2.811336
9400,-3.5379406E-02,2.759842
9500,-4.7708768E-02,2.709774
9600,-6.0151376E-02,2.66108
9700,-7.2693519E-02,2.613708
9800,-8.5599445E-02,2.567611
9900,-9.8334245E-02,2.522748
10000,-0.111125,2.479068
10100,-0.1239688,2.436532
10200,-0.1368572,2.3951
10300,-0.1497826,2.354731
10400,-0.1627377,2.315391
10500,-0.1757164,2.277044
10600,-0.1887128,2.239655
10700,-0.2017215,2.203194
10800,-0.2147383,2.167629
10900,-0.2277588,2.132931
11000,-0.2407794,2.099071
11100,-0.2537969,2.066022
11200,-0.2668083,2.033759
11300,-0.2798114,2.002255
11400,-0.2928037,1.971488
11500,-0.3057839,1.941433
11600,-0.3187503,1.91207
11700,-0.3317014,1.883376
11800,-0.3447363,1.855331
11900,-0.3576566,1.827917
12000,-0.3705599,1.801113
12100,-0.3834457,1.774901
12200,-0.3963138,1.749265
12300,-0.4091646,1.724186
12400,-0.4219981,1.699648
12500,-0.4348151,1.675637
12600,-0.447616,1.652136
12700,-0.4604016,1.629131
12800,-0.4731729,1.606609
12900,-0.4859309,1.584555
13000,-0.4986768,1.562956
13100,-0.5126737,1.541825
13200,-0.5254055,1.521129
13300,-0.5381289,1.500852
13400,-0.5508451,1.480983
13500,-0.5635565,1.46151
13600,-0.5762665,1.442423
13700,-0.5900362,1.423728
13800,-0.6027479,1.405406
13900,-0.6154613,1.387439
14000,-0.6281795,1.36982
14100,-0.640905,1.352538
14200,-0.6536401,1.335585
14300,-0.6663878,1.318953
14400,-0.6791506,1.302633
14500,-0.6919317,1.286617
14600,-0.7047339,1.270898
14700,-0.7175609,1.255469
14800,-0.732206,1.240328
14900,-0.745112,1.225494
15000,-0.7580412,1.210928
15100,-0.7710065,1.196624
15200,-0.7840117,1.182576
15300,-0.7970608,1.168778
15400,-0.8101576,1.155224
15500,-0.8233063,1.141907
15600,-0.836511,1.128823
15700,-0.8497758,1.115966
15800,-0.8631054,1.10333
15900,-0.8765043,1.090911
16000,-0.8899774,1.078703
16100,-0.9035296,1.066702
16200,-0.9171661,1.054902
16300,-0.9308919,1.043301
16400,-0.9447131,1.031891
16500,-0.9586352,1.020671
16600,-0.9726642,1.009635
16700,-0.9868065,0.9987791
16800,-1.001068,0.9880999
16900,-1.015457,0.9775931
17000,-1.029979,0.9672551
17100,-1.044643,0.9570822
17200,-1.059455,0.9470708
17300,-1.074424,0.9372179
17400,-1.089559,0.9275195
17500,-1.104868,0.9179727
17600,-1.120362,0.9085742
17700,-1.136049,0.8993209
17800,-1.15194,0.89021
17900,-1.168047,0.8812383
18000,-1.18438,0.8724029
18100,-1.200953,0.8637012
18200,-1.217777,0.8551305
18300,-1.234867,0.8466882
18400,-1.252238,0.8383714
18500,-1.269904,0.8301778
18600,-1.287882,0.822105
18700,-1.30619,0.8141505
18800,-1.324846,0.8063121
18900,-1.34387,0.7985873
19000,-1.363284,0.7909741
19100,-1.38311,0.7834702
19200,-1.403373,0.7760736
19300,-1.424099,0.7687823
19400,-1.445317,0.7615941
19500,-1.467058,0.7545071
19600,-1.489355,0.7475194
19700,-1.512244,0.7406291
19800,-1.535764,0.7338346
19900,-1.559959,0.7271337
20000,-1.584875,0.720525
20100,-1.610563,0.7140066
20200,-1.637081,0.707577
20300,-1.664489,0.7012346
20400,-1.692858,0.6949776
20500,-1.722265,0.6888046
20600,-1.752793,0.6827141
20700,-1.784538,0.6767045
20800,-1.817608,0.6707746
20900,-1.852124,0.6649228
21000,-1.888224,0.6591476
21100,-1.926063,0.6534479
21200,-1.965822,0.6478222
21300,-2.007709,0.6422694
21400,-2.051966,0.636788
21500,-2.098876,0.6313769
21600,-2.148776,0.6260349
21700,-2.202066,0.6207607
21800,-2.259897,0.615554
21900,-2.321526,0.610414
22000,-2.388359,0.6053386
22100,-2.461323,0.6003264
22200,-2.541611,0.5953766
22300,-2.630789,0.5904882
22400,-2.730981,0.5856599
22500,-2.845146,0.5808909
22600,-2.977598,0.5761802
22700,-3.134965,0.5715267
22800,-3.328202,0.5669298
22900,-3.577406,0.5623882
23000,-3.9259,0.5579013
23100,-4.499771,0.553468
23122,-4.693714,0.5524998
23127,-4.744025,0.5522801
23132,-4.797159,0.5520605
23137,-4.853469,0.5518411
23142,-4.913374,0.5516218
23147,-4.977305,0.5514027
23152,-5.045887,0.5511836
23157,-5.119778,0.5509647
23162,-5.199922,0.5507459
23167,-5.287384,0.5505273
23172,-5.383695,0.5503088
23177,-5.490731,0.5500904
23182,-5.611203,0.5498722
23187,-5.748984,0.549654
23192,-5.909683,0.5494361
23197,-6.102556,0.5492182
23200,-6.239835,0.5490875
23202,-6.343397,0.5490005
23207,-6.664284,0.5487828
23212,-7.14524,0.5485654
23217,-8.129757,0.5483481
23222,-8.458675,3.650104
23227,-7.253163,3.648633
23232,-6.724236,3.647163
23237,-6.380579,3.645696
23242,-6.125194,3.644229
23247,-5.921881,3.642764
23252,-5.752777,3.6413
23257,-5.608054,3.639838
23262,-5.481483,3.638376
23267,-5.368944,3.636917
23272,-5.267683,3.635458
23277,-5.175563,3.634001
23282,-5.091116,3.632546
23287,-5.013093,3.631091
23292,-4.94063,3.629638
23297,-4.872931,3.628186
23300,-4.834384,3.627316
23302,-4.809445,3.626736
23307,-4.749653,3.625288
23312,-4.693123,3.62384
23317,-4.639552,3.622394
23400,-4.009283,3.598582
23500,-3.553246,3.570375
23600,-3.235044,3.542684
23700,-2.990013,3.515496
23800,-2.790632,3.488801
23900,-2.622554,3.462587
24000,-2.477342,3.436844
24100,-2.349596,3.41156
24200,-2.235647,3.386726
24300,-2.132887,3.362333
24400,-2.039377,3.338369
24500,-1.953669,3.314826
24600,-1.874614,3.291694
24700,-1.801307,3.268965
24800,-1.733019,3.246631
