Energy,f’,f’’
1000,-30.9931,29.33323
1100,-29.30775,27.74952
1200,-26.98144,25.81777
1300,-25.58058,24.06408
1400,-24.53788,22.47263
1500,-23.75811,21.01619
1600,-23.21356,19.68024
1700,-22.85771,18.454
1800,-22.67084,17.32583
1900,-22.63956,16.28613
2000,-22.75804,15.32646
2100,-23.02809,14.43941
2200,-23.72363,13.63535
2300,-24.54556,12.91603
2400,-25.3974,12.26574
2500,-26.56441,11.66314
2600,-28.24471,11.10355
2700,-31.00929,10.58287
2795,-37.07132,10.12099
2800,-37.65633,10.0975
2805,-38.29551,10.0741
2810,-38.99718,10.05078
2815,-39.77158,10.02754
2820,-40.63116,10.00438
2825,-41.59152,9.981297
2830,-42.6721,9.958292
2835,-43.89795,9.935365
2840,-45.30138,9.912517
2845,-46.92552,9.889744
2850,-48.82824,9.867049
2855,-51.09177,9.844427
2860,-53.83575,9.821883
2865,-57.24145,9.799414
2870,-61.60419,9.77702
2875,-67.45172,9.754702
2880,-75.86503,9.732458
2885,-89.67271,9.710289
2890,-122.3323,9.688194
2895,-117.963,108.6403
2900,-76.05597,94.71932
2905,-57.79975,83.22652
2910,-47.45512,73.69218
2915,-41.13262,65.74705
2920,-37.18885,59.09659
2924,-35.15835,54.5498
2925,-34.76903,53.50727
2929,-33.58907,49.67226
2930,-33.37579,48.79107
2934,-32.78917,45.54475
2935,-32.70096,44.79772
2939,-32.54218,42.04071
2940,-32.54565,41.40516
2944,-32.70596,39.057
2945,-32.77909,38.51512
2949,-33.18669,36.51035
2950,-33.31509,36.04713
2954,-33.92361,34.33239
2955,-34.09811,33.936
2959,-34.87963,32.46754
2960,-35.09517,32.128
2964,-36.03587,30.87017
2965,-36.29059,30.57937
2969,-37.38906,29.50259
2970,-37.68402,29.25386
2974,-38.95029,28.33406
2975,-39.28956,28.12192
2979,-40.74682,27.33907
2980,-41.13803,27.15901
2984,-42.82553,26.49684
2985,-43.28111,26.34516
2989,-45.26191,25.7902
2990,-45.80153,25.66389
2994,-48.17579,25.20532
2999,-51.76659,24.73093
3000,-52.59295,24.6485
3004,-56.38925,24.35904
3009,-62.77651,24.08216
3014,-72.82843,23.89505
3019,-95.38316,23.79433
3024,-94.82032,91.67433
3029,-67.89321,86.62834
3034,-55.70247,82.10756
3039,-40.23029,77.79021
3044,-34.15146,73.79094
3049,-29.60163,70.11987
3054,-26.0962,66.74721
3059,-23.34615,63.64547
3064,-21.1643,60.79049
3069,-19.42116,58.15989
3074,-18.02422,55.73398
3079,-16.90318,53.49452
3084,-16.00563,51.42533
3089,-15.29039,49.51174
3094,-14.72485,47.74022
3099,-14.28295,46.09883
3100,-14.20748,45.78518
3104,-13.94355,44.57642
3109,-13.68942,43.16318
3114,-13.50635,41.84991
3119,-13.38264,40.6285
3200,-14.75236,28.97718
3300,-17.55586,23.73488
3400,-19.98619,21.4434
3440,-21.04862,20.8621
3445,-21.19436,20.79821
3450,-21.3443,20.73605
3455,-21.49897,20.67558
3460,-21.65906,20.61674
3465,-21.8253,20.5595
3470,-21.99866,20.50381
3475,-22.18024,20.44962
3480,-22.37146,20.39691
3485,-22.57408,20.34563
3490,-22.79039,20.29576
3495,-23.02341,20.24727
3500,-23.27731,20.20013
3505,-23.55798,20.15431
3510,-23.87419,20.10979
3515,-24.24,20.06656
3520,-24.67981,20.02458
3525,-25.24233,19.98385
3530,-26.04933,19.94435
3535,-27.61312,19.90606
3540,-28.30486,24.68398
3545,-26.44298,24.63199
3550,-25.68179,24.58138
3555,-25.2166,24.53212
3560,-24.89301,24.48421
3565,-24.65321,24.43764
3570,-24.46919,24.39243
3575,-24.32522,24.34855
3580,-24.2116,24.30601
3585,-24.12189,24.26481
3590,-24.05165,24.22495
3595,-23.99767,24.18645
3600,-23.95755,24.14929
3605,-23.92947,24.1135
3610,-23.91203,24.07908
3615,-23.90409,24.04604
3620,-23.90476,24.01439
3625,-23.91332,23.98415
3630,-23.92918,23.95533
3635,-23.95185,23.92796
3700,-24.75251,23.71508
3800,-26.66616,23.98323
3900,-32.65047,25.74679
4000,-12.93854,26.04948
4062,-12.70186,25.42536
4067,-12.69266,25.37646
4072,-12.68545,25.32776
4077,-12.68042,25.27928
4082,-12.67781,25.23101
4087,-12.67787,25.18294
4092,-12.68094,25.13507
4097,-12.68743,25.08741
4100,-12.69317,25.05892
4102,-12.69785,25.03996
4107,-12.71286,24.9927
4112,-12.73332,24.94565
4117,-12.76039,24.89879
4122,-12.79573,24.85214
4127,-12.84721,24.80569
4132,-12.90702,24.75944
4137,-12.98639,24.71339
4142,-13.09547,24.66753
4147,-13.25504,24.62187
4152,-13.52093,24.5764
4157,-14.18452,24.53113
4162,-13.92656,26.24082
4167,-13.34173,26.18923
4172,-13.03605,26.1379
4177,-12.8213,26.08684
