Energy,f’,f’’
1000,-6.860278,13.19118
1100,-6.318153,11.72231
1200,-6.050775,10.49038
1300,-5.884812,9.450051
1400,-5.818544,8.560656
1500,-5.829315,7.793478
1600,-5.898687,7.1263
1700,-6.018744,6.541929
1800,-6.184506,6.026824
1900,-6.432611,5.573399
2000,-6.713088,5.174308
2100,-7.020802,4.818658
2200,-7.388896,4.49942
2300,-7.834527,4.211646
2400,-8.395284,3.951811
2500,-9.106811,3.716254
2600,-10.08528,3.501659
2700,-11.61366,3.305546
2740,-12.56586,3.231792
2745,-12.71059,3.222751
2750,-12.86303,3.213748
2755,-13.02403,3.204784
2760,-13.19463,3.195858
2765,-13.37608,3.18697
2770,-13.56985,3.17812
2775,-13.77782,3.169307
2780,-14.00224,3.160533
2785,-14.24607,3.151795
2790,-14.51304,3.143094
2795,-14.80821,3.13443
2800,-15.13844,3.125802
2805,-15.51358,3.117211
2810,-15.9483,3.108656
2815,-16.46607,3.100137
2820,-17.10781,3.091654
2825,-17.95547,3.083205
2830,-19.21526,3.074793
2835,-21.77073,3.066415
2840,-22.61156,11.03152
2845,-19.53292,11.00508
2850,-18.20118,10.97854
2855,-17.34975,10.95188
2860,-16.72957,10.92511
2865,-16.24689,10.89824
2869,-15.92845,10.87667
2870,-15.8563,10.87127
2874,-15.59263,10.84962
2875,-15.53233,10.8442
2879,-15.31047,10.82247
2880,-15.25942,10.81703
2884,-15.07095,10.79522
2885,-15.02748,10.78976
2889,-14.86672,10.76788
2890,-14.82962,10.7624
2894,-14.69267,10.74044
2895,-14.66115,10.73494
2899,-14.54533,10.71292
2900,-14.51884,10.7074
2904,-14.42237,10.6853
2905,-14.40057,10.67976
2909,-14.32239,10.65759
2910,-14.30508,10.65204
2914,-14.24481,10.6298
2915,-14.23199,10.62424
2919,-14.18987,10.60193
2920,-14.18168,10.59635
2924,-14.15871,10.57398
2925,-14.15551,10.56838
2929,-14.15362,10.54594
2930,-14.15604,10.54033
2934,-14.17853,10.51783
2935,-14.18762,10.5122
2939,-14.23992,10.48964
2944,-14.34875,10.46138
2949,-14.52476,10.43305
2954,-14.80815,10.40464
2959,-15.30098,10.37617
2964,-16.44201,10.34763
2969,-16.72595,14.27299
2974,-15.10133,14.29263
2979,-14.32142,14.30839
2984,-13.7694,14.32013
2989,-13.32519,14.32776
2994,-12.94405,14.33118
2999,-12.60441,14.33032
3000,-12.54032,14.32963
3004,-12.29624,14.32563
3009,-12.01081,14.31683
3014,-11.74294,14.30379
3019,-11.48937,14.28647
3024,-11.24786,14.26486
3029,-11.01676,14.23896
3034,-10.79488,14.20879
3039,-10.58132,14.17438
3044,-10.37541,14.13577
3049,-10.17665,14.09301
3054,-9.984664,14.04617
3059,-9.799166,13.99533
3064,-9.619967,13.94059
3100,-8.507746,13.44173
3127,-9.058349,13.10123
3132,-8.998871,13.05825
3137,-8.943528,13.01563
3142,-8.89242,12.97338
3147,-8.845683,12.93148
3152,-8.803521,12.88993
3157,-8.7662,12.84873
3162,-8.734083,12.80788
3167,-8.707646,12.76736
3172,-8.68753,12.72719
3177,-8.67459,12.68734
3182,-8.670007,12.64783
3187,-8.675434,12.60863
3192,-8.693287,12.56977
3197,-8.727251,12.53121
3200,-8.757709,12.50823
3202,-8.783329,12.49298
3207,-8.872282,12.45505
3212,-9.016373,12.41744
3217,-9.275349,12.38012
3222,-9.961427,12.34311
3227,-9.659089,14.18606
3232,-9.011804,14.14733
3237,-8.662724,14.10891
3242,-8.41085,14.07079
3247,-8.208317,14.03296
3252,-8.035934,13.99543
3257,-7.884077,13.95819
3262,-7.747181,13.92123
3267,-7.621769,13.88456
3272,-7.505484,13.84817
3277,-7.396684,13.81205
3282,-7.294147,13.77622
3287,-7.196967,13.74066
3292,-7.104424,13.70536
3297,-7.015962,13.67034
3300,-6.964648,13.64945
3302,-6.931119,13.63558
3307,-6.84953,13.60108
3312,-6.770875,13.56684
3317,-6.694899,13.53287
3322,-6.621373,13.49914
3400,-5.693326,13.00433
3500,-4.850823,12.44727
3600,-4.219456,11.96481
3700,-3.656825,11.54495
3800,-3.237038,11.1656
3900,-2.447506,10.78708
4000,-2.099682,10.37719
4100,-1.802139,9.992129
4200,-1.519844,9.629409
4300,-1.294735,9.281639
4400,-1.099076,8.952517
4500,-0.9284723,8.640708
4600,-0.779351,8.345002
4700,-0.6487725,8.064292
4800,-0.5342913,7.797565
4900,-0.4338559,7.543898
5000,-0.3457293,7.302438
5100,-0.2684318,7.072405
5200,-0.2006944,6.85308
5300,-0.1427389,6.643818
5400,-9.2225395E-02,6.444034
5500,-4.7128435E-02,6.253123
5600,-8.0030318E-03,6.070554
5700,1.9826457E-02,5.895981
5800,4.8775818E-02,5.729248
5900,7.3453173E-02,5.5695
6000,9.1113314E-02,5.416542
6100,0.1084998,5.269914
6200,0.1228057,5.129177
6300,0.1343325,4.994014
6400,0.1433491,4.864133
6500,0.1443175,4.739511
6600,0.1488817,4.619882
6700,0.1516194,4.504769
6800,0.1527043,4.393944
6900,0.1522926,4.287196
7000,0.1505249,4.184323
7100,0.1475283,4.085139
7200,0.1434174,3.989467
7300,0.138296,3.89714
7400,0.1322579,3.808004
7500,0.125388,3.721911
7600,0.1177631,3.638723
7700,0.109453,3.55831
7800,0.1005205,3.480546
7900,9.1022849E-02,3.405317
8000,8.1011273E-02,3.332512
8100,7.0531823E-02,3.262028
8200,5.9625618E-02,3.193765
8300,4.8328158E-02,3.12763
8400,3.6669496E-02,3.063535
8500,2.4671642E-02,3.001396
8600,1.2344581E-02,2.941134
8700,-4.4314936E-03,2.882709
8800,-1.7477971E-02,2.826047
8900,-3.1258401E-02,2.771044
9000,-4.4128802E-02,2.718038
9100,-5.7195824E-02,2.666565
9200,-7.0340276E-02,2.616567
9300,-8.3581068E-02,2.567987
9400,-9.690465E-02,2.52077
9500,-0.110299,2.474865
9600,-0.123753,2.430224
9700,-0.1372563,2.3868
9800,-0.1508003,2.344547
9900,-0.1643766,2.303425
10000,-0.177978,2.263392
10100,-0.1915979,2.22441
10200,-0.2052303,2.186442
10300,-0.2188703,2.149451
10400,-0.232513,2.113406
10500,-0.2461546,2.078273
10600,-0.2597915,2.04402
10700,-0.2734205,2.01062
10800,-0.287039,1.978043
10900,-0.3006447,1.946262
11000,-0.3143046,1.915251
11100,-0.3278808,1.884986
11200,-0.3414408,1.855441
11300,-0.3549829,1.826595
11400,-0.368506,1.798425
11500,-0.3820101,1.770909
11600,-0.3954951,1.744027
11700,-0.4089608,1.717761
11800,-0.422408,1.69209
11900,-0.4358369,1.666996
12000,-0.4492483,1.642463
12100,-0.4626429,1.618474
12200,-0.4760205,1.595012
12300,-0.4906933,1.572062
12400,-0.5038559,1.549636
12500,-0.5172052,1.527692
12600,-0.5305456,1.506216
12700,-0.5438777,1.485196
12800,-0.5572028,1.464619
12900,-0.5714663,1.44448
13000,-0.5847908,1.424772
13100,-0.598116,1.40547
13200,-0.6114436,1.386562
13300,-0.6247763,1.368039
13400,-0.6381167,1.349889
13500,-0.6514678,1.332102
13600,-0.6648328,1.314669
13700,-0.6782145,1.29758
13800,-0.6916166,1.280826
13900,-0.705043,1.264399
14000,-0.7201256,1.248299
14100,-0.7336261,1.232533
14200,-0.7471575,1.21707
14300,-0.7607265,1.2019
14400,-0.7743369,1.187017
14500,-0.7879935,1.172412
14600,-0.8017004,1.15808
14700,-0.8154621,1.144013
14800,-0.8292835,1.130204
14900,-0.8431693,1.116648
15000,-0.8571248,1.103338
15100,-0.8711551,1.090268
15200,-0.8852656,1.077432
15300,-0.8994623,1.064825
15400,-0.9137507,1.052441
15500,-0.9281372,1.040274
15600,-0.9426281,1.02832
15700,-0.95723,1.016575
15800,-0.97195,1.005031
15900,-0.9867951,0.9936862
16000,-1.001773,0.9825346
16100,-1.016892,0.9715722
16200,-1.032159,0.9607945
16300,-1.047584,0.9501977
16400,-1.063176,0.9397772
16500,-1.078945,0.9295293
16600,-1.094899,0.9194502
16700,-1.111051,0.909536
16800,-1.12741,0.8997835
16900,-1.143988,0.8901886
17000,-1.160799,0.8807482
17100,-1.177855,0.8714589
17200,-1.19517,0.8623174
17300,-1.212758,0.8533208
17400,-1.230636,0.8444656
17500,-1.248819,0.835749
17600,-1.267326,0.8271682
17700,-1.286174,0.8187202
17800,-1.305385,0.8104024
17900,-1.32498,0.8022119
18000,-1.344981,0.7941461
18100,-1.365414,0.7862027
18200,-1.386304,0.7783789
18300,-1.407682,0.7706726
18400,-1.429577,0.7630811
18500,-1.452023,0.7556024
18600,-1.475057,0.7482339
18700,-1.498719,0.7409738
18800,-1.523049,0.7338198
18900,-1.548098,0.7267697
19000,-1.573916,0.7198216
19100,-1.600559,0.7129735
19200,-1.628091,0.7062234
19300,-1.656581,0.6995696
19400,-1.686105,0.6930101
19500,-1.71675,0.6865431
19600,-1.749229,0.6801671
19700,-1.782413,0.6738819
19800,-1.817042,0.6676843
19900,-1.853255,0.6615722
20000,-1.891211,0.6555443
20100,-1.93109,0.649599
20200,-1.973101,0.6437348
20300,-2.017488,0.6379502
20400,-2.064537,0.6322437
20500,-2.114587,0.626614
20600,-2.168041,0.6210595
20700,-2.225388,0.6155791
20800,-2.287225,0.6101714
20900,-2.354297,0.604835
21000,-2.427539,0.5995687
21100,-2.508157,0.5943713
21200,-2.597737,0.5892416
21300,-2.698424,0.5841784
21400,-2.813221,0.5791804
21500,-2.946507,0.5742466
21600,-3.105022,0.569376
21700,-3.29994,0.5645673
21800,-3.551818,0.5598197
21900,-3.905269,0.5551319
22000,-4.491697,0.550503
22020,-4.671601,0.5495842
22025,-4.722508,0.5493549
22030,-4.776338,0.5491256
22035,-4.833394,0.5488966
22040,-4.894126,0.5486676
22045,-4.958982,0.5484389
22050,-5.028579,0.5482103
22055,-5.103683,0.5479818
22060,-5.185158,0.5477535
22065,-5.27424,0.5475252
22070,-5.372393,0.5472972
22075,-5.481736,0.5470693
22080,-5.605009,0.5468416
22085,-5.7463,0.546614
22090,-5.911787,0.5463865
22095,-6.111207,0.5461591
22100,-6.362222,0.5459319
22105,-6.700502,0.5457049
22110,-7.220975,0.545478
22115,-8.39278,0.5452513
22120,-8.163956,3.665064
22125,-7.143647,3.663516
22130,-6.649228,3.661969
22135,-6.319332,3.660424
22140,-6.07133,3.65888
22145,-5.872304,3.657337
22150,-5.706095,3.655796
22155,-5.563251,3.654256
22160,-5.438051,3.652718
22165,-5.326509,3.651181
22170,-5.225982,3.649645
22175,-5.134442,3.648111
22180,-5.050369,3.646578
22185,-4.972679,3.645047
22190,-4.900411,3.643517
22195,-4.832896,3.641988
22200,-4.769497,3.640461
22205,-4.709777,3.638935
22210,-4.653308,3.637411
22215,-4.59973,3.635887
22300,-3.956826,3.610203
22400,-3.502634,3.580482
22500,-3.184456,3.551288
22600,-2.938943,3.522609
22700,-2.738926,3.494431
22800,-2.570195,3.466746
22900,-2.424354,3.43954
23000,-2.296027,3.412803
23100,-2.181554,3.386525
23200,-2.078342,3.360696
23300,-1.984417,3.335307
23400,-1.898364,3.310346
23500,-1.819023,3.285805
23600,-1.745489,3.261676
23700,-1.677027,3.237948
23800,-1.613036,3.214615
23900,-1.553013,3.191666
24000,-1.496536,3.169095
24100,-1.443248,3.146892
24200,-1.392839,3.125051
24300,-1.345046,3.103565
24400,-1.299633,3.082425
24500,-1.256398,3.061625
24600,-1.215161,3.041157
24700,-1.175761,3.021015
24800,-1.138056,3.001193
24900,-1.101915,2.981684
