Energy,f’,f’’
1000,-0.7006037,1.753205
1100,-0.7874943,1.505084
1200,-0.8768405,1.307371
1300,-0.9680474,1.147068
1400,-1.061697,1.015149
1500,-1.159144,0.9051852
1600,-1.262422,0.8124871
1700,-1.374363,0.7335658
1800,-1.49895,0.6657804
1900,-1.642047,0.6070998
2000,-1.812898,0.5559404
2100,-2.027502,0.5110521
2200,-2.317508,0.4714364
2300,-2.760703,0.4362881
2375,-3.34481,0.4124595
2380,-3.400303,0.4109412
2385,-3.459149,0.4094313
2390,-3.52176,0.4079297
2395,-3.588614,0.4064365
2400,-3.660299,0.4049515
2405,-3.737515,0.4034746
2410,-3.821145,0.4020058
2415,-3.912275,0.4005451
2420,-4.012316,0.3990924
2425,-4.123086,0.3976476
2430,-4.247046,0.3962106
2435,-4.387573,0.3947815
2440,-4.549557,0.3933601
2445,-4.740368,0.3919464
2450,-4.971995,0.3905404
2455,-5.265775,0.3891419
2460,-5.665877,0.387751
2465,-6.290532,0.3863675
2470,-7.757945,0.3849914
2475,-7.264201,4.10434
2480,-6.085562,4.094034
2485,-5.496398,4.083725
2490,-5.098217,4.073415
2495,-4.796106,4.063104
2500,-4.552037,4.052791
2505,-4.346931,4.042477
2510,-4.169826,4.032163
2515,-4.013817,4.021849
2520,-3.874309,4.011535
2525,-3.748047,4.001221
2530,-3.632679,3.990909
2535,-3.526416,3.980597
2540,-3.427896,3.970287
2545,-3.336029,3.959978
2550,-3.249956,3.949672
2555,-3.168966,3.939367
2560,-3.092481,3.929065
2565,-3.02001,3.918766
2570,-2.951149,3.908471
2600,-2.597138,3.84678
2700,-1.819552,3.642765
2800,-1.331932,3.442623
2900,-0.9912434,3.247802
3000,-0.7522593,3.059391
3100,-0.5594298,2.904084
3200,-0.4051557,2.761436
3300,-0.2745205,2.628788
3400,-0.1693315,2.505365
3500,-8.1560425E-02,2.390438
3600,-7.8057731E-03,2.283233
3700,5.4573547E-02,2.183064
3800,0.107547,2.08932
3900,0.1526825,2.001457
4000,0.1912307,1.918987
4100,0.2242027,1.841473
4200,0.252425,1.768522
4300,0.2765833,1.699779
4400,0.2963587,1.634953
4500,0.3139664,1.573727
4600,0.3289541,1.515836
4700,0.3416625,1.46104
4800,0.3523819,1.40912
4900,0.3613615,1.359879
5000,0.3677593,1.313199
