Energy,f’,f’’
1000,-11.80711,24.04015
1100,-9.505189,21.63727
1200,-7.98303,19.55356
1300,-6.937045,17.73706
1400,-6.199494,16.15649
1500,-5.661477,14.7738
1600,-5.315005,13.55524
1700,-5.055348,12.4868
1800,-4.883482,11.53821
1900,-4.797727,10.69303
2000,-4.748501,9.936948
2100,-4.742525,9.257375
2200,-4.890482,8.65545
2300,-4.945248,8.113972
2400,-5.024939,7.621761
2500,-5.127174,7.172884
2600,-5.250607,6.762289
2700,-5.394918,6.385658
2800,-5.561098,6.03928
2900,-5.757222,5.720049
3000,-5.994437,5.425198
3100,-6.222447,5.161564
3200,-6.477096,4.917472
3300,-6.765496,4.691054
3400,-7.091969,4.480657
3500,-7.468798,4.284714
3600,-7.912734,4.101889
3700,-8.450916,3.930999
3800,-9.132996,3.771023
3900,-10.05588,3.621086
4000,-11.49109,3.480281
4035,-12.2653,3.433017
4040,-12.39764,3.426346
4045,-12.53718,3.419696
4050,-12.68478,3.413067
4055,-12.84142,3.406457
4060,-13.00835,3.399868
4065,-13.18703,3.393298
4070,-13.37927,3.386748
4075,-13.58734,3.380218
4080,-13.81419,3.373708
4085,-14.06357,3.367217
4090,-14.34055,3.360745
4095,-14.65212,3.354294
4100,-15.00836,3.347861
4105,-15.42443,3.341448
4110,-15.92482,3.335053
4115,-16.55297,3.328679
4120,-17.3982,3.322323
4125,-18.69591,3.315986
4130,-21.61562,3.309667
4135,-21.0271,11.06989
4140,-18.47883,11.03836
4145,-17.24737,11.00703
4150,-16.42999,10.97591
4155,-15.81923,10.94498
4160,-15.33313,10.91426
4165,-14.93064,10.88373
4170,-14.58841,10.85339
4175,-14.29177,10.82325
4180,-14.03097,10.79331
4185,-13.79909,10.76355
4190,-13.59117,10.73398
4195,-13.40348,10.70459
4200,-13.23316,10.6754
4205,-13.07793,10.64639
4210,-12.93603,10.61755
4215,-12.80599,10.58891
4220,-12.68668,10.56044
4225,-12.57708,10.53215
4230,-12.47643,10.50404
4283,-11.84502,10.21658
4288,-11.82186,10.19042
4293,-11.80506,10.16443
4298,-11.79486,10.13859
4300,-11.79271,10.1283
4303,-11.79162,10.11291
4308,-11.79578,10.08739
4313,-11.80796,10.06202
4318,-11.82891,10.03681
4323,-11.85965,10.01175
4328,-11.90151,9.986842
4333,-11.95625,9.962086
4338,-12.02622,9.937481
4343,-12.11484,9.913022
4348,-12.22689,9.888711
4353,-12.36969,9.864546
4358,-12.55505,9.840529
4363,-12.80395,9.816654
4368,-13.1591,9.792922
4373,-13.73182,9.769332
4378,-15.0499,9.745885
4383,-14.90222,13.57064
4388,-13.52772,13.53626
4393,-12.8529,13.50208
4398,-12.39108,13.46813
4400,-12.23893,13.4546
4403,-12.03474,13.43438
4408,-11.74198,13.40083
4413,-11.49199,13.3675
4418,-11.27291,13.33437
4423,-11.07733,13.30145
4428,-10.90027,13.26872
4433,-10.73827,13.2362
4438,-10.58879,13.20388
4443,-10.44995,13.17176
4448,-10.32025,13.13983
4453,-10.19854,13.1081
4458,-10.08389,13.07656
4463,-9.975549,13.04522
4468,-9.872877,13.01406
4473,-9.775362,12.98309
4478,-9.682563,12.95232
4500,-9.321861,12.81909
4600,-8.350879,12.25607
4601,-8.34591,12.25077
4606,-8.322629,12.22437
4611,-8.302059,12.19813
4616,-8.284369,12.17204
4621,-8.269765,12.14611
4626,-8.258502,12.12033
4631,-8.250902,12.0947
4636,-8.247368,12.06922
4641,-8.248412,12.04389
4646,-8.254697,12.01871
4651,-8.267096,11.99367
4656,-8.286781,11.96878
4661,-8.315382,11.94404
4666,-8.35525,11.91944
4671,-8.409937,11.89498
4676,-8.485182,11.87067
4681,-8.591166,11.8465
4686,-8.748684,11.82247
4691,-9.012354,11.79857
4696,-9.646976,11.77482
4700,-9.793721,13.59795
4701,-9.514109,13.59295
4706,-8.859342,13.56806
4711,-8.526525,13.54332
4716,-8.293218,13.51871
4721,-8.10935,13.49423
4726,-7.955288,13.4699
4731,-7.821229,13.44569
4736,-7.701613,13.42163
4741,-7.592951,13.39769
4746,-7.492924,13.37389
4751,-7.399879,13.35022
4756,-7.312633,13.32668
4761,-7.23029,13.30327
4766,-7.152167,13.27999
4771,-7.077701,13.25684
4776,-7.006462,13.23381
4781,-6.938091,13.21092
4786,-6.872299,13.18815
4791,-6.808825,13.1655
4796,-6.747465,13.14297
4800,-6.699776,13.12504
4900,-5.765469,12.70139
5000,-5.102882,12.32126
5100,-4.583796,11.97982
5200,-4.157225,11.67296
5300,-3.79529,11.39715
5400,-3.122936,11.13059
5500,-2.82146,10.8375
5600,-2.555288,10.56187
5700,-2.147382,10.30077
5800,-1.922743,10.02468
5900,-1.721841,9.759982
6000,-1.541518,9.506063
6100,-1.37916,9.262341
6200,-1.220096,9.026402
6300,-1.086831,8.799265
6400,-0.9661846,8.580628
6500,-0.8568169,8.370067
6600,-0.7575686,8.167182
6700,-0.66743,7.971601
6800,-0.5855171,7.782971
6900,-0.5110527,7.600965
7000,-0.4433494,7.425272
7100,-0.3817973,7.2556
7200,-0.3258536,7.091674
7300,-0.2750331,6.933233
7400,-0.2289017,6.780035
7500,-0.1870687,6.631847
7600,-0.1491827,6.488451
7700,-0.1149265,6.349641
7800,-8.4013142E-02,6.215221
7900,-5.6183465E-02,6.085007
8000,-3.1202115E-02,5.958823
8100,-8.8558793E-03,5.836503
8200,1.1047892E-02,5.71789
8300,2.259323E-02,5.602978
8400,3.8073659E-02,5.491742
8500,5.1603872E-02,5.383783
8600,6.3303068E-02,5.278973
8700,7.3269002E-02,5.177189
8800,7.7152573E-02,5.078423
8900,8.3780266E-02,4.982624
9000,8.9963034E-02,4.890071
9100,9.4975851E-02,4.800124
9200,9.8902687E-02,4.712685
9300,0.1018212,4.627656
9400,0.1034972,4.544953
9500,0.1045515,4.464508
9600,0.104799,4.386224
9700,0.1042965,4.310025
9800,0.1030971,4.235836
9900,0.1012531,4.163585
10000,9.8678328E-02,4.093205
10100,9.5506266E-02,4.024632
10200,9.1962896E-02,3.957804
10300,8.7934487E-02,3.892659
10400,8.3456486E-02,3.829142
10500,7.8560412E-02,3.767197
10600,7.327567E-02,3.706771
10700,6.7629695E-02,3.647815
10800,6.1647858E-02,3.590281
10900,5.5354048E-02,3.534122
11000,4.8770312E-02,3.479294
11100,4.1917399E-02,3.425756
11200,3.4814678E-02,3.373466
11300,2.7480043E-02,3.322384
11400,1.9930463E-02,3.272475
11500,1.2181519E-02,3.2237
11600,4.2479681E-03,3.176027
11700,-3.8563842E-03,3.129421
11800,-1.2118864E-02,3.083849
11900,-2.0527324E-02,3.039283
12000,-2.9070716E-02,2.995691
12100,-3.7738487E-02,2.953044
12200,-4.6520751E-02,2.911317
12300,-5.540853E-02,2.87048
12400,-6.4393088E-02,2.830511
12500,-7.3466599E-02,2.791382
12600,-8.26215E-02,2.753071
12700,-9.185072E-02,2.715556
12800,-0.1011479,2.678812
12900,-0.1105068,2.64282
13000,-0.1199219,2.607559
13100,-0.1293878,2.573008
13200,-0.1388994,2.539149
13300,-0.1484523,2.505962
13400,-0.1580421,2.473431
13500,-0.1676648,2.441537
13600,-0.1773168,2.410263
13700,-0.1869944,2.379595
13800,-0.1966945,2.349515
13900,-0.2064141,2.320009
14000,-0.2161506,2.291061
14100,-0.2259012,2.262659
14200,-0.2356635,2.234788
14300,-0.2456708,2.207434
14400,-0.2572366,2.180591
14500,-0.2670264,2.154254
14600,-0.2768171,2.128397
14700,-0.2866097,2.103008
14800,-0.2964028,2.078076
14900,-0.3061953,2.05359
15000,-0.3159861,2.029539
15100,-0.3257742,2.005913
15200,-0.3355593,1.982702
15300,-0.3466452,1.959902
15400,-0.3564211,1.937504
15500,-0.3661904,1.915492
15600,-0.3759529,1.893857
15700,-0.3857084,1.87259
15800,-0.3954565,1.851684
15900,-0.405197,1.831129
16000,-0.4149298,1.810918
16100,-0.4246547,1.791044
16200,-0.4343716,1.771498
16300,-0.4440804,1.752273
16400,-0.4537815,1.733363
16500,-0.463475,1.71476
16600,-0.4731609,1.696458
16700,-0.4828395,1.678449
16800,-0.4925109,1.660729
16900,-0.5021759,1.64329
17000,-0.5118346,1.626127
17100,-0.5214876,1.609234
17200,-0.5311353,1.592604
17300,-0.540778,1.576234
17400,-0.5504167,1.560116
17500,-0.560052,1.544246
17600,-0.5696844,1.528619
17700,-0.5793166,1.513229
17800,-0.5891474,1.498075
17900,-0.5988278,1.483148
18000,-0.6104063,1.468477
18100,-0.6200312,1.454026
18200,-0.6296562,1.43979
18300,-0.6392828,1.425764
18400,-0.6489127,1.411943
18500,-0.6585468,1.398324
18600,-0.6681861,1.384903
18700,-0.6778318,1.371676
18800,-0.6874846,1.358639
18900,-0.6971462,1.345788
19000,-0.7083941,1.333125
19100,-0.7180721,1.320661
19200,-0.727762,1.308373
19300,-0.737465,1.296258
19400,-0.7471827,1.284311
19500,-0.7569164,1.272531
19600,-0.7666674,1.260913
19700,-0.7764372,1.249454
19800,-0.786227,1.238153
19900,-0.7960388,1.227006
20000,-0.805874,1.216009
20100,-0.8157342,1.205161
20200,-0.8256211,1.194458
20300,-0.835537,1.183899
20400,-0.8478423,1.173494
20500,-0.8578241,1.163248
20600,-0.8678378,1.153137
20700,-0.8778864,1.143159
20800,-0.8879718,1.133312
20900,-0.8980965,1.123593
21000,-0.9082623,1.114
21100,-0.9184713,1.10453
21200,-0.9287258,1.095182
21300,-0.9390277,1.085954
21400,-0.9493799,1.076844
21500,-0.9597845,1.067848
21600,-0.970244,1.058967
21700,-0.9807608,1.050196
21800,-0.9913374,1.041536
21900,-1.001977,1.032983
22000,-1.012682,1.024537
22100,-1.023455,1.016194
22200,-1.0343,1.007954
22300,-1.045219,0.9998155
22400,-1.056216,0.9917758
22500,-1.067293,0.9838335
22600,-1.078455,0.9759872
22700,-1.089705,0.9682353
22800,-1.101046,0.9605765
22900,-1.112482,0.9530089
23000,-1.124018,0.9455312
23100,-1.135657,0.9381419
23200,-1.147403,0.9308398
23300,-1.159261,0.9236235
23400,-1.171236,0.9164914
23500,-1.183332,0.9094423
23600,-1.195555,0.9024749
23700,-1.207909,0.895588
23800,-1.220399,0.8887804
23900,-1.233033,0.8820506
24000,-1.245815,0.8753976
24100,-1.258751,0.8688202
24200,-1.271849,0.8623172
24300,-1.285115,0.8558877
24400,-1.298555,0.8495302
24500,-1.312179,0.8432438
24600,-1.325992,0.8370275
24700,-1.340004,0.8308802
24800,-1.354224,0.8248008
24900,-1.36866,0.8187884
