Energy,f’,f’’
1000,-8.607587,3.997403
1100,-9.287859,3.517751
1200,-10.31635,3.124169
1300,-12.10092,2.796254
1338,-13.28116,2.685705
1343,-13.48082,2.671672
1348,-13.69537,2.657754
1353,-13.92708,2.64395
1358,-14.1787,2.630258
1363,-14.45364,2.616676
1368,-14.75623,2.603205
1373,-15.09194,2.589842
1378,-15.4679,2.576586
1379,-15.54869,2.573948
1383,-15.8935,2.563437
1384,-15.98562,2.560819
1388,-16.38143,2.550392
1389,-16.48793,2.547795
1393,-16.9492,2.537451
1394,-17.07437,2.534874
1398,-17.62182,2.524612
1399,-17.7719,2.522056
1400,-17.92794,2.519505
1403,-18.43624,2.511875
1404,-18.6207,2.509339
1408,-19.44982,2.499238
1409,-19.6838,2.496722
1413,-20.75721,2.4867
1414,-21.06686,2.484204
1418,-22.52894,2.47426
1419,-22.96437,2.471784
1423,-25.11563,2.461917
1424,-25.7906,2.45946
1428,-29.4231,2.449671
1429,-30.69157,2.447232
1433,-39.45566,2.437519
1434,-44.06836,2.4351
1438,-40.27527,36.67175
1439,-35.52129,35.85484
1443,-25.25735,32.81315
1444,-23.66784,32.10558
1448,-19.09896,29.46757
1449,-18.27035,28.85309
1453,-15.78679,26.55917
1454,-15.33431,26.02413
1458,-14.05723,24.02426
1459,-13.85842,23.5572
1463,-13.52047,21.8092
1464,-13.55551,21.40051
1468,-14.295,19.86888
1469,-14.67803,19.51033
1473,-17.87801,18.16499
1474,-19.62782,17.84966
1478,-19.56322,33.59214
1479,-16.73189,32.925
1483,-10.84654,30.42723
1484,-9.933128,29.8431
1488,-7.253278,27.65348
1489,-6.751348,27.14078
1493,-5.174428,25.21665
1494,-4.864782,24.76557
1498,-3.872366,23.07075
1499,-3.675332,22.67296
1500,-3.495345,22.28489
1503,-3.044989,21.17665
1504,-2.921086,20.82504
1508,-2.533345,19.501
1509,-2.459693,19.18952
1513,-2.241368,18.01531
1514,-2.203493,17.73875
1518,-2.107159,16.6952
1519,-2.095246,16.44914
1523,-2.088105,15.51973
1524,-2.095296,15.30035
1528,-2.154073,14.4709
1529,-2.175435,14.27491
1533,-2.283216,13.53319
1534,-2.315128,13.35777
1539,-2.499189,12.53591
1544,-2.716264,11.79806
1549,-2.957443,11.13447
1554,-3.217309,10.53664
1556,-3.325028,10.31423
1559,-3.489973,9.997177
1561,-3.601857,9.796264
1564,-3.772096,9.509634
1566,-3.886956,9.327869
1569,-4.060957,9.068377
1571,-4.177922,8.903708
1574,-4.354575,8.668472
1576,-4.473023,8.519104
1581,-4.771073,8.169949
1586,-5.071338,7.852637
1591,-5.373468,7.563993
1596,-5.677459,7.30122
1600,-5.92221,7.107956
1601,-5.983646,7.06185
1606,-6.292718,6.843699
1611,-6.605778,6.644843
1616,-6.924477,6.463566
1621,-7.251215,6.298368
1626,-7.58964,6.147903
1631,-7.945537,6.010984
1636,-8.328918,5.886558
1641,-8.759643,5.773692
1646,-9.287421,5.67156
1651,-10.12447,5.579432
1656,-10.54661,7.410464
1661,-10.02905,7.331
1666,-9.930598,7.25991
1671,-9.947311,7.196757
1676,-10.01961,7.141166
1681,-10.12524,7.092814
1686,-10.25357,7.051428
1691,-10.39876,7.016779
1696,-10.55733,6.988683
1700,-10.69235,6.970825
1701,-10.72713,6.966995
1706,-10.90676,6.951608
1711,-11.09535,6.942452
1716,-11.29233,6.939495
1721,-11.49739,6.942735
1726,-11.7104,6.952209
1731,-11.93133,6.967986
1736,-12.16029,6.99017
1741,-12.39745,7.018898
1746,-12.64306,7.054344
1751,-12.89744,7.096718
1800,-15.95655,7.950431
1900,-9.887308,11.71486
2000,-3.04811,11.41847
2100,-2.365687,10.62943
2200,-1.785446,9.921059
2300,-1.372942,9.273848
2400,-1.049832,8.689712
2500,-0.7946336,8.160489
2600,-0.5921067,7.679322
2700,-0.431181,7.240413
2800,-0.303792,6.83883
2900,-0.187925,6.469453
3000,-0.112235,6.126599
