Energy,f’,f’’
1000,-40.0432,7.194139
1100,-51.96742,84.9592
1200,-15.4453,12.69807
1300,-38.52256,8.756061
1322,-44.3994,9.210564
1327,-45.93294,9.383953
1332,-47.56161,9.58979
1337,-49.2979,9.83232
1342,-51.15585,10.11663
1347,-53.15139,10.44879
1352,-55.30261,10.83606
1357,-57.63018,11.28714
1362,-60.15786,11.81239
1367,-62.91301,12.42425
1372,-65.92738,13.13763
1377,-69.23795,13.97046
1382,-72.88815,14.94434
1387,-76.93377,16.08539
1392,-81.42789,17.42512
1397,-86.45046,19.00183
1400,-89.75658,20.0806
1402,-92.09802,20.86211
1407,-43.88991,21.98717
1412,-46.08344,22.3676
1417,-49.19318,22.82829
1422,-51.39196,27.81043
1427,-51.80728,28.443
1432,-53.42739,29.21206
1437,-55.62091,30.14437
1442,-20.63629,30.16492
1443,-20.55077,30.13085
1447,-20.23587,29.99544
1448,-20.16305,29.96181
1452,-19.89113,29.82814
1453,-19.82747,29.79494
1457,-19.58763,29.66298
1458,-19.53104,29.6302
1462,-19.31649,29.49992
1463,-19.26559,29.46755
1467,-19.07187,29.33891
1468,-19.02575,29.30696
1472,-18.84979,29.17994
1473,-18.80782,29.14838
1477,-18.6475,29.02295
1478,-18.60924,28.99178
1482,-18.46312,28.86791
1483,-18.42828,28.83714
1487,-18.29543,28.7148
1488,-18.26382,28.6844
1492,-18.14379,28.56357
1493,-18.11536,28.53355
1497,-18.00806,28.4142
1498,-17.98286,28.38454
1500,-17.93446,28.32545
1502,-17.88878,28.26665
1503,-17.867,28.23736
1507,-17.78726,28.1209
1508,-17.76928,28.09196
1512,-17.70597,27.97692
1513,-17.69247,27.94833
1517,-17.64933,27.83467
1518,-17.64157,27.80642
1523,-17.62585,27.66622
1528,-17.66462,27.5277
1533,-17.80803,27.39083
1538,-18.28111,27.25558
1543,-18.22713,28.99398
1548,-17.39218,28.84471
1553,-16.94531,28.69753
1558,-16.61345,28.55241
1563,-16.33972,28.40932
1568,-16.10222,28.26823
1573,-15.89007,28.12908
1578,-15.69702,27.99186
1583,-15.51916,27.85652
1588,-15.35384,27.72304
1593,-15.19918,27.59139
1598,-15.05379,27.46154
1600,-14.99799,27.41009
1603,-14.91664,27.33345
1608,-14.7869,27.2071
1613,-14.66393,27.08246
1618,-14.54724,26.95951
1623,-14.43641,26.83822
1625,-14.39364,26.79016
1628,-14.33111,26.71856
1630,-14.29048,26.67115
1633,-14.2311,26.60052
1635,-14.19254,26.55375
1638,-14.1362,26.48406
1640,-14.09963,26.43792
1645,-14.01167,26.32364
1650,-13.9286,26.21091
1655,-13.85044,26.09968
1660,-13.77727,25.98995
1665,-13.70927,25.88169
1670,-13.64672,25.77488
1675,-13.59003,25.66951
1680,-13.53982,25.56555
1685,-13.49699,25.46299
1690,-13.46289,25.36181
1695,-13.4396,25.26199
1700,-13.43051,25.16353
1705,-13.44165,25.06639
1710,-13.48522,24.97057
1715,-13.5923,24.87606
1720,-13.89886,24.78283
1725,-13.91309,25.86988
1730,-13.39321,25.77633
1735,-13.12288,25.68407
1740,-12.9235,25.59309
1745,-12.75899,25.50337
1750,-12.61561,25.41491
1755,-12.48662,25.3277
1760,-12.3682,25.24171
1765,-12.25797,25.15694
1770,-12.15433,25.07338
1775,-12.05614,24.99101
1780,-11.96259,24.90984
1785,-11.87304,24.82983
1790,-11.787,24.75099
1795,-11.70407,24.67331
1800,-11.62395,24.59678
1805,-11.54636,24.52138
1810,-11.47107,24.44711
1815,-11.3979,24.37396
1820,-11.32669,24.30192
1900,-9.756663,23.11602
2000,-8.754862,21.78297
