Energy,f’,f’’
1000,-10.51584,22.30617
1100,-8.663243,20.03055
1200,-7.39941,18.06472
1300,-6.549289,16.36553
1400,-5.932406,14.89137
1500,-5.517382,13.60258
1600,-5.22246,12.47553
1700,-5.045357,11.48155
1800,-4.929061,10.60126
1900,-4.872714,9.817336
2000,-4.983645,9.123964
2100,-5.010093,8.509688
2200,-5.067599,7.955694
2300,-5.152116,7.454147
2400,-5.260952,6.998472
2500,-5.392531,6.583121
2600,-5.550621,6.203469
2700,-5.726938,5.855549
2800,-5.927268,5.535733
2900,-6.197406,5.242746
3000,-6.474133,4.974489
3100,-6.762603,4.732171
3200,-7.091629,4.507943
3300,-7.472515,4.29999
3400,-7.922532,4.106722
3500,-8.469783,3.926747
3600,-9.165533,3.758887
3700,-10.11196,3.602045
3800,-11.5958,3.455227
3831,-12.29833,3.411611
3836,-12.43162,3.404657
3841,-12.5721,3.397725
3846,-12.7206,3.390815
3851,-12.87813,3.383928
3856,-13.04587,3.377062
3861,-13.22528,3.370218
3866,-13.41813,3.363395
3871,-13.62667,3.356595
3876,-13.85372,3.349815
3881,-14.103,3.343057
3886,-14.37939,3.336321
3891,-14.68969,3.329605
3896,-15.04354,3.322911
3900,-15.3675,3.317571
3901,-15.45546,3.316238
3906,-15.94859,3.309586
3911,-16.56361,3.302954
3916,-17.38201,3.296344
3921,-18.61064,3.289754
3926,-21.15199,3.283184
3931,-21.76125,11.09898
3936,-18.79413,11.06655
3941,-17.47582,11.03434
3946,-16.62034,11.00233
3951,-15.98837,10.97054
3956,-15.48896,10.93896
3961,-15.07772,10.90758
3966,-14.72955,10.8764
3971,-14.42893,10.84543
3976,-14.16554,10.81466
3981,-13.93223,10.78409
3986,-13.72377,10.75371
3991,-13.53631,10.72353
3996,-13.36688,10.69355
4000,-13.24275,10.6697
4001,-13.21317,10.66376
4006,-13.07336,10.63415
4011,-12.94598,10.60474
4016,-12.82986,10.57552
4021,-12.72403,10.54648
4026,-12.6277,10.51763
4059,-12.19604,10.33174
4064,-12.15889,10.30424
4069,-12.12906,10.27692
4074,-12.10672,10.24977
4079,-12.09214,10.22279
4084,-12.08574,10.19598
4089,-12.08805,10.16933
4094,-12.09982,10.14286
4099,-12.12203,10.11654
4100,-12.12783,10.1113
4104,-12.156,10.09039
4109,-12.20349,10.0644
4114,-12.26692,10.03857
4119,-12.3497,10.0129
4124,-12.45669,9.987393
4129,-12.5956,9.962039
4134,-12.77852,9.936843
4139,-13.0274,9.911798
4144,-13.38732,9.886909
4149,-13.97837,9.86217
4154,-15.41183,9.837585
4159,-14.95816,13.68305
4164,-13.65778,13.64741
4169,-12.99304,13.61199
4174,-12.53217,13.5768
4179,-12.17397,13.54182
4184,-11.87825,13.50707
4189,-11.62482,13.47253
4194,-11.40212,13.43821
4199,-11.20282,13.4041
4200,-11.16531,13.3973
4204,-11.02207,13.3702
4209,-10.85644,13.33652
4214,-10.70341,13.30304
4219,-10.56112,13.26978
4224,-10.42807,13.23671
4229,-10.30312,13.20386
4234,-10.18534,13.1712
4239,-10.07398,13.13875
4244,-9.968412,13.1065
4249,-9.868109,13.07444
4254,-9.772635,13.04258
4300,-9.070667,12.75847
4367,-8.463139,12.37204
4372,-8.435762,12.34443
4377,-8.411206,12.31699
4382,-8.389625,12.28971
4387,-8.371218,12.26259
4392,-8.356236,12.23563
4397,-8.344989,12.20883
4400,-8.340192,12.19283
4402,-8.337869,12.18219
4407,-8.335377,12.15571
4412,-8.338161,12.12938
4417,-8.34707,12.10321
4422,-8.363255,12.0772
4427,-8.388301,12.05134
4432,-8.42449,12.02563
4437,-8.475255,12.00007
4442,-8.546127,11.97466
4447,-8.646813,11.9494
4452,-8.796892,11.92429
4457,-9.046325,11.89933
4462,-9.617661,11.87451
4467,-9.670532,13.6979
4472,-8.947975,13.67189
