Energy,f’,f’’
1000,-6.944886,6.956079
1100,-7.026948,6.148766
1200,-7.222778,5.479874
1300,-7.510138,4.91898
1400,-7.901817,4.443119
1500,-8.427589,4.035985
1600,-9.132936,3.684516
1700,-10.14056,3.378547
1800,-11.76916,3.110322
1842,-12.86662,3.0074
1847,-13.02807,2.995499
1852,-13.19842,2.983671
1857,-13.37868,2.971915
1862,-13.57004,2.96023
1867,-13.77392,2.948617
1872,-13.99203,2.937073
1877,-14.22649,2.925599
1882,-14.47991,2.914195
1887,-14.75562,2.902859
1892,-15.05791,2.891591
1897,-15.39252,2.88039
1900,-15.61193,2.873702
1902,-15.76726,2.869256
1907,-16.19331,2.858189
1909,-16.38158,2.85378
1912,-16.68737,2.847187
1914,-16.90953,2.842805
1917,-17.27619,2.836251
1919,-17.54763,2.831894
1922,-18.00661,2.825379
1924,-18.35668,2.821048
1927,-18.97318,2.814571
1929,-19.46931,2.810266
1932,-20.41835,2.803828
1934,-21.28383,2.799548
1937,-23.44253,2.793147
1939,-27.53885,2.788892
1942,-23.70655,11.5357
1944,-22.02983,11.51472
1947,-20.60916,11.48339
1949,-19.96575,11.46259
1952,-19.23447,11.43152
1954,-18.84846,11.4109
1957,-18.37248,11.38011
1959,-18.10718,11.35966
1962,-17.76904,11.32913
1964,-17.57646,11.30886
1967,-17.32852,11.27858
1969,-17.18711,11.25848
1972,-17.00675,11.22846
1974,-16.90608,11.20854
1977,-16.78279,11.17877
1979,-16.71866,11.15901
1982,-16.64986,11.12949
1984,-16.62304,11.1099
1987,-16.61411,11.08063
1989,-16.63168,11.0612
1992,-16.70079,11.03218
1994,-16.78246,11.01291
1997,-16.97964,10.98413
1999,-17.18424,10.96502
2000,-17.31937,10.95549
2002,-17.69322,10.93648
2004,-18.33127,10.91753
2007,-21.82285,15.21411
2009,-18.4208,15.1879
2012,-17.097,15.14874
2014,-16.56034,15.12274
2017,-15.95324,15.08389
2019,-15.62494,15.0581
2022,-15.20404,15.01958
2024,-14.95783,14.994
2027,-14.62628,14.95578
2029,-14.42523,14.93041
2032,-14.14754,14.8925
2034,-13.97571,14.86733
2037,-13.73495,14.82973
2039,-13.58399,14.80476
2044,-13.23504,14.7427
2049,-12.91969,14.68112
2054,-12.63163,14.62004
2059,-12.36633,14.55944
2064,-12.12047,14.49932
2069,-11.89147,14.43968
2074,-11.67734,14.38051
2079,-11.47646,14.3218
2084,-11.28754,14.26354
2089,-11.10952,14.20575
2094,-10.94151,14.1484
2099,-10.78278,14.0915
2100,-10.75209,14.08017
2104,-10.63272,14.03503
2119,-10.22982,13.86824
2124,-10.11017,13.81349
2129,-9.997454,13.75916
2134,-9.891546,13.70524
2139,-9.792401,13.65173
2144,-9.700033,13.59862
2149,-9.614568,13.54591
2154,-9.536215,13.4936
2159,-9.465336,13.44168
2164,-9.402446,13.39015
2169,-9.348306,13.339
2174,-9.303989,13.28824
2179,-9.271067,13.23785
2184,-9.251851,13.18783
2189,-9.249926,13.13818
2194,-9.27115,13.08889
2199,-9.326004,13.03996
2200,-9.342568,13.03022
2204,-9.436042,12.9914
2209,-9.657959,12.94318
2214,-10.26724,12.89532
2219,-10.07675,14.76534
2224,-9.3453,14.71371
2229,-8.951449,14.66245
2234,-8.66301,14.61159
2239,-8.427603,14.5611
2244,-8.224662,14.51098
2249,-8.043894,14.46124
2254,-7.879432,14.41187
2259,-7.72756,14.36286
2264,-7.585808,14.31421
2269,-7.452408,14.26592
2274,-7.326086,14.21798
2279,-7.205849,14.1704
2284,-7.090949,14.12316
2289,-6.980767,14.07626
2294,-6.874823,14.02971
2299,-6.772699,13.98349
2300,-6.752705,13.97428
2304,-6.674066,13.9376
2309,-6.578626,13.89205
2314,-6.48614,13.84682
2400,-5.214372,13.11722
2500,-4.190253,12.37107
2600,-3.305802,11.68135
