Energy,f’,f’’
1000,-27.72336,14.38783
1100,-27.63776,13.24299
1200,-27.90856,12.23304
1300,-28.57364,11.33569
1400,-29.75089,10.53353
1500,-31.74843,9.812631
1600,-35.70881,9.161734
1638,-38.80198,8.931546
1643,-39.36412,8.90198
1648,-39.98237,8.87256
1653,-40.66648,8.843281
1658,-41.4285,8.814145
1663,-42.28356,8.785151
1668,-43.25082,8.756296
1673,-44.35491,8.727582
1678,-45.62798,8.699005
1683,-47.11274,8.670567
1688,-48.86713,8.642263
1693,-50.97167,8.614097
1696,-52.4485,8.597261
1698,-53.54177,8.586065
1700,-54.73603,8.574889
1701,-55.37537,8.56931
1703,-56.74903,8.558167
1706,-59.08471,8.541492
1708,-60.86132,8.530402
1711,-63.9369,8.513806
1713,-66.3247,8.502769
1716,-70.56303,8.486252
1718,-73.95247,8.475266
1721,-80.20574,8.458828
1723,-85.45378,8.447895
1726,-95.83739,8.431535
1728,-105.4439,8.420653
1731,-128.1445,8.40437
1733,-157.6559,8.393539
1736,-198.1166,163.0224
1738,-132.5266,153.6196
1741,-91.85294,140.7049
1743,-75.65365,132.8196
1746,-58.86983,121.972
1748,-50.82289,115.3387
1751,-41.85732,106.2
1753,-37.4158,100.6033
1756,-32.47612,92.88129
1758,-30.10697,88.14516
1761,-27.67366,81.60101
1763,-26.6917,77.5814
1766,-26.05579,72.01927
1768,-26.14639,68.59789
1771,-27.02341,63.85679
1773,-28.11077,60.93624
1776,-30.56584,56.88345
1778,-32.83681,54.38336
1781,-37.46374,50.90916
1783,-41.64669,48.76299
1786,-50.54179,45.77647
1788,-59.50495,43.92899
1791,-85.04507,41.35462
1793,-161.5833,39.7599
1796,-70.96394,137.1337
1798,-49.86262,129.8507
1800,-36.42632,123.038
1801,-31.27284,119.7973
1803,-23.00216,113.6283
1806,-14.04102,105.1002
1808,-9.621788,99.8594
1811,-4.601799,92.60393
1813,-2.065075,88.13873
1816,0.8300616,81.94814
1818,2.279205,78.13279
1821,3.88396,72.83569
1823,4.655636,69.56636
1826,5.443201,65.02097
1828,5.767292,62.21166
1831,6.010705,58.30043
1833,6.038679,55.8797
1836,5.91764,52.50487
1841,5.380877,47.49335
1846,4.54807,43.14814
1851,3.521661,39.37064
1856,2.373565,36.07809
1861,1.134671,33.20088
1866,-0.1193376,30.68024
1871,-1.382884,28.46649
1876,-2.638249,26.51745
1881,-3.871556,24.79734
1886,-5.080471,23.27568
1891,-6.253438,21.92647
1900,-8.271451,19.86348
2000,-24.22676,11.22143
2097,-36.61876,10.32886
2100,-37.06186,10.35048
2102,-37.36129,10.3666
2107,-38.12476,10.41305
2112,-38.91117,10.46856
2117,-39.72276,10.53358
2122,-40.56187,10.60857
2127,-41.43122,10.69413
2132,-42.33372,10.79085
2137,-43.27281,10.89947
2142,-44.25228,11.02077
2147,-45.2768,11.15565
2152,-46.35178,11.3051
2157,-47.4842,11.47025
2162,-48.6829,11.65231
2167,-49.96037,11.85267
2172,-51.33489,12.07283
2177,-52.83726,12.31452
2182,-54.52731,12.57959
2187,-56.56012,12.87015
2192,-59.72881,13.18851
2197,-60.45619,18.2847
2200,-60.24154,18.49428
2202,-60.37917,18.64107
2207,-61.13535,19.0344
2212,-62.21997,19.46821
2217,-63.51767,19.94648
2222,-64.98649,20.47357
2227,-66.60964,21.05446
2232,-68.38129,21.69462
2237,-70.30161,22.40014
2242,-72.37481,23.17795
2247,-74.60751,24.03566
2252,-77.00913,24.98195
2257,-34.8568,25.75
2262,-35.5574,25.84129
2267,-35.81756,25.94851
2272,-36.35779,26.07305
2277,-36.94392,26.21652
2282,-37.57821,26.38072
2287,-38.26316,26.56762
2292,-39.00183,26.77948
2300,-40.30383,27.17659
2371,-16.41666,28.86838
2376,-16.34053,28.77407
2381,-16.26831,28.68041
2386,-16.20012,28.5874
2391,-16.13612,28.49503
2396,-16.07652,28.4033
2400,-16.0322,28.33037
2401,-16.02161,28.3122
2406,-15.97175,28.22173
2411,-15.92741,28.13188
2416,-15.88923,28.04265
2421,-15.85804,27.95402
2426,-15.83497,27.866
2431,-15.82163,27.77858
2436,-15.82032,27.69175
2441,-15.83453,27.60552
2446,-15.86988,27.51986
2451,-15.9363,27.43479
2456,-16.05386,27.35029
2461,-16.27383,27.26637
2466,-16.82487,27.18301
2471,-16.84172,29.00026
2476,-16.05927,28.90538
2481,-15.66576,28.81136
2486,-15.38507,28.71819
2491,-15.16001,28.62586
2496,-14.96861,28.53435
2500,-14.83228,28.46174
2501,-14.80007,28.44367
2506,-14.64824,28.35379
2511,-14.50931,28.26472
2516,-14.3807,28.17643
2521,-14.26064,28.08893
2526,-14.14781,28.0022
2531,-14.04122,27.91624
2536,-13.94012,27.83103
2541,-13.8439,27.74657
2546,-13.75209,27.66285
2551,-13.6643,27.57986
2556,-13.58022,27.4976
2561,-13.49957,27.41605
2566,-13.42214,27.33522
2600,-12.9574,26.80382
2611,-12.83622,26.63849
2616,-12.78508,26.56438
2621,-12.73643,26.4909
2626,-12.69034,26.41807
2631,-12.64691,26.34586
2636,-12.60625,26.27428
2641,-12.56854,26.20331
2646,-12.53399,26.13297
2651,-12.50291,26.06322
2656,-12.47569,25.99409
2661,-12.45285,25.92555
2666,-12.43511,25.85761
2671,-12.42348,25.79025
2676,-12.41945,25.72349
2681,-12.42525,25.6573
2686,-12.44455,25.5917
2691,-12.4839,25.52666
2696,-12.55689,25.4622
2700,-12.6619,25.41103
2701,-12.69991,25.3983
2706,-13.10339,25.33496
2711,-12.90385,26.41819
2716,-12.49433,26.35431
2721,-12.26675,26.29102
2726,-12.09851,26.22831
2731,-11.96042,26.16618
2736,-11.84075,26.10462
2741,-11.73363,26.04364
2746,-11.63568,25.98322
2751,-11.54475,25.92336
2756,-11.45941,25.86407
2761,-11.37866,25.80533
2766,-11.30174,25.74715
2771,-11.2281,25.68952
2776,-11.15729,25.63243
2781,-11.08897,25.57589
2786,-11.02286,25.5199
2791,-10.95873,25.46444
2796,-10.89638,25.40952
2800,-10.84768,25.36596
2801,-10.83565,25.35513
2806,-10.7764,25.30128
2900,-9.259114,24.28907
3000,-8.332583,23.26507
3100,-7.592741,22.24244
3200,-6.977481,21.28629
3300,-6.462598,20.39151
3400,-6.024938,19.55263
3500,-5.6553,18.765
3600,-5.352642,18.02695
3700,-5.083697,17.33388
3800,-4.853922,16.68125
3900,-4.65782,16.06586
4000,-4.490857,15.48485
4100,-4.34925,14.93562
4200,-4.229821,14.41581
4300,-4.12991,13.9233
4400,-4.071123,13.4568
4500,-4.00423,13.01489
