Energy,f’,f’’
1000,-32.23664,8.614807
1100,-35.58653,7.992572
1144,-38.67718,7.736035
1149,-39.18267,7.707601
1154,-39.73918,7.679298
1159,-40.35605,7.651128
1164,-41.04504,7.62309
1169,-41.8211,7.595183
1174,-42.70355,7.567406
1178,-43.50282,7.545279
1179,-43.71764,7.53976
1183,-44.64589,7.517735
1184,-44.89696,7.512242
1188,-45.98941,7.49032
1189,-46.287,7.484852
1193,-47.59225,7.463033
1194,-47.95071,7.457591
1198,-49.53749,7.435874
1199,-49.97739,7.430457
1200,-50.43684,7.425045
1203,-51.94586,7.408841
1204,-52.49767,7.40345
1208,-54.99914,7.381935
1209,-55.70982,7.376568
1213,-58.98378,7.355154
1214,-59.9295,7.349813
1218,-64.37843,7.328497
1219,-65.69221,7.323182
1223,-72.05323,7.301966
1224,-73.99128,7.296675
1228,-83.79952,7.275558
1229,-86.94106,7.270292
1233,-104.1869,7.249273
1234,-110.2885,7.244031
1238,-152.173,7.223111
1239,-173.1365,7.217894
1243,-173.1205,196.7103
1244,-140.2087,187.9452
1248,-76.86234,157.165
1249,-68.18286,150.4252
1253,-46.09136,126.6836
1254,-42.75248,121.468
1258,-35.13445,103.0389
1259,-34.41087,98.9773
1263,-35.56974,84.58238
1264,-36.88774,81.3995
1268,-47.44881,70.08674
1269,-51.95969,67.57748
1273,-90.2002,58.6327
1274,-117.0497,56.6426
1278,-60.47062,169.3291
1279,-46.15661,162.3489
1283,-13.94417,137.6604
1284,-9.135693,132.2121
1288,3.673285,112.8836
1289,5.754123,108.6046
1293,11.26777,93.37902
1294,12.11447,89.9979
1298,14.06325,77.93172
1299,14.27004,75.24401
1300,14.38962,72.67537
1303,14.31555,65.62469
1304,14.17528,63.47558
1308,13.18537,55.76208
1309,12.85489,54.03369
1313,11.30914,47.8129
1314,10.88038,46.41496
1318,9.059786,41.36976
1319,8.586296,40.23279
1323,6.656829,36.11844
1324,6.170325,35.18867
1328,4.230065,31.81529
1329,3.74916,31.05091
1333,1.85494,28.27044
1334,1.390211,27.63874
1338,-0.4271032,25.33509
1339,-0.8696786,24.81045
1343,-2.59345,22.89232
1348,-4.637059,20.84944
1353,-6.557069,19.13288
1358,-8.357694,17.68389
1363,-10.04582,16.45536
1368,-11.62971,15.40933
1373,-13.11821,14.51512
1400,-19.87106,11.43613
1500,-38.94803,9.267403
1514,-42.13458,9.505905
1519,-43.36892,9.627081
1524,-44.66371,9.769911
1529,-46.02593,9.936548
1534,-47.46328,10.12953
1539,-48.98431,10.3518
1544,-50.59856,10.60685
1549,-52.31672,10.89869
1554,-54.15083,11.23203
1559,-56.11457,11.61235
1564,-58.22356,12.04603
1569,-60.4958,12.54053
1574,-62.9523,13.10455
1579,-65.61803,13.74826
1584,-68.5234,14.48358
1589,-71.7071,15.32449
1594,-75.22839,16.28745
1599,-79.15781,17.39178
1600,-80.00536,17.63156
1604,-83.67252,18.66025
1609,-89.46826,20.11978
1614,-43.40019,26.20994
1619,-42.92393,26.41713
1624,-43.35313,26.67028
1629,-44.14437,26.97616
1634,-45.18552,27.34269
1639,-46.44233,27.77919
1644,-47.90733,28.2966
1649,-49.58609,28.90786
1654,-51.4922,29.62823
1659,-19.31335,30.16069
1664,-19.07904,30.01334
1669,-18.86251,29.86762
1670,-18.82114,29.83867
1674,-18.66157,29.72349
1675,-18.62309,29.69485
1679,-18.47454,29.58093
1680,-18.43869,29.55261
1684,-18.30017,29.43992
1685,-18.26672,29.41191
1689,-18.13749,29.30044
1690,-18.10629,29.27272
1694,-17.98581,29.16246
1695,-17.95674,29.13504
1699,-17.84464,29.02596
1700,-17.81764,28.99884
1704,-17.71371,28.89092
1705,-17.68875,28.86408
1709,-17.59295,28.75732
1710,-17.57002,28.73077
1715,-17.46165,28.59886
1720,-17.36409,28.46835
1725,-17.27815,28.33921
1730,-17.20513,28.21142
1735,-17.14707,28.08497
1740,-17.10721,27.95983
1745,-17.09099,27.83599
1750,-17.10813,27.71344
1755,-17.1785,27.59215
1760,-17.3533,27.4721
1765,-17.86131,27.35329
1770,-17.83344,29.13765
1775,-17.00947,29.00499
1780,-16.57787,28.87397
1785,-16.26155,28.74457
1790,-16.00292,28.61676
1795,-15.77982,28.49052
1800,-15.5813,28.36582
1805,-15.40112,28.24263
1810,-15.23534,28.12095
1815,-15.08133,28.00073
1820,-14.93724,27.88197
1825,-14.8017,27.76464
1830,-14.67368,27.64871
1835,-14.55238,27.53418
1840,-14.43717,27.42101
1845,-14.32755,27.3092
1850,-14.22311,27.19872
1855,-14.1236,27.08955
1860,-14.02852,26.98168
1865,-13.93788,26.87509
1870,-13.85145,26.76976
1875,-13.7691,26.66569
1880,-13.69074,26.56284
1885,-13.61634,26.4612
1890,-13.54589,26.36077
1895,-13.47943,26.26153
1900,-13.41706,26.16346
1905,-13.35893,26.06654
1910,-13.30528,25.97078
1915,-13.25645,25.87614
1920,-13.21291,25.78262
1925,-13.17534,25.69021
1930,-13.14469,25.5989
1935,-13.1224,25.50867
1940,-13.11063,25.41951
1945,-13.11294,25.33141
1950,-13.13564,25.24436
1955,-13.1916,25.15836
1960,-13.31422,25.07338
1965,-13.65874,24.98942
1970,-13.59116,26.08951
1975,-13.11067,26.00482
1980,-12.85367,25.92115
1985,-12.66396,25.83851
1990,-12.50776,25.75688
1995,-12.37196,25.67626
2000,-12.25005,25.59663
2005,-12.13834,25.51798
2010,-12.03452,25.44032
2015,-11.937,25.36363
2020,-11.84471,25.2879
2025,-11.75683,25.21312
2030,-11.67276,25.1393
2035,-11.59201,25.06641
2040,-11.51421,24.99445
2045,-11.43906,24.92342
2050,-11.36629,24.85332
2055,-11.29568,24.78412
