Energy,f’,f’’
1000,-6.733704,11.91842
1100,-6.343284,10.58315
1200,-6.124069,9.467503
1300,-6.025888,8.523942
1400,-6.015927,7.71759
1500,-6.075582,7.022106
1600,-6.193362,6.417406
1700,-7.541361,5.887888
1800,-6.64021,5.42746
1900,-6.915162,5.022734
2000,-7.248951,4.662992
2100,-7.655157,4.341607
2200,-8.165584,4.053257
2300,-8.805484,3.794306
2400,-9.664134,3.560071
2500,-10.93201,3.347424
2579,-12.60726,3.192944
2584,-12.75472,3.183538
2589,-12.91009,3.174174
2594,-13.07428,3.164852
2599,-13.24834,3.155573
2600,-13.28444,3.153722
2604,-13.43357,3.146335
2609,-13.6315,3.137139
2614,-13.84404,3.127984
2619,-14.07355,3.11887
2624,-14.32306,3.109796
2629,-14.59645,3.100764
2634,-14.89892,3.091771
2639,-15.23759,3.082818
2644,-15.62263,3.073905
2649,-16.06919,3.065032
2654,-16.60158,3.056197
2659,-17.2621,3.047403
2664,-18.13554,3.038646
2669,-19.4352,3.029928
2674,-22.07525,3.021249
2679,-22.94147,11.26401
2684,-19.74549,11.22137
2689,-18.36368,11.17921
2694,-17.4824,11.13752
2696,-17.20481,11.12097
2699,-16.84311,11.09629
2700,-16.73453,11.08809
2701,-16.63117,11.07992
2704,-16.34839,11.05551
2706,-16.17955,11.03933
2709,-15.95106,11.01519
2711,-15.8131,10.99919
2714,-15.62479,10.97531
2716,-15.51034,10.95948
2719,-15.35347,10.93587
2721,-15.2579,10.92022
2724,-15.1268,10.89687
2726,-15.047,10.88139
2729,-14.93791,10.8583
2731,-14.87186,10.84299
2734,-14.78229,10.82015
2736,-14.72868,10.80501
2739,-14.65712,10.78242
2741,-14.61521,10.76744
2744,-14.56095,10.7451
2746,-14.53051,10.73029
2749,-14.49358,10.7082
2751,-14.47491,10.69355
2754,-14.45618,10.67169
2756,-14.45019,10.65721
2759,-14.45164,10.63559
2761,-14.46011,10.62126
2764,-14.48528,10.59988
2766,-14.51134,10.58571
2769,-14.56648,10.56456
2771,-14.61566,10.55054
2774,-14.71216,10.52963
2776,-14.79503,10.51576
2781,-15.09547,10.48136
2786,-15.64004,10.44733
2791,-17.04266,10.41368
2796,-16.60224,14.45982
2800,-15.34556,14.42066
2801,-15.14248,14.41093
2806,-14.3802,14.36264
2811,-13.8402,14.31495
2816,-13.41313,14.26784
2821,-13.05548,14.2213
2826,-12.74548,14.17533
2831,-12.47054,14.12993
2836,-12.22274,14.08508
2841,-11.99671,14.04078
2846,-11.78868,13.99702
2851,-11.59583,13.9538
2856,-11.41606,13.91112
2861,-11.24769,13.86895
2866,-11.08943,13.82731
2871,-10.9402,13.78617
2876,-10.79913,13.74555
2881,-10.66549,13.70542
2886,-10.53868,13.66579
2891,-10.41818,13.62665
2900,-10.21583,13.55741
2945,-9.434852,13.23371
2950,-9.369066,13.19996
2955,-9.307363,13.16664
2960,-9.249812,13.13374
2965,-9.196544,13.10125
2970,-9.147736,13.06918
2975,-9.103645,13.03752
2980,-9.064609,13.00627
2985,-9.031087,12.97541
2990,-9.003693,12.94495
2995,-8.983255,12.91489
3000,-8.970914,12.88521
3005,-8.965462,12.8515
3010,-8.97217,12.81787
3015,-8.994595,12.78435
3020,-9.038456,12.75093
3025,-9.113886,12.71762
3030,-9.241479,12.68442
3035,-9.474604,12.65133
3040,-10.06093,12.61834
3045,-9.990701,14.47251
3050,-9.260033,14.43715
3055,-8.884385,14.4019
3060,-8.615005,14.36677
3065,-8.398107,14.33176
3070,-8.212883,14.29687
3075,-8.049019,14.26209
3080,-7.900669,14.22743
