Energy,f’,f’’
1000,-14.08457,24.72769
1100,-10.70551,23.2769
1200,-8.842976,21.05841
1300,-7.565039,19.14439
1400,-6.636967,17.45549
1500,-6.006634,15.98012
1600,-5.530042,14.68662
1700,-5.188223,13.54137
1800,-4.948722,12.52267
1900,-4.788389,11.61259
2000,-4.690385,10.79625
2100,-4.670003,10.06386
2200,-4.66318,9.403733
2300,-4.754895,8.806643
2400,-4.854817,8.274419
2500,-4.92886,7.790494
2600,-5.02422,7.347694
2700,-5.139718,6.941394
2800,-5.275205,6.56762
2900,-5.431946,6.222931
3000,-5.614048,5.904342
3100,-5.798124,5.618312
3200,-6.001547,5.353294
3300,-6.229704,5.107268
3400,-6.481445,4.878602
3500,-6.766693,4.665597
3600,-7.087294,4.466987
3700,-7.456125,4.281335
3800,-7.889001,4.107505
3900,-8.41134,3.944484
4000,-9.067842,3.791366
4100,-9.949245,3.647342
4200,-11.29387,3.511684
4244,-12.21917,3.454473
4249,-12.3493,3.448064
4254,-12.4865,3.441673
4259,-12.6316,3.435302
4264,-12.78561,3.428948
4269,-12.94972,3.422612
4274,-13.12535,3.416295
4279,-13.31429,3.409996
4284,-13.51878,3.403715
4289,-13.74167,3.397452
4294,-13.98666,3.391207
4299,-14.25866,3.38498
4300,-14.31689,3.383737
4304,-14.56454,3.378771
4309,-14.91408,3.372579
4314,-15.32198,3.366405
4319,-15.81194,3.360249
4324,-16.42595,3.35411
4329,-17.24929,3.347989
4334,-18.50415,3.341885
4339,-21.24388,3.335798
4344,-21.05672,11.00579
4349,-18.41995,10.97625
4354,-17.17719,10.94689
4359,-16.35747,10.9177
4364,-15.74795,10.8887
4369,-15.2621,10.85987
4374,-14.85992,10.83121
4379,-14.51781,10.80272
4384,-14.22106,10.77441
4389,-13.95978,10.74626
4394,-13.72715,10.71828
4399,-13.51817,10.69047
4400,-13.47887,10.68493
4404,-13.32911,10.66282
4409,-13.15707,10.63534
4414,-12.99981,10.60802
4419,-12.85553,10.58085
4424,-12.7228,10.55386
4429,-12.6004,10.52701
4434,-12.48737,10.50033
4439,-12.38288,10.4738
4500,-11.62381,10.16234
4515,-11.55881,10.08906
4520,-11.5478,10.06492
4525,-11.54246,10.04091
4530,-11.5431,10.01703
4535,-11.55011,9.9933
4540,-11.56401,9.969699
4545,-11.58544,9.946232
4550,-11.61522,9.922897
4555,-11.65755,9.899697
4560,-11.70418,9.876626
4565,-11.7667,9.853685
4570,-11.84423,9.830873
4575,-11.94021,9.808193
4580,-12.05961,9.785637
4585,-12.20995,9.763208
4590,-12.40346,9.740905
4595,-12.66197,9.718728
4600,-13.03072,9.696673
4605,-13.63079,9.674742
4610,-15.09497,9.652933
4615,-14.55897,13.4417
4620,-13.31447,13.40963
4625,-12.6752,13.37775
4630,-12.23287,13.34606
