Energy,f’,f’’
1000,-35.76466,35.1627
1100,-31.66835,32.74503
1200,-29.04629,30.80809
1232,-28.3386,30.08048
1237,-28.22849,29.9687
1242,-28.12122,29.85736
1247,-28.01674,29.74644
1252,-27.915,29.63596
1257,-27.81601,29.52591
1262,-27.71976,29.4163
1267,-27.62634,29.30713
1272,-27.53582,29.1984
1277,-27.44836,29.09012
1282,-27.36415,28.98228
1287,-27.2835,28.87488
1292,-27.20685,28.76792
1297,-27.13482,28.66142
1300,-27.09422,28.59773
1302,-27.06841,28.55536
1307,-27.00923,28.44975
1312,-26.96011,28.34459
1317,-26.92686,28.23989
1322,-26.92452,28.13563
1327,-27.02295,28.03183
1332,-26.93683,28.46141
1337,-26.666,28.35958
1342,-26.86671,28.25908
1347,-26.72973,28.16194
1352,-26.6082,28.06525
1357,-26.49629,27.96902
1362,-26.3911,27.87325
1367,-26.291,27.77793
1372,-26.19494,27.68306
1377,-26.10224,27.58863
1382,-26.32055,27.49737
1387,-26.23499,27.40695
1392,-26.1516,27.31698
1397,-26.0702,27.22748
1400,-26.02223,27.174
1402,-25.99059,27.13843
1407,-25.91266,27.04984
1412,-25.83629,26.9617
1417,-25.76137,26.87401
1422,-25.68784,26.78676
1427,-25.61561,26.69996
1500,-24.68266,25.48162
1600,-23.62055,23.92031
1700,-22.89678,22.48149
1800,-22.38461,21.16591
1900,-21.98204,19.95963
2000,-21.71957,18.84681
2100,-21.58241,17.81795
2200,-21.56116,16.86481
2300,-21.65108,15.98021
2400,-21.85785,15.15871
2500,-22.175,14.39454
2600,-22.61881,13.68226
2700,-23.21251,13.01774
2800,-24.20579,12.41816
2900,-25.38804,11.86619
3000,-26.7345,11.35895
3100,-28.63627,10.89829
3200,-31.65193,10.46737
3235,-33.27133,10.32306
3240,-33.5462,10.30271
3245,-33.83524,10.28243
3250,-34.14007,10.26221
3255,-34.46254,10.24205
3260,-34.80486,10.22196
3265,-35.16975,10.20193
3270,-35.56052,10.18197
3275,-35.98132,10.16207
3280,-36.43739,10.14223
3285,-36.93561,10.12245
3290,-37.48505,10.10274
3295,-38.09834,10.08309
3300,-38.79344,10.06351
3305,-39.59764,10.04398
3310,-40.55485,10.02452
3315,-41.74348,10.00511
3320,-43.32498,9.985769
3325,-45.73189,9.966487
3330,-51.22165,9.947266
3335,-49.56127,23.51262
3340,-45.42392,23.51848
3345,-43.42311,23.52381
3350,-42.11374,23.52861
3355,-41.15233,23.53288
3360,-40.40211,23.53661
3365,-39.79458,23.53981
3370,-39.2908,23.54248
3375,-38.86647,23.54461
3380,-38.50562,23.54621
3385,-38.1973,23.54727
3390,-37.93373,23.5478
3393,-37.7947,23.54786
3395,-37.70938,23.54779
3398,-37.59188,23.54753
3400,-37.52025,23.54724
3403,-37.4225,23.54666
3405,-37.3636,23.54616
3408,-37.28439,23.54526
3410,-37.23758,23.54455
3413,-37.17621,23.54333
3415,-37.14052,23.5424
3418,-37.09676,23.54085
3420,-37.07347,23.53971
3423,-37.04751,23.53785
3425,-37.03627,23.5365
3428,-37.02874,23.53431
3430,-37.03014,23.53274
3433,-37.04224,23.53023
3438,-37.09081,23.52563
3443,-37.17861,23.52049
3448,-37.31162,23.51482
3453,-37.4985,23.50862
3458,-37.75201,23.50189
3463,-38.09174,23.49463
3468,-38.54936,23.48684
3473,-39.18095,23.47853
3478,-40.09945,23.46969
3483,-41.59228,23.46032
3488,-44.91476,23.45043
3493,-45.55034,34.32766
3498,-41.20554,34.26461
3500,-40.26859,34.2394
3503,-39.16391,34.2016
3508,-37.77209,34.13864
3513,-36.69559,34.0757
3518,-35.8073,34.01278
3523,-35.04484,33.94989
3528,-34.37294,33.88701
