Energy,f’,f’’
1000,-0.6957621,6.410808
1100,-0.4481739,5.566113
1200,-0.3091873,4.879749
1300,-0.2369176,4.314049
1400,-0.2074443,3.841979
1500,-0.2058219,3.443748
1600,-0.2225494,3.104574
1700,-0.2514465,2.813226
1800,-0.2884253,2.561043
1900,-0.3452015,2.342734
2000,-0.3906013,2.151919
2100,-0.4380592,1.983626
2200,-0.4868174,1.834398
2300,-0.5458561,1.701941
2400,-0.5959952,1.584025
2500,-0.6464024,1.478101
2600,-0.6970471,1.382576
2700,-0.7479747,1.296116
2800,-0.7992911,1.217594
2900,-0.8511531,1.146058
3000,-0.9037634,1.080692
3100,-0.9575731,1.021258
3200,-1.012601,0.9666913
3300,-1.069204,0.9164667
3400,-1.127802,0.8701285
3500,-1.188892,0.8272802
3600,-1.253068,0.7875746
3700,-1.321054,0.7507075
3800,-1.393746,0.7164108
3900,-1.472274,0.6844474
4000,-1.558104,0.6546077
4100,-1.653182,0.6267048
4200,-1.760183,0.6005725
4300,-1.882931,0.5760619
4400,-2.027165,0.55304
4500,-2.202078,0.5313869
4600,-2.423764,0.5109949
4700,-2.724369,0.4917665
4800,-3.184063,0.4736137
4869,-3.727909,0.4616736
4874,-3.782479,0.4608261
4879,-3.840273,0.459981
4884,-3.901673,0.4591383
4889,-3.967147,0.4582978
4894,-4.037243,0.4574597
4899,-4.112632,0.4566239
4900,-4.128413,0.456457
4904,-4.194132,0.4557905
4909,-4.282796,0.4549593
4914,-4.379935,0.4541304
4919,-4.48727,0.4533038
4924,-4.607087,0.4524795
4929,-4.742578,0.4516574
4934,-4.898272,0.4508376
4939,-5.081012,0.45002
4944,-5.301791,0.4492047
4949,-5.580113,0.4483916
4954,-5.955582,0.4475808
4959,-6.531345,0.4467721
4964,-7.796412,0.4459656
4969,-7.702693,4.00774
4974,-6.473956,4.000078
4979,-5.890631,3.992447
4984,-5.502749,3.984846
4989,-5.211081,3.977276
4994,-4.976868,3.969735
4999,-4.780962,3.962224
5000,-4.745332,3.960726
5004,-4.612441,3.954743
5009,-4.464501,3.947292
5014,-4.332573,3.93987
5019,-4.213491,3.932476
5024,-4.104941,3.925112
5029,-4.005195,3.917778
5034,-3.912897,3.910471
5039,-3.827005,3.903193
5044,-3.746678,3.895944
5049,-3.671236,3.888723
5054,-3.600102,3.881531
5059,-3.532811,3.874366
5064,-3.468966,3.867229
5100,-3.086066,3.816654
5200,-2.400337,3.683293
5300,-1.965391,3.559625
5400,-1.650954,3.444751
5500,-1.408125,3.337874
5600,-1.212882,3.238288
5700,-1.051504,3.145362
5800,-0.9153646,3.058534
5900,-0.7986606,2.977299
6000,-0.6972883,2.901207
6100,-0.6082336,2.829851
6200,-0.5292137,2.762864
6300,-0.4584562,2.699916
