Energy,f’,f’’
1000,-28.07755,11.12569
1100,-28.93076,10.28927
1200,-30.52629,9.534376
1300,-33.53188,8.851936
1370,-38.14471,8.413706
1375,-38.6879,8.383659
1380,-39.28532,8.353762
1385,-39.94665,8.324012
1390,-40.68397,8.29441
1395,-41.51252,8.264954
1400,-42.45178,8.235643
1405,-43.52695,8.206477
1410,-44.77122,8.177455
1415,-46.22899,8.148575
1417,-46.8848,8.137063
1420,-47.96096,8.119838
1422,-48.74852,8.108381
1425,-50.05213,8.091241
1427,-51.01498,8.079841
1430,-52.62512,8.062784
1432,-53.82753,8.05144
1435,-55.86335,8.034467
1437,-57.4043,8.023178
1440,-60.05436,8.006288
1442,-62.09496,7.995055
1445,-65.67715,7.978246
1447,-68.50066,7.967068
1450,-73.60303,7.950341
1452,-77.76549,7.939218
1455,-85.63985,7.922573
1457,-92.44836,7.911503
1460,-106.5098,7.894938
1462,-120.3295,7.883923
1465,-157.5641,7.867439
1467,-230.4927,7.856477
1470,-153.9915,180.6982
1472,-111.2485,167.8434
1475,-76.40655,150.5335
1477,-61.75598,140.1716
1480,-46.70958,126.188
1482,-39.76642,117.7986
1485,-32.54101,106.4523
1487,-29.34891,99.63035
1490,-26.45296,90.38405
1492,-25.58423,84.81268
1495,-25.67546,77.2454
1497,-26.62155,72.67599
1500,-29.42062,66.45666
1502,-32.33368,62.69327
1505,-38.77116,57.56042
1507,-45.05423,54.44803
1510,-60.0523,50.19441
1512,-78.63731,47.60987
1515,-149.3397,163.845
1517,-73.63322,153.0424
1520,-38.26334,138.4043
1522,-25.15494,129.5863
1525,-12.16592,117.6122
1527,-6.199784,110.3837
1530,0.18356,100.5477
1532,3.213583,94.59744
1535,6.448237,86.48417
1537,7.937657,81.56596
1540,9.460746,74.84631
1542,10.02382,70.76439
1545,10.45505,65.17682
1547,10.51428,61.77567
1550,10.32691,57.11081
1552,10.05524,54.26568
1555,9.478625,50.35588
1557,9.005102,47.96663
1560,8.193897,44.67706
1562,7.601057,42.66298
1565,6.655095,39.88464
1567,5.996667,38.18054
1572,4.292363,34.3781
1577,2.553906,31.14073
1582,0.8240206,28.3746
1587,-0.8699215,26.00283
1592,-2.512395,23.96222
1597,-4.092163,22.20065
1600,-5.008336,21.25939
1602,-5.605574,20.67501
1607,-7.051175,19.34949
1612,-8.429803,18.19431
1700,-25.43373,10.46654
1787,-39.52208,10.04571
1792,-40.51379,10.12974
1797,-41.54349,10.22828
1800,-42.18112,10.29481
1802,-42.61504,10.34239
1807,-43.73261,10.47328
1812,-44.90079,10.62234
1817,-46.12462,10.79116
1822,-47.40972,10.98156
1827,-48.76236,11.19562
1832,-50.18963,11.43568
1837,-51.69964,11.70442
1842,-53.30182,12.00488
1847,-55.00732,12.34051
1852,-56.82981,12.71522
1857,-58.78672,13.13348
1862,-60.90181,13.60036
1867,-63.21075,14.12163
1872,-65.77644,14.70387
1877,-68.74466,15.35459
1882,-72.74741,16.08237
1887,-75.28391,21.60281
1892,-76.3516,22.48344
1897,-78.52206,23.47575
1900,-80.07439,24.13079
1902,-81.19223,24.59447
1907,-84.25054,25.85654
1912,-37.3551,26.21969
1917,-37.87753,26.35635
1922,-38.49501,26.51994
1927,-39.20353,26.71353
1932,-40.00266,26.94061
1937,-40.89451,27.20515
1942,-41.88303,27.51168
1947,-42.97378,27.86536
1952,-44.17376,28.27207
1957,-45.49136,28.73856
1962,-46.93646,29.27252
1967,-48.52097,29.88279
1972,-17.41091,30.07033
1977,-17.26446,29.94576
1982,-17.12591,29.82236
1992,-16.86973,29.57895
1997,-16.75169,29.45892
2000,-16.68396,29.38743
2002,-16.64009,29.33998
2007,-16.53484,29.22215
2012,-16.43589,29.10537
2017,-16.3433,28.98966
2022,-16.25718,28.87499
2027,-16.17778,28.76135
2032,-16.10543,28.64874
2037,-16.04067,28.53713
2042,-15.98421,28.42652
2047,-15.93711,28.3169
2052,-15.90085,28.20824
2057,-15.87766,28.10056
2062,-15.87092,27.99382
2067,-15.88612,27.88803
2072,-15.933,27.78316
2077,-16.03123,27.67922
2082,-16.23091,27.57618
2087,-16.75111,27.47405
2092,-16.80005,29.27229
2097,-15.98431,29.15865
2100,-15.71793,29.09103
2102,-15.57347,29.04618
2107,-15.27824,28.93489
2112,-15.04,28.82475
2117,-14.83638,28.71575
2122,-14.65644,28.60787
2127,-14.49393,28.5011
2132,-14.34497,28.39543
2137,-14.20696,28.29084
2142,-14.07808,28.18732
2147,-13.95701,28.08485
2152,-13.84273,27.98343
2157,-13.73447,27.88304
2162,-13.63163,27.78366
2167,-13.53372,27.68529
2172,-13.44034,27.58792
2177,-13.35116,27.49153
2182,-13.26594,27.39612
2187,-13.18445,27.30166
2200,-12.98887,27.0605
2209,-12.8665,26.89722
2214,-12.80297,26.80779
2219,-12.74259,26.71925
2224,-12.68539,26.6316
2229,-12.63141,26.54483
2234,-12.58074,26.45893
2239,-12.53353,26.37389
2244,-12.48996,26.28971
2249,-12.4503,26.20638
2254,-12.41492,26.12389
2259,-12.3843,26.04222
2264,-12.35913,25.96138
2269,-12.34038,25.88135
2274,-12.32946,25.80214
2279,-12.3285,25.72372
2284,-12.34095,25.6461
2289,-12.37291,25.56927
2294,-12.43662,25.49322
2299,-12.56325,25.41794
2300,-12.60296,25.40298
2304,-12.88898,25.34343
2309,-12.92214,26.4499
2314,-12.41943,26.37434
2319,-12.16585,26.29956
2324,-11.98273,26.22556
2329,-11.83394,26.15233
2334,-11.70581,26.07987
2339,-11.59161,26.00817
2344,-11.48754,25.93723
2349,-11.39124,25.86704
2354,-11.30113,25.79759
2359,-11.2161,25.72888
2364,-11.13535,25.6609
2369,-11.05826,25.59366
2374,-10.98435,25.52713
2379,-10.91327,25.46133
2384,-10.84469,25.39624
2389,-10.77837,25.33187
2394,-10.71411,25.26819
2399,-10.65171,25.20522
2400,-10.63944,25.19271
2404,-10.59101,25.14295
2500,-9.102409,23.94741
2600,-8.274206,22.75876
2700,-7.630166,21.71917
2800,-6.729585,20.70172
2900,-6.246799,19.74901
3000,-5.638979,18.85744
3100,-5.280236,18.00623
3200,-4.981446,17.21334
3300,-4.732565,16.4734
3400,-4.536403,15.78177
3500,-4.367042,15.13453
3600,-4.227866,14.52759
3700,-4.114634,13.95757
3800,-4.030588,13.42172
3900,-3.959846,12.91779
4000,-3.905986,12.44269
4100,-3.866926,11.99417
4200,-3.849377,11.57047
4300,-3.835349,11.17046
4400,-3.83146,10.79164
4500,-3.83662,10.43248
4600,-3.849902,10.0916
4700,-3.87317,9.768026
4800,-3.90052,9.460382
4900,-3.933925,9.167576
5000,-3.972899,8.88864
5100,-4.017036,8.622687
5200,-4.065996,8.368901
5300,-4.1195,8.126527
5400,-4.177324,7.894873
5500,-4.239297,7.673298
5600,-4.30529,7.46121
5700,-4.375221,7.258059
5800,-4.449049,7.063335
5900,-4.52677,6.876568
6000,-4.608426,6.697316
6100,-4.694097,6.525172
6200,-4.783904,6.359754
6300,-4.878023,6.200706
6400,-4.989387,6.047938
6500,-5.09272,5.901132
6600,-5.209263,5.759882
6700,-5.323102,5.624006
6800,-5.442915,5.493008
6900,-5.569279,5.366651
7000,-5.702888,5.244711
7100,-5.844575,5.126979
7200,-5.995356,5.013258
7300,-6.161053,4.903413
7400,-6.334023,4.797263
7500,-6.520764,4.694598
7600,-6.72372,4.595263
7700,-6.946065,4.499112
7800,-7.192037,4.406005
7900,-7.467458,4.315813
8000,-7.780665,4.228412
8100,-8.144203,4.143685
8200,-8.589826,4.061666
8300,-9.130273,3.982383
8400,-9.85038,3.905452
8500,-10.94285,3.830777
8551,-11.83728,3.793534
8556,-11.94949,3.789912
8561,-12.06802,3.786296
8566,-12.19364,3.782685
8571,-12.32724,3.779079
8576,-12.4699,3.775479
8581,-12.62294,3.771884
8586,-12.78797,3.768294
8591,-12.967,3.76471
8596,-13.16269,3.761131
8600,-13.33347,3.758271
8601,-13.37839,3.757556
8606,-13.61862,3.753987
8611,-13.88966,3.750424
8616,-14.20051,3.746865
8621,-14.56479,3.743311
8626,-15.00458,3.739763
8631,-15.55908,3.736221
8636,-16.30974,3.732683
8641,-17.47393,3.72915
8646,-20.18725,3.725622
8651,-19.3302,10.57312
8656,-17.1715,10.55039
8661,-16.09929,10.52794
8666,-15.37951,10.50579
8671,-14.83726,10.48392
8676,-14.40226,10.46234
8681,-14.0394,10.44104
8686,-13.72842,10.42002
8691,-13.45661,10.39928
8696,-13.21545,10.37881
8700,-13.04051,10.36263
8701,-12.99893,10.35861
8706,-12.8027,10.33869
8711,-12.62344,10.31903
8716,-12.45866,10.29964
8721,-12.30628,10.28052
8726,-12.16473,10.26166
8731,-12.0327,10.24305
8736,-11.9091,10.22471
8741,-11.79302,10.20662
8746,-11.68371,10.18879
8800,-10.80304,10.01191
8900,-9.924199,9.755286
9000,-9.473496,9.583167
9100,-8.971663,9.468038
9200,-8.750793,9.324405
9300,-8.668998,9.180952
9400,-8.75578,9.037808
9500,-9.143586,8.895091
9519,-9.286144,8.868032
9524,-9.330073,8.860915
9529,-9.377222,8.8538
9534,-9.427958,8.846684
9539,-9.482707,8.839573
9544,-9.542013,8.832461
9549,-9.606502,8.825352
9554,-9.676955,8.818243
9559,-9.75435,8.811135
9564,-9.839931,8.80403
9569,-9.935309,8.796926
9574,-10.04264,8.789824
9579,-10.16487,8.782722
9584,-10.30619,8.775624
9589,-10.47297,8.768526
9594,-10.67524,8.761431
9599,-10.93063,8.754335
9600,-10.99067,8.752916
9604,-11.27434,8.747243
9609,-11.79506,8.740151
9614,-12.87249,8.733062
9619,-13.22214,12.15429
9624,-11.87755,12.14275
9629,-11.28171,12.13121
9634,-10.89106,12.11969
9639,-10.59855,12.10819
9644,-10.36387,12.0967
9649,-10.1674,12.08522
9654,-9.998112,12.07376
9659,-9.849164,12.06232
9664,-9.716057,12.05089
9669,-9.595586,12.03947
9674,-9.485491,12.02807
9679,-9.384064,12.01669
9684,-9.28999,12.00532
9689,-9.202241,11.99396
9694,-9.119995,11.98262
9699,-9.042583,11.97129
9700,-9.027639,11.96903
9704,-8.969458,11.95998
9709,-8.900173,11.94868
9714,-8.83432,11.9374
9800,-8.0355,11.74558
9900,-7.524517,11.52774
10000,-7.317966,11.31526
10018,-7.323328,11.27758
10023,-7.328358,11.26714
10028,-7.335186,11.25671
10033,-7.343991,11.2463
10038,-7.354991,11.2359
10043,-7.368444,11.22551
10048,-7.384669,11.21513
10053,-7.404057,11.20477
10058,-7.427092,11.19442
10063,-7.454408,11.18408
10068,-7.486815,11.17376
10073,-7.5254,11.16344
10078,-7.571654,11.15314
10083,-7.627709,11.14286
10088,-7.696717,11.13258
10093,-7.784198,11.12232
10098,-7.898562,11.11207
10100,-7.955484,11.10797
10103,-8.05837,11.10183
10108,-8.309944,11.09161
10113,-8.859649,11.0814
10118,-8.929058,12.78399
10123,-8.279009,12.77337
10128,-7.974472,12.76276
10133,-7.768623,12.75216
10138,-7.610549,12.74158
10143,-7.480746,12.731
10148,-7.369716,12.72044
10153,-7.272074,12.70989
10158,-7.184477,12.69935
10163,-7.104706,12.68882
10168,-7.031211,12.67831
10173,-6.962869,12.6678
10178,-6.898838,12.65731
10183,-6.838481,12.64683
10188,-6.781269,12.63636
10193,-6.726806,12.62591
10198,-6.674761,12.61546
10200,-6.65456,12.61129
10203,-6.624864,12.60503
10208,-6.576886,12.59461
10213,-6.530636,12.5842
10300,-5.896561,12.40492
10400,-5.368383,12.20308
10500,-4.943959,12.00563
10600,-4.584038,11.81244
10700,-4.27013,11.6234
10800,-3.99162,11.4384
10900,-3.741659,11.25735
11000,-3.515468,11.08014
11100,-3.309534,10.90669
11200,-3.121166,10.73691
11300,-3.157686,10.5815
11400,-3.003731,10.43802
11500,-2.860674,10.29853
11600,-2.727323,10.16289
11700,-2.602669,10.03095
11800,-2.485842,9.902574
11900,-2.376094,9.777635
12000,-2.272769,9.656008
12100,-2.175291,9.537579
12200,-2.083152,9.422239
12300,-1.995895,9.309882
12400,-1.913114,9.200412
12500,-1.834395,9.093732
12600,-1.612362,8.97821
12700,-1.536928,8.864595
12800,-1.465406,8.75305
12900,-1.39756,8.643524
13000,-1.33317,8.535966
13100,-1.272036,8.430329
13200,-1.231922,8.327248
13300,-1.177342,8.226731
13400,-1.125432,8.128063
13500,-1.076043,8.031195
13600,-1.029038,7.936083
13700,-0.9842888,7.842686
13800,-0.9416775,7.750959
13900,-0.9010938,7.660865
14000,-0.8624339,7.572361
14100,-0.8256013,7.485413
14200,-0.7905061,7.399981
14300,-0.7570627,7.316031
14400,-0.725192,7.233527
14500,-0.6948187,7.152436
14600,-0.6658723,7.072725
14700,-0.6387367,6.994364
14800,-0.6124502,6.917321
14900,-0.5874037,6.841567
15000,-0.5635404,6.76707
15100,-0.5408078,6.693804
15200,-0.5191561,6.621742
15300,-0.4985378,6.550855
15400,-0.4789086,6.48112
15500,-0.4602257,6.412508
15600,-0.442449,6.344998
15700,-0.4255404,6.278565
15800,-0.4094635,6.213185
15900,-0.394184,6.148838
16000,-0.3796688,6.085498
16100,-0.3658868,6.023146
16200,-0.3528083,5.961761
16300,-0.3404053,5.901325
16400,-0.3286502,5.841814
16500,-0.3175175,5.783211
16600,-0.3069828,5.725497
16700,-0.2970226,5.668654
16800,-0.2876146,5.612666
16900,-0.2787372,5.557512
17000,-0.27037,5.503178
17100,-0.2624936,5.449647
17200,-0.2550892,5.396902
17300,-0.2517192,5.344934
17400,-0.2452217,5.293831
17500,-0.2391418,5.243469
17600,-0.2334637,5.193833
17700,-0.2281726,5.144909
17800,-0.2232542,5.096685
17900,-0.2186946,5.049145
18000,-0.2144806,5.002276
18100,-0.2105996,4.956067
18200,-0.2070394,4.910503
18300,-0.2037885,4.865576
18400,-0.2008356,4.821269
18500,-0.1981699,4.777574
18600,-0.1957811,4.734477
18700,-0.1936594,4.691969
18800,-0.1917952,4.650039
18900,-0.1901793,4.608675
19000,-0.1888029,4.567868
19100,-0.1876576,4.527607
19200,-0.1867351,4.487882
19300,-0.1903472,4.448767
19400,-0.1898655,4.41021
19500,-0.189581,4.372161
19600,-0.1894868,4.334612
19700,-0.1895763,4.297552
19800,-0.1898429,4.260975
19900,-0.1902805,4.22487
20000,-0.1908831,4.189229
