Energy,f’,f’’
1000,-1.059878,7.567664
1100,-0.6623371,6.585547
1200,-0.4219976,5.784896
1300,-0.2803189,5.123167
1400,-0.2007996,4.569696
1500,-0.1627444,4.10184
1600,-0.1525206,3.702651
1700,-0.1611958,3.359208
1800,-0.1827917,3.061514
1900,-0.2132414,2.801731
2000,-0.2497452,2.573642
2100,-0.3084247,2.373168
2200,-0.3512332,2.196664
2300,-0.3956663,2.039279
2400,-0.4411362,1.89831
2500,-0.4872527,1.771523
2600,-0.5406885,1.657704
2700,-0.5874482,1.554706
2800,-0.6343445,1.461111
2900,-0.6813845,1.375793
3000,-0.7286221,1.297794
3100,-0.7764937,1.226745
3200,-0.8246944,1.161492
3300,-0.8733916,1.101414
3400,-0.9227824,1.045969
3500,-0.9730946,0.9946852
3600,-1.024591,0.9471507
3700,-1.077574,0.9030033
3800,-1.132395,0.8619243
3900,-1.189466,0.8236314
4000,-1.249274,0.787875
4100,-1.312405,0.7544327
4200,-1.379573,0.7231062
4300,-1.451666,0.6937183
4400,-1.529811,0.6661102
4500,-1.615466,0.6401391
4600,-1.710579,0.6156763
4700,-1.817827,0.5926058
4800,-1.941042,0.5708224
4900,-2.085983,0.5502311
5000,-2.261883,0.5307453
5100,-2.48493,0.5122862
5200,-2.787521,0.4947821
5300,-3.250745,0.4781674
5368,-3.789698,0.4673467
5373,-3.844386,0.4665657
5378,-3.902303,0.4657868
5383,-3.963847,0.4650097
5388,-4.029477,0.4642346
5393,-4.099747,0.4634614
5398,-4.175327,0.4626902
5400,-4.207236,0.4623823
5403,-4.257065,0.4619209
5408,-4.345999,0.4611536
5413,-4.443464,0.4603882
5418,-4.551199,0.4596247
5423,-4.671522,0.4588631
5428,-4.807672,0.4581034
5433,-4.964263,0.4573457
5438,-5.148285,0.4565898
5443,-5.371017,0.4558358
5448,-5.652615,0.4550837
5453,-6.03444,0.4543334
5458,-6.626515,0.453585
5463,-7.988646,0.4528386
5468,-7.622978,3.994766
5473,-6.481418,3.987592
5478,-5.919023,3.980446
5483,-5.541274,3.973328
5488,-5.255801,3.966236
5493,-5.025949,3.959171
5498,-4.833342,3.952134
5500,-4.764219,3.949327
5503,-4.667465,3.945123
5508,-4.521685,3.938139
5513,-4.391604,3.931182
5518,-4.274126,3.92425
5523,-4.166999,3.917346
5528,-4.068507,3.910467
5533,-3.977351,3.903615
5538,-3.892499,3.896788
5543,-3.813127,3.889987
5548,-3.738568,3.883212
5553,-3.668253,3.876462
5558,-3.601727,3.869737
5563,-3.5386,3.863038
5600,-3.150794,3.814239
5700,-2.475502,3.688869
5800,-2.045643,3.572334
5900,-1.734054,3.463852
6000,-1.492876,3.362726
6100,-1.298557,3.268333
6200,-1.137638,3.180116
6300,-1.001651,3.097574
6400,-0.8849022,3.020258
6500,-0.7833596,2.947763
6600,-0.6940628,2.879723
6700,-0.6147689,2.815807
6800,-0.5437356,2.755715
6900,-0.4795825,2.699176
7000,-0.4211941,2.645939
7100,-0.3676182,2.595781
7200,-0.2372884,2.537684
7300,-0.1883657,2.48102
7400,-0.1436022,2.426206
7500,-0.1025629,2.373161
7600,-6.4873077E-02,2.321809
7700,-3.020755E-02,2.272079
7800,1.7178862E-03,2.223902
7900,3.1152356E-02,2.177214
8000,5.83161E-02,2.131954
8100,8.3404243E-02,2.088063
8200,0.1065899,2.045487
8300,0.1280282,2.004174
8400,0.1478571,1.964073
8500,0.1662012,1.925138
8600,0.1831715,1.887323
8700,0.1988677,1.850586
8800,0.2133791,1.814886
8900,0.2267847,1.780185
9000,0.2393715,1.746619
9100,0.2510408,1.713984
9200,0.2618573,1.682245
9300,0.2718805,1.651369
9400,0.2811646,1.621326
9500,0.2897599,1.592084
9600,0.2977129,1.563616
9700,0.3050086,1.535895
9800,0.3117564,1.508895
9900,0.3180148,1.482591
10000,0.3237829,1.456959
10100,0.3290916,1.431976
10200,0.3339699,1.40762
10300,0.3384446,1.38387
10400,0.3425406,1.360707
10500,0.3462813,1.33811
10600,0.3496883,1.316062
10700,0.3527818,1.294545
10800,0.3555807,1.273541
10900,0.3581025,1.253036
11000,0.3591722,1.233053
11100,0.3611539,1.213558
11200,0.3629083,1.194518
11300,0.3644491,1.175918
11400,0.3657888,1.157745
11500,0.3669392,1.139986
11600,0.3679118,1.122629
11700,0.3687168,1.105661
11800,0.3689286,1.089071
11900,0.3694308,1.072852
12000,0.3697827,1.05699
12100,0.3700031,1.041473
12200,0.3700998,1.026291
12300,0.3700799,1.011435
12400,0.3699503,0.9968958
12500,0.3697173,0.9826638
12600,0.3693871,0.9687306
12700,0.3689652,0.9550881
12800,0.3684571,0.9417279
12900,0.3678679,0.9286425
13000,0.3672023,0.9158241
13100,0.3664648,0.9032655
13200,0.3656597,0.89096
13300,0.3647911,0.8789006
13400,0.3638627,0.8670807
13500,0.3628782,0.8554941
13600,0.361841,0.8441346
13700,0.3607543,0.8329964
13800,0.3596211,0.8220736
13900,0.3584445,0.8113608
14000,0.357227,0.8008525
14100,0.3559713,0.7905437
14200,0.3546799,0.7804294
14300,0.3533551,0.7705044
14400,0.3519991,0.7607644
14500,0.350614,0.7512045
14600,0.3492017,0.7418204
14700,0.3477642,0.7326079
14800,0.3463033,0.7235627
14900,0.3448206,0.7146809
15000,0.3433177,0.7059584
15100,0.3417962,0.6973915
15200,0.3402574,0.6889766
15300,0.3387029,0.6807101
15400,0.3371339,0.6725885
15500,0.3355515,0.6646084
15600,0.333957,0.6567665
15700,0.3323516,0.6490597
15800,0.3307361,0.6414849
15900,0.3291118,0.6340392
16000,0.3274794,0.6267195
16100,0.3258399,0.619523
16200,0.3241943,0.6124471
16300,0.3225431,0.6054891
16400,0.3208874,0.5986462
16500,0.3192277,0.591916
16600,0.3175647,0.5852962
16700,0.3158993,0.5787841
16800,0.3142318,0.5723777
16900,0.312563,0.5660745
17000,0.3108934,0.5598723
17100,0.3092237,0.5537691
17200,0.3074558,0.5477627
17300,0.3057878,0.5418515
17400,0.3041207,0.5360331
17500,0.3024553,0.5303055
17600,0.3007919,0.524667
17700,0.2991308,0.5191156
17800,0.2974726,0.5136497
17900,0.2958174,0.5082673
18000,0.2941657,0.502967
18100,0.2925178,0.4977469
18200,0.2908739,0.4926056
18300,0.2892343,0.4875415
18400,0.2875993,0.4825529
18500,0.2859691,0.4776384
18600,0.284344,0.4727966
18700,0.2827241,0.468026
18800,0.2811098,0.4633254
18900,0.2795011,0.4586931
19000,0.2778982,0.4541281
19100,0.2763013,0.4496289
19200,0.2747107,0.4451945
19300,0.2731264,0.4408234
19400,0.2715485,0.4365146
19500,0.2699773,0.4322667
19600,0.2684128,0.4280788
19700,0.2668551,0.4239497
19800,0.2653044,0.4198783
19900,0.2637608,0.4158635
20000,0.2622242,0.4119043
20100,0.2606949,0.4079997
20200,0.2591729,0.4041487
20300,0.2576583,0.4003503
20400,0.2561511,0.3966036
20500,0.2546515,0.3929076
20600,0.2531593,0.3892614
20700,0.2516748,0.3856642
20800,0.250198,0.3821151
20900,0.2487288,0.3786131
21000,0.2472674,0.3751577
21100,0.2458137,0.3717477
21200,0.2443678,0.3683826
21300,0.2429298,0.3650616
21400,0.2414995,0.3617838
21500,0.2400771,0.3585485
21600,0.2386626,0.355355
21700,0.2372559,0.3522025
21800,0.2358571,0.3490905
21900,0.2344662,0.3460182
22000,0.2330832,0.3429849
22100,0.231708,0.33999
22200,0.2303407,0.3370328
22300,0.2289814,0.3341128
22400,0.2276298,0.3312293
22500,0.2262861,0.3283816
22600,0.2249503,0.3255693
22700,0.2236223,0.3227917
22800,0.2223021,0.3200483
22900,0.2209896,0.3173385
23000,0.219685,0.3146618
23100,0.2183881,0.3120176
23200,0.217099,0.3094055
23300,0.2158176,0.3068249
23400,0.2145439,0.3042752
23500,0.2132782,0.3017561
23600,0.2120212,0.2992671
23700,0.2090367,0.2968114
23800,0.207808,0.2944029
23900,0.2065757,0.2920227
24000,0.2053505,0.2896706
24100,0.2041328,0.287346
24200,0.2029226,0.2850486
24300,0.20172,0.2827779
24400,0.2005249,0.2805335
24500,0.1993372,0.278315
24600,0.198157,0.276122
24700,0.1969842,0.2739541
24800,0.1958187,0.271811
24900,0.1946605,0.2696922
