Energy,f’,f’’
1000,-20.0831,28.89954
1100,-14.46353,25.77538
1200,-11.53309,24.33824
1300,-9.538507,22.0899
1400,-8.19332,20.1705
1500,-7.212503,18.52044
1600,-6.61687,17.08036
1700,-5.802932,15.84467
1800,-5.385972,14.67937
1900,-5.078922,13.63681
2000,-4.857257,12.70025
2100,-4.70303,11.85568
2200,-4.602882,11.09136
2300,-4.554653,10.39757
2400,-4.535415,9.767456
2500,-4.546372,9.192183
2600,-4.58312,8.665529
2700,-4.689956,8.182665
2800,-4.820972,7.745004
2900,-4.915762,7.343101
3000,-5.027868,6.971409
3100,-5.149396,6.635367
3200,-5.284281,6.323979
3300,-5.432801,6.03481
3400,-5.595658,5.765725
3500,-5.774017,5.514848
3600,-5.96958,5.280522
3700,-6.184714,5.061276
3800,-6.428827,4.856041
3900,-6.694461,4.663673
4000,-6.998475,4.482935
4100,-7.339647,4.313219
4200,-7.735582,4.153347
4300,-8.206304,4.002553
4400,-8.785579,3.860141
4500,-9.537582,3.725483
4600,-10.61125,3.59801
4685,-12.13013,3.49492
4690,-12.25677,3.488999
4695,-12.39033,3.483094
4700,-12.53162,3.477205
4705,-12.68164,3.471331
4710,-12.84155,3.465473
4715,-13.01277,3.45963
4720,-13.19705,3.453802
4725,-13.39661,3.44799
4730,-13.61424,3.442192
4735,-13.85361,3.43641
4740,-14.11957,3.430644
4745,-14.41894,3.424891
4750,-14.7614,3.419154
4755,-15.16158,3.413432
4760,-15.64316,3.407725
4765,-16.24804,3.402033
4770,-17.06244,3.396356
4775,-18.3136,3.390693
4780,-21.13029,3.385045
4785,-20.56341,10.87455
4790,-18.10422,10.84871
4795,-16.91444,10.823
4800,-16.12333,10.79743
4805,-15.53093,10.772
4810,-15.05811,10.74669
4815,-14.66549,10.72152
4820,-14.33048,10.69648
4825,-14.03899,10.67157
4830,-13.78152,10.64679
4835,-13.55149,10.62213
4840,-13.34408,10.59761
4845,-13.15569,10.57321
4850,-12.9835,10.54894
4855,-12.82533,10.52479
4860,-12.67944,10.50077
4865,-12.54442,10.47687
4870,-12.41908,10.45309
4875,-12.30245,10.42944
4880,-12.19373,10.4059
4900,-11.82557,10.31296
5000,-11.04532,9.87548
5006,-11.04633,9.850598
5011,-11.05201,9.829976
5016,-11.06234,9.809458
5021,-11.07785,9.789038
5026,-11.09872,9.768719
5031,-11.12561,9.748499
5036,-11.15914,9.72838
5041,-11.20013,9.708359
5046,-11.24962,9.688435
5051,-11.30893,9.668607
5056,-11.37979,9.648877
5061,-11.46452,9.629244
5066,-11.56636,9.609705
5071,-11.68992,9.590261
5076,-11.84213,9.570911
5081,-12.03413,9.551657
5086,-12.28554,9.532494
5091,-12.63581,9.513424
5096,-13.18572,9.494445
5100,-14.01923,9.47933
5101,-14.38361,9.47556
5106,-14.54012,13.18466
5111,-13.1241,13.15698
5116,-12.4634,13.12945
5121,-12.01931,13.10205
5126,-11.68044,13.07479
5131,-11.40426,13.04767
5136,-11.1699,13.02068
5141,-10.96555,12.99383
5146,-10.78384,12.96711
5151,-10.6199,12.94052
5156,-10.47032,12.91407
5161,-10.33263,12.88775
5166,-10.20494,12.86156
5171,-10.08583,12.8355
5176,-9.974191,12.80957
5181,-9.869105,12.78376
5186,-9.769855,12.75809
5191,-9.675817,12.73254
5196,-9.586498,12.70712
5200,-9.518161,12.68687
5201,-9.501475,12.68182
5300,-8.387259,12.20563
5355,-8.09795,11.96017
5360,-8.083287,11.93849
5365,-8.071216,11.91692
5370,-8.061707,11.89544
5375,-8.054972,11.87407
5380,-8.051271,11.8528
5385,-8.050924,11.83163
5390,-8.05433,11.81056
5395,-8.061993,11.78959
5400,-8.074558,11.76872
5405,-8.092874,11.74795
5410,-8.11807,11.72728
5415,-8.151715,11.70671
5420,-8.19605,11.68623
5425,-8.25444,11.66584
5430,-8.332273,11.64556
5435,-8.439022,11.62537
5440,-8.593673,11.60527
5445,-8.844397,11.58527
5450,-9.401349,11.56536
5455,-9.507979,13.3656
5460,-8.786279,13.34482
5465,-8.446709,13.32414
5470,-8.214272,13.30355
5475,-8.033484,13.28305
5480,-7.883337,13.26264
5485,-7.753563,13.24232
5490,-7.638378,13.2221
5495,-7.534164,13.20196
5500,-7.438549,13.18191
5505,-7.349867,13.16195
5510,-7.26691,13.14208
5515,-7.188778,13.1223
5520,-7.114759,13.10261
5525,-7.044312,13.083
5530,-6.976998,13.06348
5535,-6.912465,13.04404
5540,-6.850405,13.02469
5545,-6.790578,13.00543
5550,-6.732775,12.98625
5600,-6.236435,12.79901
5700,-5.497595,12.44812
5800,-4.936908,12.12612
5900,-4.482045,11.83026
6000,-4.099491,11.55818
6100,-3.769737,11.30778
6200,-3.479959,11.0772
6300,-2.907716,10.82313
6400,-2.660388,10.57391
6500,-2.438276,10.33681
6600,-2.237423,10.11108
6700,-1.902066,9.881069
6800,-1.727984,9.651707
6900,-1.569809,9.430262
7000,-1.425769,9.216368
7100,-1.295285,9.009696
7200,-1.175256,8.810031
7300,-1.065422,8.616952
7400,-0.9648055,8.430171
7500,-0.8725486,8.249414
7600,-0.7878972,8.074421
7700,-0.710184,7.904945
7800,-0.6388161,7.740756
7900,-0.5732661,7.581634
8000,-0.5130618,7.42737
8100,-0.4577805,7.277764
8200,-0.4070444,7.132633
8300,-0.3605129,6.991794
8400,-0.3178829,6.855081
8500,-0.2788831,6.72233
8600,-0.2432751,6.59339
8700,-0.210853,6.468116
8800,-0.1814458,6.346366
8900,-0.1549278,6.228012
9000,-0.1296489,6.114007
9100,-0.1065839,6.003155
9200,-8.5579611E-02,5.89534
9300,-6.6494189E-02,5.790449
9400,-4.9197726E-02,5.688376
9500,-3.3569608E-02,5.589018
9600,-2.0119961E-02,5.492292
9700,-7.5769927E-03,5.398121
9800,3.6117614E-03,5.306395
9900,1.3534552E-02,5.217029
10000,2.2273632E-02,5.129939
10100,2.9905092E-02,5.04505
10200,3.6499683E-02,4.962286
10300,4.1203585E-02,4.88162
10400,4.5872476E-02,4.802948
10500,4.9692884E-02,4.726197
10600,5.2718069E-02,4.651307
10700,5.4997735E-02,4.578216
10800,5.6578338E-02,4.506865
10900,5.750319E-02,4.4372
11000,5.6743123E-02,4.369215
11100,5.6437459E-02,4.302817
11200,5.5592705E-02,4.237953
11300,5.4242097E-02,4.174574
11400,5.2416816E-02,4.112636
11500,5.014601E-02,4.052092
11600,4.7457062E-02,3.992902
11700,4.4375662E-02,3.935026
11800,4.0925838E-02,3.878422
11900,3.7130266E-02,3.823055
12000,3.3010103E-02,3.768887
12100,2.858533E-02,3.715884
12200,2.3874745E-02,3.664012
12300,1.8895885E-02,3.613238
12400,1.3665438E-02,3.563532
12500,8.19897E-03,3.514863
12600,2.5125183E-03,3.467201
12700,-3.6276414E-03,3.420522
12800,-9.7177168E-03,3.374795
12900,-1.6322084E-02,3.329997
13000,-2.2766111E-02,3.286103
13100,-2.9368712E-02,3.243085
13200,-3.6120582E-02,3.200921
13300,-4.3012291E-02,3.159587
13400,-5.0034642E-02,3.119062
13500,-5.7179216E-02,3.079324
13600,-6.4437889E-02,3.040353
13700,-7.1802981E-02,3.002128
13800,-7.9267472E-02,2.964631
13900,-8.6824462E-02,2.927843
14000,-9.4467722E-02,2.891746
14100,-0.1021912,2.856322
14200,-0.1099891,2.821555
14300,-0.1178563,2.787428
14400,-0.1257875,2.753925
14500,-0.1337783,2.721031
14600,-0.141824,2.688731
14700,-0.1499204,2.657012
14800,-0.1580636,2.625857
14900,-0.1662498,2.595255
15000,-0.1744757,2.565192
15100,-0.1827377,2.535654
15200,-0.1910328,2.506631
15300,-0.1993582,2.478109
15400,-0.207711,2.450078
15500,-0.2160887,2.422525
