Energy,f’,f’’
1000,-6.770609,7.805745
1100,-6.756824,6.907546
1200,-6.849644,6.157716
1300,-7.065702,5.52996
1400,-7.340699,4.998139
1500,-7.705686,4.542334
1600,-8.185776,4.148463
1700,-8.812332,3.805992
1800,-9.674379,3.505656
1900,-10.97318,3.240607
1983,-12.83193,3.043456
1988,-12.99133,3.032176
1993,-13.15954,3.02096
1998,-13.33755,3.009809
2000,-13.41175,3.005366
2003,-13.52655,2.998721
2008,-13.72796,2.987696
2013,-13.94352,2.976733
2018,-14.17533,2.965832
2023,-14.42605,2.954993
2028,-14.69906,2.944214
2033,-14.9987,2.933497
2038,-15.33084,2.922839
2043,-15.70351,2.912242
2048,-16.12825,2.901703
2053,-16.62245,2.891223
2058,-17.21427,2.880801
2058,-17.21427,2.880801
2063,-17.9537,2.870438
2063,-17.9537,2.870438
2068,-18.94407,2.860131
2068,-18.94407,2.860131
2073,-20.46147,2.849882
2073,-20.46147,2.849882
2078,-23.94872,2.839689
2078,-23.94872,2.839689
2083,-22.85832,11.50616
2083,-22.85832,11.50616
2088,-20.1775,11.45316
2088,-20.1775,11.45316
2093,-18.88595,11.40066
2093,-18.88595,11.40066
2098,-18.05219,11.34866
2098,-18.05219,11.34866
2100,-17.79141,11.328
2103,-17.45525,11.29716
2103,-17.45525,11.29716
2108,-17.00788,11.24614
2108,-17.00788,11.24614
2113,-16.66791,11.1956
2113,-16.66791,11.1956
2118,-16.41325,11.14554
2118,-16.41325,11.14554
2123,-16.23302,11.09594
2123,-16.23302,11.09594
2128,-16.12444,11.04681
2128,-16.12444,11.04681
2133,-16.09288,10.99814
2133,-16.09288,10.99814
2138,-16.15577,10.94991
2138,-16.15577,10.94991
2143,-16.35565,10.90213
2143,-16.35565,10.90213
2148,-16.81034,10.85479
2148,-16.81034,10.85479
2153,-18.07939,10.80789
2153,-18.07939,10.80789
2158,-17.86592,15.0433
2158,-17.86592,15.0433
2163,-16.16254,14.97822
2163,-16.16254,14.97822
2168,-15.27809,14.91374
2168,-15.27809,14.91374
2173,-14.64462,14.84985
2173,-14.64462,14.84985
2178,-14.13862,14.78654
2178,-14.13862,14.78654
2183,-13.71185,14.72379
2188,-13.33958,14.66162
2193,-13.00828,14.60001
2198,-12.70894,14.53895
2200,-12.59673,14.51468
2203,-12.43552,14.47844
2208,-12.18375,14.41847
2213,-11.9504,14.35903
2218,-11.73306,14.30012
2223,-11.5298,14.24173
2228,-11.33912,14.18386
2233,-11.15975,14.1265
2238,-10.9907,14.06964
2243,-10.8311,14.01328
2248,-10.68026,13.95741
2253,-10.53759,13.90202
2275,-9.996045,13.66398
2280,-9.89086,13.61113
2285,-9.791914,13.55873
2290,-9.699148,13.50678
2295,-9.612552,13.45527
2300,-9.5322,13.4042
2305,-9.458238,13.35356
2310,-9.390922,13.30335
2315,-9.330625,13.25356
2320,-9.277894,13.20419
2325,-9.233493,13.15523
2330,-9.198509,13.10668
2335,-9.174497,13.05854
2340,-9.163752,13.0108
2345,-9.169793,12.96345
2350,-9.198353,12.91649
2355,-9.259634,12.86992
2360,-9.374426,12.82374
2365,-9.596696,12.77793
2370,-10.17711,12.7325
2375,-10.09261,14.5979
2380,-9.340438,14.54925
2385,-8.948794,14.501
2390,-8.665495,14.45314
2395,-8.436049,14.40569
2400,-8.239284,14.35861
2405,-8.06474,14.31193
2410,-7.906431,14.26563
2415,-7.760632,14.21971
2420,-7.624825,14.17416
2425,-7.497261,14.12898
2430,-7.376634,14.08416
2435,-7.261979,14.03971
2440,-7.152523,13.99562
2445,-7.047672,13.95188
2450,-6.946927,13.9085
2455,-6.849894,13.86546
2460,-6.756227,13.82277
2465,-6.665649,13.78042
2470,-6.577908,13.7384
2500,-6.100973,13.49322
2600,-4.902215,12.75436
2700,-4.043313,12.11994
2800,-3.166828,11.49946
2900,-2.52984,10.91079
3000,-2.062691,10.3735
3100,-1.687064,9.863277
3200,-1.37677,9.390528
3300,-1.118529,8.951612
3400,-0.9024377,8.543321
3500,-0.7209148,8.162824
3600,-0.5680339,7.807613
3700,-0.4390903,7.475462
3800,-0.3302993,7.164388
3900,-0.2385799,6.872616
4000,-0.1614019,6.598562
4100,-9.6667998E-02,6.340799
4200,-4.4925142E-02,6.098164
4300,-1.6611881E-04,5.869563
4400,3.5457689E-02,5.653903
4500,6.5364197E-02,5.450113
