Energy,f’,f’’
1000,-27.8774,11.86634
1100,-28.4441,10.97046
1200,-29.59484,10.16265
1300,-31.65552,9.432991
1400,-35.89758,8.773451
1430,-38.39986,8.588728
1435,-38.9486,8.55847
1440,-39.55168,8.52836
1445,-40.21864,8.498399
1450,-40.9614,8.468584
1455,-41.79494,8.438916
1460,-42.73832,8.409392
1465,-43.81618,8.380013
1470,-45.06079,8.350777
1475,-46.51522,8.321683
1479,-47.8685,8.298511
1480,-48.23808,8.292731
1484,-49.86354,8.26967
1485,-50.31118,8.263919
1489,-52.2991,8.240971
1490,-52.85204,8.235248
1494,-55.33628,8.21241
1495,-56.03568,8.206715
1499,-59.22383,8.183988
1500,-60.13517,8.178319
1504,-64.36874,8.155703
1505,-65.60356,8.150062
1509,-71.49261,8.127554
1510,-73.26028,8.12194
1514,-82.03767,8.09954
1515,-84.79514,8.093954
1519,-99.52547,8.071662
1520,-104.5836,8.066103
1524,-137.1929,8.043918
1525,-151.9937,8.038385
1529,-192.4741,178.843
1530,-154.0681,172.712
1534,-87.81572,150.5527
1535,-78.69544,145.5544
1539,-53.91388,127.4534
1540,-49.67061,123.3621
1544,-37.52688,108.5173
1545,-35.42551,105.1552
1549,-29.72857,92.933
1550,-28.87354,90.15945
1554,-27.31439,80.05747
1555,-27.35063,77.76057
1559,-29.11746,69.37904
1560,-29.97763,67.46964
1564,-35.38942,60.48923
1565,-37.33974,58.89581
1569,-48.86954,53.06077
1570,-53.16605,51.72625
1574,-85.6473,46.83049
1575,-105.4194,45.70871
1579,-71.52843,152.3113
1580,-57.62049,147.472
1584,-26.16117,129.8923
1585,-21.27962,125.9047
1589,-7.546701,111.3911
1590,-5.121825,108.0925
1594,1.987384,96.06368
1595,3.263991,93.32444
1599,6.959177,83.31669
1600,7.598533,81.03328
1604,9.322116,72.67547
1605,9.579154,70.76488
1609,10.09335,63.75893
1610,10.11473,62.15436
1614,9.875587,56.25997
1615,9.748401,54.90748
1619,9.036544,49.93031
1620,8.816682,48.78619
1624,7.813137,44.56849
1625,7.537063,43.59722
1629,6.360916,40.01052
1634,4.783267,36.12247
1639,3.149162,32.79449
1644,1.504587,29.93653
1649,-0.1202582,27.47408
1654,-1.722628,25.3456
1659,-3.242523,23.5
1664,-4.720372,21.89478
1669,-6.137897,20.49445
1674,-7.49439,19.26931
1700,-13.63875,14.90165
1800,-29.798,10.13028
1852,-37.98242,10.13544
1857,-38.88286,10.19619
1862,-39.81347,10.2691
1867,-40.7773,10.3549
1872,-41.77768,10.4544
1877,-42.81823,10.56857
1882,-43.90295,10.6985
1887,-45.03627,10.84543
1892,-46.22315,11.01078
1897,-47.4692,11.19616
1900,-48.24788,11.31775
1902,-48.78088,11.40338
1907,-50.16575,11.63448
1912,-51.63292,11.89179
1917,-53.19372,12.17791
1922,-54.86284,12.49579
1927,-56.66095,12.84874
1932,-58.62,13.24054
1937,-60.79773,13.6754
1942,-63.32961,14.15814
1947,-66.77971,14.69417
1952,-69.16226,20.09593
1957,-69.47833,20.72162
1962,-70.96206,21.42245
1967,-72.89497,22.20738
1972,-75.14417,23.08657
1977,-77.67028,24.07162
1982,-80.46449,25.17571
1987,-36.42932,26.20568
1992,-36.95288,26.31959
1997,-37.5499,26.45695
2000,-37.94328,26.55166
2002,-38.22034,26.62029
2007,-38.96566,26.81243
2012,-39.78879,27.03663
2017,-40.69361,27.2965
2022,-41.68523,27.59623
2027,-42.76954,27.94047
2032,-43.95367,28.33461
2037,-45.24558,28.78469
2042,-46.65459,29.29768
2047,-48.19114,29.8814
2076,-16.56608,29.51637
2081,-16.46383,29.39988
2086,-16.36715,29.28447
2091,-16.27603,29.17011
2096,-16.19053,29.05682
2100,-16.12626,28.96693
2101,-16.11078,28.94455
2106,-16.03697,28.83332
2111,-15.96941,28.7231
2116,-15.90853,28.61388
2121,-15.8549,28.50565
2126,-15.80937,28.39839
2131,-15.77306,28.2921
2136,-15.74762,28.18677
2141,-15.73546,28.08238
2146,-15.74028,27.97892
2151,-15.76816,27.87638
2156,-15.83001,27.77476
2161,-15.94854,27.67404
2166,-16.18466,27.57421
2171,-16.85742,27.47527
2176,-16.51758,29.29651
2181,-15.82528,29.18506
2186,-15.44221,29.0748
2191,-15.16129,28.96571
2196,-14.93291,28.85778
2200,-14.77427,28.77226
2201,-14.73717,28.75099
2206,-14.56398,28.64533
2211,-14.40755,28.54078
2216,-14.26419,28.43732
2221,-14.13143,28.33496
2226,-14.00752,28.23366
2231,-13.89117,28.13342
2236,-13.78141,28.03422
2241,-13.6775,27.93606
2246,-13.57882,27.83892
2251,-13.48491,27.74278
2256,-13.39537,27.64764
2261,-13.30989,27.55349
2266,-13.2282,27.46031
2271,-13.15009,27.3681
2300,-12.76034,26.85171
2301,-12.7487,26.83444
2306,-12.69229,26.74869
2311,-12.63882,26.66382
2316,-12.58832,26.57982
2321,-12.54087,26.49669
2326,-12.49658,26.41443
2331,-12.45559,26.33301
2336,-12.41812,26.25244
2341,-12.38446,26.1727
2346,-12.35498,26.0938
2351,-12.33022,26.01571
2356,-12.3109,25.93844
2361,-12.29803,25.86197
2366,-12.29311,25.78631
2371,-12.29841,25.71143
2376,-12.31765,25.63735
2381,-12.35746,25.56404
2386,-12.43154,25.49152
2391,-12.57642,25.41975
2396,-12.97819,25.34876
2400,-12.9736,26.47032
2401,-12.80424,26.45583
2406,-12.37578,26.38384
2411,-12.14078,26.31262
2416,-11.96805,26.24219
2421,-11.82687,26.17252
2426,-11.70499,26.10362
2431,-11.59629,26.03549
2436,-11.49724,25.96811
2441,-11.40561,25.90148
2446,-11.31991,25.83559
2451,-11.23909,25.77044
2456,-11.16238,25.70603
2461,-11.0892,25.64236
2466,-11.01908,25.57941
2471,-10.95166,25.51718
2476,-10.88665,25.45567
2481,-10.82382,25.39488
2486,-10.76295,25.3348
2491,-10.70388,25.27542
2496,-10.64646,25.21675
2500,-10.60163,25.17032
2600,-8.908936,23.95115
2700,-8.126597,22.80322
2800,-7.508603,21.79995
2900,-6.67414,20.82287
3000,-6.084374,19.89712
3100,-5.658178,19.00333
3200,-5.305588,18.17027
3300,-5.008462,17.39283
3400,-4.759472,16.66585
3500,-4.558593,15.98501
3600,-4.385887,15.34658
3700,-4.242752,14.7468
3800,-4.133838,14.1828
3900,-4.046237,13.65157
4000,-3.971037,13.15157
4100,-3.912507,12.67949
4200,-3.868622,12.23322
4300,-3.837667,11.81085
4400,-3.826964,11.41126
4500,-3.818035,11.03282
4600,-3.818125,10.67359
4700,-3.826314,10.33227
4800,-3.844575,10.00764
4900,-3.866818,9.698915
5000,-3.895088,9.404779
5100,-3.92889,9.124299
5200,-3.967803,8.856618
5300,-4.011473,8.600945
5400,-4.059603,8.356554
5500,-4.111949,8.12277
5600,-4.168315,7.898973
5700,-4.228548,7.684583
5800,-4.292534,7.479066
5900,-4.360198,7.281927
6000,-4.431504,7.092702
6100,-4.506447,6.910964
6200,-4.585062,6.736309
6300,-4.667416,6.568366
6400,-4.753614,6.406785
6500,-4.84916,6.251304
6600,-4.943541,6.101616
6700,-5.050456,5.957665
6800,-5.153805,5.818951
6900,-5.270514,5.685399
7000,-5.38421,5.556618
7100,-5.503816,5.432273
7200,-5.629916,5.312157
7300,-5.76321,5.196073
7400,-5.904541,5.083839
7500,-6.059848,4.975331
7600,-6.220531,4.870384
7700,-6.393044,4.768794
7800,-6.579316,4.670414
7900,-6.781802,4.575109
8000,-7.003699,4.482747
8100,-7.249279,4.393205
8200,-7.524422,4.306366
8300,-7.837574,4.22212
8400,-8.201468,4.140363
8500,-8.648408,4.061205
8600,-9.191763,3.984541
8700,-9.918997,3.910075
8800,-11.03243,3.837722
8846,-11.84666,3.805126
8851,-11.95772,3.801609
8856,-12.075,3.798096
8861,-12.19924,3.794588
8866,-12.33131,3.791086
8871,-12.47227,3.787588
8876,-12.62339,3.784095
8881,-12.78622,3.780608
8886,-12.96278,3.777125
8891,-13.15556,3.773647
8896,-13.3678,3.770174
8900,-13.55447,3.7674
8901,-13.60383,3.766714
8906,-13.86951,3.763292
8911,-14.17356,3.759875
8916,-14.52883,3.756462
8921,-14.95588,3.753055
8926,-15.49117,3.749652
8931,-16.20796,3.746254
8936,-17.29461,3.742861
8941,-19.60631,3.739473
8946,-19.7947,10.54685
8951,-17.34071,10.53347
8956,-16.21192,10.52012
8961,-15.46945,10.5068
8966,-14.91504,10.49353
8971,-14.47218,10.48029
8976,-14.10344,10.46708
8981,-13.78755,10.45391
8986,-13.51128,10.44078
8991,-13.26582,10.42769
8996,-13.04503,10.41463
9000,-12.88313,10.4042
9001,-12.84444,10.4016
9006,-12.66075,10.38861
9011,-12.4913,10.37566
9016,-12.33412,10.36274
9021,-12.18759,10.34986
9026,-12.05038,10.33701
9031,-11.92143,10.32419
9036,-11.79982,10.31141
9041,-11.6848,10.29867
9100,-10.66369,10.15085
9200,-9.649223,9.910737
9300,-9.040344,9.682963
9400,-8.654026,9.466722
9500,-8.423759,9.26128
9600,-8.325207,9.065946
9700,-8.366345,8.880088
9800,-8.603777,8.703122
9881,-9.088088,8.565934
9886,-9.135278,8.557639
9891,-9.185719,8.549364
9896,-9.239785,8.541108
9900,-9.285941,8.534519
9901,-9.297923,8.532873
9906,-9.360667,8.524657
9911,-9.42867,8.51646
9916,-9.502733,8.508284
9921,-9.583845,8.500128
9926,-9.673319,8.491989
9931,-9.772811,8.483871
9936,-9.884555,8.475771
9941,-10.01163,8.467691
9946,-10.15847,8.45963
9951,-10.33175,8.451589
9956,-10.54224,8.443565
9961,-10.80909,8.435562
9966,-11.17142,8.427579
9971,-11.73284,8.419613
9976,-13.00694,8.411666
9981,-12.74675,11.81612
9986,-11.62159,11.80401
9991,-11.07269,11.79194
9996,-10.70443,11.77989
10000,-10.47661,11.77028
10001,-10.42601,11.76788
10006,-10.20163,11.7559
10011,-10.01332,11.74394
10016,-9.850899,11.73202
10021,-9.70797,11.72012
10026,-9.580262,11.70826
10031,-9.464783,11.69642
10036,-9.35935,11.68462
10041,-9.262328,11.67284
10046,-9.172472,11.6611
10051,-9.088756,11.64938
10056,-9.010402,11.63769
10061,-8.936766,11.62604
10066,-8.867315,11.61441
10071,-8.801606,11.60281
10076,-8.739265,11.59124
10100,-8.47812,11.5361
10200,-7.78277,11.31331
10300,-7.434357,11.10125
10389,-7.381725,10.92104
10394,-7.390441,10.91114
10399,-7.400162,10.90127
10400,-7.402347,10.8993
10404,-7.411914,10.89142
10409,-7.425856,10.8816
10414,-7.442243,10.8718
10419,-7.461399,10.86203
10424,-7.483714,10.85227
10429,-7.509684,10.84254
10434,-7.539939,10.83284
10439,-7.575304,10.82316
10444,-7.616878,10.8135
10449,-7.666178,10.80386
10454,-7.725381,10.79425
10459,-7.79775,10.78466
10464,-7.888586,10.77509
10469,-8.007109,10.76555
10474,-8.172593,10.75603
10479,-8.434106,10.74653
10484,-9.025846,10.73706
10489,-8.967136,12.43097
10494,-8.368098,12.42117
10499,-8.076774,12.41138
10500,-8.031916,12.40943
10504,-7.878484,12.40162
10509,-7.725998,12.39189
10514,-7.600887,12.38217
10519,-7.494026,12.37247
10524,-7.40022,12.3628
10529,-7.316234,12.35315
10534,-7.239909,12.34352
10539,-7.169751,12.33391
10544,-7.104634,12.32433
10549,-7.043749,12.31476
10554,-6.986464,12.30522
10559,-6.932278,12.29569
10564,-6.880794,12.28619
10569,-6.831687,12.27671
10574,-6.78469,12.26725
10579,-6.73958,12.25781
