Energy,f’,f’’
1000,-6.642362,8.734132
1100,-6.545239,7.736066
1200,-6.562346,6.902965
1300,-6.669322,6.199037
1400,-6.892981,5.60253
1500,-7.157197,5.093545
1600,-7.499603,4.653351
1700,-7.936108,4.269691
1800,-8.504502,3.933748
1900,-9.257581,3.637491
2000,-10.32659,3.374538
2100,-12.09052,3.139908
2125,-12.76864,3.085186
2130,-12.92485,3.074418
2135,-13.0896,3.063708
2140,-13.26389,3.053056
2145,-13.44885,3.042461
2150,-13.64588,3.031922
2155,-13.85664,3.02144
2160,-14.08321,3.011013
2165,-14.32813,3.000642
2170,-14.5947,2.990325
2175,-14.88713,2.980064
2180,-15.2111,2.969856
2185,-15.57436,2.959703
2190,-15.98809,2.949602
2195,-16.46899,2.939555
2200,-17.04408,2.929561
2205,-17.76099,2.919619
2209,-18.49869,2.911702
2210,-18.71713,2.909728
2214,-19.81165,2.901853
2215,-20.16741,2.899889
2219,-22.35715,2.892055
2220,-23.34879,2.890102
2224,-24.20207,11.49237
2225,-22.9341,11.48189
2229,-20.45737,11.44014
2230,-20.08195,11.42975
2234,-18.96495,11.38841
2235,-18.74899,11.37813
2239,-18.03878,11.33719
2240,-17.89069,11.327
2244,-17.38221,11.28646
2245,-17.27242,11.27638
2249,-16.88727,11.23622
2250,-16.8027,11.22624
2254,-16.50317,11.18647
2255,-16.43698,11.17658
2259,-16.20257,11.1372
2260,-16.15098,11.1274
2264,-15.97013,11.0884
2265,-15.93098,11.07869
2269,-15.79757,11.04006
2270,-15.7699,11.03045
2274,-15.68187,10.99219
2275,-15.66562,10.98267
2279,-15.62492,10.94477
2280,-15.62115,10.93534
2284,-15.63488,10.8978
2285,-15.64629,10.88846
2289,-15.7306,10.85127
2290,-15.76305,10.84202
2294,-15.95426,10.80518
2295,-16.02175,10.79602
2299,-16.41843,10.75953
2300,-16.56531,10.75045
2304,-17.63224,10.7143
2305,-18.21758,10.7053
2309,-17.66007,14.91494
2310,-17.13339,14.90224
2314,-15.91392,14.85168
2315,-15.70542,14.83909
2319,-15.03929,14.78901
2320,-14.90123,14.77654
2324,-14.42043,14.72693
2329,-13.9293,14.66542
2334,-13.51664,14.6045
2339,-13.15794,14.54414
2344,-12.83918,14.48433
2349,-12.55155,14.42509
2354,-12.28905,14.36638
2359,-12.04746,14.30822
2364,-11.82363,14.25059
2369,-11.61519,14.19349
2374,-11.42026,14.13691
2379,-11.23736,14.08084
2384,-11.06527,14.02529
2389,-10.90302,13.97023
2394,-10.74977,13.91568
2399,-10.60486,13.86161
2400,-10.57681,13.85086
2404,-10.46768,13.80803
2434,-9.784998,13.49646
2439,-9.692221,13.44613
2444,-9.605075,13.39624
2449,-9.52355,13.34679
2454,-9.447677,13.29778
2459,-9.377565,13.24919
2464,-9.313403,13.20103
2469,-9.255463,13.15329
2474,-9.204151,13.10596
2479,-9.160028,13.05904
2484,-9.123878,13.01253
2489,-9.096794,12.96642
2494,-9.080338,12.9207
2499,-9.076793,12.87538
2500,-9.077911,12.86636
2504,-9.089654,12.83045
2509,-9.124594,12.7859
2514,-9.19166,12.74173
